Pedigree,HN_Blues
PI 17548,0.051922754
PI 24969,0.857790932
PI 276837,0.489674854
PI 329440,0.214023463
PI 34911,0.2038
PI 35038,0.484638974
PI 48770,-0.0554561
PI 533750,0.09293367
PI 533752,0.159433569
PI 533754,0.502501524
PI 533757,-0.163026046
PI 533758,0.188072494
PI 533759,-0.070530396
PI 533760,-0.477094046
PI 533761,0.840330737
PI 533762,0.012211481
PI 533766,-0.155336211
PI 533769,0.266685379
PI 533776,0.551081308
PI 533785,0.200222939
PI 533788,0.275791243
PI 533789,0.384414044
PI 533792,-0.048679333
PI 533794,0.289387401
PI 533799,1.048991156
PI 533800,-0.110611175
PI 533807,-0.142989346
PI 533814,0.068306832
PI 533821,0.906633352
PI 533822,0.022213612
PI 533824,0.002433227
PI 533830,0.01904511
PI 533831,-0.177567017
PI 533833,0.321239962
PI 533838,-0.156170174
PI 533839,0.045605187
PI 533841,0.206640415
PI 533843,-0.210193127
PI 533845,-0.018147925
PI 533852,0.282070001
PI 533855,0.184671916
PI 533856,0.802196819
PI 533863,-0.15543612
PI 533866,0.043722379
PI 533869,0.195155104
PI 533871,0.600643785
PI 533876,-0.168706463
PI 533877,0.304568285
PI 533878,0.295259569
PI 533901,0.231015429
PI 533902,0.219713867
PI 533903,-0.174000431
PI 533910,0.177384377
PI 533911,0.008133126
PI 533915,0.358024332
PI 533919,0.450590175
PI 533924,0.025231377
PI 533927,0.044094565
PI 533936,-0.299582556
PI 533937,0.417992266
PI 533938,-0.074848368
PI 533939,0.04112888
PI 533940,0.076564838
PI 533943,0.218692955
PI 533948,-0.034132209
PI 533949,0.07549164
PI 533954,0.344964569
PI 533955,0.103500892
PI 533957,0.587395922
PI 533961,0.766921537
PI 533962,0.138952827
PI 533964,0.04957932
PI 533965,0.312543152
PI 533967,0.155277999
PI 533970,0.210238255
PI 533972,0.381163721
PI 533976,0.077971261
PI 533979,0.014518674
PI 533980,0.78269988
PI 533985,0.400138528
PI 533986,0.621272132
PI 533987,0.207640164
PI 533989,0.470949521
PI 533991,0.384372212
PI 533996,0.06147206
PI 533997,0.290852734
PI 533998,0.277926938
PI 534009,0.226933055
PI 534021,-0.122312792
PI 534028,0.025907785
PI 534037,0.349793822
PI 534046,0.160454059
PI 534047,0.152444568
PI 534053,0.097826083
PI 534054,-0.031232212
PI 534063,0.517979998
PI 534070,0.068315602
PI 534075,0.387787967
PI 534079,0.195566475
PI 534092,1.024793804
PI 534096,0.038495643
PI 534097,0.068557458
PI 534099,0.100303904
PI 534101,0.053210883
PI 534104,0.171679444
PI 534105,0.096546608
PI 534108,0.139546657
PI 534112,0.025967114
PI 534114,0.041106936
PI 534116,0.162573145
PI 534117,0.485459841
PI 534123,0.000219759
PI 534124,0.096990869
PI 534127,-0.105491319
