Pedigree,LN
PI 17548,0.509060201
PI 24969,0.257696777
PI 276837,-0.426294262
PI 329440,-0.397743206
PI 34911,-0.395814796
PI 35038,-0.291324733
PI 48770,-0.806375997
PI 533750,-0.197666446
PI 533752,-0.065985035
PI 533754,-0.609859145
PI 533757,-0.237467412
PI 533758,-0.103214756
PI 533759,0.072052903
PI 533760,-0.961204926
PI 533761,-0.383256181
PI 533762,0.583878039
PI 533766,-0.762806532
PI 533769,-0.038083546
PI 533776,-0.030777201
PI 533785,-0.557031695
PI 533788,1.306898894
PI 533789,-0.518104097
PI 533792,-0.121404513
PI 533794,-0.273431234
PI 533799,0.302096726
PI 533800,-0.316016771
PI 533807,-0.079014104
PI 533810,-0.344068333
PI 533821,1.145312137
PI 533822,-0.231258405
PI 533824,0.246782414
PI 533830,-0.538351771
PI 533831,-0.111027318
PI 533833,-0.208203087
PI 533838,-0.12284539
PI 533839,-0.475544328
PI 533841,-0.566016398
PI 533843,-0.703663782
PI 533845,0.170357929
PI 533852,-0.59746862
PI 533855,-0.369637395
PI 533856,-0.368212916
PI 533863,-0.546536988
PI 533866,-0.254733657
PI 533869,0.043636337
PI 533871,-0.29899647
PI 533876,-0.429472241
PI 533877,-0.430496416
PI 533878,-0.102271518
PI 533901,-0.482715294
PI 533902,-0.602399414
PI 533903,0.093080525
PI 533910,-0.308300771
PI 533911,-0.162813439
PI 533912,-0.361604842
PI 533915,-0.0596434
PI 533919,-0.196755719
PI 533921,-0.366047867
PI 533924,-0.468797057
PI 533927,-0.400643422
PI 533936,-0.279644938
PI 533937,-0.064613911
PI 533938,-0.340350632
PI 533939,-0.785290757
PI 533940,-0.714850653
PI 533943,-0.074752604
PI 533948,-0.249909964
PI 533949,-0.302491251
PI 533954,-0.226535784
PI 533955,-0.143709626
PI 533957,0.239141037
PI 533961,-0.013744898
PI 533962,-0.571448569
PI 533964,0.353547295
PI 533965,-0.354066105
PI 533967,-0.510615387
PI 533970,0.208956627
PI 533972,-0.011350268
PI 533976,-0.419408175
PI 533979,-0.261223797
PI 533980,-0.651701205
PI 533985,0.022341932
PI 533986,0.101412872
PI 533987,0.098703672
PI 533989,-0.471631477
PI 533991,-0.232278571
PI 533996,-0.347515683
PI 533997,-0.519950515
PI 533998,-0.352037131
PI 534009,-0.776142647
PI 534021,-0.540371391
PI 534028,-0.316299987
PI 534037,-0.477074667
PI 534046,-0.49867812
PI 534047,-0.394018505
PI 534053,-0.289345036
PI 534054,-0.360553492
PI 534063,-0.282011479
PI 534070,-0.537228023
PI 534075,-0.409397377
PI 534079,0.009343961
PI 534092,-0.195056595
PI 534096,-0.807269664
PI 534097,-0.461002526
PI 534099,0.781899057
PI 534101,-0.200824937
PI 534104,0.892896462
PI 534105,-0.093193246
PI 534108,-0.383481558
PI 534112,-0.272598692
PI 534114,-0.207104985
PI 534116,-0.010450836
PI 534117,-0.12446318
PI 534123,0.018558157
PI 534124,0.698146118
PI 534127,-0.492724369
PI 534128,-0.018591127
PI 534132,-0.310996586
PI 534133,-0.190611421
PI 534135,-0.3802328
PI 534137,-0.120079729
PI 534139,-0.077598425
PI 534144,-0.354831489
PI 534145,-0.018588714
PI 534148,0.058323113
PI 534155,-0.25758669
PI 534157,0.073207817
PI 534163,-0.264759621
PI 534167,-0.214654328
PI 542718,-0.196516645
PI 548797,-0.604077369
PI 552856,-0.678444448
PI 561071,-0.568779159
PI 561072,-0.57220029
PI 561073,0.467441009
PI 561472,-0.110533732
PI 564163,-0.452298224
PI 564164,-0.099603425
PI 564165,0.171175511
PI 565121,-0.295869695
PI 566819,-0.426515448
PI 574455,-0.166502293
PI 576130,-0.406582272
PI 576332,0.031992355
PI 576333,-0.302050403
PI 576337,-0.834451367
PI 576339,-0.353831724
PI 576340,-0.35433943
PI 576345,-0.247092135
PI 576347,-0.398404994
PI 576348,-0.565483272
PI 576352,-0.432118
PI 576359,-0.578159616
PI 576364,-0.663874126
PI 576373,-0.295508314
PI 576375,-0.69294013
PI 576376,-0.226765525
PI 576380,1.169636752
PI 576381,-0.116864398
PI 576385,-0.379967353
PI 576386,-0.196706618
PI 576390,-0.470240639
PI 576393,-0.695436633
PI 576394,-0.231918733
