Pedigree,LN
PI 17548,4.094305999
PI 24969,4.863888305
PI 276837,3.292436297
PI 329440,4.843890406
PI 34911,3.977287519
PI 35038,4.216510817
PI 48770,3.031463603
PI 533750,3.756454699
PI 533752,3.435056831
PI 533754,3.519154394
PI 533757,4.08009537
PI 533758,3.881456094
PI 533759,3.679879939
PI 533760,4.182448298
PI 533761,3.465920714
PI 533762,4.820441928
PI 533766,4.082575842
PI 533769,3.64821089
PI 533776,3.650039119
PI 533785,3.919510017
PI 533788,4.004846667
PI 533789,4.067727565
PI 533792,4.09213102
PI 533794,3.229923592
PI 533799,4.232655415
PI 533800,3.712894659
PI 533807,4.069211398
PI 533810,2.99846224
PI 533814,3.036732801
PI 533821,4.729359962
PI 533822,4.321797941
PI 533824,4.547164358
PI 533830,4.167930176
PI 533831,2.904544944
PI 533833,3.977544746
PI 533838,4.607095544
PI 533839,4.088054794
PI 533841,3.576261643
PI 533843,2.745885296
PI 533845,4.353464376
PI 533852,4.015984652
PI 533855,4.483054646
PI 533856,4.1613676
PI 533863,3.657727884
PI 533866,3.28146974
PI 533869,4.00572851
PI 533871,4.639525327
PI 533876,3.095544919
PI 533877,4.157902608
PI 533878,4.08270479
PI 533901,4.378516246
PI 533902,3.328804567
PI 533903,4.120926569
PI 533910,4.350500722
PI 533911,3.954519315
PI 533912,3.962515677
PI 533915,3.34998305
PI 533919,3.295004395
PI 533921,4.952063932
PI 533924,3.933511206
PI 533927,3.483271891
PI 533936,4.333727257
PI 533937,3.964815584
PI 533938,3.201199387
PI 533939,3.147342503
PI 533940,3.3351047
PI 533943,3.552230127
PI 533948,3.551404519
PI 533949,4.08226097
PI 533954,4.237168445
PI 533955,3.735585723
PI 533957,4.425754571
PI 533961,4.664659451
PI 533962,3.557587814
PI 533964,3.278564518
PI 533965,3.791107991
PI 533967,3.69217932
PI 533970,5.430267529
PI 533972,3.504539978
PI 533976,3.33251933
PI 533979,4.53420786
PI 533980,4.417558938
PI 533985,4.347112895
PI 533986,4.737149261
PI 533987,4.617610377
PI 533989,4.237271021
PI 533991,3.268205068
PI 533996,3.091121329
PI 533997,3.896666696
PI 533998,4.51912041
PI 534009,4.432298992
PI 534021,3.081948525
PI 534028,3.767037133
PI 534037,3.500704148
PI 534046,4.403871346
PI 534047,3.57656535
PI 534053,4.387669159
PI 534054,4.419060311
PI 534063,3.128939863
PI 534070,2.746323651
PI 534075,3.550987363
PI 534079,3.546498995
PI 534092,3.987186853
PI 534096,3.556254749
PI 534097,4.014535126
PI 534099,4.513654001
PI 534101,4.28344188
PI 534104,4.382626643
PI 534105,5.301368682
PI 534108,3.36570211
PI 534112,3.538035445
PI 534114,3.9535933
PI 534115,4.757502027
PI 534116,3.358286583
PI 534117,3.714042801
PI 534123,3.843751009
PI 534124,5.106999186
PI 534127,3.663389514
PI 534128,3.842245004
PI 534132,3.098532386
PI 534133,3.726145025
PI 534135,3.497321708
PI 534137,4.135323956
PI 534139,4.156618446
PI 534144,3.442858575
PI 534145,4.411065851
PI 534148,3.765481444
PI 534155,3.680749599
PI 534157,3.532745499
PI 534163,3.963633781
PI 534167,4.150233576
PI 542718,3.655662748
PI 548797,3.072529698
PI 552856,2.938487567
PI 561071,4.106956426
PI 561072,3.567032339
PI 561073,4.454996955
PI 561472,3.706770196
PI 564163,3.581070906
PI 564164,4.45341177
PI 564165,3.660418044
PI 565121,3.126894741
PI 566819,3.69583985
PI 574455,3.200563159
PI 576130,3.420694466
PI 576332,4.054390073
PI 576333,4.24483078
PI 576337,3.15083843
PI 576339,4.090136613
PI 576340,4.013825639
PI 576345,4.570572027
PI 576347,3.387348198
PI 576348,3.042877712
PI 576352,3.688893516
PI 576359,4.781891649
PI 576364,3.985825781
PI 576373,4.383049065
PI 576375,2.550017145
PI 576376,3.93979471
PI 576380,3.153637196
PI 576381,3.737472032
PI 576385,4.46475566
PI 576386,4.77795131
PI 576390,3.17045565
PI 576393,3.710597418
PI 576394,4.817949958
PI 576396,5.410875342
PI 576399,3.922112982
PI 576422,3.630473325
PI 576425,3.937755048
PI 576426,3.568197601
PI 576428,3.431449567
PI 576434,4.890130209
PI 595699,4.19784478
PI 595702,3.032203091
PI 595714,4.051831074
PI 595718,4.007876389
PI 595720,3.737129323
PI 595739,3.610784002
PI 595740,3.653025962
PI 595741,3.906429574
PI 595743,3.991325048
PI 595744,4.383908012
PI 595745,3.282125526
PI 597945,4.113197224
PI 597946,4.062444015
PI 597950,4.134569346
PI 597951,3.902731786
PI 597952,4.59445314
PI 597957,4.102053381
PI 597958,3.086868345
PI 597960,3.231721469
PI 597961,4.350799989
PI 597964,3.522637623
PI 597965,3.95786148
PI 597966,3.554798301
PI 597968,3.271223248
PI 597971,4.220630982
PI 597972,3.983712936
PI 597973,3.811233167
PI 597976,3.883877188
PI 597980,3.64773689
PI 597982,4.069301046
PI 598070,4.63765033
PI 601816,3.422775035
PI 607931,3.730311551
PI 609456,3.208956322
PI 613536,4.077498291
PI 629034,4.085964068
PI 629040,3.943552373
PI 629059,3.612814974
PI 641824,5.20987355
PI 641836,4.174683374
PI 641849,3.944739284
PI 641874,4.047739766
PI 642791,3.586377388
PI 642998,3.885703758
PI 651496,4.078942598
PI 653617,3.833424919
PI 655970,4.057946999
PI 655971,3.90375379
PI 655972,4.381460905
PI 655973,3.455211477
PI 655974,3.692190137
PI 655975,3.453473627
PI 655976,3.231811658
PI 655977,3.545565878
PI 655979,5.140914
PI 655980,2.51300804
PI 655981,3.253375071
PI 655982,4.071293366
PI 655983,3.306617845
PI 655984,4.4786307
PI 655985,4.773649889
PI 655986,4.804794329
PI 655987,3.722362985
PI 655988,4.451711551
PI 655989,3.45460519
PI 655990,4.023861483
PI 655991,3.291411275
PI 655992,3.560538523
PI 655993,4.023472006
PI 655994,4.162112497
PI 655995,3.908885777
PI 655997,3.473367226
PI 655998,3.517751259
PI 655999,4.072511828
PI 656001,3.385244218
PI 656002,3.877666338
PI 656004,5.074029822
PI 656006,2.879393969
PI 656007,3.004055694
PI 656008,3.754901251
PI 656009,4.55627664
PI 656010,3.000509206
PI 656015,4.531779878
PI 656018,3.747200637
PI 656019,5.260274409
PI 656020,3.519266163
PI 656022,3.342597547
PI 656023,4.4461488
PI 656024,4.237302247
PI 656025,3.506749178
PI 656026,3.5703754
PI 656028,4.706687252
PI 656029,3.894701409
PI 656031,4.153921716
PI 656033,4.320555259
PI 656034,3.385186714
PI 656036,3.476920741
PI 656037,3.281443287
PI 656038,4.117780881
PI 656039,3.979131228
PI 656041,4.219792619
PI 656043,4.05306715
PI 656044,4.153953401
PI 656046,3.875771287
PI 656047,2.797480731
PI 656049,3.719691199
PI 656051,4.193549311
PI 656052,4.090271708
PI 656053,3.868170522
PI 656055,3.454689383
PI 656056,3.396382564
PI 656057,3.939036555
PI 656058,4.052894085
PI 656059,3.72972687
PI 656060,3.487969589
PI 656061,4.302025718
PI 656062,4.132410894
PI 656068,3.824574016
PI 656069,3.794900352
PI 656070,3.603244574
PI 656071,3.818181608
PI 656072,3.65373161
PI 656073,3.883350432
PI 656075,3.231973849
PI 656076,3.626663608
PI 656077,4.107584274
PI 656078,4.484291897
PI 656079,3.332587399
PI 656080,3.391951651
PI 656081,3.377623393
PI 656082,2.888980109
PI 656083,3.081032468
PI 656084,3.34987733
PI 656085,3.923580686
PI 656086,4.333823005
PI 656087,3.910896325
PI 656088,3.020395501
PI 656089,3.457090179
PI 656090,3.715600114
PI 656091,3.884287069
PI 656092,3.58595615
PI 656093,3.833516595
PI 656094,3.906325453
PI 656095,3.089398227
PI 656096,4.330785395
PI 656097,3.473716541
PI 656098,4.341187742
PI 656099,3.640340367
PI 656101,3.725409495
PI 656102,4.051673832
PI 656103,3.703260569
PI 656104,3.680236905
PI 656105,4.040542939
PI 656106,3.128581661
PI 656107,2.928892526
PI 656108,3.442715358
PI 656109,4.60448919
PI 656110,2.913611415
PI 656111,3.84820255
PI 656112,3.080978955
PI 656113,3.835009951
PI 656117,3.512179815
PI 656118,3.692780563
PI 656119,3.66012206
PI 656120,3.630429442
PI 656121,3.8973306
PI 659691,3.438360169
PI 659693,3.363149563
PI 659694,4.084062168
PI 659695,4.195455406
PI 659696,4.031835973
PI 659753,3.680884974
