Pedigree,HN
PI 17548,29.19467736
PI 24969,18.70292868
PI 276837,55.59866195
PI 329440,31.21070776
PI 34911,30.99079401
PI 35038,42.93253424
PI 48770,30.85307327
PI 533750,39.55183897
PI 533752,27.92228811
PI 533754,43.28268722
PI 533757,34.43562931
PI 533758,27.90986074
PI 533759,25.4168332
PI 533760,29.11551765
PI 533761,29.42200913
PI 533762,37.65349511
PI 533766,33.31025131
PI 533769,28.06548366
PI 533776,41.69140659
PI 533785,41.20861595
PI 533788,41.053287
PI 533789,26.53219951
PI 533792,25.45319654
PI 533794,33.66207594
PI 533799,41.2026386
PI 533800,36.9995755
PI 533807,22.83470301
PI 533810,36.34231336
PI 533814,43.99576851
PI 533821,49.83226715
PI 533822,37.46631799
PI 533824,33.0093125
PI 533830,41.75745263
PI 533831,30.31230058
PI 533833,36.11063863
PI 533838,31.565222
PI 533839,32.85591869
PI 533841,29.16168904
PI 533843,42.2832461
PI 533845,26.41154014
PI 533852,38.51170939
PI 533855,28.13132875
PI 533856,38.61413275
PI 533863,31.5052237
PI 533866,35.86995689
PI 533869,38.55847759
PI 533871,40.18544606
PI 533876,28.65998777
PI 533877,32.42560339
PI 533878,32.28249814
PI 533901,17.52562673
PI 533902,40.06298998
PI 533903,36.23296047
PI 533910,26.20157727
PI 533911,29.01528066
PI 533912,41.87036098
PI 533915,36.74073172
PI 533919,49.06386875
PI 533924,35.44609449
PI 533927,32.51988576
PI 533936,35.15159623
PI 533937,43.78364198
PI 533938,35.27574721
PI 533939,35.98083252
PI 533940,33.62457588
PI 533943,42.49566183
PI 533948,29.70379462
PI 533949,41.41747645
PI 533954,50.56876579
PI 533955,33.98824592
PI 533957,43.67369581
PI 533961,56.31644241
PI 533962,37.90480096
PI 533964,40.48432603
PI 533965,38.0335239
PI 533967,33.2835962
PI 533970,44.51327853
PI 533972,41.23795934
PI 533976,34.49584102
PI 533979,30.87909065
PI 533980,54.18911654
PI 533985,38.48954602
PI 533986,28.77771463
PI 533987,44.90769076
PI 533989,27.32228402
PI 533991,43.63559836
PI 533996,37.71681193
PI 533997,43.30329033
PI 533998,31.61931441
PI 534009,45.12195732
PI 534021,25.26897068
PI 534028,30.30591539
PI 534037,32.36276224
PI 534046,32.25107344
PI 534047,33.2799684
PI 534053,32.96904932
PI 534054,30.30672532
PI 534063,30.46664026
PI 534070,43.41779864
PI 534075,38.96816608
PI 534079,33.36346518
PI 534092,26.13629139
PI 534096,32.76024811
PI 534097,42.49174218
PI 534099,26.15833598
PI 534101,25.87447868
PI 534104,33.96351477
PI 534105,31.56251424
PI 534108,31.40973612
PI 534112,36.20067219
PI 534114,34.40406598
PI 534115,33.25788327
PI 534116,43.74260803
PI 534117,38.09417952
PI 534123,36.81027796
PI 534124,32.62269731
PI 534127,36.66143443
PI 534128,37.7462984
PI 534132,43.65251919
PI 534133,36.76542439
PI 534135,39.75380099
PI 534137,35.39752096
PI 534139,30.82854867
PI 534144,36.07455175
PI 534145,36.19681425
