Pedigree,LN
PI 17548,27.10562688
PI 24969,26.46646016
PI 276837,21.72546584
PI 329440,27.76671252
PI 34911,18.19740576
PI 35038,20.37093338
PI 48770,17.62151151
PI 533750,24.70151794
PI 533752,20.69584875
PI 533754,17.79353722
PI 533757,22.02256032
PI 533758,23.77632741
PI 533759,16.21917686
PI 533760,11.84243793
PI 533761,18.236268
PI 533762,23.57724153
PI 533766,20.76978494
PI 533769,17.77347708
PI 533776,20.64076816
PI 533785,24.69921944
PI 533788,30.10414133
PI 533789,18.62508756
PI 533792,24.08323834
PI 533794,23.8978216
PI 533799,24.93690905
PI 533800,19.23770116
PI 533807,18.65964727
PI 533810,21.09877578
PI 533814,19.7343569
PI 533821,24.69455622
PI 533822,18.87446692
PI 533824,21.45122388
PI 533830,23.00577855
PI 533831,18.2575894
PI 533833,21.20991188
PI 533838,25.51316731
PI 533839,18.59654462
PI 533841,14.47270866
PI 533843,8.059242701
PI 533845,27.1046774
PI 533852,18.60082722
PI 533855,18.71255439
PI 533856,15.96698826
PI 533863,19.36905506
PI 533866,19.49397273
PI 533869,22.27929326
PI 533871,29.29580752
PI 533876,18.71234568
PI 533877,21.0914882
PI 533878,25.42437742
PI 533901,16.3225823
PI 533902,13.68264723
PI 533903,23.16112636
PI 533910,22.10832762
PI 533911,26.02612965
PI 533912,20.25700639
PI 533915,24.19718162
PI 533919,23.27973435
PI 533921,23.21189243
PI 533924,15.02471768
PI 533927,18.05368935
PI 533936,23.39653551
PI 533937,26.79319943
PI 533938,19.85783006
PI 533939,20.76107664
PI 533940,12.31003272
PI 533943,22.16254332
PI 533948,23.4547958
PI 533949,20.56548251
PI 533954,23.22442331
PI 533955,25.36413008
PI 533957,24.03001133
PI 533961,24.1289826
PI 533962,17.47617785
PI 533964,18.3526722
PI 533965,18.78042453
PI 533967,18.75978371
PI 533970,29.58936971
PI 533972,19.22755055
PI 533976,16.87093303
PI 533979,20.22663424
PI 533980,18.30497375
PI 533985,19.79429013
PI 533986,22.83483472
PI 533987,25.62216663
PI 533989,26.00554482
PI 533991,21.46042541
PI 533996,14.57883975
PI 533997,22.51712595
PI 533998,20.29790727
PI 534009,25.57372149
PI 534021,17.26577428
PI 534028,22.16748672
PI 534037,20.36407699
PI 534046,22.04835886
PI 534047,19.84527392
PI 534053,22.66253716
PI 534054,22.03379218
PI 534063,16.86228711
PI 534070,16.69105584
PI 534075,20.40792765
PI 534079,23.11037011
PI 534092,26.11713859
