SNPid,Accession,Name,Row,Col,Rep,Yr,Trt,DTA,PH,TN,SDL,SDU,SV,IR,RL,RDL,RDU,PBN,BAR,BIL,MOB
302,PI276837,IS_12661,47,27,7,2020,N+,62,160,2,2.123,0.852,522.2674518,1.666666667,16.7,0.568666667,0.280666667,36.33333333,0.04587156,3.266666667,3
303,PI329435,Mashila,48,1,7,2020,N+,63,167,0.33,2.484,1.147,825.5504181,2.333333333,23.96666667,0.842666667,0.262333333,47.66666667,0.104895105,3.566666667,4
313,PI329440,Mashila,48,7,7,2020,N+,62,79,2,2.169,1.027,303.3976917,0.333333333,19.56666667,0.824333333,0.332333333,40.33333333,0.099173554,1.4,4
323,PI34911,FCI_4201,45,24,7,2020,N+,76,150,2.67,2.817,1.2,899.1665814,2,17.76666667,0.858666667,0.366333333,56,0.089285714,2.1,3
1,PI48770,WHITE_KAFIR,52,31,7,2020,N+,66,98,1,2.976,1.377,696.428854,2.666666667,31.16666667,0.841,0.252333333,77.66666667,0.0472103,2.066666667,3
11,PI533750,K3_Perimanjial_Irungu_Cholam,50,3,7,2020,N+,63,63,0,2.018,0.893,199.2079572,2.333333333,29.7,0.715666667,0.196,58.33333333,0.314285714,3.233333333,3
17,PI533752,54.K.94,49,10,7,2020,N+,64,80,1,2.634,1.296,466.4684519,0,27.7,1.027666667,0.298666667,61.33333333,0.086956522,2.533333333,3
28,PI533754,SAP-219,53,17,7,2020,N+,56,92,1.33,2.393,0.994,390.8855644,1.333333333,22.3,0.736666667,0.286,65.33333333,0.321428571,1.833333333,4
38,PI533755,Feterita_Gondal,50,29,7,2020,N+,65,82,0.67,2.009,0.793,236.9476084,0.666666667,21.1,0.62,0.164,60,0.1,3.333333333,4
47,PI533757,Monshal,49,16,7,2020,N+,66,79,0.67,2.324,1.025,330.5008034,0.333333333,18.16666667,0.715,0.291333333,59.33333333,0.191011236,1.7,3
55,PI533758,IS_18684,44,19,7,2020,N+,67,100,2.33,2.584,1.397,603.9203193,0.333333333,17.26666667,0.922333333,0.265666667,47.33333333,0.098591549,3.033333333,4
65,PI533759,Mugbash_56/56,44,23,7,2020,N+,55,70,1,2.222,1.007,273.0851481,1,20.76666667,0.655333333,0.225333333,63.66666667,0.062827225,2.033333333,4
75,PI533760,Zera_Zera_White,49,15,7,2020,N+,62,72,0.67,2.103,1.125,285.603457,0.333333333,12.9,0.831666667,0.399666667,46.66666667,0.071428571,1.433333333,4
85,PI533761,SAP-230,50,18,7,2020,N+,73,106,0.33,2.864,1.107,613.5614541,1,21.16666667,0.694666667,0.274666667,59.66666667,0.027932961,3.666666667,4
102,PI533766,No_4_Hadoui,53,29,7,2020,N+,59,83,2,1.954,0.777,228.0468468,1.333333333,32.23333333,0.513666667,0.15,67.66666667,0.064039409,1.533333333,4
113,PI533769,290_Feterita_Shendi_2,55,28,7,2020,N+,56,59,3.33,2.264,1.223,273.3494181,0,21.1,0.841333333,0.221666667,56,0,2.366666667,4
123,PI533776,KA_3,44,20,7,2020,N+,59,142,2.67,2.587,1.529,923.9045118,1.333333333,26.3,1.145333333,0.358666667,126.6666667,0.081578947,1.666666667,4
132,PI533785,SO_16,48,5,7,2020,N+,59,80,1,2.321,1.049,339.8440469,2.666666667,34.5,0.568,0.312333333,86,0.093023256,3.1,4
148,PI533789,Kodilib,53,28,7,2020,N+,67,78,1.67,2.833,0.945,400.803608,0.666666667,32.1,0.614333333,0.190666667,50.66666667,0.085526316,3.333333333,4
162,PI533794,No_5_Gambela,43,24,7,2020,N+,64,83,0.67,2.436,1.131,396.2068901,0,21.06666667,0.666666667,0.191333333,63.66666667,0.078534031,1.933333333,4
165,PI533799,SAP-404,52,19,7,2020,N+,65,65,0.33,2.298,1.048,272.48108,1,18.13333333,0.685666667,0.198333333,63,0.047619048,1.766666667,4
176,PI533800,IS_12666C,54,27,7,2020,N+,67,115,0.67,2.278,1.031,471.0746066,0.666666667,16.56666667,0.618,0.229333333,57,0.064327485,1.366666667,3
187,PI533807,SAP-206,44,32,7,2020,N+,NA,NA,1.5,2.978,1.217,NA,0,16.45,0.8505,0.3705,62.5,0.008,1.05,3
197,PI533810,Karad_2-7-11,46,8,7,2020,N+,71,77,0,2.961,1.376,543.4391256,1.333333333,17.56666667,1.031,0.371,110.3333333,0.099697885,1.2,3
215,PI533814,N9_Cherukupatcha_JonNA,46,17,7,2020,N+,72,66,0,2.814,1.364,434.2545546,0.333333333,13.83333333,0.827333333,0.377,133.3333333,0.07,1.1,3
224,PI533821,AS4660_Kikuma,51,31,7,2020,N+,70,72,0,2.933,1.356,496.6823485,0.666666667,8.5,0.780333333,0.339,27.33333333,0.012195122,2.666666667,3
236,PI533824,Bonkum,51,4,7,2020,N+,66,63,0,2.355,1.029,268.809563,1,17.6,0.676,0.208,65,0.051282051,2.9,3
246,PI533830,Culum_Brick,45,7,7,2020,N+,55,53,0.33,2.495,1.161,265.8482402,0,11.83333333,0.726333333,0.338,62.66666667,0.138297872,1.833333333,3
264,PI533833,Sorghum_Soroti,48,17,7,2020,N+,62,83,3.33,2.072,0.841,260.1149333,1,35.73333333,0.611666667,0.199,53.66666667,0.031055901,7.7,3
273,PI533838,BA45_Faria_Bonkum,50,23,7,2020,N+,52,82,1,2.122,0.972,294.0625827,3.666666667,14.23333333,0.578,0.229666667,28.66666667,0.046511628,4.933333333,3
290,PI533841,ZA41_Danye,53,12,7,2020,N+,64,82,0.67,1.756,0.712,184.4399137,1,29.4,0.690333333,0.208666667,74.66666667,0.044642857,1.233333333,4
291,PI533842,NAndyal,48,22,7,2020,N+,75,72,0.33,2.491,1.348,404.3919069,1.333333333,16.46666667,0.763,0.336,78.33333333,0.05106383,1.066666667,4
292,PI533845,EC_18246_,45,26,7,2020,N+,65,113,1.67,2.311,1.05,477.7536635,2.666666667,22.4,0.653,0.28,87,0.149425287,2.633333333,4
293,PI533852,Cholia_Talijhari,53,10,7,2020,N+,63,72,0,2.746,1.424,475.1880303,2.333333333,10.33333333,1.028666667,0.456,63.33333333,0.057894737,1.233333333,4
294,PI533855,ChaNAn_Singoo,53,15,7,2020,N+,63,162,0.67,1.93,0.787,441.9239786,1,11.8,0.500333333,0.364,27,0.024691358,3.933333333,4
295,PI533856,Jola_NAndyal,44,9,7,2020,N+,70,83,0,1.803,1.037,256.5154449,0,17.73333333,0.779,0.223666667,81.66666667,0.024489796,1.066666667,4
296,PI533863,740_Oua_Berr,55,4,7,2020,N+,63,130,2.33,2.261,1.023,524.4852434,0,24.33333333,0.578,0.136666667,40.66666667,0,2.433333333,4
297,PI533866,255_Tirter,55,19,7,2020,N+,67,98,2,2.555,1.15,502.9547021,2,29.9,0.763,0.268,82.33333333,0.072874494,1.633333333,4
298,PI533869,Msumbji_SB_117,45,16,7,2020,N+,63,98,3,1.799,0.9,269.9765599,1.666666667,21.9,0.626666667,0.318333333,34,0.098039216,2.9,3.666666667
299,PI533876,KA_12_Janjari,47,28,7,2020,N+,NA,270,0,2.436,1.239,1381.344913,4,13.96666667,0.787666667,0.236333333,99,0,0.933333333,3
300,PI533877,KA_15_Yazgar_Giwa,54,18,7,2020,N+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,PI533878,KA_21_Gajerar_Kaura,46,13,7,2020,N+,66,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,PI533901,NA,43,32,7,2020,N+,NA,NA,NA,NA,NA,NA,0,25.4,0.737,0.182,39,0,4.1,4
305,PI533902,Orange_No_l_Baijo,49,5,7,2020,N+,69,63,0.67,3.026,1.288,435.5166423,1,30.24333333,0.772,0.364666667,51.66666667,0.219354839,4.766666667,3
306,PI533903,No_35_Mab,47,20,7,2020,N+,66,80,1.67,2.653,1.295,470.358707,1,28.43333333,0.777666667,0.241666667,60.66666667,0.126373626,2.966666667,4
307,PI533910,Klor,47,2,7,2020,N+,59,80,0,2.097,0.728,231.0925603,0.666666667,22.76666667,0.537333333,0.197,42,0.166666667,2.633333333,3
308,PI533911,Kokla,46,15,7,2020,N+,62,68,1.67,3.229,1.364,532.3681507,1,25.63333333,1.091666667,0.381333333,62.66666667,0.015957447,3.9,3
309,PI533912,Mendo,44,3,7,2020,N+,48,100,2,1.629,0.836,230.3811833,2.333333333,17.63333333,0.703666667,0.245666667,39,0.264957265,2.133333333,3
310,PI533913,Nyan_Dok,49,14,7,2020,N+,60,90,0,2.274,1.004,360.7681535,1,12.83333333,0.601,0.310333333,38.33333333,0.043478261,4.066666667,3
311,PI533915,No_755_Muzeba,52,24,7,2020,N+,62,124,2.67,2.205,1.078,504.2194827,0,23.13333333,0.721,0.219,38.33333333,0.017391304,2.133333333,3
312,PI533919,R14,43,5,7,2020,N+,64,88,0.67,2.637,1.319,520.8127311,1.333333333,32.03333333,0.809333333,0.364333333,86,0.085271318,2.933333333,3
314,PI533921,R138,43,9,7,2020,N+,60,142,1.67,1.82,1.139,479.625123,0.333333333,8.933333333,0.739,0.369666667,75.66666667,0.145374449,0.8,3
315,PI533924,R3121,45,29,7,2020,N+,66,68,3,2.928,1.342,464.4929388,2,21.43333333,0.800666667,0.283,51.66666667,0.2,2.466666667,3
316,PI533927,JATS_67,51,26,7,2020,N+,65,193,1.33,2.135,0.992,708.0877606,3,25.26666667,0.814333333,0.384,54.66666667,0.054878049,2.8,3
317,PI533936,1903_AS_4633,53,32,7,2020,N+,NA,NA,0,2.679,0.642,NA,2.333333333,13.46666667,0.537333333,0.315333333,52.66666667,0,3.8,4
318,PI533937,AS_4136_Masaka_Luwemba,46,7,7,2020,N+,59,80,0,2.206,1.031,314.723516,0.333333333,21.26666667,0.625666667,0.251333333,49.66666667,0.020134228,2.4,4
319,PI533938,AS_5826_Holcus,46,25,7,2020,N+,55,190,1.67,2.167,1.069,751.3383187,0.333333333,22.26666667,0.754,0.241,67.33333333,0.014851485,1.7,4
320,PI533939,AS_4055_N_Kambwa,43,16,7,2020,N+,60,172,1,1.686,1.155,538.8202762,0,20.63333333,0.780666667,0.132,49,0.129251701,1.4,4
321,PI533940,AS_4601_Pawaga,48,21,7,2020,N+,63,128,1,2.094,0.774,384.2607131,3.666666667,15.43333333,0.548333333,0.258,44.66666667,0.02238806,0.833333333,3
322,PI533943,AS_2613_NT,44,14,7,2020,N+,64,75,0,3.749,1.838,883.4922921,1.5,22.95,1.5075,0.3815,158,0.088607595,1.45,3
324,PI533948,Nebraska_6350,54,13,7,2020,N+,60,76,0.67,2.009,1.092,278.6312901,0,20.56666667,0.542666667,0.298,53.33333333,0,2.633333333,3
325,PI533949,Maja_Abiad_Q2/2/68,43,21,7,2020,N+,52,75,0.33,2.349,1.011,314.9304867,2.333333333,18.1,0.693,0.326,52.33333333,0,2.4,4
326,PI533954,P_3742,47,17,7,2020,N+,NA,100,0,1.876,1.013,318.0102555,3.333333333,14.66666667,0.829666667,0.456,61.66666667,0.048648649,1.133333333,3
327,PI533955,P_3749_Q2/5/62,44,10,7,2020,N+,59,72,0,2.527,1.071,346.0484033,0,24.33333333,0.688,0.376666667,52.66666667,0,2.266666667,4
328,PI533956,Sweet_S_Jones,53,27,7,2020,N+,63,95,3.67,2.25,1.026,381.7484632,0,16.6,0.561333333,0.274,42,0.214285714,3.333333333,3
329,PI533957,MN_707_,50,25,7,2020,N+,57,72,0.67,2.15,0.813,231.3833692,1.666666667,6.433333333,0.461,0.276,30.33333333,0.208791209,5.833333333,3
330,PI533961,Wit_Lichtenburg_DL/59/1530,44,12,7,2020,N+,63,80,0.67,2.235,1.22,364.2242091,0,8.833333333,0.992666667,0.707666667,57,0.070175439,2.166666667,3
331,PI533962,Malwal_Aweil,48,30,7,2020,N+,69,110,3.33,2.333,1.006,456.2432563,0.333333333,15.43333333,0.669333333,0.188333333,57.33333333,0.069767442,1.066666667,4
332,PI533964,Safara_Kordafan,50,22,7,2020,N+,71,72,1,2.209,0.929,262.9770533,2,14.96666667,0.685333333,0.263333333,57.33333333,0.25,1.333333333,4
333,PI533965,SAP-148,47,19,7,2020,N+,69,83,1.33,2.62,1.008,400.7827217,0,15.4,0.645666667,0.276,51.66666667,0.103225806,1.4,4
334,PI533967,SB-283,54,16,7,2020,N+,67,73,2.33,2.506,0.946,318.3503821,0,15.9,0.566,0.301666667,54.33333333,0.233128834,1.466666667,3
335,PI533970,2033Z-3,45,27,7,2020,N+,63,82,1.67,2.404,1.135,386.0209145,0.333333333,9.066666667,0.79,0.549666667,45,0,1.733333333,3
336,PI533972,Dobbs,52,3,7,2020,N+,68,108,0.67,2.204,0.982,409.3912049,1,14.03333333,0.826,0.266,51.66666667,0.141935484,2.233333333,3
337,PI533976,Framiola_DL/59/1539,55,6,7,2020,N+,63,75,0.67,2.421,1.219,376.0486009,0.333333333,23.7,0.769333333,0.235,53.66666667,0.068322981,1.866666667,4
338,PI533979,Bulfontein_White_Kafir_Corn_DL/60/133,52,5,7,2020,N+,56,75,0.33,1.922,0.985,240.2727169,1,17.03333333,0.605333333,0.304333333,51,0.058823529,2.033333333,4
339,PI533980,SAP-275,51,30,7,2020,N+,71,72,0,2.964,1.224,467.37881,1.333333333,24.26666667,0.846666667,0.218,75.66666667,0.061674009,2.066666667,4
340,PI533985,Barking_119,47,15,7,2020,N+,64,95,1.33,2.197,1.062,380.2147468,0,21.33333333,0.696333333,0.258666667,50.33333333,0,1.566666667,4
341,PI533986,Huria_White_621,43,14,7,2020,N+,60,117,0.33,2.134,1.135,475.7086762,0,26.16666667,0.836333333,0.154333333,66,0.070707071,2.933333333,3
342,PI533987,Kireniga_317,48,23,7,2020,N+,56,82,3,1.994,1.004,278.9054621,0,21.13333333,0.646333333,0.146,54.66666667,0.079268293,1.166666667,3
343,PI533989,Nyithin,49,17,7,2020,N+,68,89,2.67,2.637,1.015,435.4847054,0.333333333,22.33333333,0.676666667,0.201,56.33333333,0.076923077,1.266666667,3
2,PI533991,Sinidyil_177,52,14,7,2020,N+,63,112,0.33,1.924,1.022,369.7906044,0,20.36666667,0.754666667,0.139,72.33333333,0.059907834,2.2,4
3,PI533996,Hamaisi_38,53,14,7,2020,N+,59,79,0.67,2.524,1.146,398.2122444,0,18.93333333,0.857,0.28,60,0.205555556,1.666666667,3
4,PI533997,MN_1592,43,25,7,2020,N+,56,122,1,1.869,1.095,411.3301739,1,7.4,0.82,0.364333333,59,0.096045198,2.6,3
5,PI533998,Brawley,45,23,7,2020,N+,58,112,3,2.096,0.857,361.0287737,0.333333333,10.56666667,0.603333333,0.453666667,25.33333333,0,4.433333333,3
6,PI534009,Yerra_JonNA_Goda,51,23,7,2020,N+,80,82,0,2.538,0.881,346.9481706,4,23.66666667,0.735333333,0.162666667,107.3333333,0.127329193,1.966666667,3
7,PI534021,Jola_NAndyal,45,3,7,2020,N+,76,80,1.67,2.327,1.057,342.8678507,4,20.8,0.735666667,0.165,84,0.05952381,1.233333333,3
8,PI534037,6428_Sian,54,20,7,2020,N+,62,121,3.67,1.746,0.974,342.1070219,3,13.6,0.601,0.156666667,43.66666667,0.312977099,2.166666667,3
9,PI534046,420_Kalatilansa,45,22,7,2020,N+,58,60,4.33,2.42,1.05,268.9658839,2.333333333,29.26666667,0.797,0.247,50,0.066666667,4.7,4
10,PI534047,450_Bori_Light_Brown,55,21,7,2020,N+,51,81,1,1.994,0.951,264.3426777,1,29.7,0.744333333,0.234333333,45.66666667,0.116788321,2,4
12,PI534053,T_28,44,6,7,2020,N+,66,88,0.67,1.893,0.873,252.4065993,0.666666667,18.3,0.535,0.151666667,55.66666667,0.077844311,1.233333333,3
13,PI534054,194_Kano,49,2,7,2020,N+,69,58,1,2.695,1.189,326.3752506,1,19.43333333,0.742333333,0.272,103.6666667,0.057877814,1.266666667,3
14,PI534063,BO_36,50,10,7,2020,N+,60,139,2,1.699,0.897,356.1581328,2,33.8,0.601666667,0.130333333,58.66666667,0.056818182,1.866666667,4
15,PI534070,BE_25,52,8,7,2020,N+,56,78,1.67,2.244,1.044,316.4422729,1,35.8,0.627333333,0.179666667,44.33333333,0.180451128,4.566666667,3
16,PI534096,NA,50,32,7,2020,N+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,PI534097,HC_6028,48,6,7,2020,N+,60,78,0,2.365,0.735,267.2319604,1.666666667,11.96666667,0.482666667,0.307333333,52,0.012820513,4.1,3
19,PI534099,A_84,54,9,7,2020,N+,63,76,1.67,2.34,1.251,373.0633512,0.666666667,16.83333333,0.733,0.334666667,66.33333333,0,1.733333333,4
20,PI534101,A-106,44,7,7,2020,N+,61,81,0,1.775,1.07,252.1899166,0.333333333,22.96666667,0.748666667,0.191333333,55.33333333,0.012048193,1.533333333,3
21,PI534104,EC_21360_G29,55,22,7,2020,N+,62,77,1,2.209,1.104,319.5824281,0.666666667,21,0.885333333,0.360666667,76.66666667,0.030434783,1.533333333,3
22,PI534105,EC_21361_G30,50,6,7,2020,N+,64,83,2,2.324,1.099,365.5980597,1,19.23333333,0.703666667,0.278666667,68.33333333,0.043902439,2,3
23,PI534108,EC_21428_SB_63,46,12,7,2020,N+,63,103,2.33,2.328,1.235,497.3791179,0,12.63333333,0.756666667,0.372666667,52,0.051282051,2.433333333,4
24,PI534112,EC_21463_STR_5/1,49,3,7,2020,N+,67,96,0,2.022,0.906,307.5505604,1.333333333,14.8,0.807666667,0.338666667,55.33333333,0.162650602,2.3,3
25,PI534114,Accho_Karuho,50,4,7,2020,N+,68,80,0.33,2.353,0.843,297.018191,3,19.66666667,0.642,0.226666667,50.33333333,0.026490066,4.033333333,4
26,PI534115,Akwu,47,29,7,2020,N+,63,97,0.33,2.296,1.409,512.8974216,0,14.4,0.865666667,0.260666667,67,0,1.366666667,3
27,PI534116,Mashica,55,10,7,2020,N+,62,102,2.67,2.147,0.773,316.3210797,3,25.4,0.43,0.201333333,59.66666667,0,4.133333333,3
29,PI534117,Mashica,46,27,7,2020,N+,56,80,1.67,2.717,1.411,517.4780729,1,14.16666667,0.830666667,0.244,53,0.081761006,2.5,3
30,PI534123,No_25_Gobo_Kaichama,49,12,7,2020,N+,57,120,0.33,1.778,0.653,258.6105348,2.666666667,17.43333333,0.390666667,0.191,47.66666667,0.195804196,3.9,3
31,PI534124,No_28_,49,30,7,2020,N+,68,120,1.67,2.14,0.954,429.01451,1.666666667,24.66666667,0.626,0.333333333,51.33333333,0.298701299,2.566666667,4
32,PI534127,No_37_,50,14,7,2020,N+,64,170,0.33,1.482,0.761,324.2990197,1.666666667,18.13333333,0.425,0.148,42.33333333,0.031496063,3,3
33,PI534128,No_65_,50,12,7,2020,N+,64,122,0.67,2.329,0.978,494.7998753,0,12.96666667,0.733,0.391,56.33333333,0.076923077,1.733333333,3
34,PI534132,No_59_,55,8,7,2020,N+,63,75,0,2.139,1.446,373.8144377,0.666666667,17.5,0.911,0.424,47.33333333,0.133802817,2.9,4
35,PI534133,No_69,48,15,7,2020,N+,69,82,0.67,3.05,1.296,575.1868449,0.666666667,14.93333333,0.847666667,0.495333333,94,0.092198582,2.066666667,3
36,PI534135,No_64,50,5,7,2020,N+,76,60,0,2.427,1.009,262.3823938,3.666666667,15.93333333,0.675,0.26,63.33333333,0.115789474,2.6,3
37,PI534137,Budy,43,11,7,2020,N+,63,111,2,2.053,0.88,354.9869735,0,16.4,0.655333333,0.310666667,38.33333333,0.156521739,2.966666667,4
39,PI534138,Matchikah,49,4,7,2020,N+,70,77,7,2.35,1.071,337.3925095,1,22.4,0.652,0.219,69,0.144927536,1.2,3
40,PI534139,Tuery_11,49,9,7,2020,N+,56,176,2,1.541,0.595,294.7197012,0.333333333,23.23333333,0.356333333,0.121333333,34.66666667,0.019230769,4.6,3
41,PI534144,Kabutuwa,44,25,7,2020,N+,67,190,0.33,1.654,0.935,487.2665675,0,7.066666667,0.586333333,0.234333333,48,0,0.766666667,3
42,PI534145,No_902_Sorghum_arundi,54,21,7,2020,N+,56,75,2.67,1.716,0.752,170.2721225,1.666666667,37.56666667,0.463333333,0.138333333,36,0.175925926,1.7,3
43,PI534148,R1_21,54,12,7,2020,N+,64,113,1,2.65,1.367,691.6993651,2.666666667,26.7,0.826666667,0.339333333,61.33333333,0.059782609,2.466666667,3
44,PI534155,R3_80,47,6,7,2020,N+,69,80,0,2.429,1.191,395.6370568,1.666666667,22.9,0.888333333,0.322,52,0.237179487,1.333333333,3
45,PI534157,R4_B1,48,4,7,2020,N+,67,80,1,2.491,1.083,380.5302687,1.333333333,16.9,0.745,0.376666667,49.33333333,0,3.5,4
46,PI534163,Rexx,43,26,7,2020,N+,64,73,0,2.385,0.855,278.5661591,2.666666667,17.6,0.587333333,0.372333333,52.66666667,0.101265823,2.366666667,3
48,PI542406,R_LINE_AR2002,47,30,7,2020,N+,84,153,6,1.597,0.682,295.2936862,4,22.43333333,0.419,0.089333333,61,0.054644809,2.166666667,3
49,PI542718,SAN_CHI_SAN,43,31,7,2020,N+,65,70,5,2.863,1.376,473.6911174,1,28.8,0.984,0.212,69,0.072463768,2.3,4
50,PI548797,Tx2891,51,18,7,2020,N+,69,106,0.67,3.212,1.343,815.1905249,1,26.86666667,1.092333333,0.294333333,57,0.035087719,1.266666667,3
51,PI552861,A/BTx631,47,5,7,2020,N+,62,90,0.33,2.171,1.39,440.98774,0.666666667,26.3,0.808,0.310666667,51.66666667,0.070967742,2.9,4
52,PI561072,A/BTxARG-1,46,14,7,2020,N+,68,91,0.33,3.028,1.317,639.7813395,1,23.76666667,1.050666667,0.341333333,57.33333333,0.052325581,2.333333333,3
53,PI561073,A/BTx635,44,4,7,2020,N+,71,120,3,3.047,1.281,833.7157946,1.666666667,20.36666667,0.872666667,0.283333333,31.66666667,0.126315789,3.5,4
54,PI561472,SURENO,52,6,7,2020,N+,71,158,0,2.263,1.204,722.6092692,0,19.6,0.762666667,0.227,62,0.037634409,1.933333333,4
56,PI564163,BTx623,48,29,7,2020,N+,63,100,1,2.431,1.234,508.7268157,0,29.16666667,0.795666667,0.272666667,59,0.016949153,2.5,4
,PI564163,BTx623,53,31,7,2020,N+,62,98,0,2.167,1.094,394.4794914,1,25.23333333,0.739333333,0.292,53.66666667,0.031055901,2.066666667,4
,PI564163,BTx623,55,29,7,2020,N+,59,103,1,2.301,1.101,448.7141542,1,29.56666667,0.709,0.191333333,56.33333333,0.053254438,1.9,3
,PI564163,BTx623,45,30,7,2020,N+,63,128,0,1.793,0.776,314.4104919,0,25.03333333,0.544333333,0.198,51,0.065359477,1.366666667,4
