genotype,2020:LN:daysToFlower,2020:LN:medianLeafAngle,2020:LN:leafAngleStandardDeviation,2020:LN:paniclesPerPlot,2020:LN:panicleGrainWeight,2020:LN:estimatedPlotYield,2020:LN:flagLeafLength,2020:LN:flagLeafWidth,2020:LN:extantLeafNumber,2020:LN:plantHeight,2020:LN:thirdLeafLength,2020:LN:thirdLeafWidth,2020:LN:tillersPerPlant,2020:LN:stemDiameterLower,2020:LN:stemDiameterUpper,2020:LN:rachisLength,2020:LN:rachisDiameterLower,2020:LN:rachisDiameterUpper,2020:LN:primaryBranchNumber,2020:LN:branchInternodeLength,2020:HN:daysToFlower,2020:HN:medianLeafAngle,2020:HN:leafAngleStandardDeviation,2020:HN:paniclesPerPlot,2020:HN:panicleGrainWeight,2020:HN:estimatedPlotYield,2020:HN:flagLeafLength,2020:HN:flagLeafWidth,2020:HN:extantLeafNumber,2020:HN:plantHeight,2020:HN:thirdLeafLength,2020:HN:thirdLeafWidth,2020:HN:tillersPerPlant,2020:HN:stemDiameterLower,2020:HN:stemDiameterUpper,2020:HN:rachisLength,2020:HN:rachisDiameterLower,2020:HN:rachisDiameterUpper,2020:HN:primaryBranchNumber,2020:HN:branchInternodeLength,2020:HN:percentMoisture,2020:HN:percentProtein,2020:HN:percentOil,2020:HN:percentAsh,2020:HN:percentStarch,2021:LN:plantHeight,2021:LN:daysToFlower,2021:LN:tillersPerPlant,2021:LN:stemDiameterLower,2021:LN:stemDiameterUpper,2021:HN:plantHeight,2021:HN:daysToFlower,2021:HN:tillersPerPlant,2021:HN:stemDiameterLower,2021:HN:stemDiameterUpper,2021:HN:paniclesPerPlant,2021:HN:extantLeafNumber,2021:HN:thirdLeafLength,2021:HN:thirdLeafWidth,2021:HN:seedMassPerPlant,2021:HN:percentProtein,2021:HN:percentOil,2021:HN:percentAsh,2021:HN:percentStarch,2021:HN:percentMoisture,2020:daysToFlower:NR,2020:medianLeafAngle:NR,2020:leafAngleStandardDeviation:NR,2020:paniclesPerPlot:NR,2020:panicleGrainWeight:NR,2020:estimatedPlotYield:NR,2020:flagLeafLength:NR,2020:flagLeafWidth:NR,2020:extantLeafNumber:NR,2020:plantHeight:NR,2020:thirdLeafLength:NR,2020:thirdLeafWidth:NR,2020:tillersPerPlant:NR,2020:stemDiameterLower:NR,2020:stemDiameterUpper:NR,2020:rachisLength:NR,2020:rachisDiameterLower:NR,2020:rachisDiameterUpper:NR,2020:primaryBranchNumber:NR,2020:branchInternodeLength:NR,2021:plantHeight:NR,2021:daysToFlower:NR,2021:tillersPerPlant:NR,2021:stemDiameterLower:NR,2021:stemDiameterUpper:NR,LN:daysToFlower,LN:plantHeight,LN:tillersPerPlant,LN:stemDiameterUpper,LN:stemDiameterLower,HN:daysToFlower,HN:extantLeafNumber,HN:plantHeight,HN:thirdLeafLength,HN:thirdLeafWidth,HN:tillersPerPlant,HN:stemDiameterLower,HN:stemDiameterUpper,HN:percentMoisture,HN:percentProtein,HN:percentOil,HN:percentAsh,HN:percentStarch,daysToFlower:NR,plantHeight:NR,tillersPerPlant:NR,stemDiameterUpper:NR,stemDiameterLower:NR,daysToFlower,plantHeight,tillersPerPlant,stemDiameterUpper,stemDiameterLower
PI 17548,6.89487738353102,NA,-2.80367489176022,NA,4.99294484005996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77114859224597,-0.394142351225933,4.70322579054928,-0.397133699749188,NA,8.47667377431029,-1.88979147698657,3.21586710215968,0.108613452511838,-1.50266987530024,0.249703069173502,5.26863507751816,0.474095288752533,-10.9329757964079,-2.71092818713426,1.59024438269353,-0.0433603078964636,-8.80007654145115,0.885178243166072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00422438275230551,-0.593216272358667,-0.106708642324896,-0.049468709824136,6.09674011917,NA,-0.822496606457317,-0.391604764824434,2.35726483453898,8.37065054045775,0.186052352383321,NA,4.45573596827358,0.503740402424222,-1.86343964812381,3.38329310861656,0.221803425251156,0.919258268036755,-2.49664503399489,1.63340397581385,-0.0217068406684776,-8.79879259890389,-0.123953341988319,NA,0.278325737314586,-0.00970791873894684,0.0901295291092766,6.7249510014693,NA,-1.35050424909136,-0.180951948183381,2.68229513841974
PI 276837,8.25357072159467,1.46794756741759,1.80368328171344,NA,26.5263129195614,NA,NA,NA,NA,NA,NA,NA,0.809040651425658,1.95495462240892,0.519240578326944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24310962751678,3.6804467761369,0.179650348856108,NA,29.9297563497932,-1.66408908994694,5.03384555801419,3.14154812640446,-1.07364233916397,3.18795289908039,15.034626024798,3.95464300382073,-8.332290420882,-1.35989986846817,3.34593238541554,-0.0155473949346108,0.781783031990034,0.836090919671483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44613145181096,0.051395882831231,0.280179402614106,17.2257187971596,24.0925567326516,-0.953269867177868,0.0368297608171782,1.64596971215322,19.5538649888213,-0.445584893010384,79.0083795101902,8.44416873468702,2.11481800918514,-1.71654220609612,4.14646191185185,2.08109562653844,0.778429412161868,-2.23765256800493,2.83747825172116,0.0145012315841205,1.41220050539642,-0.107468320560286,NA,0.464602829326753,0.154437987418125,0.149267189657689,18.3753323520542,61.5848656045267,-1.33880984799473,0.820722317838661,2.78354109542941
PI 329435,20.1166513915815,-8.4546895112775,-3.72168147584801,-10.4940302883272,2.51420760492719,-514.938660632761,NA,2.82714156629307,3.01721881291178,-84.5948037353473,17.9030181100019,4.21225474995053,0.349825714188472,13.1565062290838,3.17269426864389,2.94261529428535,1.8567034358775,1.00641341578394,33.6537411926512,0.645723556392187,5.74609850994641,-8.06907456808343,4.06684064030951,-8.83593176354524,18.3158287452308,46.905874679265,25.9388323021568,4.15973878297016,3.45182171493976,-34.97671458085,21.9010476807409,3.18042514240538,-0.601434376661987,4.9004358851114,4.0665541225596,7.92694811372214,1.82058295046475,0.555318324029363,12.2594817295217,0.0252200425844412,0.046744670518358,0.886358388338068,-0.104955185971274,0.16067314482958,-0.778535697870142,-61.341343283102,5.20450448412438,NA,6.46438067268038,2.67135593344225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.125052320944152,0.19356649921973,1.10071608902575,NA,1.27256749877992,NA,NA,0.165934106631681,-0.010717338190477,NA,0.0182991234245269,-0.152517095380166,-0.272848968639528,-0.118289701764964,0.184617292456567,0.209017751362858,0.0732728000806821,0.114893230627454,NA,0.404454366971547,NA,NA,NA,NA,NA,13.5665633586973,-60.6167381746535,-0.740035396009246,2.5952529330279,8.87272132515478,14.5954189046357,2.12287008498002,-7.17067650045642,25.1385252802963,3.32406563292519,-2.51965825330682,7.82440048638488,4.91586829494277,0.920778560803187,-2.53710691040036,2.2570892128155,0.151114603573704,2.10431930699647,-0.127784098552919,NA,-0.122688432919639,0.143928220619531,0.0100663559612788,13.7891272274412,-40.8048341405096,-1.44639048979061,3.39363591159949,8.52012264742729
PI 329440,10.5158493645122,5.64744181106697,0.492338587957969,-3.11643620905292,20.6003565209764,156.649158183672,15.3813330180105,1.11764844331188,4.30464682343996,-84.9813327971725,6.63367621641937,1.83881968803709,0.832437792173384,5.6260142404265,1.68669923260084,4.04800288757983,2.63156432139209,1.04771487006109,2.07002555531808,-0.412063285588544,2.43175086100502,-9.64407545442284,4.89497712505914,-1.88782966706453,21.4029295639064,333.284159803665,11.9725875144266,2.38118107453249,1.52945139917727,-83.5293222429555,12.7955085345087,0.0270289386868047,1.35222791623149,3.47367186440512,2.51493964845521,3.15506453567868,2.88881557961014,0.96530569863441,4.69819136984967,-1.18584216439693,-0.435597520175063,2.47341696335687,-0.0459682152685706,0.246586588985308,-0.0470520441226907,-69.2947610636061,5.60827618759633,-1.15012189477031,3.82570630860284,1.66303010103654,-80.219806669586,11.5195397853949,-1.80834461340285,3.09737367738295,1.38321514265317,-1.54778755153902,-3.40797779107653,8.81136568335234,1.23309076102693,-23.3020013573895,1.68860829735682,1.42513036847572,0.576579251408734,-1.72225792235674,1.02817593592889,-0.0474641312351088,-0.178325345043698,0.0498663348027393,0.968761733038103,0.211382618170893,0.183390943469905,0.0287625406938602,0.216054876698992,-0.233485979455969,-0.0478381070121784,0.0549109216477977,-0.297857563268501,1.55569550640129,0.131352619761285,0.207358556678564,-0.0765519406774584,0.102384168853387,0.24180183049955,-0.00177118927092947,0.648528275736875,-0.154079661805421,0.0716280348681999,0.791634286591912,-0.0685175009024126,-0.125254831569721,7.83051043412754,-66.1360746744495,-0.878618894187391,1.31845983807956,3.86329995414874,11.8797055951985,-0.704009545258732,-68.076459427445,12.5185452039302,0.771328924010368,-1.12695075592854,4.61049495233451,2.34567822171027,0.680077514319712,0.321737588165928,1.9323743496756,0.412090797636377,0.646321891264986,-0.0982983635839694,-0.26263373654124,0.737371241788601,0.033230357831607,0.0754461822131343,9.56126239103925,-65.239575771564,-1.04539649941568,1.69383341564934,4.10858815154234
PI 34911,21.1358073649775,NA,NA,-6.71702453026623,NA,NA,NA,NA,5.9815484731855,-11.4559081939771,10.4355460109402,1.9638922648662,1.88165962393253,NA,4.49129520055088,-0.711717694610777,3.65100455589325,1.20174687148134,21.8232313728379,0.381913427987636,10.7974966984547,-2.22056877378874,-1.95150584892298,-13.7586788667354,NA,NA,22.0010444245204,3.61676469183948,3.42258680200997,-31.7919327755663,5.52556297029579,1.01399696428225,0.908631571789318,6.32918752379255,4.66821083539742,3.27730402914419,3.94061097276085,-0.380302001077117,21.3994469803079,-0.340835783319089,NA,NA,NA,NA,NA,18.6150454199217,15.3162549042872,NA,5.89839798056376,1.57862853116437,16.2537430312587,17.0140615297823,-0.655060394762427,6.4905716952173,3.53830715288393,-0.463341787382524,2.88926790014502,13.879495650422,2.22165414289476,16.0890651048619,-2.95339286936074,2.5618646555924,-0.236416766903114,-0.891777472036351,0.712742962927378,-0.070441183216179,NA,NA,0.25672122006243,NA,NA,NA,NA,-0.195556565897936,-0.170879431382234,-0.109683297150018,-0.185212494026904,-0.0671130853368248,NA,0.104469797756279,0.1950978677782,0.0945103542400392,-0.266802307536348,-0.04976999437394,0.406775273363308,-0.00998160095972809,0.00361731595367932,NA,0.00650192585414138,0.12416686846939,17.7621570256789,14.1558918418545,0.392158082687502,2.82735720365935,6.28902715248208,18.6858928792068,1.95835404786353,3.41732945889095,10.6745101067328,1.74304616594692,-0.749751126931637,8.43572222449166,4.76909842879401,0.712454303735458,-3.00521068127264,2.55787139340199,-0.243019286024805,-0.791791218675444,-0.122858652916106,-0.188564726086285,0.133498982427892,0.108179867102323,0.115123087589133,18.3254763671895,9.98151640061417,-0.203639341164407,3.59217242438312,7.62504654115963
PI 48770,13.1222039757442,-0.435418869963568,0.784913899673644,-3.77390311149613,23.5354902044066,-102.639800812654,8.98787603637276,1.6625773644134,5.02979197796228,-61.2433508907151,12.9454497784416,1.72053723454834,1.3101809936428,10.1014562346805,3.65385450468695,12.1908314940015,2.08200327462837,0.0826436758487571,34.5701188124056,0.0836662405279687,6.13011725357885,-8.7132019288326,1.76202906138335,-5.92655995381602,2.06540338661113,-156.398828249736,7.98507152144991,1.60431183841446,4.32179588835036,-52.8381770512708,14.0766763346641,0.514491780581044,-0.568838610693421,6.84280595178186,2.76270156738751,12.8707427622099,1.2177705536255,-0.58334931058849,39.5304488351023,-0.924594851303756,-0.667131766271531,0.901962226340719,0.0793577990751646,0.104229513424363,-3.84344577424431,-8.51044303129461,17.5077190118768,-1.28201877230237,11.6056128131581,4.03988358755087,9.8322095997627,15.4567721520412,-1.02374881349371,10.3487207073185,4.30371161473482,-0.545819968707748,3.10447870765304,12.9438528350707,4.12940631226606,37.3829443786992,-0.791508186491981,2.08879043477155,0.089318755032612,-1.4789490560068,0.89302031473407,-0.0296267253489462,-0.0417508906362276,-0.384019784398337,0.684646778032009,-0.379282009041013,-0.25057090769392,0.105877461599764,-0.082197463664485,-0.0850962654794426,0.0341104867401731,-0.0207755528911198,-0.224136221336885,-0.764433166260715,0.0645402395780148,0.0164876185784675,-0.00218710733477244,-0.038188627750521,0.057729788895254,0.0298381924149425,0.305459426417655,0.151796639168086,-0.0468970084056283,7.64445875257189,-0.0683389359287281,-0.0514362798896325,15.0062507861755,-18.7127311986762,-0.767595883826108,3.68137707497843,9.92473661741181,15.2596253401362,2.4577490254323,-11.9174063619358,14.1235293402975,2.44461143461632,-1.69050935810549,10.0125349708702,3.92521413029587,0.626051671976429,-1.20264944225707,2.23856470641994,0.0975037634433651,-1.2274752277117,-0.134763507632423,-0.103361531291038,0.333221934095872,-0.036351525433197,0.0428848619814088,15.0309241786186,-13.56815650812,-1.24350726666674,3.62423085581703,9.88127199579339
PI 533750,8.28320755109079,-6.26048357216261,-2.46547418373524,-0.0825457411808781,6.49100588020262,-293.115559563018,21.866433608527,1.74113338248378,-0.312022488605347,-88.0768169880117,5.10461313334954,1.32758837454885,0.0414274505992357,9.4513085496379,4.37300291849445,9.82115492529336,2.90429188303316,1.31405074904335,14.0843578708485,0.969009354254681,2.19508306075852,-5.58399172556562,3.02181352345353,-3.24960427016606,-4.4864090710444,-191.442571753689,16.2870798927915,2.033774208756,1.38987199013461,-94.4247776225102,7.69439480456083,0.254556544188963,-0.115301850995405,3.72725888113454,2.63460223544452,14.209929525573,1.80753246509601,-0.806197299654667,24.2209740404274,0.570752292427358,-0.313199441567303,5.10757413339858,-0.0387511658752953,0.285452284057724,-3.76958022658924,-68.3664627213965,4.76087800038357,-1.18197605761076,8.09147775954037,3.46476641536977,-68.5135727345945,11.1687720928147,-2.361099345041,11.2944369811489,5.18581717758682,-1.4130881950426,0.933232056578665,2.18202202431222,2.70602390842424,11.9792799477951,-1.90069388926382,2.26789562670355,0.139162899478936,0.827224024463056,0.373098062325727,-0.0176141114091974,0.190005503217004,0.313245232467301,0.419364450001173,-0.19377685701398,0.215968379778388,-0.0219693314356715,-0.00934220749217439,0.115860654793257,-0.158424910957154,-0.000276190013137321,-0.218018535007385,8.03615360575036,-0.0335470353275859,-0.0559228370176793,0.134162666059984,-0.062132085053147,-0.42896701717409,0.134844613461961,0.440964436661445,0.0102745847846303,0.0806723687203517,-1.19891332567127,0.126221934608493,0.0804779032208042,6.50578142160167,-67.1814287022819,-1.41159468722375,3.68128843408698,7.82123895343923,10.7169125463811,0.393414766211054,-66.9296757459745,6.38998935129467,1.191072653803,-2.1919733636155,8.98454977013188,4.35499089221782,0.463635246562824,-0.00825788210268259,2.28075224675525,0.218115012553439,0.00637921241160014,-0.0978824022350316,-0.239961327829297,0.624114331540865,-0.0016482330521931,0.0790962873003908,8.47531380615118,-65.9991503148277,-1.84029865030895,3.79626810651122,8.31109047652278
PI 533752,11.1599186025065,1.91522811501869,-1.81593004738688,-2.19532921868559,37.4185779550884,83.5514546856791,14.7904962937592,3.7160984719396,2.69963283172012,-66.8133045179668,12.4913491799458,4.08749161029642,0.26224908953933,11.7061328956174,5.28562628675235,7.3792276907625,4.71240562159804,1.08955004431969,19.7458985909544,0.51205426617413,3.56173490762069,2.67265810920514,4.60035518949042,-6.4326620152779,19.1146494720051,155.643575687589,13.1714731184704,3.14765683214635,3.24126148403339,-74.0213691728929,4.04000700055588,3.2347927087567,0.159088410521161,8.10374268126612,4.97920454709188,10.9390781448901,4.46984678591884,0.760450285749318,26.9913607944268,-0.567101572007455,0.8719498276267,1.5705447307983,0.128992491973756,0.178378664138837,-3.07116646769053,-33.4658227881027,7.88737100254445,-1.30976772250393,10.5868063538949,3.50694964906425,-44.7674891967448,10.6858097646865,-1.65369589295525,10.3158062629896,4.28205750761555,-1.48753589615936,0.521726156449561,11.6878116319622,3.63270131742758,33.8172260463004,-4.50282494279757,3.18508947526887,-0.0969689771634608,1.37785025552956,1.42127222148383,-0.0396614619731514,0.1578289632382,0.449424480270527,0.402969091946528,-0.219108036167718,0.033376672166375,0.0746337776648286,-0.131816341665706,-0.00258482988247288,-0.13149022100071,-0.156655975923195,-0.136674403253776,2.4178377961998,0.047949865305283,0.06014632119435,0.113884139206677,0.0325518238928076,0.153539271082213,0.0747142382850762,0.206996154744725,-0.103325124563571,0.0210309809692807,4.42675906111684,-0.0304510327043401,-0.00690043686330559,9.63425372556225,-38.8610638231148,-1.3205008349899,4.18487637020494,10.2715761691264,12.0495151568356,1.24318678346138,-45.9989102663318,9.31765363684987,3.54915221525748,-1.63827715344603,10.7367858130024,5.12561064456195,1.52610118048305,-3.19902530501259,2.88385804149652,0.0525225287423327,0.508615025163791,-0.116648668302361,-0.245220976765176,0.931780770981148,0.019131760850655,0.0533499876187144,10.5867429872753,-41.1977663384534,-1.50942543406179,4.44540690010308,10.4598478155355
PI 533754,7.68821822424562,13.6782646136225,1.39129302592162,3.63289629174797,-4.02675090654639,-385.292286585705,11.9064323571364,0.410108357035682,1.59570644196467,-44.9209094796285,-2.94158610512844,0.421057710393361,0.324895745311571,8.18740067740758,2.33092067159476,3.07144290752298,1.3083265863597,0.00845060504178138,16.7732601640448,-0.220520120592264,-2.00623159212619,2.43442197195396,2.67999525999176,-5.84734673260995,-7.71743115476946,-213.286132756832,5.52828842644051,0.622969283541882,0.16547842538067,-59.0295858998779,3.22832607796264,0.830461900359274,0.429407511250362,0.285728660962561,0.551920506559523,5.75107605111898,0.833138813419507,-0.740068777190646,24.7944375046452,-0.787641544769593,-0.12768628967146,3.30280335898013,-0.567184297835535,0.184522734740219,-6.94009550040361,-24.2826112911873,4.61002077081789,-1.11386382804687,5.94675583676627,1.12815361491137,-22.464977349166,8.58699984112084,-1.67597657906831,4.92493135660667,1.67377998564096,-1.95318984155927,-0.508637540991087,12.7914719789292,1.34307024860914,-7.89454097375299,-1.54072589652876,-0.177272614350437,0.20695096333051,NA,1.45135511824722,-0.0752784783409655,-0.0830679122583748,-0.320229571928544,-0.0418619950811157,0.275020698641811,0.866672083151683,-0.0498469071232588,-0.035143067416879,-0.172265755158131,-0.166455553378761,0.0645896785863086,-0.01849475532322,2.57016426089528,-0.128245557871118,-0.0716827538132275,0.0947971939252902,0.0146477017285042,0.0149382367656533,0.0919759551401193,0.711150231293134,0.0239521291823717,0.0413245786313381,1.0041863189339,-0.0760986438309109,-0.0358775257220621,5.5722926601363,-23.0239255638968,-1.16569463257882,1.47496828390577,6.21114876148717,7.7181007135091,-1.04575471442809,-29.0216629226738,8.42322382708143,1.07086874091694,-1.4812126199352,4.36099658335032,1.69189674976304,1.06480074435336,-0.922647629096191,0.799382527816479,0.199987252090944,-6.51619664312234,-0.126517295683016,-0.206197568115963,0.835427035225645,-0.0468731399896714,-0.0152766419507277,6.6511197767713,-24.1815761906882,-1.33209296232088,1.42804633771017,5.34106634694403
PI 533755,16.0561195635534,-4.15080479341976,-0.13005236663901,-0.6963087919713,10.8442202219955,-226.533650199949,4.5103491314842,0.89209067306727,2.64911252577438,-76.9364127328208,0.374225493049933,0.742619112354696,0.296042381731104,9.78500217227293,1.32737209949275,2.79064592302533,1.44816376882714,0.317764652331121,16.4152623328149,0.649623977623314,3.35513217552884,-14.3708978738485,5.07177850193467,-4.69192479177118,4.68630350218692,44.260836774687,2.02946164863114,1.14876996759729,2.27600336283324,-64.6371110599036,15.0169831671418,0.686544573585782,0.022565521551246,3.83983772191668,0.370057608738433,3.71534322672005,1.22228205723842,0.144169313113026,17.9424291674595,0.125549896181304,-0.0564878476037605,0.57294542056691,0.0633310706618764,-0.0826266229387484,-3.58146895750483,-49.9453952045422,15.0277015604193,-0.963660701778605,10.2970065195708,0.944952385334948,-62.3285477099538,20.1923043117414,-2.1572755717282,10.776111181084,3.91954891765627,-1.82428852443974,0.499415667820736,8.75903482640337,1.27924891000565,-4.83418906342711,-0.235082202722395,2.54377912040773,0.0726891364692507,-1.82124377423532,0.624202901344688,-0.108709747730744,-0.094587055798876,0.168239741575171,0.374520728152048,0.023473545236101,0.736214325313061,0.0713830280614643,-0.0201638730478696,-0.0746717123484388,0.0874693295019532,0.205825528550994,-0.0864640273923964,1.6768353126813,-0.0419302159691334,0.0133348568322416,0.00895040490736417,0.0502558456697066,0.281710897482248,-0.0204943740999337,0.447833948412839,-0.136131525433335,0.0518563926071065,-0.669849445579701,0.000572849249162734,0.255883266768381,14.9059007985123,-51.5558714921777,-1.20733414272889,0.887445483376637,8.99352100530996,15.7863921238947,0.303916779855428,-53.0444242901028,12.056342172129,1.06388482202753,-1.97407566658192,8.68917638335067,2.69141795078548,0.64569386681974,-1.34991747973482,2.43171983940739,0.0183682879751798,-1.59541310892548,-0.127514971151882,-0.219909955385358,0.5446117348951,0.115694834133124,0.0323284471042101,15.4895926266446,-50.1936496445864,-1.6347522187579,1.5261731137221,8.71582511856624
