"Cluster" "genotype"
"1" "durra" "PI17548"
"2" "durra" "PI329440"
"3" "durra" "PI35038"
"4" "durra" "PI48770"
"5" "durra" "PI533869"
"6" "durra" "PI533902"
"7" "durra" "PI533936"
"8" "durra" "PI533937"
"9" "durra" "PI533938"
"10" "durra" "PI533940"
"11" "durra" "PI533948"
"12" "durra" "PI533954"
"13" "durra" "PI533955"
"14" "durra" "PI533956"
"15" "durra" "PI533979"
"16" "durra" "PI533997"
"17" "durra" "PI534054"
"18" "durra" "PI534097"
"19" "durra" "PI552861"
"20" "durra" "PI561072"
"21" "durra" "PI561073"
"22" "durra" "PI564163"
"23" "durra" "PI566819"
"24" "durra" "PI576332"
"25" "durra" "PI576333"
"26" "durra" "PI576337"
"27" "durra" "PI576339"
"28" "durra" "PI576340"
"29" "durra" "PI576345"
"30" "durra" "PI576352"
"31" "durra" "PI576364"
"32" "durra" "PI576373"
"33" "durra" "PI576394"
"34" "durra" "PI576422"
"35" "durra" "PI595702"
"36" "durra" "PI597949"
"37" "durra" "PI597958"
"38" "durra" "PI629059"
"39" "durra" "PI641824"
"40" "durra" "PI641836"
"41" "durra" "PI641849"
"42" "durra" "PI642793"
"43" "durra" "PI655970"
"44" "durra" "PI655972"
"45" "durra" "PI655974"
"46" "durra" "PI655975"
"47" "durra" "PI655976"
"48" "durra" "PI655982"
"49" "durra" "PI655983"
"50" "durra" "PI655985"
"51" "durra" "PI655987"
"52" "durra" "PI655988"
"53" "durra" "PI655989"
"54" "durra" "PI655991"
"55" "durra" "PI655992"
"56" "durra" "PI655993"
"57" "durra" "PI655994"
"58" "durra" "PI656002"
"59" "durra" "PI656003"
"60" "durra" "PI656005"
"61" "durra" "PI656006"
"62" "durra" "PI656007"
"63" "durra" "PI656018"
"64" "durra" "PI656019"
"65" "durra" "PI656020"
"66" "durra" "PI656022"
"67" "durra" "PI656023"
"68" "durra" "PI656028"
"69" "durra" "PI656038"
"70" "durra" "PI656042"
"71" "durra" "PI656049"
"72" "durra" "PI656052"
"73" "durra" "PI656058"
"74" "durra" "PI656060"
"75" "durra" "PI656061"
"76" "durra" "PI656063"
"77" "durra" "PI656080"
"78" "durra" "PI656112"
"79" "kafir" "PI152651"
"80" "kafir" "PI533755"
"81" "kafir" "PI533915"
"82" "kafir" "PI534053"
"83" "kafir" "PI534139"
"84" "kafir" "PI540816"
"85" "kafir" "PI561071"
"86" "kafir" "PI595744"
