Taxa,K.Cluster,Common,SC_Number,Origin,Original_Race,Working_Group,GBS,Testa,Subgroup
PI152651,6,Feterita Geshaish,NA,NA,NA,NA,Y,1,Bred
PI17548,6,RED AMBER,NA,NA,NA,NA,Y,0,Bred
PI24969,5,DWARF YELLOW MILO,NA,NA,NA,NA,Y,0,Bred
PI276837,3,NA,NA,NA,NA,NA,Y,0,NA
PI329435,3,Mashila,NA,NA,NA,NA,Y,0,Bred
PI329440,2,Mashila,NA,NA,NA,NA,Y,0,NA
PI34911,3,F.C.I. 4201,NA,NA,NA,NA,Y,1,NA
PI35038,2,SUMAC,NA,NA,NA,NA,Y,1,NA
PI48770,2,WHITE KAFIR,NA,NA,NA,NA,Y,0,Bred
PI533750,5,K.3 Perimanjial Irungu Cholam,SC214,India,Bicolor,Dochna,Y,0,Converted
PI533752,3,54.K.94(Witchweed res.),SC103,S. Africa,Caudatum,Caudatum,Y,1,Converted
PI533754,6,SAP-219,SC309,Sudan,Bicolor,Dochna,Y,1,Converted
PI533755,6,Feterita Gondal,SC55,Sudan,Caudatum,Caudatum,Y,1,Converted
PI533757,3,Monshal,SC64,Sudan,Kafir-Caudatum,Caudatum-kafir,Y,1,Converted
PI533758,3,IS 18684,SC423,Sudan,Caudatum,Zerazera,Y,1,Converted
PI533759,3,Mugbash 56/56,SC118,Sudan,Caudatum,Caudatum,Y,1,Converted
PI533760,3,Zera Zera White,SC120,Sudan,Caudatum,Zerazera,Y,NA,Converted
PI533761,3,SAP-230,SC333,Ethiopia,Caudatum,Caudatum,Y,1,Converted
PI533762,3,Tambroro 7,SC425,Sudan,Durra-Caudatum,Caudatum-durra,Y,1,Converted
PI533766,4,No. 4 Hadoui,SC265,W. Volta,Guinea,Conspicuum,Y,0,Converted
PI533769,3,290 Feterita Shendi 2,SC420,Sudan,Kafir-Caudatum,Caudatum-kafir,Y,1,Converted
PI533776,4,KA 3,SC370,Nigeria,Caudatum,Caudatum-kaura,Y,0,Converted
PI533785,4,SO 16,SC299,Nigeria,Guinea,Conspicuum,Y,0,Converted
PI533788,6,SAP-263,SC53,Sudan,Durra-Caudatum,Durra-nigricans,Y,1,Converted
PI533789,3,Kodilib,SC57,Sudan,Guinea-Caudatum,Caudatum-guineense,Y,1,Converted
PI533792,4,No. 1 Gambela,SC108,Ethiopia,Caudatum,Zerazera,Y,0,Converted
PI533794,3,No. 5 Gambela,SC110,Ethiopia,Caudatum,Zerazera,Y,0,Converted
PI533799,3,SAP-404,SC173,Ethiopia,Caudatum,Zerazera,Y,0,Converted
PI533800,3,IS 12666C,SC175,Ethiopia,Caudatum,Zerazera,Y,1,Converted
PI533807,3,SAP-206,SC223,Nigeria,Kafir-Caudatum,Caudatum-kafir,Y,1,Converted
PI533810,6,Karad 2-7-11,SC199,India,Durra,Nandyal,Y,0,Converted
PI533814,6,N.9 Cherukupatcha Jonna,SC206,India,Durra,Durra,Y,0,Converted
PI533821,1,AS4660 Kikuma,SC322,Tanzania,Caudatum,Nigricans,Y,1,Converted
PI533822,3,AS4616 Balangira-Mwanza,SC418,Tanzania,Kafir-Caudatum,Caudatum-kafir,Y,0,Converted
PI533824,1,Bonkum,SC331,Nigeria,Durra-Caudatum,Nigricans-durra,Y,1,Converted
PI533830,6,Culum Brick,SC52,Sudan,Caudatum,Nigricans-feterita,Y,NA,Converted
PI533831,3,Deburr,SC414,Sudan,Kafir-Caudatum,Caudatum-kafir,Y,0,Converted
PI533833,3,Sorghum Soroti,SC319,Uganda,Caudatum-Bicolor,Dochna-nigricans,Y,1,Converted
PI533838,6,BA45 Faria Bonkum,SC329,Nigeria,Caudatum,Nigricans-feterita,Y,1,Converted
PI533839,1,K037 Camjin,SC303,Nigeria,Guinea,Margaritiferum,Y,0,Converted
PI533841,4,ZA41 Danye,SC261,Nigeria,Guinea,Conspicuum,Y,0,Converted
PI533842,6,Nandyal,SC240,India,Durra,Nandyal,Y,0,Converted
PI533843,1,SV 34,SC241,India,Guinea,Roxburghii,Y,0,Converted
PI533845,1,EC 18246 (preconverted),NA,NA,NA,NA,N,NA,NA
PI533852,6,Cholia Talijhari,SC450,India,Durra,Durra,Y,0,Converted
PI533855,1,Chanan Singoo,SC317,India,Guinea-Bicolor,Dochna-roxburghii,Y,0,Converted
PI533856,6,Jola Nandyal,SC489,India,Durra,Nandyal,Y,0,Converted
PI533863,6,740 Oua Berr,SC320,Chad,Kafir,Caffrorum,Y,0,Converted
PI533866,4,255 Tirter,NA,NA,NA,NA,Y,NA,NA
PI533869,1,Msumbji SB 117,SC283,Tanzania,Guinea,Conspicuum,Y,0,Converted
PI533871,4,M 1,SC566,Nigeria,Caudatum,Caudatum,Y,0,Converted
PI533876,3,KA 12 Janjari,SC563,Nigeria,Caudatum,Caudatum,Y,1,Converted
PI533877,4,KA 15 Yazgar Giwa,SC396,Nigeria,Caudatum,Caudatum-kaura,Y,0,Converted
PI533878,4,KA 21 Gajerar Kaura,SC372,Nigeria,Caudatum,Caudatum-kaura,Y,0,Converted
