"Taxa"	"2020:LN:daysToFlower"	"2020:LN:medianLeafAngle"	"2020:LN:leafAngleStandardDeviation"	"2020:LN:paniclesPerPlot"	"2020:LN:panicleGrainWeight"	"2020:LN:estimatedPlotYield"	"2020:LN:flagLeafLength"	"2020:LN:flagLeafWidth"	"2020:LN:extantLeafNumber"	"2020:LN:plantHeight"	"2020:LN:thirdLeafLength"	"2020:LN:thirdLeafWidth"	"2020:LN:tillersPerPlant"	"2020:LN:stemDiameterLower"	"2020:LN:stemDiameterUpper"	"2020:LN:rachisLength"	"2020:LN:rachisDiameterLower"	"2020:LN:rachisDiameterUpper"	"2020:LN:primaryBranchNumber"	"2020:LN:branchInternodeLength"	"2020:HN:daysToFlower"	"2020:HN:medianLeafAngle"	"2020:HN:leafAngleStandardDeviation"	"2020:HN:paniclesPerPlot"	"2020:HN:panicleGrainWeight"	"2020:HN:estimatedPlotYield"	"2020:HN:flagLeafLength"	"2020:HN:flagLeafWidth"	"2020:HN:extantLeafNumber"	"2020:HN:plantHeight"	"2020:HN:thirdLeafLength"	"2020:HN:thirdLeafWidth"	"2020:HN:tillersPerPlant"	"2020:HN:stemDiameterLower"	"2020:HN:stemDiameterUpper"	"2020:HN:rachisLength"	"2020:HN:rachisDiameterLower"	"2020:HN:rachisDiameterUpper"	"2020:HN:primaryBranchNumber"	"2020:HN:branchInternodeLength"	"2020:HN:percentMoisture"	"2020:HN:percentProtein"	"2020:HN:percentOil"	"2020:HN:percentAsh"	"2020:HN:percentStarch"	"2020:daysToFlower:NR"	"2020:medianLeafAngle:NR"	"2020:leafAngleStandardDeviation:NR"	"2020:paniclesPerPlot:NR"	"2020:panicleGrainWeight:NR"	"2020:estimatedPlotYield:NR"	"2020:flagLeafLength:NR"	"2020:flagLeafWidth:NR"	"2020:extantLeafNumber:NR"	"2020:plantHeight:NR"	"2020:thirdLeafLength:NR"	"2020:thirdLeafWidth:NR"	"2020:tillersPerPlant:NR"	"2020:stemDiameterLower:NR"	"2020:stemDiameterUpper:NR"	"2020:rachisLength:NR"	"2020:rachisDiameterLower:NR"	"2020:rachisDiameterUpper:NR"	"2020:primaryBranchNumber:NR"	"2020:branchInternodeLength:NR"	"2021:LN:plantHeight"	"2021:LN:daysToFlower"	"2021:LN:tillersPerPlant"	"2021:LN:stemDiameterLower"	"2021:LN:stemDiameterUpper"	"2021:HN:plantHeight"	"2021:HN:daysToFlower"	"2021:HN:tillersPerPlant"	"2021:HN:stemDiameterLower"	"2021:HN:stemDiameterUpper"	"2021:HN:paniclesPerPlant"	"2021:HN:extantLeafNumber"	"2021:HN:thirdLeafLength"	"2021:HN:thirdLeafWidth"	"2021:HN:seedMassPerPlant"	"2021:HN:percentProtein"	"2021:HN:percentOil"	"2021:HN:percentAsh"	"2021:HN:percentStarch"	"2021:HN:percentMoisture"	"2021:plantHeight:NR"	"2021:daysToFlower:NR"	"2021:tillersPerPlant:NR"	"2021:stemDiameterLower:NR"	"2021:stemDiameterUpper:NR"
"1"	"PI152651"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"PI17548"	6.89487738353015	NA	-2.80367489176009	NA	4.99294484006658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.77114859223084	-0.394142351226057	4.70322579055013	-0.397133699749424	NA	8.47667377430308	-1.88979147698659	3.21586710215814	0.108613452511383	-1.50266987530296	0.249703069174234	5.26863507752746	0.47409528875131	-10.9329757963812	-2.71092818713749	1.59024438269341	-0.0433603078968123	-8.80007654145052	0.885178243165893	NA	0.00422438275264973	-0.5932162723588	-0.106708642325362	-0.0494687098242752
"3"	"PI24969"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"PI276837"	8.2535707215896	1.4679475674279	1.80368328171394	NA	26.5263129195601	NA	NA	NA	NA	NA	NA	NA	0.809040651426127	1.95495462240988	0.519240578329033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.24310962751659	3.68044677613789	0.17965034885615	NA	29.9297563497894	-1.66408908994662	5.03384555801455	3.14154812640497	-1.07364233916261	3.18795289908248	15.0346260247931	3.95464300382117	-8.33229042086512	-1.35989986846985	3.34593238541594	-0.0155473949347497	0.781783031989745	0.8360909196718	NA	NA	2.44613145181604	0.0513958828307725	0.280179402614038
"5"	"PI329435"	20.1166513915752	-8.45468951126704	-3.72168147584728	-10.4940302883168	2.51420760493565	-514.938660634528	NA	2.82714156630503	3.01721881291443	-84.5948037353645	17.9030181099919	4.21225474994602	0.349825714188532	13.1565062290791	3.17269426864313	2.94261529430085	1.85670343588052	1.00641341578728	33.6537411926517	0.645723556392218	5.74609850995942	-8.06907456807657	4.06684064030906	-8.83593176353948	18.315828745247	46.9058746799127	25.9388323021698	4.15973878297214	3.45182171494274	-34.9767145808188	21.9010476807424	3.18042514240563	-0.601434376662636	4.90043588510916	4.06655412255974	7.92694811371816	1.82058295046632	0.555318324029139	12.2594817295209	0.0252200425841265	0.0467446705181504	0.886358388336176	-0.104955185970357	0.160673144829612	-0.778535697863444	-0.125052320944044	0.193566499219777	1.10071608902617	NA	1.27256749877929	NA	NA	0.165934106623854	-0.01071733819067	NA	0.0182991234246392	-0.152517095380372	-0.272848968640144	-0.118289701764854	0.184617292456875	0.20901775136088	0.0732728000805696	0.114893230627009	NA	0.404454366970417	-61.3413432831093	5.20450448413625	NA	6.46438067267571	2.67135593343959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"PI329440"	10.5158493645133	5.64744181107172	0.49233858795951	-3.11643620904801	20.6003565209687	156.649158181711	15.3813330180443	1.11764844332243	4.30464682344177	-84.9813327972101	6.6336762164234	1.83881968803816	0.832437792173549	5.62601424042543	1.6866992326014	4.0480028875892	2.63156432139065	1.04771487006518	2.07002555532356	-0.41206328559059	2.43175086101632	-9.64407545441675	4.89497712505861	-1.88782966706037	21.4029295639242	333.284159804175	11.9725875144381	2.38118107453418	1.52945139918011	-83.5293222429292	12.7955085345109	0.0270289386870901	1.35222791623085	3.47367186440209	2.51493964845422	3.15506453567537	2.88881557961109	0.965305698634188	4.69819136984789	-1.18584216439714	-0.435597520175218	2.47341696335442	-0.0459682152677388	0.246586588985357	-0.047052044116375	-0.047464131235115	-0.178325345043569	0.0498663348026826	0.968761733040958	0.211382618171431	0.183390943472542	0.0287625406891292	0.216054876687888	-0.233485979456047	-0.0478381070118237	0.0549109216477171	-0.297857563269216	1.55569550640097	0.13135261976128	0.207358556678632	-0.0765519406786183	0.102384168853811	0.241801830498742	-0.00177118927099538	0.64852827573747	-69.2947610635982	5.60827618757923	-1.15012189477033	3.82570630860254	1.66303010103688	-80.2198066695744	11.519539785386	-1.80834461340189	3.09737367738645	1.38321514265512	-1.54778755153639	-3.4079777910822	8.81136568334259	1.23309076102802	-23.3020013573786	1.688608297359	1.42513036847606	0.576579251408922	-1.72225792235825	1.02817593592857	-0.154079661805268	0.0716280348685813	0.791634286597207	-0.0685175009025667	-0.125254831569615
"7"	"PI34911"	21.1358073649668	NA	NA	-6.71702453026779	NA	NA	NA	NA	5.98154847318838	-11.4559081939957	10.4355460109367	1.96389226486273	1.88165962393223	NA	4.49129520055301	-0.71171769459271	3.65100455589476	1.20174687148492	21.8232313728374	0.381913427986891	10.7974966984581	-2.22056877378927	-1.95150584892246	-13.7586788667351	NA	NA	22.0010444245214	3.61676469183963	3.42258680201064	-31.7919327755765	5.52556297029396	1.01399696428249	0.908631571789441	6.32918752379369	4.66821083539803	3.27730402914336	3.9406109727617	-0.38030200107721	21.3994469803093	-0.340835783319223	NA	NA	NA	NA	NA	-0.0704411832161432	NA	NA	0.256721220066009	NA	NA	NA	NA	-0.195556565898203	-0.170879431382413	-0.109683297150039	-0.185212494027266	-0.0671130853363659	NA	0.104469797756307	0.195097867775817	0.0945103542400491	-0.266802307536646	-0.0497699943738426	0.406775273362684	18.6150454199401	15.3162549042707	NA	5.89839798056705	1.57862853116648	16.2537430312631	17.014061529778	-0.65506039476235	6.49057169521967	3.53830715288445	-0.463341787382398	2.88926790014555	13.8794956504204	2.22165414289527	16.0890651048537	-2.95339286936069	2.56186465559252	-0.23641676690309	-0.891777472037014	0.712742962927549	-0.0099816009597776	0.00361731595404222	NA	0.00650192585373705	0.124166868469087
"8"	"PI35038"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"PI48770"	13.1222039757369	-0.435418869954855	0.784913899676508	-3.77390311149873	23.5354902044066	-102.639800815195	8.98787603643848	1.66257736442821	5.02979197796659	-61.2433508907597	12.9454497784506	1.72053723454891	1.31018099364214	10.1014562346758	3.65385450468545	12.190831494015	2.08200327463025	0.082643675858253	34.5701188124061	0.0836662405243623	6.13011725357639	-8.71320192884651	1.76202906138207	-5.92655995381206	2.06540338663221	-156.398828249795	7.98507152144529	1.60431183841308	4.32179588835231	-52.8381770512728	14.0766763346682	0.514491780581816	-0.568838610692943	6.84280595178533	2.76270156738849	12.8707427622126	1.21777055362468	-0.58334931059004	39.530448835105	-0.924594851303584	-0.667131766272142	0.901962226343489	0.0793577990751303	0.104229513424403	-3.843445774242	-0.0296267253490366	-0.0417508906366173	-0.384019784398594	0.684646778035949	-0.379282009040666	-0.250570907691293	0.10587746159217	-0.0821974636733192	-0.0850962654797584	0.0341104867402353	-0.0207755528912283	-0.224136221337576	-0.764433166259979	0.0645402395784148	0.01648761857886	-0.00218710733561342	-0.0381886277507782	0.0577297888905052	0.0298381924150318	0.305459426419463	-8.51044303127896	17.5077190118593	-1.28201877230203	11.6056128131584	4.03988358755222	9.83220959975449	15.456772152035	-1.02374881349311	10.3487207073185	4.30371161473461	-0.545819968707961	3.10447870765599	12.9438528350748	4.12940631226686	37.3829443787039	-0.791508186493265	2.08879043477188	0.0893187550325763	-1.47894905600608	0.893020314733875	0.151796639167938	-0.0468970084053071	7.64445875258137	-0.0683389359289971	-0.0514362798898274
"10"	"PI533750"	8.2832075510895	-6.26048357215895	-2.46547418373306	-0.0825457411703611	6.49100588021941	-293.115559565753	21.8664336086379	1.74113338250768	-0.312022488601188	-88.0768169880585	5.10461313335428	1.32758837454131	0.0414274505997201	9.45130854963835	4.37300291849632	9.82115492531272	2.90429188302906	1.31405074905864	14.0843578708559	0.969009354253256	2.19508306077021	-5.58399172556023	3.02181352345254	-3.24960427016104	-4.48640907103343	-191.44257175312	16.2870798928041	2.03377420875772	1.38987199013836	-94.4247776224736	7.6943948045651	0.254556544189064	-0.115301850996203	3.72725888113278	2.63460223544447	14.2099295255702	1.80753246509717	-0.806197299655163	24.2209740404235	0.570752292427192	-0.313199441567523	5.10757413339737	-0.038751165874381	0.28545228405776	-3.76958022658198	-0.0176141114091636	0.190005503217225	0.313245232466934	0.419364450002288	-0.193776857014451	0.215968379790672	-0.0219693314411325	-0.00934220750272829	0.115860654792853	-0.158424910956544	-0.0002761900131926	-0.218018535007348	8.03615360571257	-0.0335470353276172	-0.0559228370176888	0.134162666058473	-0.0621320850524745	-0.428967017176572	0.134844613461829	0.440964436661334	-68.3664627214214	4.76087800040066	-1.18197605761107	8.09147775953436	3.46476641536437	-68.5135727346018	11.1687720928134	-2.36109934504088	11.2944369811491	5.1858171775872	-1.41308819504228	0.933232056580855	2.18202202431714	2.70602390842241	11.9792799478298	-1.90069388926608	2.26789562670349	0.139162899478648	0.827224024463554	0.3730980623257	0.0102745847849968	0.0806723687202661	-1.19891332567286	0.126221934608461	0.0804779032213019
