"genotype"	"LN:daysToFlower"	"LN:plantHeight"	"LN:tillersPerPlant"	"LN:stemDiameterUpper"	"LN:stemDiameterLower"	"HN:daysToFlower"	"HN:extantLeafNumber"	"HN:plantHeight"	"HN:thirdLeafLength"	"HN:thirdLeafWidth"	"HN:tillersPerPlant"	"HN:stemDiameterLower"	"HN:stemDiameterUpper"	"HN:percentMoisture"	"HN:percentProtein"	"HN:percentOil"	"HN:percentAsh"	"HN:percentStarch"	"daysToFlower:NR"	"plantHeight:NR"	"tillersPerPlant:NR"	"stemDiameterUpper:NR"	"stemDiameterLower:NR"	"daysToFlower"	"plantHeight"	"tillersPerPlant"	"stemDiameterUpper"	"stemDiameterLower"
"1"	"PI 17548"	6.09674011937848	NA	-0.822496606451581	-0.391604764802758	2.35726483461892	8.37065054095782	0.186052352386634	NA	4.45573596831896	0.503740402424852	-1.86343964812399	3.38329310845912	0.221803425261702	0.919258268030001	-2.49664503396736	1.63340397581436	-0.0217068406672552	-8.79879259892287	-0.123953342341977	NA	0.27832573715576	-0.00970791871938011	0.0901295291020334	6.72495100182454	NA	-1.35050424909211	-0.180951948188463	2.68229513813904
"2"	"PI 276837"	17.2257187970872	24.0925567326015	-0.953269867172605	0.0368297608331756	1.64596971220102	19.5538649891417	-0.445584893006467	79.0083795099947	8.44416873469797	2.11481800918124	-1.71654220608854	4.14646191193012	2.08109562655731	0.77842941215423	-2.23765256797666	2.83747825172352	0.0145012315875136	1.41220050536225	-0.107468320876803	NA	0.4646028291629	0.154437987441853	0.149267189660487	18.3753323523245	61.584865604483	-1.33880984799977	0.820722317817059	2.78354109527626
"3"	"PI 329435"	13.5665633586275	-60.6167381745444	-0.740035396000726	2.59525293304823	8.87272132522581	14.5954189046017	2.12287008497385	-7.17067650053427	25.1385252803116	3.32406563292195	-2.51965825330628	7.8244004865866	4.91586829495184	0.920778560798244	-2.53710691041456	2.25708921281041	0.151114603573052	2.10431930698588	-0.127784098876198	NA	-0.122688433076831	0.143928220636407	0.0100663559667853	13.7891272278443	-40.8048341405495	-1.44639048979344	3.39363591157747	8.52012264734408
"4"	"PI 329440"	7.83051043415907	-66.136074674343	-0.878618894178276	1.31845983810409	3.8632999542328	11.8797055954879	-0.704009545260042	-68.0764594276004	12.5185452039401	0.771328924004951	-1.12695075592643	4.61049495243791	2.34567822172352	0.680077514314604	0.321737588175186	1.93237434967674	0.41209079763746	0.646321891243404	-0.0982983639459636	-0.262633736548501	0.737371241628055	0.0332303578485906	0.0754461822154146	9.56126239145043	-65.239575771571	-1.04539649941571	1.6938334156327	4.10858815142974
"5"	"PI 34911"	17.7621570255726	14.1558918417542	0.392158082683225	2.82735720365269	6.28902715248349	18.6858928795012	1.95835404786046	3.41732945890547	10.6745101067341	1.74304616594866	-0.749751126936482	8.4357222244608	4.76909842879925	0.71245430373202	-3.0052106813113	2.55787139340245	-0.243019286028164	-0.791791218658381	-0.122858653222403	-0.188564726088941	0.133498982333924	0.108179867120552	0.115123087589717	18.3254763674827	9.98151640058606	-0.203639341165499	3.59217242436432	7.62504654094558
"6"	"PI 48770"	15.006250786121	-18.7127311986442	-0.767595883818038	3.68137707500315	9.92473661749797	15.2596253402427	2.45774902543153	-11.9174063619891	14.1235293403146	2.44461143461717	-1.69050935810096	10.012534970823	3.925214130304	0.626051671972039	-1.20264944227187	2.23856470642061	0.0975037634434052	-1.22747522771779	-0.134763507944852	-0.103361531296972	0.333221933943158	-0.0363515254208879	0.0428848619789348	15.0309241788317	-13.568156508189	-1.24350726666952	3.62423085580244	9.88127199565291
"7"	"PI 533750"	6.50578142155206	-67.1814287021809	-1.41159468721401	3.68128843411536	7.82123895349541	10.7169125466158	0.393414766207645	-66.929675746041	6.38998935129908	1.19107265380317	-2.19197336361483	8.98454977014605	4.35499089222635	0.463635246556758	-0.00825788210053345	2.28075224675467	0.218115012553634	0.00637921240200099	-0.0978824026033286	-0.239961327836114	0.624114331307023	-0.00164823303964405	0.0790962873005411	8.47531380653204	-65.9991503148541	-1.84029865031115	3.79626810649037	8.31109047643252
"8"	"PI 533752"	9.63425372548628	-38.8610638230136	-1.32050083498171	4.18487637022434	10.2715761692019	12.0495151571009	1.24318678345135	-45.9989102663345	9.31765363682924	3.54915221525737	-1.63827715344841	10.7367858129941	5.12561064456802	1.52610118047947	-3.19902530502051	2.88385804149511	0.0525225287416765	0.508615025159961	-0.116648668644386	-0.245220976769621	0.93178077076729	0.0191317608635149	0.05334998761768	10.5867429875775	-41.1977663384322	-1.50942543405947	4.44540690009302	10.4598478154455
"9"	"PI 533754"	5.57229266013363	-23.023925563808	-1.16569463256951	1.47496828393378	6.21114876157983	7.71810071377223	-1.04575471443167	-29.0216629227638	8.42322382713539	1.07086874091716	-1.48121261994632	4.36099658334851	1.69189674977086	1.06480074434718	-0.922647629127557	0.799382527813871	0.199987252088147	-6.51619664313206	-0.12651729603823	-0.206197568121102	0.835427035025745	-0.0468731399752184	-0.0152766419520132	6.65111977711067	-24.1815761906964	-1.3320929623219	1.42804633769506	5.34106634682268
"10"	"PI 533755"	14.9059007985277	-51.5558714921147	-1.20733414272161	0.887445483397291	8.99352100538637	15.7863921241715	0.303916779855117	-53.044424290249	12.0563421721658	1.06388482202742	-1.97407566658402	8.68917638335751	2.69141795079625	0.645693866815047	-1.34991747973673	2.43171983940707	0.0183682879745808	-1.5954131089443	-0.127514971467402	-0.219909955392035	0.544611734694419	0.115694834152605	0.0323284471036249	15.4895926270228	-50.1936496445505	-1.63475221875516	1.52617311371752	8.71582511848575
