genotype,2020:LN:daysToFlower,2020:LN:medianLeafAngle,2020:LN:leafAngleStandardDeviation,2020:LN:paniclesPerPlot,2020:LN:panicleGrainWeight,2020:LN:estimatedPlotYield,2020:LN:flagLeafLength,2020:LN:flagLeafWidth,2020:LN:extantLeafNumber,2020:LN:plantHeight,2020:LN:thirdLeafLength,2020:LN:thirdLeafWidth,2020:LN:tillersPerPlant,2020:LN:stemDiameterLower,2020:LN:stemDiameterUpper,2020:LN:rachisLength,2020:LN:rachisDiameterLower,2020:LN:rachisDiameterUpper,2020:LN:primaryBranchNumber,2020:LN:branchInternodeLength,2020:HN:daysToFlower,2020:HN:medianLeafAngle,2020:HN:leafAngleStandardDeviation,2020:HN:paniclesPerPlot,2020:HN:panicleGrainWeight,2020:HN:estimatedPlotYield,2020:HN:flagLeafLength,2020:HN:flagLeafWidth,2020:HN:extantLeafNumber,2020:HN:plantHeight,2020:HN:thirdLeafLength,2020:HN:thirdLeafWidth,2020:HN:tillersPerPlant,2020:HN:stemDiameterLower,2020:HN:stemDiameterUpper,2020:HN:rachisLength,2020:HN:rachisDiameterLower,2020:HN:rachisDiameterUpper,2020:HN:primaryBranchNumber,2020:HN:branchInternodeLength,2020:HN:percentMoisture,2020:HN:percentProtein,2020:HN:percentOil,2020:HN:percentAsh,2020:HN:percentStarch,2021:LN:plantHeight,2021:LN:daysToFlower,2021:LN:tillersPerPlant,2021:LN:stemDiameterLower,2021:LN:stemDiameterUpper,2021:HN:plantHeight,2021:HN:daysToFlower,2021:HN:tillersPerPlant,2021:HN:stemDiameterLower,2021:HN:stemDiameterUpper,2021:HN:paniclesPerPlant,2021:HN:extantLeafNumber,2021:HN:thirdLeafLength,2021:HN:thirdLeafWidth,2021:HN:seedMassPerPlant,2021:HN:percentProtein,2021:HN:percentOil,2021:HN:percentAsh,2021:HN:percentStarch,2021:HN:percentMoisture,2020:daysToFlower:NR,2020:medianLeafAngle:NR,2020:leafAngleStandardDeviation:NR,2020:paniclesPerPlot:NR,2020:panicleGrainWeight:NR,2020:estimatedPlotYield:NR,2020:flagLeafLength:NR,2020:flagLeafWidth:NR,2020:extantLeafNumber:NR,2020:plantHeight:NR,2020:thirdLeafLength:NR,2020:thirdLeafWidth:NR,2020:tillersPerPlant:NR,2020:stemDiameterLower:NR,2020:stemDiameterUpper:NR,2020:rachisLength:NR,2020:rachisDiameterLower:NR,2020:rachisDiameterUpper:NR,2020:primaryBranchNumber:NR,2020:branchInternodeLength:NR,2021:plantHeight:NR,2021:daysToFlower:NR,2021:tillersPerPlant:NR,2021:stemDiameterLower:NR,2021:stemDiameterUpper:NR,LN:daysToFlower,LN:plantHeight,LN:tillersPerPlant,LN:stemDiameterUpper,LN:stemDiameterLower,HN:daysToFlower,HN:extantLeafNumber,HN:plantHeight,HN:thirdLeafLength,HN:thirdLeafWidth,HN:tillersPerPlant,HN:stemDiameterLower,HN:stemDiameterUpper,HN:percentMoisture,HN:percentProtein,HN:percentOil,HN:percentAsh,HN:percentStarch,daysToFlower:NR,plantHeight:NR,tillersPerPlant:NR,stemDiameterUpper:NR,stemDiameterLower:NR,daysToFlower,plantHeight,tillersPerPlant,stemDiameterUpper,stemDiameterLower
PI 17548,6.89487738353015,NA,-2.80367489176009,NA,4.99294484006658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77114859223084,-0.394142351226057,4.70322579055013,-0.397133699749424,NA,8.47667377430308,-1.88979147698659,3.21586710215814,0.108613452511383,-1.50266987530296,0.249703069174234,5.26863507752746,0.47409528875131,-10.9329757963812,-2.71092818713749,1.59024438269341,-0.0433603078968123,-8.80007654145052,0.885178243165893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00422438275264973,-0.5932162723588,-0.106708642325362,-0.0494687098242752,6.09674011937848,NA,-0.822496606451581,-0.391604764802758,2.35726483461892,8.37065054095782,0.186052352386634,NA,4.45573596831896,0.503740402424852,-1.86343964812399,3.38329310845912,0.221803425261702,0.919258268030001,-2.49664503396736,1.63340397581436,-0.0217068406672552,-8.79879259892287,-0.123953342341977,NA,0.27832573715576,-0.00970791871938011,0.0901295291020334,6.72495100182454,NA,-1.35050424909211,-0.180951948188463,2.68229513813904
PI 276837,8.2535707215896,1.4679475674279,1.80368328171394,NA,26.5263129195601,NA,NA,NA,NA,NA,NA,NA,0.809040651426127,1.95495462240988,0.519240578329033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24310962751659,3.68044677613789,0.17965034885615,NA,29.9297563497894,-1.66408908994662,5.03384555801455,3.14154812640497,-1.07364233916261,3.18795289908248,15.0346260247931,3.95464300382117,-8.33229042086512,-1.35989986846985,3.34593238541594,-0.0155473949347497,0.781783031989745,0.8360909196718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44613145181604,0.0513958828307725,0.280179402614038,17.2257187970872,24.0925567326015,-0.953269867172605,0.0368297608331756,1.64596971220102,19.5538649891417,-0.445584893006467,79.0083795099947,8.44416873469797,2.11481800918124,-1.71654220608854,4.14646191193012,2.08109562655731,0.77842941215423,-2.23765256797666,2.83747825172352,0.0145012315875136,1.41220050536225,-0.107468320876803,NA,0.4646028291629,0.154437987441853,0.149267189660487,18.3753323523245,61.584865604483,-1.33880984799977,0.820722317817059,2.78354109527626
PI 329435,20.1166513915752,-8.45468951126704,-3.72168147584728,-10.4940302883168,2.51420760493565,-514.938660634528,NA,2.82714156630503,3.01721881291443,-84.5948037353645,17.9030181099919,4.21225474994602,0.349825714188532,13.1565062290791,3.17269426864313,2.94261529430085,1.85670343588052,1.00641341578728,33.6537411926517,0.645723556392218,5.74609850995942,-8.06907456807657,4.06684064030906,-8.83593176353948,18.315828745247,46.9058746799127,25.9388323021698,4.15973878297214,3.45182171494274,-34.9767145808188,21.9010476807424,3.18042514240563,-0.601434376662636,4.90043588510916,4.06655412255974,7.92694811371816,1.82058295046632,0.555318324029139,12.2594817295209,0.0252200425841265,0.0467446705181504,0.886358388336176,-0.104955185970357,0.160673144829612,-0.778535697863444,-61.3413432831093,5.20450448413625,NA,6.46438067267571,2.67135593343959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.125052320944044,0.193566499219777,1.10071608902617,NA,1.27256749877929,NA,NA,0.165934106623854,-0.01071733819067,NA,0.0182991234246392,-0.152517095380372,-0.272848968640144,-0.118289701764854,0.184617292456875,0.20901775136088,0.0732728000805696,0.114893230627009,NA,0.404454366970417,NA,NA,NA,NA,NA,13.5665633586275,-60.6167381745444,-0.740035396000726,2.59525293304823,8.87272132522581,14.5954189046017,2.12287008497385,-7.17067650053427,25.1385252803116,3.32406563292195,-2.51965825330628,7.8244004865866,4.91586829495184,0.920778560798244,-2.53710691041456,2.25708921281041,0.151114603573052,2.10431930698588,-0.127784098876198,NA,-0.122688433076831,0.143928220636407,0.0100663559667853,13.7891272278443,-40.8048341405495,-1.44639048979344,3.39363591157747,8.52012264734408
PI 329440,10.5158493645133,5.64744181107172,0.49233858795951,-3.11643620904801,20.6003565209687,156.649158181711,15.3813330180443,1.11764844332243,4.30464682344177,-84.9813327972101,6.6336762164234,1.83881968803816,0.832437792173549,5.62601424042543,1.6866992326014,4.0480028875892,2.63156432139065,1.04771487006518,2.07002555532356,-0.41206328559059,2.43175086101632,-9.64407545441675,4.89497712505861,-1.88782966706037,21.4029295639242,333.284159804175,11.9725875144381,2.38118107453418,1.52945139918011,-83.5293222429292,12.7955085345109,0.0270289386870901,1.35222791623085,3.47367186440209,2.51493964845422,3.15506453567537,2.88881557961109,0.965305698634188,4.69819136984789,-1.18584216439714,-0.435597520175218,2.47341696335442,-0.0459682152677388,0.246586588985357,-0.047052044116375,-69.2947610635982,5.60827618757923,-1.15012189477033,3.82570630860254,1.66303010103688,-80.2198066695744,11.519539785386,-1.80834461340189,3.09737367738645,1.38321514265512,-1.54778755153639,-3.4079777910822,8.81136568334259,1.23309076102802,-23.3020013573786,1.688608297359,1.42513036847606,0.576579251408922,-1.72225792235825,1.02817593592857,-0.047464131235115,-0.178325345043569,0.0498663348026826,0.968761733040958,0.211382618171431,0.183390943472542,0.0287625406891292,0.216054876687888,-0.233485979456047,-0.0478381070118237,0.0549109216477171,-0.297857563269216,1.55569550640097,0.13135261976128,0.207358556678632,-0.0765519406786183,0.102384168853811,0.241801830498742,-0.00177118927099538,0.64852827573747,-0.154079661805268,0.0716280348685813,0.791634286597207,-0.0685175009025667,-0.125254831569615,7.83051043415907,-66.136074674343,-0.878618894178276,1.31845983810409,3.8632999542328,11.8797055954879,-0.704009545260042,-68.0764594276004,12.5185452039401,0.771328924004951,-1.12695075592643,4.61049495243791,2.34567822172352,0.680077514314604,0.321737588175186,1.93237434967674,0.41209079763746,0.646321891243404,-0.0982983639459636,-0.262633736548501,0.737371241628055,0.0332303578485906,0.0754461822154146,9.56126239145043,-65.239575771571,-1.04539649941571,1.6938334156327,4.10858815142974
PI 34911,21.1358073649668,NA,NA,-6.71702453026779,NA,NA,NA,NA,5.98154847318838,-11.4559081939957,10.4355460109367,1.96389226486273,1.88165962393223,NA,4.49129520055301,-0.71171769459271,3.65100455589476,1.20174687148492,21.8232313728374,0.381913427986891,10.7974966984581,-2.22056877378927,-1.95150584892246,-13.7586788667351,NA,NA,22.0010444245214,3.61676469183963,3.42258680201064,-31.7919327755765,5.52556297029396,1.01399696428249,0.908631571789441,6.32918752379369,4.66821083539803,3.27730402914336,3.9406109727617,-0.38030200107721,21.3994469803093,-0.340835783319223,NA,NA,NA,NA,NA,18.6150454199401,15.3162549042707,NA,5.89839798056705,1.57862853116648,16.2537430312631,17.014061529778,-0.65506039476235,6.49057169521967,3.53830715288445,-0.463341787382398,2.88926790014555,13.8794956504204,2.22165414289527,16.0890651048537,-2.95339286936069,2.56186465559252,-0.23641676690309,-0.891777472037014,0.712742962927549,-0.0704411832161432,NA,NA,0.256721220066009,NA,NA,NA,NA,-0.195556565898203,-0.170879431382413,-0.109683297150039,-0.185212494027266,-0.0671130853363659,NA,0.104469797756307,0.195097867775817,0.0945103542400491,-0.266802307536646,-0.0497699943738426,0.406775273362684,-0.0099816009597776,0.00361731595404222,NA,0.00650192585373705,0.124166868469087,17.7621570255726,14.1558918417542,0.392158082683225,2.82735720365269,6.28902715248349,18.6858928795012,1.95835404786046,3.41732945890547,10.6745101067341,1.74304616594866,-0.749751126936482,8.4357222244608,4.76909842879925,0.71245430373202,-3.0052106813113,2.55787139340245,-0.243019286028164,-0.791791218658381,-0.122858653222403,-0.188564726088941,0.133498982333924,0.108179867120552,0.115123087589717,18.3254763674827,9.98151640058606,-0.203639341165499,3.59217242436432,7.62504654094558
PI 48770,13.1222039757369,-0.435418869954855,0.784913899676508,-3.77390311149873,23.5354902044066,-102.639800815195,8.98787603643848,1.66257736442821,5.02979197796659,-61.2433508907597,12.9454497784506,1.72053723454891,1.31018099364214,10.1014562346758,3.65385450468545,12.190831494015,2.08200327463025,0.082643675858253,34.5701188124061,0.0836662405243623,6.13011725357639,-8.71320192884651,1.76202906138207,-5.92655995381206,2.06540338663221,-156.398828249795,7.98507152144529,1.60431183841308,4.32179588835231,-52.8381770512728,14.0766763346682,0.514491780581816,-0.568838610692943,6.84280595178533,2.76270156738849,12.8707427622126,1.21777055362468,-0.58334931059004,39.530448835105,-0.924594851303584,-0.667131766272142,0.901962226343489,0.0793577990751303,0.104229513424403,-3.843445774242,-8.51044303127896,17.5077190118593,-1.28201877230203,11.6056128131584,4.03988358755222,9.83220959975449,15.456772152035,-1.02374881349311,10.3487207073185,4.30371161473461,-0.545819968707961,3.10447870765599,12.9438528350748,4.12940631226686,37.3829443787039,-0.791508186493265,2.08879043477188,0.0893187550325763,-1.47894905600608,0.893020314733875,-0.0296267253490366,-0.0417508906366173,-0.384019784398594,0.684646778035949,-0.379282009040666,-0.250570907691293,0.10587746159217,-0.0821974636733192,-0.0850962654797584,0.0341104867402353,-0.0207755528912283,-0.224136221337576,-0.764433166259979,0.0645402395784148,0.01648761857886,-0.00218710733561342,-0.0381886277507782,0.0577297888905052,0.0298381924150318,0.305459426419463,0.151796639167938,-0.0468970084053071,7.64445875258137,-0.0683389359289971,-0.0514362798898274,15.006250786121,-18.7127311986442,-0.767595883818038,3.68137707500315,9.92473661749797,15.2596253402427,2.45774902543153,-11.9174063619891,14.1235293403146,2.44461143461717,-1.69050935810096,10.012534970823,3.925214130304,0.626051671972039,-1.20264944227187,2.23856470642061,0.0975037634434052,-1.22747522771779,-0.134763507944852,-0.103361531296972,0.333221933943158,-0.0363515254208879,0.0428848619789348,15.0309241788317,-13.568156508189,-1.24350726666952,3.62423085580244,9.88127199565291
PI 533750,8.2832075510895,-6.26048357215895,-2.46547418373306,-0.0825457411703611,6.49100588021941,-293.115559565753,21.8664336086379,1.74113338250768,-0.312022488601188,-88.0768169880585,5.10461313335428,1.32758837454131,0.0414274505997201,9.45130854963835,4.37300291849632,9.82115492531272,2.90429188302906,1.31405074905864,14.0843578708559,0.969009354253256,2.19508306077021,-5.58399172556023,3.02181352345254,-3.24960427016104,-4.48640907103343,-191.44257175312,16.2870798928041,2.03377420875772,1.38987199013836,-94.4247776224736,7.6943948045651,0.254556544189064,-0.115301850996203,3.72725888113278,2.63460223544447,14.2099295255702,1.80753246509717,-0.806197299655163,24.2209740404235,0.570752292427192,-0.313199441567523,5.10757413339737,-0.038751165874381,0.28545228405776,-3.76958022658198,-68.3664627214214,4.76087800040066,-1.18197605761107,8.09147775953436,3.46476641536437,-68.5135727346018,11.1687720928134,-2.36109934504088,11.2944369811491,5.1858171775872,-1.41308819504228,0.933232056580855,2.18202202431714,2.70602390842241,11.9792799478298,-1.90069388926608,2.26789562670349,0.139162899478648,0.827224024463554,0.3730980623257,-0.0176141114091636,0.190005503217225,0.313245232466934,0.419364450002288,-0.193776857014451,0.215968379790672,-0.0219693314411325,-0.00934220750272829,0.115860654792853,-0.158424910956544,-0.0002761900131926,-0.218018535007348,8.03615360571257,-0.0335470353276172,-0.0559228370176888,0.134162666058473,-0.0621320850524745,-0.428967017176572,0.134844613461829,0.440964436661334,0.0102745847849968,0.0806723687202661,-1.19891332567286,0.126221934608461,0.0804779032213019,6.50578142155206,-67.1814287021809,-1.41159468721401,3.68128843411536,7.82123895349541,10.7169125466158,0.393414766207645,-66.929675746041,6.38998935129908,1.19107265380317,-2.19197336361483,8.98454977014605,4.35499089222635,0.463635246556758,-0.00825788210053345,2.28075224675467,0.218115012553634,0.00637921240200099,-0.0978824026033286,-0.239961327836114,0.624114331307023,-0.00164823303964405,0.0790962873005411,8.47531380653204,-65.9991503148541,-1.84029865031115,3.79626810649037,8.31109047643252
PI 533752,11.1599186025003,1.91522811502828,-1.81593004738537,-2.19532921865931,37.4185779550888,83.55145468371,14.790496293805,3.71609847195498,2.69963283172373,-66.8133045179847,12.4913491799382,4.08749161029572,0.26224908953935,11.7061328956164,5.28562628675358,7.37922769077753,4.71240562159855,1.08955004432448,19.7458985909547,0.512054266173656,3.56173490762902,2.67265810921007,4.6003551894889,-6.43266201527306,19.1146494720211,155.643575687984,13.1714731184801,3.14765683214758,3.24126148403648,-74.0213691728724,4.04000700055873,3.23479270875687,0.159088410520488,8.10374268126346,4.97920454709133,10.9390781448881,4.46984678591962,0.76045028574908,26.9913607944228,-0.5671015720073,0.871949827626539,1.5705447307952,0.12899249197439,0.178378664138926,-3.0711664676848,-33.4658227880935,7.88737100252578,-1.30976772250407,10.5868063538969,3.50694964906461,-44.7674891967344,10.685809764684,-1.6536958929553,10.3158062629831,4.2820575076147,-1.48753589616165,0.521726156444172,11.6878116319569,3.63270131742773,33.8172260462864,-4.50282494279852,3.18508947526909,-0.0969689771632491,1.37785025553228,1.42127222148253,-0.0396614619730982,0.157828963238218,0.449424480270275,0.402969091945856,-0.219108036167563,0.0333766721688393,0.0746337776594317,-0.131816341671278,-0.00258482988273885,-0.131490221000678,-0.156655975923102,-0.136674403254322,2.41783779620043,0.0479498653052828,0.0601463211943581,0.113884139205278,0.0325518238929098,0.153539271081185,0.0747142382850846,0.206996154744205,-0.103325124563496,0.0210309809697548,4.42675906114083,-0.0304510327049672,-0.0069004368634869,9.63425372548628,-38.8610638230136,-1.32050083498171,4.18487637022434,10.2715761692019,12.0495151571009,1.24318678345135,-45.9989102663345,9.31765363682924,3.54915221525737,-1.63827715344841,10.7367858129941,5.12561064456802,1.52610118047947,-3.19902530502051,2.88385804149511,0.0525225287416765,0.508615025159961,-0.116648668644386,-0.245220976769621,0.93178077076729,0.0191317608635149,0.05334998761768,10.5867429875775,-41.1977663384322,-1.50942543405947,4.44540690009302,10.4598478154455
PI 533754,7.68821822423662,13.6782646136352,1.39129302592366,3.6328962917546,-4.02675090656671,-385.292286587716,11.9064323571468,0.410108357042409,1.59570644196677,-44.9209094796397,-2.94158610513661,0.421057710395425,0.324895745311032,8.18740067740746,2.33092067159575,3.07144290753524,1.30832658636258,0.00845060504330706,16.7732601640436,-0.220520120593116,-2.00623159211864,2.43442197195443,2.67999525999216,-5.84734673260515,-7.7174311547596,-213.286132756573,5.52828842644526,0.622969283542668,0.165478425382665,-59.0295858998666,3.22832607796146,0.830461900359564,0.429407511250327,0.285728660964402,0.551920506560057,5.75107605111707,0.83313881342052,-0.740068777191006,24.7944375046462,-0.78764154477014,-0.127686289671366,3.30280335897371,-0.567184297834798,0.184522734740232,-6.94009550039846,-24.2826112911826,4.61002077080409,-1.1138638280469,5.94675583676573,1.12815361491133,-22.4649773491842,8.58699984111105,-1.67597657906739,4.92493135661171,1.67377998564065,-1.95318984155772,-0.50863754099267,12.7914719789408,1.34307024861236,-7.8945409737358,-1.54072589652724,-0.177272614350937,0.206950963330649,NA,1.45135511824621,-0.0752784783408813,-0.0830679122584825,-0.32022957192853,-0.0418619950802551,0.275020698644309,0.866672083169769,-0.0498469071276057,-0.0351430674266024,-0.172265755158337,-0.166455553378859,0.0645896785863875,-0.0184947553245972,2.57016426090301,-0.128245557870981,-0.0716827538130975,0.0947971939237752,0.0146477017283351,0.014938236765956,0.0919759551402449,0.711150231291851,0.023952129182222,0.0413245786316439,1.00418631893882,-0.0760986438309562,-0.0358775257221817,5.57229266013363,-23.023925563808,-1.16569463256951,1.47496828393378,6.21114876157983,7.71810071377223,-1.04575471443167,-29.0216629227638,8.42322382713539,1.07086874091716,-1.48121261994632,4.36099658334851,1.69189674977086,1.06480074434718,-0.922647629127557,0.799382527813871,0.199987252088147,-6.51619664313206,-0.12651729603823,-0.206197568121102,0.835427035025745,-0.0468731399752184,-0.0152766419520132,6.65111977711067,-24.1815761906964,-1.3320929623219,1.42804633769506,5.34106634682268
PI 533755,16.0561195635462,-4.15080479341161,-0.130052366635833,-0.69630879196879,10.8442202219823,-226.533650204254,4.51034913152753,0.892090673078628,2.64911252577784,-76.936412732855,0.374225493040793,0.742619112350916,0.29604238173034,9.78500217226834,1.32737209949175,2.79064592304296,1.44816376882984,0.317764652338472,16.4152623328194,0.649623977620506,3.35513217552928,-14.3708978738504,5.07177850193557,-4.69192479176953,4.68630350217389,44.2608367745727,2.02946164862893,1.14876996759688,2.27600336283322,-64.6371110599175,15.0169831671364,0.686544573585675,0.0225655215512644,3.83983772191671,0.370057608736878,3.71534322672015,1.22228205723866,0.144169313112834,17.942429167463,0.125549896181255,-0.0564878476041926,0.572945420567813,0.0633310706622025,-0.0826266229386802,-3.58146895750175,-49.9453952045332,15.0277015604082,-0.96366070177902,10.2970065195707,0.944952385333145,-62.3285477099578,20.1923043117426,-2.15727557172796,10.77611118109,3.91954891765652,-1.82428852444084,0.4994156678208,8.75903482641236,1.27924891000642,-4.8341890633872,-0.235082202721732,2.54377912040686,0.072689136469207,-1.82124377423532,0.624202901343946,-0.108709747730795,-0.094587055798988,0.168239741575042,0.374520728153787,0.0234735452358216,0.736214325333054,0.0713830280538703,-0.020163873057984,-0.0746717123489117,0.0874693295017591,0.205825528551031,-0.0864640273928853,1.67683531268972,-0.0419302159689003,0.013334856832391,0.0089504049057792,0.05025584566945,0.281710897479186,-0.0204943740998744,0.44783394841368,-0.136131525433413,0.0518563926074844,-0.669849445579348,0.000572849249125707,0.255883266768569,14.9059007985277,-51.5558714921147,-1.20733414272161,0.887445483397291,8.99352100538637,15.7863921241715,0.303916779855117,-53.044424290249,12.0563421721658,1.06388482202742,-1.97407566658402,8.68917638335751,2.69141795079625,0.645693866815047,-1.34991747973673,2.43171983940707,0.0183682879745808,-1.5954131089443,-0.127514971467402,-0.219909955392035,0.544611734694419,0.115694834152605,0.0323284471036249,15.4895926270228,-50.1936496445505,-1.63475221875516,1.52617311371752,8.71582511848575
