genotype,2020:LN:daysToFlower,2020:LN:medianLeafAngle,2020:LN:leafAngleStandardDeviation,2020:LN:paniclesPerPlot,2020:LN:panicleGrainWeight,2020:LN:estimatedPlotYield,2020:LN:flagLeafLength,2020:LN:flagLeafWidth,2020:LN:extantLeafNumber,2020:LN:plantHeight,2020:LN:thirdLeafLength,2020:LN:thirdLeafWidth,2020:LN:tillersPerPlant,2020:LN:stemDiameterLower,2020:LN:stemDiameterUpper,2020:LN:rachisLength,2020:LN:rachisDiameterLower,2020:LN:rachisDiameterUpper,2020:LN:primaryBranchNumber,2020:LN:branchInternodeLength,2020:HN:daysToFlower,2020:HN:medianLeafAngle,2020:HN:leafAngleStandardDeviation,2020:HN:paniclesPerPlot,2020:HN:panicleGrainWeight,2020:HN:estimatedPlotYield,2020:HN:flagLeafLength,2020:HN:flagLeafWidth,2020:HN:extantLeafNumber,2020:HN:plantHeight,2020:HN:thirdLeafLength,2020:HN:thirdLeafWidth,2020:HN:tillersPerPlant,2020:HN:stemDiameterLower,2020:HN:stemDiameterUpper,2020:HN:rachisLength,2020:HN:rachisDiameterLower,2020:HN:rachisDiameterUpper,2020:HN:primaryBranchNumber,2020:HN:branchInternodeLength,2020:HN:percentMoisture,2020:HN:percentProtein,2020:HN:percentOil,2020:HN:percentAsh,2020:HN:percentStarch,2021:LN:plantHeight,2021:LN:daysToFlower,2021:LN:tillersPerPlant,2021:LN:stemDiameterLower,2021:LN:stemDiameterUpper,2021:HN:plantHeight,2021:HN:daysToFlower,2021:HN:tillersPerPlant,2021:HN:stemDiameterLower,2021:HN:stemDiameterUpper,2021:HN:paniclesPerPlant,2021:HN:extantLeafNumber,2021:HN:thirdLeafLength,2021:HN:thirdLeafWidth,2021:HN:seedMassPerPlant,2021:HN:percentProtein,2021:HN:percentOil,2021:HN:percentAsh,2021:HN:percentStarch,2021:HN:percentMoisture,2020:daysToFlower:NR,2020:medianLeafAngle:NR,2020:leafAngleStandardDeviation:NR,2020:paniclesPerPlot:NR,2020:panicleGrainWeight:NR,2020:estimatedPlotYield:NR,2020:flagLeafLength:NR,2020:flagLeafWidth:NR,2020:extantLeafNumber:NR,2020:plantHeight:NR,2020:thirdLeafLength:NR,2020:thirdLeafWidth:NR,2020:tillersPerPlant:NR,2020:stemDiameterLower:NR,2020:stemDiameterUpper:NR,2020:rachisLength:NR,2020:rachisDiameterLower:NR,2020:rachisDiameterUpper:NR,2020:primaryBranchNumber:NR,2020:branchInternodeLength:NR,2021:plantHeight:NR,2021:daysToFlower:NR,2021:tillersPerPlant:NR,2021:stemDiameterLower:NR,2021:stemDiameterUpper:NR,LN:daysToFlower,LN:plantHeight,LN:tillersPerPlant,LN:stemDiameterUpper,LN:stemDiameterLower,HN:daysToFlower,HN:extantLeafNumber,HN:plantHeight,HN:thirdLeafLength,HN:thirdLeafWidth,HN:tillersPerPlant,HN:stemDiameterLower,HN:stemDiameterUpper,HN:percentMoisture,HN:percentProtein,HN:percentOil,HN:percentAsh,HN:percentStarch,daysToFlower:NR,plantHeight:NR,tillersPerPlant:NR,stemDiameterUpper:NR,stemDiameterLower:NR,daysToFlower,plantHeight,tillersPerPlant,stemDiameterUpper,stemDiameterLower
PI 17548,61.928331602332825,,4.340019388459506,,20.215651840514084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.63205176932631,1.036852478037193,18.30007141033994,6.96059685626677,,63.90085791133636,0.42177471602998384,16.347295635685388,6.6162651101803505,-1.50266987530296,0.249703069174234,5.26863507752746,0.47409528875131,-10.9329757963812,-2.71092818713749,1.59024438269341,-0.0433603078968123,-8.80007654145052,0.885178243165893,,,,,,,,,,,,,,,,,,,,,,0.0042243827526497,-0.5932162723588,-0.106708642325362,-0.0494687098242752,6.09674011937848,,-0.822496606451581,-0.391604764802758,2.35726483461892,8.37065054095782,0.186052352386634,,4.45573596831896,0.503740402424852,-1.86343964812399,3.38329310845912,0.221803425261702,0.919258268030001,-2.49664503396736,1.63340397581436,-0.0217068406672552,-8.79879259892287,-0.123953342341977,,0.27832573715576,-0.0097079187193801,0.0901295291020334,6.72495100182454,,-1.35050424909211,-0.180951948188463,2.68229513813904
PI 276837,63.28702494039227,45.31562828786097,8.947377561933536,,41.749019920007605,,,,,,,,0.8531089790197319,17.210609341790388,8.010612540859382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1878852017466599,17.277292395927695,7.537380904872344,,85.35394048682268,0.6474771030699538,18.165274091541797,9.649199784073938,-1.07364233916261,3.18795289908248,15.0346260247931,3.95464300382117,-8.33229042086512,-1.35989986846985,3.34593238541594,-0.0155473949347497,0.781783031989745,0.8360909196718,,,,,,,,,,,,,,,,,,,,,,,2.44613145181604,0.0513958828307725,0.280179402614038,17.2257187970872,24.0925567326015,-0.953269867172605,0.0368297608331756,1.64596971220102,19.5538649891417,-0.445584893006467,79.0083795099947,8.44416873469797,2.11481800918124,-1.71654220608854,4.14646191193012,2.08109562655731,0.77842941215423,-2.23765256797666,2.83747825172352,0.0145012315875136,1.41220050536225,-0.107468320876803,,0.4646028291629,0.154437987441853,0.149267189660487,18.3753323523245,61.584865604483,-1.33880984799977,0.820722317817059,2.78354109527626
PI 329435,75.15010561037788,35.39299120916603,3.422012804372316,2.9391130712615716,17.736914605383156,9.03490890767614,,5.991123840391831,13.059297393690168,75.35363815872064,76.00316925493428,10.230507356460826,0.3938940417821369,28.412160948459608,10.664066231173479,20.28454618027761,7.352394095983079,2.8264369273873804,74.6854816128872,2.1826557144986833,65.75241048461014,42.243888614440635,7.188677354998466,13.363036152475095,40.308335660817505,519.0644867857968,55.09362906409862,6.9852556225201194,12.919336486989462,119.93343217164212,77.3939606297941,8.670180090185891,0.28642045872838284,25.051294903371335,12.63283726535352,24.52437641025515,7.8911245986916105,3.1511753971383945,50.586714949775185,3.06544034982061,0.0467446705181504,0.886358388336176,-0.104955185970357,0.160673144829612,-0.778535697863444,73.47285482685228,62.065407661231724,,20.061226292465516,10.029086489455784,,,,,,,,,,,,,,,,-0.125052320944044,0.193566499219777,1.10071608902617,,1.27256749877929,,,0.165934106623854,-0.01071733819067,,0.0182991234246392,-0.152517095380372,-0.272848968640144,-0.118289701764854,0.184617292456875,0.20901775136088,0.0732728000805696,0.114893230627009,,0.404454366970417,,,,,,13.5665633586275,-60.6167381745444,-0.740035396000726,2.59525293304823,8.87272132522581,14.5954189046017,2.12287008497385,-7.17067650053427,25.1385252803116,3.32406563292195,-2.51965825330628,7.8244004865866,4.91586829495184,0.920778560798244,-2.53710691041456,2.25708921281041,0.151114603573052,2.10431930698588,-0.127784098876198,,-0.122688433076831,0.143928220636407,0.0100663559667853,13.7891272278443,-40.8048341405495,-1.44639048979344,3.39363591157747,8.52012264734408
PI 329440,65.54930358331598,49.49512253150479,7.636032868179106,10.316707150530362,35.8230635214162,680.6227277239151,39.97752897264051,4.2816307174092305,14.346725404217507,74.96710909687503,64.73382736136577,7.857072294552967,0.8765061197671539,20.88166895980594,9.17807119513175,21.389933773565957,8.12725498149321,2.8677383816652804,43.101765975559054,1.1248688725158753,62.43806283566704,40.66888772810046,8.016813839748016,20.311138248954204,43.395436479494705,805.442771910059,41.12738427636692,5.206697914082159,10.99696617122683,71.38082450953172,68.28842148356259,5.516783886467351,2.240082751621869,23.624530882664263,11.081222791248,19.75249283221236,8.959357227836382,3.5611627717434433,43.025424590102176,1.8543781428393435,-0.435597520175218,2.47341696335442,-0.0459682152677388,0.246586588985357,-0.047052044116375,65.51943704636338,62.4691793646747,0.28087293449291995,17.42255192839235,9.020760657053074,55.42422434458824,66.94372392241928,0.503221579614684,16.2288022109137,7.890866800324087,-1.54778755153639,-3.4079777910822,8.81136568334259,1.23309076102802,-23.3020013573786,1.688608297359,1.42513036847606,0.576579251408922,-1.72225792235825,1.02817593592857,-0.047464131235115,-0.178325345043569,0.0498663348026826,0.968761733040958,0.211382618171431,0.183390943472542,0.0287625406891292,0.216054876687888,-0.233485979456047,-0.0478381070118237,0.0549109216477171,-0.297857563269216,1.55569550640097,0.13135261976128,0.207358556678632,-0.0765519406786183,0.102384168853811,0.241801830498742,-0.0017711892709953,0.64852827573747,-0.154079661805268,0.0716280348685813,0.791634286597207,-0.0685175009025667,-0.125254831569615,7.83051043415907,-66.136074674343,-0.878618894178276,1.31845983810409,3.8632999542328,11.8797055954879,-0.704009545260042,-68.0764594276004,12.5185452039401,0.771328924004951,-1.12695075592643,4.61049495243791,2.34567822172352,0.680077514314604,0.321737588175186,1.93237434967674,0.41209079763746,0.646321891243404,-0.0982983639459636,-0.262633736548501,0.737371241628055,0.0332303578485906,0.0754461822154146,9.56126239145043,-65.239575771571,-1.04539649941571,1.6938334156327,4.10858815142974
PI 34911,76.16926158376947,,,6.716118829310582,,,,,16.023627053964116,148.49253370008944,68.53569715587908,7.982144871377537,1.925727951525835,,11.98266716308336,16.630213191384048,9.146695215997319,3.0217703830850207,62.85497179307289,1.9188455860933562,70.80380867310882,48.09239440872794,1.170330865766946,8.440289049279475,,,51.15584118645022,6.442281531387609,12.890101574057361,123.11821397688442,61.01847591934565,6.503751912062751,1.7964864071804598,26.480046542055867,13.23449397819181,19.874732325680352,10.01115262098699,2.2155550720320454,59.726680200563585,2.6993845239172605,,,,,,153.42924352990167,72.17715808136617,,19.495243600356858,8.936359087182675,151.89777404542573,72.43824566681128,1.6565057982542237,19.622000228746916,10.045958810553417,-0.463341787382398,2.88926790014555,13.8794956504204,2.22165414289527,16.0890651048537,-2.95339286936069,2.56186465559252,-0.23641676690309,-0.891777472037014,0.712742962927549,-0.0704411832161432,,,0.256721220066009,,,,,-0.195556565898203,-0.170879431382413,-0.109683297150039,-0.185212494027266,-0.0671130853363659,,0.104469797756307,0.195097867775817,0.0945103542400491,-0.266802307536646,-0.0497699943738426,0.406775273362684,-0.0099816009597776,0.0036173159540422,,0.006501925853737,0.124166868469087,17.7621570255726,14.1558918417542,0.392158082683225,2.82735720365269,6.28902715248349,18.6858928795012,1.95835404786046,3.41732945890547,10.6745101067341,1.74304616594866,-0.749751126936482,8.4357222244608,4.76909842879925,0.71245430373202,-3.0052106813113,2.55787139340245,-0.243019286028164,-0.791791218658381,-0.122858653222403,-0.188564726088941,0.133498982333924,0.108179867120552,0.115123087589717,18.3254763674827,9.98151640058606,-0.203639341165499,3.59217242436432,7.62504654094558
PI 48770,68.15565819453957,43.41226185047822,7.928608179896104,9.65924024807964,38.758197204854106,421.3337687270091,33.58407199103469,4.826559638515011,15.071870558742326,98.70509100332544,71.04560092339297,7.738789841063718,1.354249321235745,25.35711095405631,11.1452264672158,29.53276237999176,7.5776939347328085,1.9026671874583534,75.6018592326416,1.6205983986308274,66.13642922822712,41.5997612536707,4.883865776071476,16.272407962202514,24.05791030220271,315.75978385608914,37.139868283374106,4.429828677961059,13.789310660399032,102.07196970118812,69.56958928371989,6.004246728362077,0.3190162246980759,26.993664970047504,11.32898471018227,29.468171058749594,7.288312201849971,2.012507762519215,77.85768205535928,2.1156254559328995,-0.667131766272142,0.901962226343489,0.0793577990751303,0.104229513424403,-3.843445774242,126.30375507868263,74.36862218895477,0.14897605696121996,25.202458432948205,11.397614143568415,145.47624061391713,70.88095628906828,1.2878173795234638,23.480149240845748,10.811363272403577,-0.545819968707961,3.10447870765599,12.9438528350748,4.12940631226686,37.3829443787039,-0.791508186493265,2.08879043477188,0.0893187550325763,-1.47894905600608,0.893020314733875,-0.0296267253490366,-0.0417508906366173,-0.384019784398594,0.684646778035949,-0.379282009040666,-0.250570907691293,0.10587746159217,-0.0821974636733192,-0.0850962654797584,0.0341104867402353,-0.0207755528912283,-0.224136221337576,-0.764433166259979,0.0645402395784148,0.01648761857886,-0.0021871073356134,-0.0381886277507782,0.0577297888905052,0.0298381924150318,0.305459426419463,0.151796639167938,-0.0468970084053071,7.64445875258137,-0.0683389359289971,-0.0514362798898274,15.006250786121,-18.7127311986442,-0.767595883818038,3.68137707500315,9.92473661749797,15.2596253402427,2.45774902543153,-11.9174063619891,14.1235293403146,2.44461143461717,-1.69050935810096,10.012534970823,3.925214130304,0.626051671972039,-1.20264944227187,2.23856470642061,0.0975037634434052,-1.22747522771779,-0.134763507944852,-0.103361531296972,0.333221933943158,-0.0363515254208879,0.0428848619789348,15.0309241788317,-13.568156508189,-1.24350726666952,3.62423085580244,9.88127199565291
PI 533750,63.31666176989218,37.587197148274115,4.678220096486536,13.350597618408012,21.713712880666915,230.85800997645111,46.46262956323412,4.9051156565944805,9.730056092174548,71.87162490602664,63.20476427829665,7.345840981056117,0.08549577819332499,24.706963269018857,11.86437488102667,27.163085811289477,8.39998254313162,3.1340742606587404,55.11609829109139,2.5059415123597213,62.20139503542093,44.72897145695698,6.143650238141946,18.949363645853534,17.506097844537074,280.71604035276414,45.44187665473292,4.8592910483057,10.857386762185081,60.48536912998732,63.187307753616786,5.744311491969325,0.7725529843948158,23.878117899394955,11.200885378238251,30.807357822107193,7.8780741133224605,1.7896597734540922,62.548207260677785,3.6109725996636755,-0.313199441567523,5.10757413339737,-0.038751165874381,0.28545228405776,-3.76958022658198,66.44773538854018,61.62178117749613,0.2490187716521799,21.688323379324167,10.822496971380565,67.13045827956084,66.59295622984668,-0.049533152024306304,24.425865514676346,11.693468835256168,-1.41308819504228,0.933232056580855,2.18202202431714,2.70602390842241,11.9792799478298,-1.90069388926608,2.26789562670349,0.139162899478648,0.827224024463554,0.3730980623257,-0.0176141114091636,0.190005503217225,0.313245232466934,0.419364450002288,-0.193776857014451,0.215968379790672,-0.0219693314411325,-0.0093422075027282,0.115860654792853,-0.158424910956544,-0.0002761900131926,-0.218018535007348,8.03615360571257,-0.0335470353276172,-0.0559228370176888,0.134162666058473,-0.0621320850524745,-0.428967017176572,0.134844613461829,0.440964436661334,0.0102745847849968,0.0806723687202661,-1.19891332567286,0.126221934608461,0.0804779032213019,6.50578142155206,-67.1814287021809,-1.41159468721401,3.68128843411536,7.82123895349541,10.7169125466158,0.393414766207645,-66.929675746041,6.38998935129908,1.19107265380317,-2.19197336361483,8.98454977014605,4.35499089222635,0.463635246556758,-0.0082578821005334,2.28075224675467,0.218115012553634,0.0063792124020009,-0.0978824026033286,-0.239961327836114,0.624114331307023,-0.001648233039644,0.0790962873005411,8.47531380653204,-65.9991503148541,-1.84029865031115,3.79626810649037,8.31109047643252
PI 533752,66.19337282130297,45.762908835461346,5.327764232834226,11.237814140919062,52.64128495553631,607.5250242259142,39.38669224840121,6.880080746041781,12.741711412499466,93.13513737610043,70.59150032488057,10.105744216810528,0.3063174171329549,26.961787614996908,12.77699824928393,24.721158576754288,10.20809628170111,2.9095735559245806,60.77763901119019,2.0489864242801215,63.56804688227974,52.98562129172728,7.722191904178306,15.766305900741514,41.1071563875916,627.8021877938681,42.326269880408915,5.97317367169556,12.708776256083201,80.88877757958852,59.53291994961042,8.724547656537132,1.046943245911507,28.254601699525637,13.54548768988511,27.536506441425093,10.54038843414491,3.356307358858335,65.31859401467709,2.4731187352291837,0.871949827626539,1.5705447307952,0.12899249197439,0.178378664138926,-3.0711664676848,101.34837532186808,64.74827417962125,0.12122710675917991,24.183651973686707,10.864680205080804,90.87654181742823,66.10999390171727,0.6578703000612738,23.447234796510347,10.789709165283668,-1.48753589616165,0.521726156444172,11.6878116319569,3.63270131742773,33.8172260462864,-4.50282494279852,3.18508947526909,-0.0969689771632491,1.37785025553228,1.42127222148253,-0.0396614619730982,0.157828963238218,0.449424480270275,0.402969091945856,-0.219108036167563,0.0333766721688393,0.0746337776594317,-0.131816341671278,-0.0025848298827388,-0.131490221000678,-0.156655975923102,-0.136674403254322,2.41783779620043,0.0479498653052828,0.0601463211943581,0.113884139205278,0.0325518238929098,0.153539271081185,0.0747142382850846,0.206996154744205,-0.103325124563496,0.0210309809697548,4.42675906114083,-0.0304510327049672,-0.0069004368634869,9.63425372548628,-38.8610638230136,-1.32050083498171,4.18487637022434,10.2715761692019,12.0495151571009,1.24318678345135,-45.9989102663345,9.31765363682924,3.54915221525737,-1.63827715344841,10.7367858129941,5.12561064456802,1.52610118047947,-3.19902530502051,2.88385804149511,0.0525225287416765,0.508615025159961,-0.116648668644386,-0.245220976769621,0.93178077076729,0.0191317608635149,0.05334998761768,10.5867429875775,-41.1977663384322,-1.50942543405947,4.44540690009302,10.4598478154455
PI 533754,62.721672443039296,57.52594533406827,8.534987306143256,17.06603965133297,11.195956093880795,138.68128295448815,36.50262831174301,3.5740906311292098,11.637785022742507,115.02753241444543,55.158565039805765,6.439310316910233,0.3689640729046369,23.44305539678797,9.8222926341261,20.413373793511997,6.804017246465139,1.8284741166434075,57.80500058427909,1.3164120375133492,58.00008038253208,52.74738515447164,5.801831974681566,16.351621183409424,14.275075760810902,258.8724793493111,34.68308518837408,3.4484861230906474,9.632993197429386,95.88056085259431,58.72123902701315,6.320216848139825,1.3172623466413458,20.436587679226577,9.118203649353838,22.348504347654064,6.903680461645811,1.855788295918249,63.12167072490048,2.2525787624663436,-0.127686289671366,3.30280335897371,-0.567184297834798,0.184522734740232,-6.94009550039846,110.53158681877898,61.470923947899564,0.31713100121634996,19.543601456555535,8.485884170927523,113.17905366497844,64.01118397814433,0.6355896139491839,18.056359890138957,8.181431643309617,-1.95318984155772,-0.50863754099267,12.7914719789408,1.34307024861236,-7.8945409737358,-1.54072589652724,-0.177272614350937,0.206950963330649,,1.45135511824621,-0.0752784783408813,-0.0830679122584825,-0.32022957192853,-0.0418619950802551,0.275020698644309,0.866672083169769,-0.0498469071276057,-0.0351430674266024,-0.172265755158337,-0.166455553378859,0.0645896785863875,-0.0184947553245972,2.57016426090301,-0.128245557870981,-0.0716827538130975,0.0947971939237752,0.0146477017283351,0.014938236765956,0.0919759551402449,0.711150231291851,0.023952129182222,0.0413245786316439,1.00418631893882,-0.0760986438309562,-0.0358775257221817,5.57229266013363,-23.023925563808,-1.16569463256951,1.47496828393378,6.21114876157983,7.71810071377223,-1.04575471443167,-29.0216629227638,8.42322382713539,1.07086874091716,-1.48121261994632,4.36099658334851,1.69189674977086,1.06480074434718,-0.922647629127557,0.799382527813871,0.199987252088147,-6.51619664313206,-0.12651729603823,-0.206197568121102,0.835427035025745,-0.0468731399752184,-0.0152766419520132,6.65111977711067,-24.1815761906964,-1.3320929623219,1.42804633769506,5.34106634682268
PI 533755,71.08957378234888,39.69687592702146,7.013641913583763,12.736834567609582,26.066927222429804,297.43991933795013,29.10654508612374,4.056072947165429,12.691191106553577,83.01202916123013,58.47437663798316,6.760871718865724,0.3401107093239449,25.04065689164885,8.8187440620221,20.132576809019717,6.943854428932399,2.1377881639385725,57.44700275305489,2.1865561357269714,63.36144415018,35.94206530866681,8.193615216624975,17.507043124245044,26.67881041774439,516.4194488804568,31.18425841055775,3.9742868071448596,11.743518134879942,90.27303569254342,70.50989611618809,6.1762995213659355,0.9104203569422833,23.990696740178883,8.93634075153066,20.312771523257144,7.292823705463951,2.7400263862220893,56.26966238771729,3.1657702034177384,-0.0564878476041926,0.572945420567813,0.0633310706622025,-0.0826266229386802,-3.58146895750175,84.86880290542838,71.88860473750367,0.46733412748423,23.893852139360508,8.302682941349339,73.31548330420483,75.61648844877588,0.15429062128861393,23.907539714617247,10.427200575325488,-1.82428852444084,0.4994156678208,8.75903482641236,1.27924891000642,-4.8341890633872,-0.235082202721732,2.54377912040686,0.072689136469207,-1.82124377423532,0.624202901343946,-0.108709747730795,-0.094587055798988,0.168239741575042,0.374520728153787,0.0234735452358216,0.736214325333054,0.0713830280538703,-0.020163873057984,-0.0746717123489117,0.0874693295017591,0.205825528551031,-0.0864640273928853,1.67683531268972,-0.0419302159689003,0.013334856832391,0.0089504049057792,0.05025584566945,0.281710897479186,-0.0204943740998744,0.44783394841368,-0.136131525433413,0.0518563926074844,-0.669849445579348,0.0005728492491257,0.255883266768569,14.9059007985277,-51.5558714921147,-1.20733414272161,0.887445483397291,8.99352100538637,15.7863921241715,0.303916779855117,-53.044424290249,12.0563421721658,1.06388482202742,-1.97407566658402,8.68917638335751,2.69141795079625,0.645693866815047,-1.34991747973673,2.43171983940707,0.0183682879745808,-1.5954131089443,-0.127514971467402,-0.219909955392035,0.544611734694419,0.115694834152605,0.0323284471036249,15.4895926270228,-50.1936496445505,-1.63475221875516,1.52617311371752,8.71582511848575
