UID,geno,panicle_num,panicle_weight,panicle_avg,rachis_len,rachis_dia,DaysToBloom,PlantHeight,Treatment_Type,note
10101,PI 533919,3,222.5,74.16666667,37.7,1.413333333,67,273,LN,Medium_Late
10102,PI 533761,3,244.3,81.43333333,26.03333333,1.233333333,74.44444444,262,LN,Medium_Late
10103,PI 534096,3,157.5,52.5,33.36666667,0.701,72,236.3333333,LN,Medium_Late
10104,PI 533964,2,144.4,72.2,20.05,1.261,72.625,272.6,LN,Medium_Late
10105,PI 576422,3,355.3,118.4333333,34.4,1.047,68.375,241.6,LN,Medium_Late
10106,PI 534163,3,231.3,77.1,28.43333333,0.733,72.11111111,235,LN,Medium_Late
10107,PI 576418,3,153.8,51.26666667,40.73333333,0.699666667,70.55555556,250.3333333,LN,Medium_Late
10108,PI 564164,3,286,95.33333333,31.86666667,0.831333333,71.44444444,231.6666667,LN,Medium_Late
10109,PI 641836,3,192.3,64.1,23.5,0.731333333,NA,NA,LN,Medium_Late
10110,PI 656027,3,424.2,141.4,37.76666667,1.156,74,259.25,LN,Medium_Late
10111,PI 656056,3,282.2,94.06666667,27.1,0.932,73.11111111,260.1666667,LN,Medium_Late
10112,PI 655989,3,288.6,96.2,30.7,0.897333333,NA,NA,LN,Medium_Late
10113,PI 533936,3,125.5,41.83333333,24.1,0.613666667,65.25,227.8,LN,Short_Early
10114,PI 533996,3,259.8,86.6,24.13333333,1.197666667,62.55555556,143.1666667,LN,Short_Early
10115,PI 533987,3,286.8,95.6,26.93333333,1.040333333,58.77777778,231.1666667,LN,Short_Early
10116,PI 533769,3,185.1,61.7,22.56666667,0.921666667,59.14285714,211.4,LN,Short_Early
10117,check,3,488.9,162.9666667,38.8,1.191,NA,NA,LN,NA
10118,PI 595741,3,133.5,44.5,35.4,0.649333333,64.125,198.4,LN,Short_Early
10119,PI 552861,3,361.3,120.4333333,36.4,1.225666667,64.33333333,221.8333333,LN,Short_Early
10120,PI 534123,3,84.2,28.06666667,25.93333333,0.899666667,63.66666667,185.6666667,LN,Short_Early
10121,PI 656116,3,121.1,40.36666667,29.4,0.639,57.55555556,217.6666667,LN,Short_Early
10122,PI 656109,3,140.7,46.9,19.13333333,0.938,57.75,147.2,LN,Short_Early
10123,PI 659693,3,128.7,42.9,21.23333333,0.947333333,50.875,230,LN,Short_Early
