"Taxa"	"HN"	"LN"
"1"	"PI152651"	0.668663462817068	0.333333331875941
"2"	"PI17548"	0.504030427681512	0.233333335459593
"3"	"PI24969"	1.03719974997585	0.133333335121374
"4"	"PI276837"	1.035330129484	0.100000002061183
"5"	"PI329435"	NA	NA
"6"	"PI329440"	0.693124350594729	0.133333333333333
"7"	"PI34911"	0.806024196451154	0.0999999999466656
"8"	"PI35038"	0.799999999999997	0.100000000323214
"9"	"PI48770"	0.585024800041893	0.0999999970638228
"10"	"PI533750"	0.386311947815365	0.200000002191336
"11"	"PI533752"	0.694655689862225	0.100000002114517
"12"	"PI533754"	1.19613101626742	0.100000002437732
"13"	"PI533755"	NA	NA
"14"	"PI533757"	0.628263567648733	0.133333335447851
"15"	"PI533758"	0.91964528114869	0.166666668510244
"16"	"PI533759"	0.933333333333348	0.166666666989881
"17"	"PI533760"	0.204034631382537	0.10000000178804
"18"	"PI533761"	1.7	0.166666657094234
"19"	"PI533762"	0.46666666666666	0.200000000411775
"20"	"PI533766"	0.53333333333333	0.0999999905161278
"21"	"PI533769"	0.913562406987526	0.133333333345075
"22"	"PI533776"	0.768663462817334	0.100000002203078
"23"	"PI533785"	1.08710015414358	0.0999999904275673
"24"	"PI533788"	0.874323195817177	0.4
"25"	"PI533789"	1.0093410478427	0.0999999999999999
"26"	"PI533792"	0.701996796150664	0.266666666743485
"27"	"PI533794"	0.85025781264795	0.0999999997290603
"28"	"PI533799"	1.49999999999981	0.2
"29"	"PI533800"	1.07472800457662	0.0999999997290603
"30"	"PI533807"	0.374994606032795	0.100000002449474
"31"	"PI533810"	NA	0.133333335394516
"32"	"PI533814"	0.62946434960076	NA
"33"	"PI533821"	1.37946434960057	0.599999990450933
"34"	"PI533822"	0.771901134288065	0.133333333333333
"35"	"PI533824"	0.253540029202949	0.200000000400033
"36"	"PI533830"	0.593730398076531	0.100000002137883
"37"	"PI533831"	0.287100154143575	0.133333335394516
"38"	"PI533833"	0.766666666666671	0.166666667313095
"39"	"PI533838"	0.433333333333328	0.15
"40"	"PI533839"	0.500000000000007	0.100000000334956
"41"	"PI533841"	0.987199749975847	0.100000001788041
"42"	"PI533842"	NA	NA
"43"	"PI533843"	0.433333333333329	0.100000002114517
"44"	"PI533845"	0.761306553848156	0.266666668858002
"45"	"PI533852"	0.500000000000007	0.199999990504386
"46"	"PI533855"	0.81367315434595	0.1666666670667
"47"	"PI533856"	1.42009062512173	0.166666666666667
"48"	"PI533863"	0.605458287518803	0.1
"49"	"PI533866"	0.284345089334197	0.133333333333333
"50"	"PI533869"	0.690989862483846	0.233333335198192
"51"	"PI533871"	0.751011756000868	0.200000001799783
"52"	"PI533876"	0.333333333333333	0.100000000011742
"53"	"PI533877"	0.689357529784486	0.166666666989881
"54"	"PI533878"	0.845085231154525	0.133333331865245
"55"	"PI533882"	NA	NA
"56"	"PI533901"	0.766666666666673	0.100000000323214
"57"	"PI533902"	0.870701298049197	0.100000000593095
"58"	"PI533903"	0.466666666666674	0.200000000076818
"59"	"PI533910"	0.700000000000002	0.200000001788041
"60"	"PI533911"	0.550257812647941	0.100000002114517
"61"	"PI533912"	NA	0.166666663807308
"62"	"PI533913"	NA	NA
"63"	"PI533915"	1.0052344676214	0.233333333603213
"64"	"PI533919"	0.841394671243283	0.26666666373049
"65"	"PI533921"	NA	0.0999999999999998
"66"	"PI533924"	0.43710015414358	0.100000002437732
"67"	"PI533927"	0.590621058479697	0.1
"68"	"PI533936"	0.766666666666676	0.100000000323214
"69"	"PI533937"	0.664182499418472	0.166666668781184
"70"	"PI533938"	0.880339821012624	0.13333333405658
"71"	"PI533939"	0.574323195817183	0.1
"72"	"PI533940"	0.422690863117821	0.166666665198578
"73"	"PI533943"	0.649207299460356	0.166666666666667
"74"	"PI533948"	1.07472800457662	0.266666666690032
"75"	"PI533949"	0.847006487679279	0.100000002114517
"76"	"PI533954"	0.729464349600754	0.133333334068323
"77"	"PI533955"	0.800000000000002	0.166666666395727
"78"	"PI533956"	NA	NA
"79"	"PI533957"	0.852978614482029	0.266666668454707
"80"	"PI533961"	1.00557717066174	0.166666668401373
"81"	"PI533962"	1.13333333333334	0.100000000375489
"82"	"PI533964"	0.599999999999817	0.100000002114517
"83"	"PI533965"	1.30297861448203	0.100000002114517
"84"	"PI533967"	1.05297861448203	0.100000000011742
"85"	"PI533970"	0.103866416642517	0.200000000088561
"86"	"PI533972"	1.64139467124329	0.233333333410152
"87"	"PI533976"	0.500000000000004	0.133333333345075
"88"	"PI533979"	0.946224330105238	0.133333335459593
"89"	"PI533980"	0.418048916060975	0.1
"90"	"PI533985"	0.8707012980492	0.200000002114517
"91"	"PI533986"	1.09062105847951	0.200000000088561
"92"	"PI533987"	0.666666666666673	0.133333333656548
"93"	"PI533989"	1.14139467124328	0.100000000088561
"94"	"PI533991"	0.733333333333332	0.299999998555277
"95"	"PI533996"	0.540524112598639	0.15000000008856
"96"	"PI533997"	0.600000000000001	0.100000002191336
"97"	"PI534009"	1.37085902084404	0.099999997063823
"98"	"PI534021"	0.818358133375235	0.2333333237609
"99"	"PI534028"	0.630597633660558	0.233333331942063
"100"	"PI534037"	0.833333333333335	0.100000000400033
"101"	"PI534046"	0.284345089334203	0.100000001876601
"102"	"PI534047"	0.700000000000005	0.166666666666666
"103"	"PI534053"	0.73762754615898	0.100000002437732
"104"	"PI534054"	0.90000000000001	0.20000000178804
"105"	"PI534063"	1.17302910002734	0.299999998531911
"106"	"PI534070"	0.599999999999821	0.100000002114517
"107"	"PI534075"	0.51152294579302	0.100000002191336
"108"	"PI534079"	0.835282612689835	0.200000002114518
"109"	"PI534088"	NA	NA
"110"	"PI534092"	1.57875843225812	0.166666668869745
"111"	"PI534096"	0.66666666666648	0.199999997063823
"112"	"PI534097"	0.450000000000005	0.100000002437732
"113"	"PI534099"	0.556024196451157	0.400000002061183
"114"	"PI534101"	0.517678422667537	0.100000002114518
"115"	"PI534105"	0.970533083309176	0.199999990427567
"116"	"PI534108"	0.670701298049199	0.100000002114517
"117"	"PI534112"	0.518358133375228	0.166666667324837
"118"	"PI534114"	0.788754087939064	0.166666668781184
"119"	"PI534115"	NA	NA
"120"	"PI534116"	0.799554974722486	0.2
"121"	"PI534117"	0.923954391813028	0.266666668781184
"122"	"PI534123"	0.576933006295058	0.25
"123"	"PI534124"	0.647006487679284	0.299999998620472
"124"	"PI534127"	0.533333333333335	0.0999999999466656
"125"	"PI534128"	2.03719974997584	0.3
"126"	"PI534132"	0.829464349600755	0.100000000323214
"127"	"PI534133"	0.747006487679291	0.200000001843578
"128"	"PI534135"	0.850000000000002	0.100000000323214
"129"	"PI534137"	0.766666666666479	0.166666669181217
"130"	"PI534138"	NA	NA
"131"	"PI534139"	0.908327939366126	0.133333333679913
"132"	"PI534144"	0.799999999999997	0.333333333279999
"133"	"PI534145"	0.566666666666674	0.200000000400033
"134"	"PI534148"	0.450257812647942	0.166666666989881
"135"	"PI534155"	0.737363761014839	0.250000000076819
"136"	"PI534157"	1.65297861448203	0.200000002114517
"137"	"PI534163"	0.40586321279318	0.266666666666667
"138"	"PI534167"	1.18469881722215	0.1
"139"	"PI540816"	NA	NA
"140"	"PI542406"	NA	NA
"141"	"PI542718"	1.09165248389122	0.1
"142"	"PI548797"	0.322690863117818	0.100000002114518
"143"	"PI552856"	1.00806133790995	0.2333333237609
"144"	"PI552861"	NA	NA
"145"	"PI561071"	0.518358133375228	0.100000002114517
"146"	"PI561072"	0.536569760463303	0.0999999967928833
"147"	"PI561073"	0.674994606032799	0.300000002114517
"148"	"PI561472"	0.72533495181804	0.133333334003127
"149"	"PI562730"	NA	NA
"150"	"PI564163"	0.723581031369807	0.139347844144034
"151"	"PI564164"	2.17946434960076	0.100000002437732
"152"	"PI564165"	0.864182499418463	0.2
"153"	"PI565121"	0.451691466708556	0.15
"154"	"PI566819"	0.680849166084942	0.0999999970638229
"155"	"PI576130"	0.407374189361535	0.100000002114517
"156"	"PI576332"	0.604034631382529	0.299999999946666
"157"	"PI576333"	0.366666666666487	0.200000000011742
"158"	"PI576337"	0.750257812647939	0.0999999970638228
"159"	"PI576339"	0.477855653764412	0.133333333656548
"160"	"PI576340"	0.666666666666667	0.100000002114517
"161"	"PI576345"	0.389357529784491	0.100000000088561
"162"	"PI576347"	1.02043348747692	0.1
"163"	"PI576348"	0.6975158327518	0.100000000334957
"164"	"PI576349"	NA	NA
"165"	"PI576350"	NA	NA
"166"	"PI576352"	0.676453058482399	0.1
"167"	"PI576359"	0.604030427681508	0.1
"168"	"PI576364"	0.487996350163123	0.1
"169"	"PI576366"	NA	NA
"170"	"PI576373"	1.21367315434595	0.100000000646429
"171"	"PI576375"	0.600000000000012	0.0999999999466656
"172"	"PI576376"	0.840989862483653	0.100000000023366
"173"	"PI576380"	1.53333333333335	0.300000002203078
"174"	"PI576381"	0.583827780567157	0.299999998260972
"175"	"PI576385"	0.27053308330918	0.100000000088561
