plot_id,geno,block,column,range,experiment,Chl 1,Chl 2,Chl 3,Node Number,Plant Height 1,Plant Height 2,Plant Height 3,Scenescence
30101,PI 533800,3,1,1,HN,83,55.6,38,13,3.3,3.6,3.6,25-50%
30102,PI 533972,3,2,1,HN,58.5,46.7,40.2,11,3.4,3.7,3.3,0-25%
30103,PI 533807,3,3,1,HN,80.6,49.1,46.8,13,3.2,3.3,3.2,50-75%
30104,check,3,4,1,HN,78.5,54.3,51.3,11,4.4,5,4.6,25-50%
30105,PI 576348,3,5,1,HN,88.6,71.5,59.6,10,4.2,4.2,4.2,50-75%
30106,PI 656003,3,6,1,HN,76.4,71.3,56.9,14,5.1,4.2,5.1,0-25%
30107,PI 656061,3,7,1,HN,74.6,68,51.1,15,4.2,4.2,3.9,25-50%
30108,PI 656009,3,8,1,HN,91.4,60.8,54.1,10,3.2,3.1,NA,75-100%
30109,PI 656006,3,9,1,HN,87,59.3,68.5,13,3.5,3.1,3.4,0-25%
30110,PI 533961,3,10,1,HN,95.5,83.2,61.7,12,4,3.9,3.7,25-50%
30111,PI 533792,3,11,1,HN,93,74.8,86.1,10,3.2,2.9,3.2,50-75%
30112,PI 534063,3,12,1,HN,91.2,83.2,79.5,13,3.5,3.1,3.3,25-50%
30113,PI 576347,3,13,1,HN,99.2,60.2,49.8,7,4.1,3.8,3.6,50-75%
30114,PI 595702,3,14,1,HN,101.9,51,45.7,10,4.2,4.5,4.2,0-25%
30115,PI 534117,3,15,1,HN,114.2,79.5,44,11,3.2,3.1,3.2,25-50%
30116,PI 656112,3,16,1,HN,112.6,81,55,11,2.8,2.7,2.8,50-75%
30117,check,3,17,1,HN,80.5,56.3,60.9,9,4.3,4.5,4.5,0-25%
30118,PI 552856,3,18,1,HN,72.2,67.2,55,11,4.1,4.1,4.1,25-50%
30119,PI 533762,3,19,1,HN,88.8,62.5,57.1,11,2.7,2.6,2.6,50-75%
30120,PI 533877,3,20,1,HN,100.2,43.5,57.4,8,2.5,2,2.3,75-100%
30121,PI 534088,3,21,1,HN,87.9,62.4,56.3,12,4.5,4.4,4.2,50-75%
30122,PI 597951,3,22,1,HN,44.3,35.1,36.9,9,5.9,NA,NA,25-50%
30123,PI 655977,3,23,1,HN,104.7,59.6,52.9,11,2.7,2.5,2.5,25-50%
30124,PI 576385,3,24,1,HN,NA,NA,NA,NA,NA,NA,NA,NA
30125,PI 659696,3,25,1,HN,59.8,42,35.9,10,3.3,3.3,NA,50-75%
30126,PI 656088,3,26,1,HN,65.7,42.8,23.6,10,2.2,2.2,2.4,75-100%
30127,PI 656035,3,27,1,HN,56.3,31.3,38.9,11,8.2,8.2,8.1,50-75%
30201,PI 534009,3,1,2,HN,71.8,47.3,45.9,12,3.5,3.8,3.6,0-25%
30202,check,3,2,2,HN,85.4,54,52.9,11,4.6,4.6,4.9,50-75%
30203,PI 533814,3,3,2,HN,58.3,49.8,53.1,14,3.3,3.1,3.2,25-50%
30204,PI 534135,3,4,2,HN,72.5,62.5,46.9,14,3.2,3,3.1,25-50%
30205,PI 656002,3,5,2,HN,57.2,55.6,64.7,12,3.5,3.5,3.5,25-50%
30206,PI 576349,3,6,2,HN,NA,NA,NA,NA,NA,NA,NA,NA
30207,check,3,7,2,HN,90.2,67.7,49.2,11,4.9,5,4.9,0-25%
30208,PI 656117,3,8,2,HN,82.4,64,61.1,12,2.5,2.6,2.5,25-50%
30209,PI 656034,3,9,2,HN,78.7,51.5,32.2,12,4,4.2,4.1,25-50%
30210,PI 533939,3,10,2,HN,54.8,30.5,31.1,10,2.8,2.8,2.7,50-75%
30211,PI 534097,3,11,2,HN,83.8,62.6,55.9,9,3.8,3.6,3.7,0-25%
30212,PI 329440,3,12,2,HN,46.4,42.2,40.6,10,3.3,3.4,3.3,25-50%
30213,PI 597961,3,13,2,HN,81.5,62.3,52.5,9,2.7,2.6,2.8,50-75%
30214,PI 576366,3,14,2,HN,89.4,59,58.8,9,3.3,3.1,3.1,25-50%
30215,PI 534145,3,15,2,HN,77.4,48.8,36,14,10.8,10.3,10.7,0-25%
30216,PI 656105,3,16,2,HN,76.6,54.7,54.8,9,2.3,2.3,2.5,50-75%
30217,PI 655980,3,17,2,HN,NA,NA,NA,NA,NA,NA,NA,NA
30218,PI 656119,3,18,2,HN,97.7,57.4,62,10,3.9,4,4.1,75-100%
30219,PI 534144,3,19,2,HN,81.4,65.5,65.8,11,3.1,3,3.1,0-25%
30220,PI 533985,3,20,2,HN,77.4,NA,57.4,10,3.4,3.4,3.2,25-50%
30221,PI 533788,3,21,2,HN,98,51.7,70.6,12,2.5,2.3,2.5,50-75%
30222,PI 642998,3,22,2,HN,67.6,40.5,29.5,12,9.5,9.4,9.7,75-100%
30223,check,3,23,2,HN,98.5,57.3,49.7,11,4.2,4.2,4.5,25-50%
30224,PI 534167,3,24,2,HN,67.8,44,33.1,12,3.6,3.5,3.7,50-75%
30225,check,3,25,2,HN,86.3,49.5,44.5,10,4.8,4.7,4.6,25-50%
30226,PI 655986,3,26,2,HN,70.9,56.6,45.8,12,3.6,3.5,3.5,50-75%
30227,PI 656103,3,27,2,HN,88.8,52.4,31.2,11,4.5,4.5,4.2,75-100%
30301,PI 533903,3,1,3,HN,99,61.3,57.1,9,3.6,3.7,3.6,0-25%
30302,PI 533863,3,2,3,HN,85.6,61,53.9,8,3.4,3.3,3.5,75-100%
30303,PI 533902,3,3,3,HN,92.5,57.8,42.2,12,3.8,3.6,3.8,25-50%
30304,PI 576381,3,4,3,HN,77.5,58,63.4,13,3,3,3,25-50%
30305,PI 655996,3,5,3,HN,71.7,75.7,61.8,11,3.5,3.6,3.6,25-50%
30306,PI 576396,3,6,3,HN,95.8,54.3,57.1,8,1.4,1.3,1.8,75-100%
30307,PI 656007,3,7,3,HN,38.3,NA,59.7,8,1.6,1.3,NA,50-75%
30308,PI 656040,3,8,3,HN,88.1,63.7,49.4,11,3,3.2,3.1,25-50%
30309,PI 656039,3,9,3,HN,78.5,62.6,60.5,12,5,5.1,4.7,75-100%
30310,PI 533913,3,10,3,HN,83,75.9,64.8,11,2.9,3.2,3,75-100%
30311,PI 533987,3,11,3,HN,88.4,71.5,65.8,10,3.2,3.5,3.5,50-75%
30312,PI 534046,3,12,3,HN,109,81.7,63,10,2.6,2.6,2.8,50-75%
30313,PI 534116,3,13,3,HN,103.8,66.9,73.8,10,3.7,3.4,3.7,50-75%
30314,PI 597950,3,14,3,HN,58.5,29.2,6.8,11,5.9,6.2,6,75-100%
30315,PI 534123,3,15,3,HN,120.1,93.7,85.3,10,2.3,2.5,NA,25-50%
30316,PI 656064,3,16,3,HN,NA,NA,NA,NA,NA,NA,NA,NA
30317,PI 656081,3,17,3,HN,65,51.4,56.4,9,4.1,4,4.3,50-75%
30318,PI 656120,3,18,3,HN,102.5,73.1,41.2,11,2.8,2.6,2.8,50-75%
30319,PI 534104,3,19,3,HN,77.1,58.1,58.5,10,3.4,3.4,3.4,25-50%
30320,PI 533938,3,20,3,HN,102.3,81,NA,11,4.1,4.1,4,50-75%
30321,PI 533876,3,21,3,HN,82.1,48.2,50.9,7,3,2.7,2.9,75-100%
30322,PI 597980,3,22,3,HN,98.3,57.5,8.7,9,2.8,3.1,3,75-100%
30323,PI 564163,3,23,3,HN,77.1,47.4,35.8,12,5.1,5,5.3,75-100%
30324,PI 597966,3,24,3,HN,65.3,56.6,53.9,10,2.5,2.6,2.5,50-75%
30325,PI 656106,3,25,3,HN,82.2,50.9,52,12,3.5,3.6,3.6,50-75%
30326,PI 655994,3,26,3,HN,85.6,45.4,39.7,10,7,6.9,6.4,75-100%
30327,Btx623,3,27,3,HN,80,59,45.9,10,4.4,4.4,4.2,50-75%
30401,PI 534114,3,1,4,HN,67.2,59.1,55.2,13,3.4,3.4,3.4,50-75%
30402,PI 533831,3,2,4,HN,48.7,58.1,52,12,2.7,2.9,2.9,75-100%
