Pinumber	ClusterName	Set	Country
PI152651	guinea	SAP	NA
PI17548	guinea	SAP	NA
PI24969	mixed/bicolor	SAP	NA
PI276837	caudatum	SAP	NA
PI329435	caudatum	SAP	NA
PI329440	kafir	SAP	NA
PI34911	caudatum	SAP	NA
PI35038	kafir	SAP	NA
PI48770	kafir	SAP	NA
PI533750	mixed/bicolor	SAP	India
PI533752	caudatum	SAP	S. Africa
PI533754	guinea	SAP	Sudan
PI533755	guinea	SAP	Sudan
PI533757	caudatum	SAP	Sudan
PI533758	caudatum	SAP	Sudan
PI533759	caudatum	SAP	Sudan
PI533760	caudatum	SAP	Sudan
PI533761	caudatum	SAP	Ethiopia
PI533762	caudatum	SAP	Sudan
PI533766	milo/durra-bicolor	SAP	W. Volta
PI533769	caudatum	SAP	Sudan
PI533776	milo/durra-bicolor	SAP	Nigeria
PI533785	milo/durra-bicolor	SAP	Nigeria
PI533788	guinea	SAP	Sudan
PI533789	caudatum	SAP	Sudan
PI533792	milo/durra-bicolor	SAP	Ethiopia
PI533794	caudatum	SAP	Ethiopia
PI533799	caudatum	SAP	Ethiopia
PI533800	caudatum	SAP	Ethiopia
PI533807	caudatum	SAP	Nigeria
PI533810	guinea	SAP	India
PI533814	guinea	SAP	India
PI533821	durra	SAP	Tanzania
PI533822	caudatum	SAP	Tanzania
PI533824	durra	SAP	Nigeria
PI533830	guinea	SAP	Sudan
PI533831	caudatum	SAP	Sudan
PI533833	caudatum	SAP	Uganda
PI533838	guinea	SAP	Nigeria
PI533839	durra	SAP	Nigeria
PI533841	milo/durra-bicolor	SAP	Nigeria
PI533842	guinea	SAP	India
PI533843	durra	SAP	India
PI533845	durra	SAP	NA
PI533852	guinea	SAP	India
PI533855	durra	SAP	India
PI533856	guinea	SAP	India
PI533863	guinea	SAP	Chad
PI533866	milo/durra-bicolor	SAP	NA
PI533869	durra	SAP	Tanzania
PI533871	milo/durra-bicolor	SAP	Nigeria
PI533876	caudatum	SAP	Nigeria
PI533877	milo/durra-bicolor	SAP	Nigeria
PI533878	milo/durra-bicolor	SAP	Nigeria
PI533882	milo/durra-bicolor	SAP	Nigeria
PI533901	caudatum	SAP	Japan
PI533902	guinea	SAP	Ethiopia
PI533903	durra	SAP	Ethiopia
PI533910	caudatum	SAP	Sudan
PI533911	caudatum	SAP	Sudan
PI533912	guinea	SAP	NA
PI533913	durra	SAP	Sudan
PI533915	guinea	SAP	Kenya
PI533919	guinea	SAP	Ethiopia
PI533921	guinea	SAP	Ethiopia
PI533924	durra	SAP	Ethiopia
PI533927	durra	SAP	Ethiopia
PI533936	kafir	SAP	Tanzania
PI533937	kafir	SAP	Zambia
PI533938	durra	SAP	Zaire
PI533939	guinea	SAP	Mozambique
PI533940	kafir	SAP	Tanzania
PI533943	guinea	SAP	India
PI533948	kafir	SAP	USA
PI533949	caudatum	SAP	Sudan
PI533954	kafir	SAP	S. Africa
PI533955	kafir	SAP	S. Africa
PI533956	guinea	SAP	Congo
PI533957	guinea	SAP	USA
