population	trait_id	anc_effect	rank
Improved	X2020_panicleGrainWeight_NR	-0.447443829151893	1
Improved	X2020_panicleGrainWeight_NR	-0.444922425100702	2
Improved	X2020_panicleGrainWeight_NR	-0.417463674221367	3
Improved	X2020_panicleGrainWeight_NR	-0.390736509443588	4
Improved	X2020_panicleGrainWeight_NR	-0.36049527498773	5
Improved	X2020_panicleGrainWeight_NR	-0.346747502145951	6
Improved	X2020_panicleGrainWeight_NR	-0.303388722029607	7
Improved	X2020_panicleGrainWeight_NR	-0.302690188405563	8
Improved	X2020_panicleGrainWeight_NR	-0.288629294382665	9
Improved	X2020_panicleGrainWeight_NR	-0.278805762980158	10
Improved	X2020_panicleGrainWeight_NR	-0.278750102731772	11
Improved	X2020_panicleGrainWeight_NR	-0.278285956604577	12
Improved	X2020_panicleGrainWeight_NR	-0.259966926217956	13
Improved	X2020_paniclesPerPlot_NR	-0.259600734877289	14
Improved	X2020_panicleGrainWeight_NR	-0.258484140889694	15
Improved	X2020_panicleGrainWeight_NR	-0.253805226252684	16
Improved	X2020_panicleGrainWeight_NR	-0.249059544894515	17
Improved	X2020_panicleGrainWeight_NR	-0.248446684310976	18
Improved	X2020_panicleGrainWeight_NR	-0.246623795305505	19
Improved	X2020_panicleGrainWeight_NR	-0.244755056697985	20
Improved	X2020_panicleGrainWeight_NR	-0.244079879452461	21
Improved	X2020_panicleGrainWeight_NR	-0.243967678649663	22
Improved	X2020_panicleGrainWeight_NR	-0.243046269831322	23
Improved	X2020_panicleGrainWeight_NR	-0.241474208128708	24
Improved	X2020_panicleGrainWeight_NR	-0.236109898058451	25
Improved	X2020_panicleGrainWeight_NR	-0.227445544913617	26
Improved	X2020_paniclesPerPlot_NR	-0.224240155500274	27
Improved	X2020_panicleGrainWeight_NR	-0.219068924802409	28
Improved	X2020_panicleGrainWeight_NR	-0.211870447663084	29
Improved	X2020_panicleGrainWeight_NR	-0.210520714366625	30
Improved	X2020_panicleGrainWeight_NR	-0.208782119813957	31
Improved	X2020_panicleGrainWeight_NR	-0.207972568853692	32
Improved	X2020_paniclesPerPlot_NR	-0.206463083935721	33
Improved	X2020_panicleGrainWeight_NR	-0.205722856402427	34
Improved	X2020_panicleGrainWeight_NR	-0.20516015696548	35
Improved	X2020_paniclesPerPlot_NR	-0.202677239280144	36
Improved	X2020_panicleGrainWeight_NR	-0.194524840332638	37
Improved	X2020_panicleGrainWeight_NR	-0.185396453337631	38
Improved	X2020_panicleGrainWeight_NR	-0.183490455336595	39
Improved	X2020_panicleGrainWeight_NR	-0.178343826197749	40
Improved	X2020_panicleGrainWeight_NR	-0.178023227161128	41
Improved	X2020_panicleGrainWeight_NR	-0.177311876025995	42
Improved	X2020_panicleGrainWeight_NR	-0.176917081931563	43
Improved	X2020_panicleGrainWeight_NR	-0.17157762206575	44
Improved	X2020_panicleGrainWeight_NR	-0.171189897453054	45
Improved	X2020_rachisDiameterUpper_NR	-0.170387334787317	46
Improved	X2020_panicleGrainWeight_NR	-0.16857186719596	47
Improved	X2020_panicleGrainWeight_NR	-0.168046447761279	48
Improved	X2020_paniclesPerPlot_NR	-0.166722202890013	49
Improved	X2020_panicleGrainWeight_NR	-0.166447397293008	50
Improved	X2020_panicleGrainWeight_NR	-0.166063900139665	51
Improved	X2020_paniclesPerPlot_NR	-0.16597764302295	52
Improved	X2020_panicleGrainWeight_NR	-0.165764296115317	53
Improved	X2020_panicleGrainWeight_NR	-0.162575496486145	54
Improved	X2020_panicleGrainWeight_NR	-0.160784326220236	55
Improved	X2020_panicleGrainWeight_NR	-0.157031728921861	56
Improved	X2020_panicleGrainWeight_NR	-0.155478023198368	57
Improved	X2020_paniclesPerPlot_NR	-0.15354480716422	58
Improved	X2020_panicleGrainWeight_NR	-0.153228751570807	59
Improved	X2020_panicleGrainWeight_NR	-0.152548996337975	60
Improved	X2020_panicleGrainWeight_NR	-0.152287362382301	61
Improved	X2020_paniclesPerPlot_NR	-0.151825414358611	62
Improved	X2020_panicleGrainWeight_NR	-0.150919151300096	63
Improved	X2020_panicleGrainWeight_NR	-0.150460153086478	64
Improved	X2020_panicleGrainWeight_NR	-0.1479705857222	65
Improved	X2020_panicleGrainWeight_NR	-0.145469013977734	66
Improved	X2020_paniclesPerPlot_NR	-0.143156269105664	67
Improved	X2020_paniclesPerPlot_NR	-0.1404549501461	68
Improved	X2020_panicleGrainWeight_NR	-0.140002240283015	69
Improved	X2020_paniclesPerPlot_NR	-0.139637556731055	70
Improved	X2020_panicleGrainWeight_NR	-0.138841402223764	71
Improved	X2020_rachisDiameterUpper_NR	-0.13855804720745	72
Improved	X2020_paniclesPerPlot_NR	-0.138554821151951	73
Improved	X2020_paniclesPerPlot_NR	-0.138223189944389	74
Improved	X2020_panicleGrainWeight_NR	-0.138179733518831	75
Improved	X2020_panicleGrainWeight_NR	-0.138069852298952	76
Improved	X2020_panicleGrainWeight_NR	-0.137162011978352	77
Improved	X2020_panicleGrainWeight_NR	-0.136905067114089	78
Improved	X2020_paniclesPerPlot_NR	-0.136379278188277	79
Improved	X2020_panicleGrainWeight_NR	-0.134463262795713	80
Improved	X2020_paniclesPerPlot_NR	-0.133994536212434	81
Improved	X2020_paniclesPerPlot_NR	-0.133890275789912	82
