population	trait_id	anc_effect	rank
Improved	X2020_estimatedPlotYield_NR	-0.883433555913686	1
Improved	X2020_estimatedPlotYield_NR	-0.8455135069929	2
Improved	X2020_estimatedPlotYield_NR	-0.702574586322189	3
Improved	X2020_estimatedPlotYield_NR	-0.681112699374606	4
Improved	X2020_estimatedPlotYield_NR	-0.674851253886826	5
Improved	X2020_estimatedPlotYield_NR	-0.664462530677745	6
Improved	X2020_estimatedPlotYield_NR	-0.652021449536514	7
Improved	X2020_estimatedPlotYield_NR	-0.649881913826915	8
Improved	X2020_estimatedPlotYield_NR	-0.645765248513083	9
Improved	X2020_estimatedPlotYield_NR	-0.571227941895705	10
Improved	X2020_estimatedPlotYield_NR	-0.536363349382466	11
Improved	X2020_estimatedPlotYield_NR	-0.515979557167536	12
Improved	X2020_estimatedPlotYield_NR	-0.50907270409308	13
Improved	X2020_estimatedPlotYield_NR	-0.502929449543372	14
Improved	X2020_estimatedPlotYield_NR	-0.497341224953431	15
Improved	X2020_estimatedPlotYield_NR	-0.49612718955019	16
Improved	X2020_estimatedPlotYield_NR	-0.452092218633858	17
Improved	X2020_estimatedPlotYield_NR	-0.444463359601007	18
Improved	X2020_estimatedPlotYield_NR	-0.444247520477879	19
Improved	X2020_estimatedPlotYield_NR	-0.440070523814609	20
Improved	X2020_estimatedPlotYield_NR	-0.43515603992176	21
Improved	X2020_estimatedPlotYield_NR	-0.419640633577899	22
Improved	X2020_estimatedPlotYield_NR	-0.415581219638693	23
Improved	X2020_estimatedPlotYield_NR	-0.405925968790067	24
Improved	X2020_estimatedPlotYield_NR	-0.39933828148126	25
Improved	X2020_estimatedPlotYield_NR	-0.38657311194879	26
Improved	X2020_estimatedPlotYield_NR	-0.385833564459132	27
Improved	X2020_estimatedPlotYield_NR	-0.380799394287421	28
Improved	X2020_estimatedPlotYield_NR	-0.371101200605893	29
Improved	X2020_estimatedPlotYield_NR	-0.362154771755928	30
Improved	X2020_estimatedPlotYield_NR	-0.361889144215511	31
Improved	X2020_estimatedPlotYield_NR	-0.349204690727701	32
Improved	X2020_estimatedPlotYield_NR	-0.348714491901894	33
Improved	X2020_estimatedPlotYield_NR	-0.343775666942951	34
Improved	X2020_estimatedPlotYield_NR	-0.337049333417451	35
Improved	X2020_estimatedPlotYield_NR	-0.332971134780469	36
Improved	X2020_estimatedPlotYield_NR	-0.309615361667376	37
Improved	X2020_estimatedPlotYield_NR	-0.302547481592932	38
Improved	X2020_estimatedPlotYield_NR	-0.301227261179068	39
Improved	X2020_estimatedPlotYield_NR	-0.30075070221956	40
Improved	X2020_estimatedPlotYield_NR	-0.299332803764739	41
Improved	X2020_estimatedPlotYield_NR	-0.297177987708904	42
Improved	X2020_estimatedPlotYield_NR	-0.295227505692845	43
Improved	X2020_estimatedPlotYield_NR	-0.292945400962975	44
Improved	X2020_estimatedPlotYield_NR	-0.289516357075932	45
Improved	X2020_estimatedPlotYield_NR	-0.283357534875713	46
Improved	X2020_estimatedPlotYield_NR	-0.283330125900445	47
Improved	X2020_estimatedPlotYield_NR	-0.28296984775236	48
Improved	X2020_estimatedPlotYield_NR	-0.281809166876947	49
Improved	X2020_estimatedPlotYield_NR	-0.279762821837909	50
Improved	X2020_estimatedPlotYield_NR	-0.275275078736769	51
Improved	X2020_estimatedPlotYield_NR	-0.270625949641301	52
Improved	X2020_estimatedPlotYield_NR	-0.266150137657131	53
Improved	X2020_estimatedPlotYield_NR	-0.265050304633473	54
Improved	X2020_estimatedPlotYield_NR	-0.262841496593466	55
Improved	X2020_estimatedPlotYield_NR	-0.262242991917299	56
Improved	X2020_estimatedPlotYield_NR	-0.258371876217343	57
Improved	X2020_estimatedPlotYield_NR	-0.258229767902987	58
Improved	X2020_estimatedPlotYield_NR	-0.247771024784365	59
Improved	X2020_estimatedPlotYield_NR	-0.247585697726115	60
Improved	X2020_estimatedPlotYield_NR	-0.242588524001354	61
Improved	X2020_estimatedPlotYield_NR	-0.241692949244241	62
Improved	X2020_estimatedPlotYield_NR	-0.239686998448257	63
Improved	X2020_estimatedPlotYield_NR	-0.23938802205314	64
Improved	X2020_estimatedPlotYield_NR	-0.234767920122877	65
Improved	X2020_estimatedPlotYield_NR	-0.233891027997582	66
Improved	X2020_estimatedPlotYield_NR	-0.232895896416188	67
Improved	X2020_estimatedPlotYield_NR	-0.232855068943138	68
Improved	X2020_estimatedPlotYield_NR	-0.232696557169603	69
Improved	X2020_estimatedPlotYield_NR	-0.231996944541657	70
Improved	X2020_estimatedPlotYield_NR	-0.22895107071606	71
Improved	X2020_estimatedPlotYield_NR	-0.22628699350911	72
Improved	X2020_estimatedPlotYield_NR	-0.219747525844575	73
Improved	X2020_estimatedPlotYield_NR	-0.218814899592659	74
Improved	X2020_estimatedPlotYield_NR	-0.218789955203321	75
Improved	X2020_estimatedPlotYield_NR	-0.214090151919495	76
Improved	X2020_estimatedPlotYield_NR	-0.212096646328604	77
Improved	X2020_estimatedPlotYield_NR	-0.204789002249666	78
