Pedigree,Treatment,Bench,Row,Column,plant_height_rep_1,plant_height_rep_2,plant_height_rep_3,Pot_id,mean
PI 533810,LN,1,10,1,25.5,24,23.2,1001,24.23333333
PI 656084,LN,1,9,1,16.5,21,27.2,1002,21.56666667
PI 534079,LN,1,8,1,28.5,23.6,29.4,1003,27.16666667
PI 655991,LN,1,7,1,23.2,25,29.1,1004,25.76666667
PI 534070,LN,1,6,1,21.4,23.1,20.5,1005,21.66666667
PI 656083,LN,1,5,1,24.9,24.4,23.6,1006,24.3
PI 629059,LN,1,4,1,27.9,23.4,23.4,1007,24.9
PI 656006,LN,1,3,1,21.1,14.7,22.6,1008,19.46666667
PI 576380,LN,1,2,1,24.1,23.4,22.1,1009,23.2
PI 533843,LN,1,1,1,15.5,13.2,17.3,1010,15.33333333
PI 533915,LN,1,10,2,20.8,29.5,30,1011,26.76666667
PI 576348,LN,1,9,2,30.5,30,28.5,1012,29.66666667
PI 656112,LN,1,8,2,30.5,30.5,29.5,1013,30.16666667
PI 534037,LN,1,7,2,24.5,24,24,1014,24.16666667
PI 656120,LN,1,6,2,23.5,17.1,21.2,1015,20.6
PI 655983,LN,1,5,2,21.6,17.8,20.8,1016,20.06666667
PI 533759,LN,1,4,2,19.6,20.1,24.1,1017,21.26666667
PI 655989,LN,1,3,2,16.3,21.8,NA,1018,19.05
PI 564163,LN,1,2,2,29.2,NA,NA,1019,29.2
PI 656007,LN,1,1,2,23.1,22.1,17.5,1020,20.9
PI 656053,LN,1,10,3,16.9,25.6,19.8,1021,20.76666667
PI 533807,LN,1,9,3,20.2,25.4,17.5,1022,21.03333333
PI 595745,LN,1,8,3,18.4,19.5,15.1,1023,17.66666667
PI 656076,LN,1,7,3,22.3,21.5,NA,1024,21.9
PI 534097,LN,1,6,3,20.4,21.6,26.8,1025,22.93333333
PI 595702,LN,1,5,3,19.3,11.4,18.3,1026,16.33333333
PI 656110,LN,1,4,3,17.8,14.2,13.2,1027,15.06666667
PI 659693,LN,1,3,3,17.3,19.1,19.3,1028,18.56666667
PI 564163,LN,1,2,3,21,18.2,NA,1029,19.6
PI 656107,LN,1,1,3,21.5,22,20.5,1030,21.33333333
PI 656049,LN,1,10,4,28.6,23.8,20.5,1031,24.3
PI 533876,LN,1,9,4,23.4,17.6,20.5,1032,20.5
PI 533927,LN,1,8,4,22.4,19.6,18.5,1033,20.16666667
PI 656092,LN,1,7,4,28.6,24.4,30,1034,27.66666667
PI 656075,LN,1,6,4,27.6,23.6,20.5,1035,23.9
PI 533996,LN,1,5,4,20,15,18,1036,17.66666667
PI 533939,LN,1,4,4,23,22,27.5,1037,24.16666667
PI 659691,LN,1,3,4,23,27,25.5,1038,25.16666667
PI 656026,LN,1,2,4,15.6,18.6,18.9,1039,17.7
PI 656088,LN,1,1,4,18.8,NA,NA,1040,18.8
PI 533831,LN,1,10,5,21.6,18.5,17.5,1041,19.2
PI 655973,LN,1,9,5,16.1,15.7,19.8,1042,17.2
PI 655998,LN,1,8,5,18.6,16.6,22.3,1043,19.16666667
PI 656106,LN,1,7,5,29.8,27.9,22.9,1044,26.86666667
PI 534157,LN,1,6,5,23,23.5,NA,1045,23.25
PI 533776,LN,1,5,5,23,NA,NA,1046,23
PI 641874,LN,1,4,5,29.7,23.3,24.6,1047,25.86666667
PI 656104,LN,1,3,5,16.7,16.7,14.2,1048,15.86666667
PI 656072,LN,1,2,5,23.2,23.2,24.2,1049,23.53333333
PI 533964,LN,1,1,5,22.2,25,18.3,1050,21.83333333
PI 656095,LN,1,10,6,16.8,27.5,27.5,1051,23.93333333
PI 533769,LN,1,9,6,17.9,12.2,25.3,1052,18.46666667
PI 533943,LN,1,8,6,21.5,24.5,23.3,1053,23.1
PI 533972,LN,1,7,6,16.4,25.3,19.5,1054,20.4
PI 656093,LN,1,6,6,23.4,12.4,19.4,1055,18.4
PI 609456,LN,1,5,6,15.7,18.6,20.7,1056,18.33333333
PI 533866,LN,1,4,6,22,25.3,16.9,1057,21.4
PI 576399,LN,1,3,6,26.2,30.3,25.7,1058,27.4
PI 655971,LN,1,2,6,27.2,28.4,25.6,1059,27.06666667
PI 533814,LN,1,1,6,22.7,22.4,22,1060,22.36666667
PI 656077,LN,1,10,7,23.6,23.8,23.3,1061,23.56666667
PI 595718,LN,1,9,7,21.3,18.4,19.2,1062,19.63333333
PI 655981,LN,1,8,7,28.5,14.6,23.4,1063,22.16666667
PI 533824,LN,1,7,7,27.2,16.9,NA,1064,22.05
PI 656091,LN,1,6,7,24.1,26.8,24.2,1065,25.03333333
PI 564163,LN,1,5,7,20.6,20.1,22.3,1066,21
PI 534132,LN,1,4,7,16.4,19.6,NA,1067,18
PI 534135,LN,1,3,7,22.5,22.1,19.6,1068,21.4
PI 533762,LN,1,2,7,25.2,NA,NA,1069,25.2
PI 656069,LN,1,1,7,14.3,16.7,20.5,1070,17.16666667
PI 276837,LN,1,10,8,24.1,19.8,20,1071,21.3
PI 533979,LN,1,9,8,20,19.1,20.8,1072,19.96666667
PI 533911,LN,1,8,8,28.7,22.3,26.8,1073,25.93333333
PI 533750,LN,1,7,8,28.6,26.3,19.4,1074,24.76666667
PI 533752,LN,1,6,8,14.9,25.2,22.7,1075,20.93333333
PI 656119,LN,1,5,8,14,19.5,20.4,1076,17.96666667
PI 533949,LN,1,4,8,16.3,24.5,22.6,1077,21.13333333
PI 548797,LN,1,3,8,16.5,16.1,19.2,1078,17.26666667
PI 595720,LN,1,2,8,22.9,24.3,25.6,1079,24.26666667
PI 656043,LN,1,1,8,24.6,26.4,27.9,1080,26.3
PI 34911,LN,1,10,9,17.4,NA,NA,1081,17.4
PI 655992,LN,1,9,9,17.4,17.3,17.6,1082,17.43333333
PI 542718,LN,1,8,9,19.9,20.2,24.9,1083,21.66666667
PI 656062,LN,1,7,9,18.8,18.4,NA,1084,18.6
PI 576364,LN,1,6,9,15.7,13.3,16.6,1085,15.2
PI 642998,LN,1,5,9,20.2,24.1,24.8,1086,23.03333333
PI 533799,LN,1,4,9,24.6,25.2,NA,1087,24.9
PI 597980,LN,1,3,9,20.2,20.5,25.7,1088,22.13333333
PI 533986,LN,1,2,9,21.3,24.8,NA,1089,23.05
PI 597973,LN,1,1,9,19.5,24.2,25.6,1090,23.1
PI 533902,LN,1,10,10,13.9,11.4,12.4,1091,12.56666667
PI 597958,LN,1,9,10,15.9,17.3,NA,1092,16.6
PI 655993,LN,1,8,10,21,19.4,13.9,1093,18.1
PI 564163,LN,1,7,10,14.5,13.7,13.6,1094,13.93333333
PI 656103,LN,1,6,10,22.4,25.4,22.7,1095,23.5
PI 576386,LN,1,5,10,18.5,22.1,23.4,1096,21.33333333
PI 576373,LN,1,4,10,14.5,16.2,17.1,1097,15.93333333
PI 656009,LN,1,3,10,25.5,NA,NA,1098,25.5
PI 533954,LN,1,2,10,19.4,23.5,25.5,1099,22.8
PI 597951,LN,1,1,10,17.5,19.5,20.5,1100,19.16666667
PI 534099,LN,1,10,11,24.3,NA,NA,1101,24.3
PI 597945,LN,1,9,11,17.9,23.3,16.8,1102,19.33333333
PI 655970,LN,1,8,11,23.2,20.2,NA,1103,21.7
PI 534075,LN,1,7,11,17.3,21.7,18.5,1104,19.16666667
PI 576130,LN,1,6,11,18.3,20.6,21.2,1105,20.03333333
PI 564163,LN,1,5,11,17.6,20.2,24.3,1106,20.7
PI 534101,LN,1,4,11,22.1,22.7,23.5,1107,22.76666667
PI 533937,LN,1,3,11,24.3,26.1,26.8,1108,25.73333333
PI 534092,LN,1,2,11,23.4,25.7,26.2,1109,25.1
PI 656087,LN,1,1,11,17.6,23.5,NA,1110,20.55
PI 659696,LN,1,10,12,28.6,21.4,20.7,1111,23.56666667
PI 533871,LN,1,9,12,22.3,30.6,30.3,1112,27.73333333
PI 533957,LN,1,8,12,22.5,25.7,19.2,1113,22.46666667
PI 656019,LN,1,7,12,29.2,26.2,27.7,1114,27.7
PI 655986,LN,1,6,12,23.4,20.3,18.2,1115,20.63333333
PI 597946,LN,1,5,12,21.5,22.6,23.1,1116,22.4
PI 533910,LN,1,4,12,19.8,20.5,21.3,1117,20.53333333
PI 656028,LN,1,3,12,23.9,24.6,28.1,1118,25.53333333
PI 534046,LN,1,2,12,19.5,21.3,20.6,1119,20.46666667
PI 534054,LN,1,1,12,19.3,21.6,NA,1120,20.45
PI 576375,LN,1,10,13,22.6,24.6,14.5,1121,20.56666667
PI 533976,LN,1,9,13,14.2,18.8,12.4,1122,15.13333333
