sample,Genetic_load,N_del,cutoff,sub
V5,-5908.1014302,732,0.01,improved
V6,-7257.5655581,899,0.01,improved
V7,-6230.7573241,773,0.01,improved
V8,-7836.2180831,975,0.01,improved
V9,-6808.4078329,839,0.01,improved
V10,-18104.4902239,2298,0.01,improved
V11,-18595.4716572,2357,0.01,improved
V12,-13917.8083411,1771,0.01,improved
V13,-8689.9719127,1085,0.01,improved
V14,-16982.9825311,2156,0.01,improved
V15,-11998.2468104,1513,0.01,improved
V16,-20339.9658228,2588,0.01,improved
V17,-8326.9081936,1053,0.01,improved
V18,-20000.8226148,2541,0.01,improved
V19,-17161.7381443,2175,0.01,improved
V20,-17740.9551973,2253,0.01,improved
V21,-18256.4944979,2315,0.01,improved
V22,-7411.2394978,923,0.01,improved
V23,-7389.1411103,918,0.01,improved
V24,-17691.502437,2221,0.01,improved
V25,-18211.5853155,2306,0.01,improved
V26,-22359.3110311,2838,0.01,improved
V27,-6237.5450365,769,0.01,improved
V28,-4402.4677732,541,0.01,improved
V29,-21029.4163749,2663,0.01,improved
V30,-17651.1583258,2244,0.01,improved
V31,-18675.4986564,2371,0.01,improved
V32,-19467.3775604,2474,0.01,improved
V33,-17666.5532211,2242,0.01,improved
V34,-19904.5166042,2528,0.01,improved
V35,-16810.4047602,2138,0.01,improved
V36,-19136.3931663,2434,0.01,improved
V37,-18166.2994139,2307,0.01,improved
V38,-9765.6805365,1228,0.01,improved
V39,-16173.1069244,2052,0.01,improved
V40,-22247.0684702,2811,0.01,improved
V41,-6592.337883,821,0.01,improved
V42,-7350.0788609,913,0.01,improved
V43,-8757.5408873,1086,0.01,improved
V44,-7143.3996498,880,0.01,improved
V45,-15116.4149149,1908,0.01,improved
V46,-15943.0196461,2016,0.01,improved
V47,-6577.3320329,818,0.01,improved
V48,-16929.8425345,2148,0.01,improved
V49,-20286.0310044,2566,0.01,improved
V50,-8520.9068515,1059,0.01,improved
V51,-17430.2496211,2218,0.01,improved
V52,-17733.556019,2242,0.01,improved
V53,-19182.9251547,2443,0.01,improved
V54,-5964.3319041,736,0.01,improved
V55,-19999.8830471,2532,0.01,improved
V56,-6785.1850599,855,0.01,improved
V57,-6577.2719637,821,0.01,improved
V58,-6304.3131019,784,0.01,improved
V59,-7660.6732089,947,0.01,improved
V60,-7811.4700856,969,0.01,improved
V61,-20394.3488562,2576,0.01,improved
V62,-16806.0325931,2131,0.01,improved
V63,-9875.1119361,1237,0.01,improved
V64,-16786.8282316,2127,0.01,improved
V65,-6701.3080942,833,0.01,improved
V66,-7383.0601701,923,0.01,improved
V67,-7355.2243643,923,0.01,improved
V68,-7738.3334979,966,0.01,improved
V69,-8117.4542123,1012,0.01,improved
V70,-8004.2471899,1001,0.01,improved
V71,-5069.4162511,633,0.01,improved
V72,-15577.8493665,1967,0.01,improved
V73,-8402.3840175,1046,0.01,improved
V74,-8298.8721832,1033,0.01,improved
V75,-7530.056269,933,0.01,improved
V76,-6449.0651796,809,0.01,improved
V77,-19893.553584,2504,0.01,improved
V78,-6620.7664742,829,0.01,improved
V79,-19511.1969999,2477,0.01,improved
V80,-18677.5244133,2365,0.01,improved
V81,-20398.6102393,2576,0.01,improved
V82,-20874.7488969,2628,0.01,improved
V83,-20677.4766758,2591,0.01,improved
V84,-20002.6830953,2516,0.01,improved
V85,-20847.3282358,2644,0.01,improved
V86,-5480.4652076,680,0.01,improved
V87,-5994.4815629,742,0.01,improved
V88,-20065.4133203,2547,0.01,improved
V89,-6545.8424053,810,0.01,improved
V90,-21193.7072653,2656,0.01,improved
V91,-9006.3832873,1114,0.01,improved
V92,-8308.4122236,1036,0.01,improved
V93,-18805.8073586,2389,0.01,improved
V94,-22003.9233289,2784,0.01,improved
V95,-22672.3878048,2864,0.01,improved
V96,-18852.3964774,2389,0.01,improved
V97,-6424.8579068,799,0.01,improved
V98,-6852.0958235,847,0.01,improved
V99,-7838.076765,975,0.01,improved
V100,-18337.7338659,2325,0.01,improved
V101,-5850.4355392,730,0.01,improved
V102,-6864.1966537,853,0.01,improved
V103,-7306.6315879,906,0.01,improved
V104,-7020.5317299,874,0.01,improved
V105,-6713.685427,837,0.01,improved
V106,-4802.3249456,593,0.01,improved
V107,-6346.0253938,787,0.01,improved
V108,-21271.5097494,2691,0.01,improved
V109,-7396.0856938,899,0.01,improved
V110,-6995.5983893,852,0.01,improved
V111,-4880.025137,606,0.01,improved
V112,-4832.2929636,597,0.01,improved
V113,-16163.4116091,2035,0.01,improved
V114,-21585.5275788,2729,0.01,improved
V115,-7254.137326,900,0.01,improved
V116,-6772.8912309,839,0.01,improved
V117,-7237.8677904,897,0.01,improved
V118,-5806.6130209,715,0.01,improved
V119,-20345.0545567,2575,0.01,improved
V120,-15422.0517366,1943,0.01,improved
V121,-18653.1149888,2360,0.01,improved
V122,-20657.3932819,2616,0.01,improved
V123,-19100.5339216,2420,0.01,improved
V124,-21157.5258711,2683,0.01,improved
V125,-6649.4239487,812,0.01,improved
V126,-21647.3129739,2727,0.01,improved
V127,-6971.9291929,864,0.01,improved
V128,-19639.7917336,2486,0.01,improved
V129,-15684.4406564,1977,0.01,improved
V130,-20719.8281186,2613,0.01,improved
V131,-3513.9429321,434,0.01,improved
V132,-19617.6834703,2486,0.01,improved
V5,-21461.9159888,3348,0.05,improved
V6,-24976.9587675,3885,0.05,improved
V7,-23686.7760905,3714,0.05,improved
V8,-28807.9439313,4504,0.05,improved
V9,-23302.0576708,3623,0.05,improved
V10,-73793.245598,11681,0.05,improved
V11,-78581.1173789,12463,0.05,improved
V12,-58115.3226124,9228,0.05,improved
V13,-32525.4111848,5099,0.05,improved
V14,-71690.0288597,11381,0.05,improved
V15,-44480.83937,6990,0.05,improved
V16,-84566.7038923,13410,0.05,improved
V17,-36110.2934169,5735,0.05,improved
V18,-81147.7765515,12837,0.05,improved
V19,-70789.0194584,11213,0.05,improved
V20,-72892.2710238,11541,0.05,improved
V21,-75513.6862366,11961,0.05,improved
V22,-24915.0000411,3873,0.05,improved
V23,-25406.1247103,3956,0.05,improved
V24,-68551.7242396,10790,0.05,improved
V25,-73788.5644636,11669,0.05,improved
