sample,Genetic_load,N_del,cutoff,sub
V5,-17295.9779066,2185,0.01,landrace
V6,-16665.6672359,2106,0.01,landrace
V7,-8499.338373,1051,0.01,landrace
V8,-16435.2077552,2059,0.01,landrace
V9,-21244.1808934,2690,0.01,landrace
V10,-20264.4636003,2569,0.01,landrace
V11,-20746.3014976,2625,0.01,landrace
V12,-21804.7751275,2761,0.01,landrace
V13,-12113.7635404,1534,0.01,landrace
V14,-18352.7551164,2326,0.01,landrace
V15,-14665.188471,1858,0.01,landrace
V16,-5129.4406749,636,0.01,landrace
V17,-15907.0361227,2009,0.01,landrace
V18,-20460.0729832,2587,0.01,landrace
V19,-16818.8603456,2121,0.01,landrace
V20,-21882.6905396,2768,0.01,landrace
V21,-18033.8317672,2284,0.01,landrace
V22,-20926.6484298,2647,0.01,landrace
V23,-19541.1256089,2478,0.01,landrace
V24,-13657.412279,1708,0.01,landrace
V25,-11739.3326315,1461,0.01,landrace
V26,-22107.3792637,2794,0.01,landrace
V27,-20794.7729982,2642,0.01,landrace
V28,-22549.5700666,2848,0.01,landrace
V29,-22725.4591014,2870,0.01,landrace
V30,-14185.8474,1777,0.01,landrace
V31,-21374.93041,2690,0.01,landrace
V32,-23620.6365914,2987,0.01,landrace
V33,-20957.8691248,2648,0.01,landrace
V34,-6571.5781228,818,0.01,landrace
V35,-19599.1277965,2482,0.01,landrace
V36,-6236.106078,771,0.01,landrace
V37,-14379.0908148,1812,0.01,landrace
V38,-19654.9130688,2484,0.01,landrace
V39,-22121.216784,2797,0.01,landrace
V40,-18886.5676124,2388,0.01,landrace
V41,-20689.5947143,2624,0.01,landrace
V42,-22307.764872,2835,0.01,landrace
V43,-19165.4589725,2427,0.01,landrace
V44,-21069.5357557,2665,0.01,landrace
V45,-19056.0268425,2407,0.01,landrace
V46,-22252.4509071,2820,0.01,landrace
V47,-19267.4811919,2447,0.01,landrace
V48,-19050.5485806,2399,0.01,landrace
V49,-19128.0368482,2418,0.01,landrace
V50,-16066.8183416,2028,0.01,landrace
V51,-18009.8249323,2275,0.01,landrace
V52,-21900.8549744,2768,0.01,landrace
V53,-21651.6008131,2737,0.01,landrace
V54,-7710.2474216,961,0.01,landrace
V55,-20271.5861697,2556,0.01,landrace
V56,-19339.2057831,2446,0.01,landrace
V57,-20259.93615,2551,0.01,landrace
V58,-18273.8513028,2309,0.01,landrace
V59,-18155.3058961,2309,0.01,landrace
V60,-20323.3063788,2576,0.01,landrace
V61,-20037.8786486,2533,0.01,landrace
V62,-18430.3398359,2340,0.01,landrace
V63,-18827.2455937,2382,0.01,landrace
V64,-19810.5532156,2506,0.01,landrace
V65,-19805.017809,2507,0.01,landrace
V66,-14721.2905315,1854,0.01,landrace
V67,-28274.4193504,3571,0.01,landrace
V68,-21934.816757,2770,0.01,landrace
V69,-17657.2994213,2235,0.01,landrace
V70,-6561.359132,814,0.01,landrace
V71,-7671.4835782,957,0.01,landrace
V72,-22867.3144347,2894,0.01,landrace
V73,-22685.1635622,2866,0.01,landrace
V74,-22280.0770075,2816,0.01,landrace
V75,-21204.7927078,2682,0.01,landrace
V76,-21658.313589,2743,0.01,landrace
V77,-21605.3099217,2736,0.01,landrace
V78,-21096.5512544,2670,0.01,landrace
V79,-22215.5623598,2809,0.01,landrace
V80,-20101.6015486,2538,0.01,landrace
V81,-22532.3301807,2851,0.01,landrace
V82,-18724.159423,2365,0.01,landrace
V83,-17012.6761382,2155,0.01,landrace
V84,-23569.6069319,2982,0.01,landrace
V85,-20636.4604411,2612,0.01,landrace
V86,-21618.151718,2739,0.01,landrace
V87,-17904.5080614,2257,0.01,landrace
V88,-21581.7293578,2735,0.01,landrace
V89,-22721.9324959,2876,0.01,landrace
V90,-7584.6379333,939,0.01,landrace
V91,-19189.7096986,2430,0.01,landrace
V92,-18981.3752306,2405,0.01,landrace
V93,-22579.8174886,2857,0.01,landrace
V94,-20289.4785011,2575,0.01,landrace
V95,-6264.936034,778,0.01,landrace
V96,-6115.7056839,762,0.01,landrace
V97,-5421.5578577,672,0.01,landrace
V98,-7036.2126414,881,0.01,landrace
V99,-17990.6094906,2278,0.01,landrace
V100,-20488.4211385,2598,0.01,landrace
V101,-13411.175896,1684,0.01,landrace
V102,-17781.325312,2246,0.01,landrace
V103,-20849.4538492,2647,0.01,landrace
V104,-19850.8085905,2499,0.01,landrace
V105,-17353.7952811,2196,0.01,landrace
V5,-68665.9699347,10831,0.05,landrace
V6,-65592.3161152,10338,0.05,landrace
V7,-30025.0051405,4686,0.05,landrace
V8,-65047.7736124,10247,0.05,landrace
V9,-83545.221695,13184,0.05,landrace
V10,-81164.1565252,12824,0.05,landrace
V11,-82851.0748183,13072,0.05,landrace
V12,-89440.5019197,14147,0.05,landrace
V13,-50088.0877618,7946,0.05,landrace
V14,-75331.7822502,11927,0.05,landrace
V15,-59651.9189336,9435,0.05,landrace
V16,-18600.2004443,2913,0.05,landrace
V17,-64889.8714945,10270,0.05,landrace
V18,-80483.4385572,12684,0.05,landrace
V19,-63035.7890293,9885,0.05,landrace
V20,-87816.9067465,13853,0.05,landrace
V21,-73700.259753,11652,0.05,landrace
V22,-84299.1570412,13324,0.05,landrace
V23,-80088.0176776,12697,0.05,landrace
V24,-50185.748768,7859,0.05,landrace
V25,-42872.127432,6705,0.05,landrace
V26,-88727.3341273,14013,0.05,landrace
V27,-86099.862488,13643,0.05,landrace
V28,-90476.3355718,14289,0.05,landrace
V29,-90864.3012319,14345,0.05,landrace
V30,-53130.4751339,8338,0.05,landrace
V31,-84751.1908688,13370,0.05,landrace
V32,-93528.3966944,14759,0.05,landrace
V33,-82191.984195,12959,0.05,landrace
V34,-22254.1917081,3469,0.05,landrace
V35,-78262.2044745,12363,0.05,landrace
V36,-20771.869875,3225,0.05,landrace
V37,-55486.0495449,8743,0.05,landrace
V38,-81682.0902127,12927,0.05,landrace
V39,-89587.3526028,14154,0.05,landrace
V40,-77556.9615811,12269,0.05,landrace
V41,-85632.2130398,13550,0.05,landrace
V42,-91267.1627806,14453,0.05,landrace
V43,-77248.5732631,12206,0.05,landrace
V44,-87192.8409061,13798,0.05,landrace
V45,-77152.5996043,12203,0.05,landrace
V46,-90748.8886739,14351,0.05,landrace
V47,-81601.8874802,12937,0.05,landrace
V48,-76641.5802917,12091,0.05,landrace
V49,-77285.7989161,12204,0.05,landrace
V50,-64934.9475414,10250,0.05,landrace
V51,-73908.7769489,11679,0.05,landrace
V52,-89341.8483074,14119,0.05,landrace
V53,-89991.6534872,14245,0.05,landrace
V54,-27362.599898,4272,0.05,landrace
V55,-80056.6900941,12632,0.05,landrace
V56,-79586.353209,12595,0.05,landrace
V57,-79558.9890688,12528,0.05,landrace
V58,-72727.0911479,11484,0.05,landrace
V59,-75346.0604956,11942,0.05,landrace
V60,-81602.1835072,12894,0.05,landrace
