sample,Genetic_load,N_del,cutoff,sub
V5,-23401.2417068,2952,0.01,wild
V6,-31619.5886111,3941,0.01,wild
V7,-28022.5272138,3524,0.01,wild
V8,-27536.1799255,3461,0.01,wild
V9,-32011.6884581,4013,0.01,wild
V10,-24943.9475196,3134,0.01,wild
V11,-26842.9237508,3365,0.01,wild
V12,-27324.9028301,3426,0.01,wild
V13,-28841.1668824,3628,0.01,wild
V14,-25633.8735297,3228,0.01,wild
V15,-22887.1154776,2871,0.01,wild
V16,-28457.090314,3584,0.01,wild
V17,-25918.8192653,3260,0.01,wild
V18,-36069.0198969,4510,0.01,wild
V19,-26171.8378974,3281,0.01,wild
V20,-32299.8520593,4044,0.01,wild
V21,-34828.8811186,4361,0.01,wild
V22,-37314.066011,4680,0.01,wild
V23,-26082.5108571,3278,0.01,wild
V24,-13870.983164,1703,0.01,wild
V25,-12418.8183645,1528,0.01,wild
V26,-27617.9355395,3480,0.01,wild
V27,-24378.8157875,3061,0.01,wild
V28,-23344.4218569,2920,0.01,wild
V29,-31028.9665594,3901,0.01,wild
V30,-37113.5850682,4650,0.01,wild
V31,-36964.7077611,4634,0.01,wild
V32,-27148.2702516,3399,0.01,wild
V33,-23422.1970275,2943,0.01,wild
V34,-24201.7063052,3045,0.01,wild
V35,-20457.6752958,2569,0.01,wild
V36,-25674.7907751,3240,0.01,wild
V37,-35685.9340003,4461,0.01,wild
V38,-35296.5428393,4420,0.01,wild
V39,-32582.6137718,4090,0.01,wild
V40,-35552.2928352,4469,0.01,wild
V41,-27198.6445176,3412,0.01,wild
V42,-26653.5039121,3351,0.01,wild
V43,-34509.6921328,4322,0.01,wild
V44,-26090.2084974,3284,0.01,wild
V45,-34974.4711651,4393,0.01,wild
V46,-31874.8990225,3998,0.01,wild
V47,-12179.3024955,1498,0.01,wild
V48,-34634.6979982,4332,0.01,wild
V49,-24396.092901,3067,0.01,wild
V50,-33233.5836019,4167,0.01,wild
V51,-32960.0939936,4126,0.01,wild
V52,-32723.1231643,4103,0.01,wild
V53,-30496.7905232,3837,0.01,wild
V5,-92712.6417717,14639,0.05,wild
V6,-122513.291514,19269,0.05,wild
V7,-110511.5759604,17427,0.05,wild
V8,-108440.6634726,17107,0.05,wild
V9,-120498.420306,18906,0.05,wild
V10,-97630.0062101,15388,0.05,wild
V11,-105728.1562256,16662,0.05,wild
V12,-107271.2126693,16913,0.05,wild
V13,-111235.931081,17521,0.05,wild
V14,-103286.143097,16313,0.05,wild
V15,-90897.1808181,14326,0.05,wild
V16,-108516.59199,17074,0.05,wild
V17,-101380.9197393,15979,0.05,wild
V18,-135546.7431188,21267,0.05,wild
V19,-105185.9870192,16595,0.05,wild
V20,-122526.9378864,19224,0.05,wild
V21,-133161.161539,20940,0.05,wild
V22,-143646.8956863,22624,0.05,wild
V23,-99724.2348117,15706,0.05,wild
V24,-47911.7036839,7430,0.05,wild
V25,-43268.0372864,6733,0.05,wild
V26,-106611.7016417,16792,0.05,wild
V27,-95587.7043911,15066,0.05,wild
V28,-91401.1902376,14392,0.05,wild
V29,-117854.3123971,18531,0.05,wild
V30,-140723.4100251,22132,0.05,wild
V31,-139743.7353819,21968,0.05,wild
V32,-104877.3390668,16514,0.05,wild
V33,-94565.677421,14926,0.05,wild
V34,-95167.0549126,14996,0.05,wild
V35,-81829.5150438,12920,0.05,wild
V36,-100098.3280644,15784,0.05,wild
V37,-134382.0194006,21104,0.05,wild
V38,-133581.6192395,21008,0.05,wild
V39,-125861.9321721,19829,0.05,wild
V40,-137629.7933745,21687,0.05,wild
V41,-103390.0055202,16235,0.05,wild
V42,-103933.465582,16365,0.05,wild
V43,-131613.7289423,20685,0.05,wild
V44,-103386.3511875,16306,0.05,wild
V45,-134185.0746205,21125,0.05,wild
V46,-122259.4525606,19242,0.05,wild
V47,-39820.3180504,6161,0.05,wild
V48,-131264.1786266,20638,0.05,wild
V49,-97349.0140527,15371,0.05,wild
V50,-126946.3145808,19933,0.05,wild
V51,-125430.9987254,19710,0.05,wild
V52,-123115.9493807,19324,0.05,wild
V53,-119106.071439,18771,0.05,wild
V5,-153522.7891052,28479,0.1,wild
V6,-201848.5468426,37343,0.1,wild
V7,-180777.2136206,33435,0.1,wild
V8,-178070.8413648,32964,0.1,wild
V9,-196157.5213817,36138,0.1,wild
V10,-160110.7750433,29601,0.1,wild
V11,-172866.2396515,31951,0.1,wild
V12,-175268.6108366,32395,0.1,wild
V13,-183665.4656778,34019,0.1,wild
V14,-169877.0362618,31478,0.1,wild
V15,-147891.3602537,27317,0.1,wild
V16,-178221.2731113,32941,0.1,wild
V17,-165944.2509407,30671,0.1,wild
V18,-220301.6631141,40581,0.1,wild
V19,-172992.9939096,32041,0.1,wild
V20,-200133.5056682,36891,0.1,wild
V21,-217608.2469634,40146,0.1,wild
V22,-232473.8681759,42821,0.1,wild
V23,-163392.4766559,30206,0.1,wild
V24,-78267.9323332,14361,0.1,wild
V25,-71113.3372711,13096,0.1,wild
V26,-175359.8176724,32461,0.1,wild
V27,-156676.2367847,28966,0.1,wild
V28,-150163.8904975,27765,0.1,wild
V29,-192421.8519683,35518,0.1,wild
V30,-228027.136851,42024,0.1,wild
V31,-226658.7771047,41753,0.1,wild
V32,-171335.1515508,31642,0.1,wild
V33,-154866.681283,28695,0.1,wild
V34,-154652.3567917,28552,0.1,wild
V35,-133318.5120508,24647,0.1,wild
V36,-163660.4510587,30270,0.1,wild
V37,-223009.0018887,41289,0.1,wild
V38,-217410.1690776,40105,0.1,wild
V39,-204567.7649267,37758,0.1,wild
V40,-222921.5086067,41130,0.1,wild
V41,-167274.5870538,30786,0.1,wild
V42,-170456.5949694,31502,0.1,wild
V43,-213384.9555164,39289,0.1,wild
V44,-169883.5015923,31446,0.1,wild
V45,-218252.9244251,40254,0.1,wild
V46,-198393.7542112,36598,0.1,wild
V47,-66258.3425072,12221,0.1,wild
V48,-213757.0271802,39448,0.1,wild
V49,-159625.3014825,29562,0.1,wild
V50,-206392.0112342,38027,0.1,wild
V51,-202920.6867088,37368,0.1,wild
V52,-199696.6496663,36784,0.1,wild
V53,-194454.4795614,35919,0.1,wild
V5,-242759.3831609,72532,0.25,wild
V6,-327561.299428,99545,0.25,wild
V7,-289301.3411483,87018,0.25,wild
V8,-286106.537645,86413,0.25,wild
V9,-317116.1784522,96236,0.25,wild
V10,-257473.5017397,77712,0.25,wild
V11,-277269.5282574,83653,0.25,wild
V12,-281134.6046805,84743,0.25,wild
V13,-294773.1722848,88928,0.25,wild
V14,-273964.948207,82745,0.25,wild
V15,-239535.4403191,72724,0.25,wild
V16,-285872.8611937,85948,0.25,wild
V17,-266227.5840197,80266,0.25,wild
V18,-360326.283028,110145,0.25,wild
V19,-277375.158213,83564,0.25,wild
V20,-325446.151427,99022,0.25,wild
V21,-351784.2729969,106505,0.25,wild
V22,-377146.6031639,114871,0.25,wild
V23,-263407.2735314,79703,0.25,wild
V24,-135502.561094,43247,0.25,wild
V25,-123712.6160465,39543,0.25,wild
V26,-282880.576107,85602,0.25,wild
V27,-250062.5406889,75160,0.25,wild
V28,-242704.0684357,73391,0.25,wild
V29,-311377.02078,94420,0.25,wild
V30,-367313.963256,111144,0.25,wild
V31,-365504.4091423,110601,0.25,wild
V32,-274872.4730825,82587,0.25,wild
V33,-248160.9073015,74756,0.25,wild
V34,-246762.2855703,74057,0.25,wild
V35,-215501.9734256,65281,0.25,wild
V36,-260858.1148309,78158,0.25,wild
V37,-365482.9302427,112186,0.25,wild
V38,-350722.8319492,106223,0.25,wild
V39,-331101.681577,100475,0.25,wild
V40,-357766.2910597,107940,0.25,wild
V41,-264929.717535,78788,0.25,wild
V42,-273357.9875372,82427,0.25,wild
V43,-343329.6218834,103816,0.25,wild
V44,-271204.359738,81499,0.25,wild
V45,-353679.7673251,107372,0.25,wild
V46,-320879.8599515,97552,0.25,wild
V47,-117089.1421871,37869,0.25,wild
V48,-347091.3406483,105816,0.25,wild
V49,-256843.9910679,77533,0.25,wild
V50,-334991.313556,101790,0.25,wild
V51,-329329.9957027,100085,0.25,wild
V52,-325660.0772014,99378,0.25,wild
V53,-311096.5585429,93572,0.25,wild
