sample,Genetic_load,N_del,cutoff,sub
V5,-52205.3824941,30928,0.25,landrace
V6,-43749.74833166,26550,0.25,landrace
V7,-59393.3904515,36304,0.25,landrace
V8,-26734.78720313,15907,0.25,landrace
V9,-83262.73897132,49277,0.25,landrace
V10,-33203.52837581,19509,0.25,landrace
V11,-32227.40122788,19115,0.25,landrace
V12,-27470.6019442,15992,0.25,landrace
V13,-6876.29107949,3990,0.25,landrace
V14,-6672.70841837,3800,0.25,landrace
V15,-25935.0926494,15131,0.25,landrace
V16,-21528.16432974,12440,0.25,landrace
V17,-20433.01958898,11703,0.25,landrace
V18,-13932.59923792,8086,0.25,landrace
V19,-47887.17572131,28534,0.25,landrace
V20,-45879.83868953,27287,0.25,landrace
V21,-31517.72284737,18413,0.25,landrace
V22,-33409.48564631,19600,0.25,landrace
V5,-29024.9932604,11371,0.1,landrace
V6,-23303.2681638,9316,0.1,landrace
V7,-30966.1917809,12293,0.1,landrace
V8,-14714.4219042,5743,0.1,landrace
V9,-46096.9827758,17927,0.1,landrace
V10,-18512.6910392,7152,0.1,landrace
V11,-17797.9852509,6953,0.1,landrace
V12,-15571.2689572,5986,0.1,landrace
V13,-3936.4277657,1519,0.1,landrace
V14,-3988.5818645,1530,0.1,landrace
V15,-14707.2330955,5683,0.1,landrace
V16,-12376.818431,4759,0.1,landrace
V17,-11908.9141889,4552,0.1,landrace
V18,-8025.0517095,3089,0.1,landrace
V19,-26321.7546995,10313,0.1,landrace
V20,-25185.9053191,9884,0.1,landrace
V21,-17895.927534,6954,0.1,landrace
V22,-18782.555318,7273,0.1,landrace
V5,-17171.4933951,5239,0.05,landrace
V6,-13138.3580658,4036,0.05,landrace
V7,-17660.6666354,5377,0.05,landrace
V8,-8813.552181,2681,0.05,landrace
V9,-27595.2673452,8338,0.05,landrace
V10,-11246.753225,3375,0.05,landrace
V11,-10639.1540261,3242,0.05,landrace
V12,-9530.1661375,2863,0.05,landrace
V13,-2421.2148434,741,0.05,landrace
V14,-2471.1000373,746,0.05,landrace
V15,-8881.8065206,2671,0.05,landrace
V16,-7623.7652647,2299,0.05,landrace
V17,-7524.7043482,2289,0.05,landrace
V18,-4886.8927345,1467,0.05,landrace
V19,-15555.4005066,4729,0.05,landrace
V20,-14702.999397,4458,0.05,landrace
V21,-10680.0243532,3210,0.05,landrace
V22,-11402.2621717,3446,0.05,landrace
V5,-4395.1488646,898,0.01,landrace
V6,-3176.2079531,642,0.01,landrace
V7,-4603.2983372,939,0.01,landrace
V8,-2201.7702051,448,0.01,landrace
V9,-7355.17544,1491,0.01,landrace
V10,-3204.4481523,648,0.01,landrace
V11,-2736.8512267,559,0.01,landrace
V12,-2623.1049071,533,0.01,landrace
V13,-591.9056405,121,0.01,landrace
V14,-643.109986,130,0.01,landrace
V15,-2404.0106219,481,0.01,landrace
V16,-2028.153249,404,0.01,landrace
V17,-1950.4293834,395,0.01,landrace
V18,-1292.1705963,256,0.01,landrace
V19,-4038.1891438,816,0.01,landrace
V20,-3713.549226,750,0.01,landrace
V21,-2881.8710622,580,0.01,landrace
V22,-3079.951633,630,0.01,landrace
