sample,Genetic_load,N_del,cutoff,sub
V5,-89496.44275387,51715,0.25,modern
V6,-62306.38203894,35999,0.25,modern
V7,-56912.71479271,33124,0.25,modern
V8,-69280.51718552,39934,0.25,modern
V9,-133466.56808687,76318,0.25,modern
V10,-75491.51969617,43674,0.25,modern
V11,-69965.54642603,40476,0.25,modern
V12,-130085.90515594,74387,0.25,modern
V13,-48954.97480337,28430,0.25,modern
V14,-124435.27664733,71578,0.25,modern
V15,-90461.09904152,52249,0.25,modern
V16,-69295.95737122,39766,0.25,modern
V17,-9187.60753262,5498,0.25,modern
V18,-66095.76369501,37980,0.25,modern
V19,-71984.19182585,41492,0.25,modern
V20,-70352.71073103,40360,0.25,modern
V21,-56771.61448081,32828,0.25,modern
V22,-62080.07063376,35726,0.25,modern
V23,-30137.16900305,17757,0.25,modern
V24,-67468.71934827,38993,0.25,modern
V25,-50559.54436862,29235,0.25,modern
V26,-80620.79957746,46143,0.25,modern
V27,-10746.325059,6285,0.25,modern
V28,-78147.97642029,44519,0.25,modern
V29,-78469.29683025,45252,0.25,modern
V30,-71951.73076578,41485,0.25,modern
V31,-41148.18979698,23948,0.25,modern
V32,-87564.2354097,50099,0.25,modern
V33,-99880.50560133,57985,0.25,modern
V34,-81076.60048808,47225,0.25,modern
V35,-72965.75912115,42681,0.25,modern
V36,-54795.63196111,32075,0.25,modern
V37,-50166.56250228,29088,0.25,modern
V38,-84245.64559497,48962,0.25,modern
V39,-15555.92058282,9155,0.25,modern
V40,-69939.99966376,40251,0.25,modern
V41,-101394.1619728,58419,0.25,modern
V42,-90612.2887257,52452,0.25,modern
V43,-73940.98123156,42917,0.25,modern
V44,-31593.38195625,18678,0.25,modern
V45,-105233.9408565,60651,0.25,modern
V46,-7977.37019155,4634,0.25,modern
V47,-56545.42870687,32708,0.25,modern
V48,-54708.29412237,31344,0.25,modern
V49,-48507.51628225,28877,0.25,modern
V50,-34952.70136214,20474,0.25,modern
V51,-51022.5244304,29716,0.25,modern
V52,-90483.59685967,52193,0.25,modern
V53,-16111.59475886,9737,0.25,modern
V54,-76570.09015182,44599,0.25,modern
V55,-52595.64747393,30150,0.25,modern
V56,-82858.55538502,47872,0.25,modern
V57,-55093.16241566,32262,0.25,modern
V58,-64183.28216649,37110,0.25,modern
V59,-53085.43988757,30791,0.25,modern
V60,-75112.29961386,42966,0.25,modern
V61,-21235.71361649,12464,0.25,modern
V62,-68778.36269186,39565,0.25,modern
V63,-86058.68027383,49897,0.25,modern
V64,-69702.23423449,40582,0.25,modern
V65,-92193.35543477,53387,0.25,modern
V66,-70196.26619534,41146,0.25,modern
V67,-65077.11571448,36915,0.25,modern
V68,-106262.16659813,60536,0.25,modern
V69,-72799.97529696,41851,0.25,modern
V70,-83018.88700495,47957,0.25,modern
V71,-80923.25396495,46699,0.25,modern
V72,-56404.82159563,32652,0.25,modern
V73,-94583.37255876,54791,0.25,modern
V74,-49760.4731131,29064,0.25,modern
V75,-120755.67738987,69284,0.25,modern
V76,-79245.81975007,45344,0.25,modern
V77,-66189.38652513,38519,0.25,modern
V78,-14206.76364397,8365,0.25,modern
V79,-93415.23315414,53941,0.25,modern
V80,-68272.11567079,39948,0.25,modern
V81,-70632.2094732,41310,0.25,modern
V82,-76648.15238122,44281,0.25,modern
V83,-95809.49718411,55738,0.25,modern
V84,-101387.60857766,61122,0.25,modern
V85,-91219.71440373,52406,0.25,modern
V86,-59900.34478633,34660,0.25,modern
V87,-96444.48373796,56301,0.25,modern
V88,-94207.61160026,56569,0.25,modern
V89,-92203.2076536,53130,0.25,modern
V90,-102588.80659093,59043,0.25,modern
V91,-60466.33301883,34405,0.25,modern
V92,-98595.83249293,56334,0.25,modern
V93,-60162.13773214,35247,0.25,modern
V94,-39144.46947492,22982,0.25,modern
V95,-117159.26108788,67228,0.25,modern
V96,-82220.88143903,47904,0.25,modern
V97,-106554.56159036,61559,0.25,modern
V98,-106293.7120549,61673,0.25,modern
V99,-76654.76966995,44481,0.25,modern
V100,-74278.52504001,42465,0.25,modern
V101,-125039.22209433,71647,0.25,modern
V102,-96867.12242177,55951,0.25,modern
V103,-76717.12667201,44563,0.25,modern
V104,-49544.3417801,28862,0.25,modern
V105,-89834.20317831,51358,0.25,modern
V106,-34678.39558433,20251,0.25,modern
V107,-20681.30218294,12222,0.25,modern
V108,-110633.11298468,63884,0.25,modern
V109,-57663.73518986,33435,0.25,modern
V110,-104792.09010275,60409,0.25,modern
V111,-69983.33265955,40262,0.25,modern
V112,-50821.46528794,29424,0.25,modern
V113,-84888.12931424,48570,0.25,modern
V114,-73296.40876334,42564,0.25,modern
V115,-93801.38344643,54632,0.25,modern
V116,-94106.14272641,54408,0.25,modern
