sample,Genetic_load,N_del,cutoff,sub
V5,-36588.80768049,23041,0.25,wild
V6,-30992.42606537,19688,0.25,wild
V7,-36816.65476933,23252,0.25,wild
V8,-6924.40034662,4339,0.25,wild
V9,-17778.16320349,10915,0.25,wild
V10,-30604.3358502,19296,0.25,wild
V11,-22882.10575361,14986,0.25,wild
V12,-2363.31665008,1519,0.25,wild
V13,-24564.99087112,15707,0.25,wild
V14,-32354.72309711,20582,0.25,wild
V15,-1698.35912403,1084,0.25,wild
V16,-3213.56421593,2131,0.25,wild
V17,-23427.38988935,14799,0.25,wild
V18,-17701.87321783,11259,0.25,wild
V19,-3005.92470755,1882,0.25,wild
V20,-22815.62171767,14224,0.25,wild
V21,-3411.44656556,2136,0.25,wild
V22,-3525.69324615,2274,0.25,wild
V23,-3681.18016873,2382,0.25,wild
V24,-2918.69775215,1888,0.25,wild
V25,-1505.00716166,969,0.25,wild
V26,-2057.36980896,1301,0.25,wild
V27,-35038.59185934,22038,0.25,wild
V28,-32861.62855761,20801,0.25,wild
V29,-37473.79950534,23532,0.25,wild
V30,-30463.97736139,19252,0.25,wild
V5,-18910.26945,7776,0.1,wild
V6,-15771.8229612,6511,0.1,wild
V7,-18894.5264953,7761,0.1,wild
V8,-3527.5617258,1408,0.1,wild
V9,-9587.5120236,3844,0.1,wild
V10,-15861.0534125,6550,0.1,wild
V11,-10950.612783,4652,0.1,wild
V12,-1167.3534834,480,0.1,wild
V13,-12382.2312338,5159,0.1,wild
V14,-16356.7439972,6764,0.1,wild
V15,-863.1058346,355,0.1,wild
V16,-1541.1532207,671,0.1,wild
V17,-12028.9081529,4970,0.1,wild
V18,-8930.1896151,3658,0.1,wild
V19,-1562.8904129,641,0.1,wild
V20,-12027.0055185,4924,0.1,wild
V21,-1771.4820531,717,0.1,wild
V22,-1699.3170771,700,0.1,wild
V23,-1842.7392197,800,0.1,wild
V24,-1446.0346979,619,0.1,wild
V25,-730.3411865,304,0.1,wild
V26,-1048.859328,437,0.1,wild
V27,-18100.4279149,7413,0.1,wild
V28,-16781.4979346,6937,0.1,wild
V29,-19466.7151835,7986,0.1,wild
V30,-15593.5842743,6406,0.1,wild
V5,-10322.6256118,3217,0.05,wild
V6,-8496.6636952,2649,0.05,wild
V7,-10177.2619178,3131,0.05,wild
V8,-1970.2897197,592,0.05,wild
V9,-5570.219972,1715,0.05,wild
V10,-8570.579589,2680,0.05,wild
V11,-5497.7808355,1754,0.05,wild
V12,-620.5932299,192,0.05,wild
V13,-6554.8489636,2051,0.05,wild
V14,-8668.183073,2681,0.05,wild
V15,-433.568054,128,0.05,wild
V16,-698.2140654,225,0.05,wild
V17,-6433.1517275,2003,0.05,wild
V18,-4836.9803129,1493,0.05,wild
V19,-886.0931394,281,0.05,wild
V20,-6654.4191077,2072,0.05,wild
V21,-993.1944869,300,0.05,wild
V22,-870.3663927,262,0.05,wild
V23,-815.975281,254,0.05,wild
V24,-686.7488394,215,0.05,wild
V25,-411.0225827,136,0.05,wild
V26,-546.4223476,169,0.05,wild
V27,-9831.342085,3025,0.05,wild
V28,-9044.9223733,2817,0.05,wild
V29,-10498.3648676,3228,0.05,wild
V30,-8468.2716367,2622,0.05,wild
V5,-2627.1859145,549,0.01,wild
V6,-2150.3889196,440,0.01,wild
V7,-2719.7758776,552,0.01,wild
V8,-570.7297682,115,0.01,wild
V9,-1472.8801613,301,0.01,wild
V10,-2066.7178355,425,0.01,wild
V11,-1173.2523808,241,0.01,wild
V12,-152.2980948,30,0.01,wild
V13,-1585.8053328,322,0.01,wild
V14,-2218.1922917,452,0.01,wild
V15,-146.9609379,31,0.01,wild
V16,-148.3237309,32,0.01,wild
V17,-1555.3572998,318,0.01,wild
V18,-1269.8838497,259,0.01,wild
V19,-191.9233395,38,0.01,wild
V20,-1668.7595819,339,0.01,wild
V21,-309.0250244,64,0.01,wild
V22,-308.191772,62,0.01,wild
V23,-195.5264893,37,0.01,wild
V24,-161.5251462,32,0.01,wild
V25,-77.7321783,17,0.01,wild
V26,-133.2385253,28,0.01,wild
V27,-2607.0595997,533,0.01,wild
V28,-2292.0903627,472,0.01,wild
V29,-2782.5599977,554,0.01,wild
V30,-2127.2316928,435,0.01,wild
