sample,Genetic_load,N_del,cutoff,sub
[5]030-1:GT,-69508.867649,35928,0.25,improved
[6]08-64:GT,-76440.452672,39337,0.25,improved
[7]1101:GT,-68110.12709,34913,0.25,improved
[8]1121:GT,-89842.067078,46379,0.25,improved
[9]1127:GT,-67630.09558,34761,0.25,improved
[10]11430:GT,-73742.185629,38065,0.25,improved
[11]1145:GT,-84127.731972,43150,0.25,improved
[12]1205A:GT,-15380.81744,7880,0.25,improved
[13]1313:GT,-79333.94359,40894,0.25,improved
[14]140:GT,-79127.95972,40934,0.25,improved
[15]150-4:GT,-76692.455124,39638,0.25,improved
[16]1538:GT,-75123.762622,38355,0.25,improved
[17]1610:GT,-85945.74895,44103,0.25,improved
[18]1614:GT,-46417.26989,23821,0.25,improved
[19]17564:GT,-79616.792983,41095,0.25,improved
[20]18:GT,-83431.505875,42805,0.25,improved
[21]18-599:GT,-84674.740049,43382,0.25,improved
[22]196:GT,-85368.261575,44020,0.25,improved
[23]200-24-13413:GT,-83382.89572,43129,0.25,improved
[24]2005:GT,-72895.860593,37671,0.25,improved
[25]2005-4:GT,-84341.388189,43382,0.25,improved
[26]200B:GT,-78884.816849,40788,0.25,improved
[27]20564:GT,-80319.347381,41338,0.25,improved
[28]207:GT,-79367.62128,40929,0.25,improved
[29]20762:GT,-81331.425332,41892,0.25,improved
[30]20837:GT,-82793.727198,42719,0.25,improved
[31]2369:GT,-6673.119122,3455,0.25,improved
[32]282set_33-16:GT,-75653.433936,39147,0.25,improved
[33]282set_38-11Goodman-Buckler:GT,-77416.466904,39942,0.25,improved
[34]282set_4226:GT,-77617.404327,40043,0.25,improved
[35]282set_4722:GT,-76591.993438,39820,0.25,improved
[36]282set_A188:GT,-81131.122695,42053,0.25,improved
[37]282set_A214NGoodman-Buckler:GT,-58715.200841,30191,0.25,improved
[38]282set_A239:GT,-71846.509406,36752,0.25,improved
[39]282set_A441-5:GT,-71292.168101,37065,0.25,improved
[40]282set_A554:GT,-76880.46202,39791,0.25,improved
[41]282set_A556:GT,-76905.59541,39711,0.25,improved
[42]282set_A6:GT,-76179.744519,39293,0.25,improved
[43]282set_A619:GT,-80141.188891,41464,0.25,improved
[44]282set_A632:GT,-59010.176466,30243,0.25,improved
[45]282set_A634:GT,-57770.216102,29716,0.25,improved
[46]282set_A635:GT,-58250.495999,29787,0.25,improved
[47]282set_A641:GT,-59458.834593,30389,0.25,improved
[48]282set_A654:GT,-76769.771365,39702,0.25,improved
[49]282set_A659:GT,-78486.871491,40309,0.25,improved
[50]282set_A661:GT,-77373.553247,39911,0.25,improved
[51]282set_A679:GT,-8271.203682,4151,0.25,improved
[52]282set_A680:GT,-11643.37338,5992,0.25,improved
[53]282set_A682:GT,-79105.734093,40779,0.25,improved
[54]282set_Ab28A:GT,-73506.750162,37772,0.25,improved
[55]282set_B10:GT,-71722.641549,37074,0.25,improved
[56]282set_B103:GT,-84902.427807,43815,0.25,improved
[57]282set_B104:GT,-50665.739306,26132,0.25,improved
[58]282set_B105:GT,-54244.502157,27888,0.25,improved
[59]282set_B109:GT,-33292.835063,17086,0.25,improved
[60]282set_B14A:GT,-58250.57326,29795,0.25,improved
[61]282set_B164:GT,-70375.271224,36545,0.25,improved
[62]282set_B2:GT,-77073.752071,39915,0.25,improved
[63]282set_B37:GT,-60467.728226,30896,0.25,improved
[64]282set_B46:GT,-75531.524438,38964,0.25,improved
[65]282set_B52:GT,-71502.829798,36966,0.25,improved
[66]282set_B57:GT,-78479.608764,40441,0.25,improved
[67]282set_B64:GT,-58078.011684,29719,0.25,improved
[68]282set_B68:GT,-57877.610089,29628,0.25,improved
[69]282set_B73:GT,-484.656382,273,0.25,improved
[70]282set_B75:GT,-77675.011183,40231,0.25,improved
[71]282set_B76:GT,-60538.946562,30950,0.25,improved
