sample,Genetic_load,N_del,cutoff,sub
[5]ZEAxppRCWDIAAPEI-3:GT,-108828.050935,55403,0.25,landrace
[6]ZEAxppRCXDIAAPEI-4:GT,-106066.177721,54367,0.25,landrace
[7]BKN009:GT,-106850.060285,54703,0.25,landrace
[8]BKN010:GT,-99880.786144,51002,0.25,landrace
[9]BKN011:GT,-105725.206712,54158,0.25,landrace
[10]BKN014:GT,-104025.672635,53496,0.25,landrace
[11]BKN015:GT,-96624.185557,49105,0.25,landrace
[12]BKN016:GT,-104012.697501,53509,0.25,landrace
[13]BKN017:GT,-103847.210278,53665,0.25,landrace
[14]BKN018:GT,-101610.033812,51761,0.25,landrace
[15]BKN019:GT,-103441.351559,52900,0.25,landrace
[16]BKN020:GT,-105229.243394,53651,0.25,landrace
[17]BKN022:GT,-105700.212642,54319,0.25,landrace
[18]BKN023:GT,-106675.261115,54439,0.25,landrace
[19]BKN025:GT,-102806.367302,52559,0.25,landrace
[20]BKN026:GT,-105121.98786,54228,0.25,landrace
[21]BKN027:GT,-99605.027027,51032,0.25,landrace
[22]BKN029:GT,-104236.565137,53792,0.25,landrace
[23]BKN030:GT,-105279.630299,54319,0.25,landrace
[24]BKN031:GT,-102380.989923,52467,0.25,landrace
[25]BKN032:GT,-102632.62183,52564,0.25,landrace
[26]BKN033:GT,-103546.73827,53210,0.25,landrace
[27]BKN034:GT,-104880.607767,53672,0.25,landrace
[28]BKN035:GT,-100583.379386,51899,0.25,landrace
[29]BKN040:GT,-96475.635864,48932,0.25,landrace
[30]RIMMA0438.1:GT,-105217.092613,54723,0.25,landrace
[5]ZEAxppRCWDIAAPEI-3:GT,-59307.918586,19179,0.1,landrace
[6]ZEAxppRCXDIAAPEI-4:GT,-57207.987216,18611,0.1,landrace
[7]BKN009:GT,-57995.910314,18873,0.1,landrace
[8]BKN010:GT,-54465.742576,17718,0.1,landrace
[9]BKN011:GT,-57234.270246,18646,0.1,landrace
[10]BKN014:GT,-55864.383538,18201,0.1,landrace
[11]BKN015:GT,-53221.73919,17315,0.1,landrace
[12]BKN016:GT,-56027.075175,18248,0.1,landrace
[13]BKN017:GT,-55385.587848,18132,0.1,landrace
[14]BKN018:GT,-55382.151539,17939,0.1,landrace
[15]BKN019:GT,-56025.723404,18159,0.1,landrace
[16]BKN020:GT,-57298.523397,18582,0.1,landrace
[17]BKN022:GT,-57008.442481,18604,0.1,landrace
[18]BKN023:GT,-58005.22089,18834,0.1,landrace
[19]BKN025:GT,-56092.302661,18285,0.1,landrace
[20]BKN026:GT,-56201.715371,18377,0.1,landrace
[21]BKN027:GT,-53924.376632,17607,0.1,landrace
[22]BKN029:GT,-55654.564086,18261,0.1,landrace
[23]BKN030:GT,-56086.264121,18316,0.1,landrace
[24]BKN031:GT,-55041.466788,17828,0.1,landrace
[25]BKN032:GT,-55539.027413,18071,0.1,landrace
[26]BKN033:GT,-55592.379658,18123,0.1,landrace
[27]BKN034:GT,-57077.39476,18597,0.1,landrace
[28]BKN035:GT,-53815.750229,17620,0.1,landrace
[29]BKN040:GT,-52823.989966,17082,0.1,landrace
[30]RIMMA0438.1:GT,-55230.356816,18114,0.1,landrace
[5]ZEAxppRCWDIAAPEI-3:GT,-35488.93031,9020,0.05,landrace
[6]ZEAxppRCXDIAAPEI-4:GT,-33945.762438,8691,0.05,landrace
[7]BKN009:GT,-34320.535366,8782,0.05,landrace
[8]BKN010:GT,-32246.415934,8232,0.05,landrace
[9]BKN011:GT,-33817.667632,8653,0.05,landrace
[10]BKN014:GT,-33062.470425,8469,0.05,landrace
[11]BKN015:GT,-31546.037346,8053,0.05,landrace
[12]BKN016:GT,-33221.225655,8522,0.05,landrace
[13]BKN017:GT,-32322.006886,8287,0.05,landrace
[14]BKN018:GT,-32969.617602,8379,0.05,landrace
[15]BKN019:GT,-33667.85007,8613,0.05,landrace
[16]BKN020:GT,-34162.803061,8707,0.05,landrace
[17]BKN022:GT,-33720.091799,8656,0.05,landrace
[18]BKN023:GT,-34545.134323,8829,0.05,landrace
[19]BKN025:GT,-33435.0768,8610,0.05,landrace
[20]BKN026:GT,-32977.688403,8462,0.05,landrace
[21]BKN027:GT,-31753.272172,8135,0.05,landrace
[22]BKN029:GT,-32458.041155,8350,0.05,landrace
[23]BKN030:GT,-33311.191189,8572,0.05,landrace
[24]BKN031:GT,-32652.556717,8282,0.05,landrace
[25]BKN032:GT,-32760.591736,8354,0.05,landrace
[26]BKN033:GT,-32850.57281,8413,0.05,landrace
[27]BKN034:GT,-33644.481034,8614,0.05,landrace
[28]BKN035:GT,-31406.61117,8040,0.05,landrace
[29]BKN040:GT,-31599.478239,8021,0.05,landrace
[30]RIMMA0438.1:GT,-32227.935412,8296,0.05,landrace
[5]ZEAxppRCWDIAAPEI-3:GT,-9075.641858,1605,0.01,landrace
[6]ZEAxppRCXDIAAPEI-4:GT,-8184.136714,1460,0.01,landrace
[7]BKN009:GT,-8519.501459,1506,0.01,landrace
[8]BKN010:GT,-8168.743167,1450,0.01,landrace
[9]BKN011:GT,-8290.70067,1462,0.01,landrace
[10]BKN014:GT,-7881.869361,1412,0.01,landrace
[11]BKN015:GT,-7781.592989,1388,0.01,landrace
[12]BKN016:GT,-8050.30883,1437,0.01,landrace
[13]BKN017:GT,-7837.007076,1409,0.01,landrace
[14]BKN018:GT,-8478.183591,1496,0.01,landrace
[15]BKN019:GT,-8117.26367,1447,0.01,landrace
[16]BKN020:GT,-8514.90211,1511,0.01,landrace
[17]BKN022:GT,-7994.341797,1429,0.01,landrace
[18]BKN023:GT,-8639.078847,1538,0.01,landrace
[19]BKN025:GT,-7686.395278,1372,0.01,landrace
[20]BKN026:GT,-7874.147216,1402,0.01,landrace
[21]BKN027:GT,-7591.513404,1365,0.01,landrace
[22]BKN029:GT,-7390.3828,1318,0.01,landrace
[23]BKN030:GT,-7667.266582,1367,0.01,landrace
[24]BKN031:GT,-8395.210693,1479,0.01,landrace
[25]BKN032:GT,-8169.304695,1438,0.01,landrace
[26]BKN033:GT,-8033.842759,1433,0.01,landrace
[27]BKN034:GT,-8003.401372,1427,0.01,landrace
[28]BKN035:GT,-7498.63355,1329,0.01,landrace
[29]BKN040:GT,-8170.478275,1448,0.01,landrace
