sample,Genetic_load,N_del,cutoff,sub
[5]german_Teosinte:GT,-66305.000747,35927,0.25,wild
[6]TIL01:GT,-67149.964576,36210,0.25,wild
[7]TIL01-JD:GT,-67467.662693,36390,0.25,wild
[8]TIL02:GT,-60519.565576,32856,0.25,wild
[9]TIL03:GT,-66907.070141,36029,0.25,wild
[10]TIL04-TIP285:GT,-64704.802319,34615,0.25,wild
[11]TIL04-TIP454:GT,-67056.368809,35902,0.25,wild
[12]TIL05:GT,-66575.070778,35788,0.25,wild
[13]TIL06-TIP260:GT,-63247.152407,34419,0.25,wild
[14]TIL06-TIP496:GT,-62632.996469,34054,0.25,wild
[15]TIL07:GT,-66196.590208,35511,0.25,wild
[16]TIL09:GT,-69425.442508,37398,0.25,wild
[17]TIL10:GT,-62294.206364,33455,0.25,wild
[18]TIL11:GT,-68032.44979,36428,0.25,wild
[19]TIL12:GT,-62677.383181,34296,0.25,wild
[20]TIL14-TIP498:GT,-66159.315922,35514,0.25,wild
[21]TIL15:GT,-65345.279332,35381,0.25,wild
[22]TIL16:GT,-64760.861649,35031,0.25,wild
[23]TIL17:GT,-61269.287501,33402,0.25,wild
[24]TIL25-TIP489:GT,-62526.487095,33823,0.25,wild
[5]german_Teosinte:GT,-33588.018248,11385,0.1,wild
[6]TIL01:GT,-34304.778569,11623,0.1,wild
[7]TIL01-JD:GT,-34493.646911,11698,0.1,wild
[8]TIL02:GT,-30451.83002,10299,0.1,wild
[9]TIL03:GT,-34169.522766,11550,0.1,wild
[10]TIL04-TIP285:GT,-33533.21408,11291,0.1,wild
[11]TIL04-TIP454:GT,-34579.930721,11618,0.1,wild
[12]TIL05:GT,-34066.355409,11491,0.1,wild
[13]TIL06-TIP260:GT,-31825.133544,10786,0.1,wild
[14]TIL06-TIP496:GT,-31532.303942,10670,0.1,wild
[15]TIL07:GT,-34035.405676,11469,0.1,wild
[16]TIL09:GT,-35655.061595,12083,0.1,wild
[17]TIL10:GT,-31985.847719,10737,0.1,wild
[18]TIL11:GT,-35105.433357,11776,0.1,wild
[19]TIL12:GT,-31132.404956,10589,0.1,wild
[20]TIL14-TIP498:GT,-33987.089636,11456,0.1,wild
[21]TIL15:GT,-33136.99645,11236,0.1,wild
[22]TIL16:GT,-32957.780102,11152,0.1,wild
[23]TIL17:GT,-30471.547322,10382,0.1,wild
[24]TIL25-TIP489:GT,-31607.545425,10641,0.1,wild
[5]german_Teosinte:GT,-18794.287264,4926,0.05,wild
[6]TIL01:GT,-19297.099549,5074,0.05,wild
[7]TIL01-JD:GT,-19348.014281,5087,0.05,wild
[8]TIL02:GT,-17076.869464,4454,0.05,wild
[9]TIL03:GT,-19323.657125,5067,0.05,wild
[10]TIL04-TIP285:GT,-19146.756073,5017,0.05,wild
[11]TIL04-TIP454:GT,-19878.077929,5198,0.05,wild
[12]TIL05:GT,-19479.146956,5121,0.05,wild
[13]TIL06-TIP260:GT,-17760.862557,4649,0.05,wild
[14]TIL06-TIP496:GT,-17611.854496,4591,0.05,wild
[15]TIL07:GT,-19245.913413,5014,0.05,wild
[16]TIL09:GT,-20050.041931,5259,0.05,wild
[17]TIL10:GT,-18312.193683,4786,0.05,wild
[18]TIL11:GT,-20070.635175,5209,0.05,wild
[19]TIL12:GT,-17246.428377,4523,0.05,wild
[20]TIL14-TIP498:GT,-19201.022609,5001,0.05,wild
[21]TIL15:GT,-18598.551039,4870,0.05,wild
[22]TIL16:GT,-18565.911518,4858,0.05,wild
[23]TIL17:GT,-16781.905954,4404,0.05,wild
[24]TIL25-TIP489:GT,-17885.669743,4634,0.05,wild
[5]german_Teosinte:GT,-4426.789065,801,0.01,wild
[6]TIL01:GT,-4473.308118,813,0.01,wild
[7]TIL01-JD:GT,-4477.450207,812,0.01,wild
[8]TIL02:GT,-4070.29102,723,0.01,wild
[9]TIL03:GT,-4475.34962,799,0.01,wild
[10]TIL04-TIP285:GT,-4546.203124,825,0.01,wild
[11]TIL04-TIP454:GT,-4756.500004,867,0.01,wild
[12]TIL05:GT,-4517.482925,805,0.01,wild
[13]TIL06-TIP260:GT,-4117.414066,746,0.01,wild
[14]TIL06-TIP496:GT,-4244.166021,766,0.01,wild
[15]TIL07:GT,-4692.224134,851,0.01,wild
[16]TIL09:GT,-4594.60254,831,0.01,wild
[17]TIL10:GT,-4417.096699,787,0.01,wild
[18]TIL11:GT,-5082.658211,914,0.01,wild
[19]TIL12:GT,-3856.943364,694,0.01,wild
[20]TIL14-TIP498:GT,-4779.976082,850,0.01,wild
[21]TIL15:GT,-4505.595215,819,0.01,wild
[22]TIL16:GT,-4338.404795,787,0.01,wild
[23]TIL17:GT,-3948.867187,709,0.01,wild
[24]TIL25-TIP489:GT,-4698.196304,839,0.01,wild
