sample	feature	feature_Mb	load_raw	n_del_alleles	load_per_Mb	n_del_per_Mb
PI152651_PI152651	exon	62.2529	18783.308600	2963.0	301.725763	47.596164
PI152651_PI152651	intron	57.7947	11128.451358	1821.0	192.551273	31.508056
PI152651_PI152651	upstream_2kb	50.4725	19891.997494	3333.0	394.115784	66.035998
PI152651_PI152651	downstream_2kb	33.9233	11385.036251	1892.0	335.610701	55.772808
PI152651_PI152651	intergenic	512.4847	682438.054999	111562.0	1331.626187	217.688447
PI17548_PI17548	exon	62.2529	21369.608492	3371.0	343.270803	54.150074
PI17548_PI17548	intron	57.7947	11241.716745	1840.0	194.511060	31.836806
PI17548_PI17548	upstream_2kb	50.4725	22000.230955	3662.0	435.885752	72.554403
PI17548_PI17548	downstream_2kb	33.9233	12213.025085	2035.0	360.018345	59.988195
PI17548_PI17548	intergenic	512.4847	662380.561179	108301.0	1292.488446	211.325331
PI24969_PI24969	exon	62.2529	21632.005927	3386.0	347.485826	54.391026
PI24969_PI24969	intron	57.7947	12652.638853	2060.0	218.923698	35.643380
PI24969_PI24969	upstream_2kb	50.4725	23058.852396	3852.0	456.859986	76.318831
PI24969_PI24969	downstream_2kb	33.9233	14259.661494	2373.0	420.349561	69.951836
PI24969_PI24969	intergenic	512.4847	883940.027234	144471.0	1724.812501	281.903047
PI276837_PI276837	exon	62.2529	18610.623412	2940.0	298.951834	47.226703
PI276837_PI276837	intron	57.7947	12036.662963	1974.0	208.265706	34.155356
PI276837_PI276837	upstream_2kb	50.4725	19909.404635	3336.0	394.460668	66.095436
PI276837_PI276837	downstream_2kb	33.9233	11860.122162	1990.0	349.615392	58.661675
PI276837_PI276837	intergenic	512.4847	839663.648779	137374.0	1638.416989	268.054829
PI329435_PI329435	exon	62.2529	17454.704520	2764.0	280.383726	44.399527
PI329435_PI329435	intron	57.7947	9938.123779	1615.0	171.955497	27.943718
PI329435_PI329435	upstream_2kb	50.4725	18806.737630	3137.0	372.613769	62.152693
PI329435_PI329435	downstream_2kb	33.9233	10674.065123	1787.0	314.652532	52.677594
PI329435_PI329435	intergenic	512.4847	576522.980766	94357.0	1124.956460	184.116714
PI329440_PI329440	exon	62.2529	20392.144768	3172.0	327.569310	50.953436
PI329440_PI329440	intron	57.7947	12435.811043	2040.0	215.172010	35.297328
PI329440_PI329440	upstream_2kb	50.4725	20455.300759	3430.0	405.276388	67.957838
PI329440_PI329440	downstream_2kb	33.9233	12162.875485	2029.0	358.540024	59.811326
PI329440_PI329440	intergenic	512.4847	776369.649182	126818.0	1514.912816	247.457141
PI34911_PI34911	exon	62.2529	19470.412788	3061.0	312.763065	49.170387
PI34911_PI34911	intron	57.7947	11908.208617	1957.0	206.043110	33.861211
PI34911_PI34911	upstream_2kb	50.4725	19219.200435	3213.0	380.785804	63.658464
PI34911_PI34911	downstream_2kb	33.9233	11233.004120	1876.0	331.129063	55.301157
PI34911_PI34911	intergenic	512.4847	727684.971819	118873.0	1419.915489	231.954239
PI35038_PI35038	exon	62.2529	20966.693033	3298.0	336.798569	52.977438
PI35038_PI35038	intron	57.7947	11993.969615	1958.0	207.527000	33.878514
PI35038_PI35038	upstream_2kb	50.4725	21458.635700	3579.0	425.155244	70.909942
PI35038_PI35038	downstream_2kb	33.9233	12120.052492	2027.0	357.277678	59.752369
PI35038_PI35038	intergenic	512.4847	605001.958767	98968.0	1180.526856	193.114056
PI48770_PI48770	exon	62.2529	20638.280850	3229.0	331.523119	51.869056
PI48770_PI48770	intron	57.7947	11015.058414	1786.0	190.589279	30.902465
PI48770_PI48770	upstream_2kb	50.4725	20582.567065	3438.0	407.797888	68.116340
PI48770_PI48770	downstream_2kb	33.9233	11689.718696	1946.0	344.592200	57.364633
PI48770_PI48770	intergenic	512.4847	605203.575079	99035.0	1180.920266	193.244791
PI533750_PI533750	exon	62.2529	19276.050466	3039.0	309.640925	48.816990
PI533750_PI533750	intron	57.7947	10141.650443	1661.0	175.477040	28.739638
PI533750_PI533750	upstream_2kb	50.4725	20091.987792	3375.0	398.078148	66.868135
PI533750_PI533750	downstream_2kb	33.9233	11665.514163	1938.0	343.878693	57.128807
PI533750_PI533750	intergenic	512.4847	631235.063703	103295.0	1231.714930	201.557234
PI533752_PI533752	exon	62.2529	17984.257999	2828.0	288.890210	45.427591
PI533752_PI533752	intron	57.7947	10519.195801	1721.0	182.009561	29.777795
PI533752_PI533752	upstream_2kb	50.4725	19319.811740	3224.0	382.779193	63.876405
PI533752_PI533752	downstream_2kb	33.9233	10765.276399	1806.0	317.341278	53.237681
PI533752_PI533752	intergenic	512.4847	668281.042742	109239.0	1304.001924	213.155629
PI533754_PI533754	exon	62.2529	18836.420416	2972.0	302.578925	47.740736
PI533754_PI533754	intron	57.7947	9708.686101	1590.0	167.985626	27.511153
PI533754_PI533754	upstream_2kb	50.4725	18357.687977	3068.0	363.716846	60.785611
PI533754_PI533754	downstream_2kb	33.9233	10283.583950	1710.0	303.141838	50.407771
PI533754_PI533754	intergenic	512.4847	579234.441552	94810.0	1130.247273	185.000643
PI533755_PI533755	exon	62.2529	18666.874334	2928.0	299.855421	47.033941
PI533755_PI533755	intron	57.7947	10766.008732	1761.0	186.280069	30.469899
PI533755_PI533755	upstream_2kb	50.4725	19425.597038	3247.0	384.875094	64.332099
PI533755_PI533755	downstream_2kb	33.9233	11218.032711	1862.0	330.687732	54.888462
PI533755_PI533755	intergenic	512.4847	704991.052910	115262.0	1375.633350	224.908175
PI533757_PI533757	exon	62.2529	18426.117502	2900.0	295.988023	46.584163
PI533757_PI533757	intron	57.7947	9621.068852	1561.0	166.469619	27.009377
PI533757_PI533757	upstream_2kb	50.4725	18719.718511	3136.0	370.889678	62.132880
PI533757_PI533757	downstream_2kb	33.9233	9942.412835	1662.0	293.084718	48.992816
PI533757_PI533757	intergenic	512.4847	540496.860154	88398.0	1054.659493	172.489050
PI533758_PI533758	exon	62.2529	18373.511963	2886.0	295.142993	46.359274
PI533758_PI533758	intron	57.7947	9295.186657	1505.0	160.831006	26.040431
PI533758_PI533758	upstream_2kb	50.4725	18924.145210	3173.0	374.939939	62.865953
PI533758_PI533758	downstream_2kb	33.9233	10323.787107	1729.0	304.326956	50.967857
PI533758_PI533758	intergenic	512.4847	514457.024300	84102.0	1003.848541	164.106361
PI533759_PI533759	exon	62.2529	18981.422481	2983.0	304.908167	47.917434
PI533759_PI533759	intron	57.7947	9997.795597	1626.0	172.987976	28.134047
PI533759_PI533759	upstream_2kb	50.4725	19118.942370	3203.0	378.799413	63.460337
PI533759_PI533759	downstream_2kb	33.9233	10275.978300	1725.0	302.917637	50.849944
PI533759_PI533759	intergenic	512.4847	572183.078622	93614.0	1116.488106	182.666915
PI533760_PI533760	exon	62.2529	18438.841848	2898.0	296.192420	46.552036
PI533760_PI533760	intron	57.7947	10456.562864	1697.0	180.925848	29.362532
PI533760_PI533760	upstream_2kb	50.4725	19545.705588	3274.0	387.254779	64.867044
PI533760_PI533760	downstream_2kb	33.9233	10517.512084	1752.0	310.037625	51.645856
PI533760_PI533760	intergenic	512.4847	628080.845222	102586.0	1225.560174	200.173778
PI533761_PI533761	exon	62.2529	17863.920900	2828.0	286.957175	45.427591
PI533761_PI533761	intron	57.7947	9477.080329	1546.0	163.978242	26.749838
PI533761_PI533761	upstream_2kb	50.4725	18156.388450	3032.0	359.728543	60.072351
PI533761_PI533761	downstream_2kb	33.9233	10146.799431	1696.0	299.109673	49.995076
PI533761_PI533761	intergenic	512.4847	531554.798999	86945.0	1037.211048	169.653843
PI533762_PI533762	exon	62.2529	18798.867984	2943.0	301.975702	47.274894
PI533762_PI533762	intron	57.7947	10278.453101	1682.0	177.844084	29.102993
PI533762_PI533762	upstream_2kb	50.4725	18331.323617	3064.0	363.194495	60.706360
PI533762_PI533762	downstream_2kb	33.9233	10752.303280	1789.0	316.958854	52.736551
PI533762_PI533762	intergenic	512.4847	605874.476143	99085.0	1182.229380	193.342355
PI533766_PI533766	exon	62.2529	19099.666632	3011.0	306.807582	48.367212
PI533766_PI533766	intron	57.7947	9464.780704	1547.0	163.765426	26.767140
