sample	feature	cutoff	genetic_load	n_del
PI152651_PI152651	downstream_2kb	5%	4838.812250	710.000000
PI17548_PI17548	downstream_2kb	5%	5226.639020	772.000000
PI24969_PI24969	downstream_2kb	5%	6087.998710	900.000000
PI276837_PI276837	downstream_2kb	5%	4843.561200	721.000000
PI329435_PI329435	downstream_2kb	5%	4437.201720	660.000000
PI329440_PI329440	downstream_2kb	5%	4934.901830	723.000000
PI34911_PI34911	downstream_2kb	5%	4714.984780	698.000000
PI35038_PI35038	downstream_2kb	5%	5080.985970	753.000000
PI48770_PI48770	downstream_2kb	5%	4988.433000	736.000000
PI533750_PI533750	downstream_2kb	5%	5262.376690	782.000000
PI533752_PI533752	downstream_2kb	5%	4475.333730	669.000000
PI533754_PI533754	downstream_2kb	5%	4729.020820	705.000000
PI533755_PI533755	downstream_2kb	5%	4849.703070	713.000000
PI533757_PI533757	downstream_2kb	5%	4258.349660	635.000000
PI533758_PI533758	downstream_2kb	5%	4158.798600	617.000000
PI533759_PI533759	downstream_2kb	5%	4275.813680	638.000000
PI533760_PI533760	downstream_2kb	5%	4535.812570	672.000000
PI533761_PI533761	downstream_2kb	5%	4378.827750	652.000000
PI533762_PI533762	downstream_2kb	5%	4732.867890	699.000000
PI533766_PI533766	downstream_2kb	5%	4439.346400	665.000000
PI533769_PI533769	downstream_2kb	5%	4429.066100	662.000000
PI533776_PI533776	downstream_2kb	5%	4754.497080	710.000000
PI533785_PI533785	downstream_2kb	5%	4876.563540	724.000000
PI533788_PI533788	downstream_2kb	5%	5128.777550	758.000000
PI533789_PI533789	downstream_2kb	5%	5051.592910	742.000000
PI533792_PI533792	downstream_2kb	5%	4780.466280	716.000000
PI533794_PI533794	downstream_2kb	5%	4709.087740	700.000000
PI533799_PI533799	downstream_2kb	5%	4419.633110	655.000000
PI533800_PI533800	downstream_2kb	5%	4570.996880	686.000000
PI533807_PI533807	downstream_2kb	5%	4352.282920	644.000000
PI533810_PI533810	downstream_2kb	5%	5619.248690	831.000000
PI533814_PI533814	downstream_2kb	5%	5448.327210	806.000000
PI533821_PI533821	downstream_2kb	5%	4585.574560	673.000000
PI533822_PI533822	downstream_2kb	5%	4433.758020	662.000000
PI533824_PI533824	downstream_2kb	5%	4351.002980	650.000000
PI533830_PI533830	downstream_2kb	5%	5314.473550	791.000000
PI533831_PI533831	downstream_2kb	5%	4658.905430	685.000000
PI533833_PI533833	downstream_2kb	5%	3981.642560	586.000000
PI533838_PI533838	downstream_2kb	5%	4164.264430	622.000000
PI533839_PI533839	downstream_2kb	5%	2913.449190	432.000000
PI533841_PI533841	downstream_2kb	5%	5037.818620	752.000000
PI533842_PI533842	downstream_2kb	5%	5510.853530	812.000000
PI533843_PI533843	downstream_2kb	5%	5333.334910	791.000000
PI533845_PI533845	downstream_2kb	5%	4920.414070	725.000000
PI533852_PI533852	downstream_2kb	5%	5453.104540	808.000000
PI533855_PI533855	downstream_2kb	5%	4805.597320	708.000000
PI533856_PI533856	downstream_2kb	5%	5493.962670	812.000000
PI533863_PI533863	downstream_2kb	5%	5085.473430	747.000000
PI533866_PI533866	downstream_2kb	5%	4667.461730	700.000000
PI533869_PI533869	downstream_2kb	5%	4577.986980	674.000000
PI533871_PI533871	downstream_2kb	5%	4660.386630	695.000000
PI533876_PI533876	downstream_2kb	5%	4603.602550	687.000000
PI533877_PI533877	downstream_2kb	5%	4682.884400	701.000000
PI533878_PI533878	downstream_2kb	5%	4946.514240	738.000000
PI533882_PI533882	downstream_2kb	5%	4942.254540	730.000000
PI533901_PI533901	downstream_2kb	5%	5198.267750	764.000000
PI533902_PI533902	downstream_2kb	5%	4514.478750	671.000000
PI533903_PI533903	downstream_2kb	5%	4080.081840	606.000000
PI533910_PI533910	downstream_2kb	5%	4253.950970	631.000000
PI533911_PI533911	downstream_2kb	5%	4986.509330	741.000000
PI533912_PI533912	downstream_2kb	5%	4859.498860	715.000000
PI533913_PI533913	downstream_2kb	5%	4704.631740	700.000000
PI533915_PI533915	downstream_2kb	5%	4740.912960	701.000000
PI533919_PI533919	downstream_2kb	5%	4896.382020	728.000000
PI533921_PI533921	downstream_2kb	5%	5077.615520	752.000000
