Cluster PI_numbers
1 PI17548
1 PI329440
1 PI35038
1 PI48770
1 PI533869
1 PI533902
1 PI533936
1 PI533937
1 PI533938
1 PI533940
1 PI533948
1 PI533954
1 PI533955
1 PI533956
1 PI533979
1 PI533997
1 PI534054
1 PI534097
1 PI552861
1 PI561072
1 PI561073
1 PI564163
1 PI566819
1 PI576332
1 PI576333
1 PI576337
1 PI576339
1 PI576340
1 PI576345
1 PI576352
1 PI576364
1 PI576373
1 PI576394
1 PI576422
1 PI595702
1 PI597949
1 PI597958
1 PI629059
1 PI641824
1 PI641836
1 PI641849
1 PI642793
1 PI655970
1 PI655972
1 PI655974
1 PI655975
1 PI655976
1 PI655982
1 PI655983
1 PI655985
1 PI655987
1 PI655988
1 PI655989
1 PI655991
1 PI655992
1 PI655993
1 PI655994
1 PI656002
1 PI656003
1 PI656005
1 PI656006
1 PI656007
1 PI656018
1 PI656019
1 PI656020
1 PI656022
1 PI656023
1 PI656028
1 PI656038
1 PI656042
1 PI656049
1 PI656052
1 PI656058
1 PI656060
1 PI656061
1 PI656063
1 PI656080
1 PI656112
2 PI152651
2 PI533755
2 PI533915
2 PI534053
2 PI534139
2 PI540816
2 PI561071
2 PI595744
2 PI655973
2 PI655984
2 PI656015
2 PI656065
2 PI656073
2 PI656074
2 PI656101
2 PI656107
2 PI656109
2 PI656115
3 PI533766
3 PI533776
3 PI533785
3 PI533792
3 PI533839
3 PI533841
3 PI533845
3 PI533855
3 PI533866
3 PI533871
3 PI533877
3 PI533878
3 PI533882
3 PI533903
3 PI533924
3 PI533927
3 PI533957
3 PI534037
3 PI534063
3 PI534070
3 PI534075
3 PI534088
3 PI534092
3 PI534096
3 PI534116
3 PI534117
3 PI534124
3 PI534144
3 PI534145
3 PI576385
3 PI576418
3 PI585295
3 PI595741
3 PI595743
3 PI597951
3 PI597960
3 PI597976
3 PI609456
3 PI655978
3 PI655979
3 PI655981
3 PI655996
3 PI655998
3 PI656004
3 PI656010
3 PI656014
3 PI656032
3 PI656040
3 PI656054
3 PI656078
3 PI656079
3 PI656081
3 PI656083
3 PI656093
3 PI656094
3 PI656095
3 PI656096
3 PI656104
3 PI656119
4 PI34911
4 PI533752
4 PI533757
4 PI533758
4 PI533759
4 PI533760
4 PI533761
4 PI533762
4 PI533769
4 PI533789
4 PI533807
4 PI533821
4 PI533822
4 PI533831
4 PI533833
4 PI533838
4 PI533863
4 PI533876
4 PI533901
4 PI533910
4 PI533911
4 PI533912
4 PI533913
4 PI533939
4 PI533949
4 PI533961
4 PI533962
4 PI533964
4 PI533965
4 PI533967
4 PI533970
4 PI533972
4 PI533976
4 PI533980
4 PI533985
4 PI533986
4 PI533987
4 PI533989
4 PI533996
4 PI534046
4 PI534047
4 PI534079
4 PI534099
4 PI534101
4 PI534105
4 PI534108
4 PI534112
4 PI534114
4 PI534138
4 PI534163
4 PI542406
4 PI548797
4 PI576350
4 PI576366
4 PI576386
4 PI576387
4 PI576393
4 PI576396
4 PI576399
4 PI576434
4 PI576435
4 PI576437
4 PI595714
4 PI595718
4 PI595739
4 PI595740
4 PI595745
4 PI597946
4 PI597950
4 PI597961
4 PI597965
4 PI597966
4 PI597968
4 PI597971
4 PI597980
4 PI597982
4 PI607931
4 PI629034
4 PI642992
4 PI651496
4 PI653616
4 PI653617
4 PI656009
4 PI656027
4 PI656031
4 PI656035
4 PI656050
4 PI656057
4 PI656069
4 PI656070
4 PI656071
4 PI656075
4 PI656085
4 PI656087
4 PI656090
4 PI656098
4 PI656102
4 PI656105
4 PI656106
4 PI656111
4 PI656116
4 PI656118
4 PI656120
4 PI656121
4 PI659694
4 PI659696
5 PI276837
5 PI329435
5 PI533794
5 PI533799
5 PI533800
5 PI533991
5 PI534115
5 PI534157
5 PI552856
5 PI561472
5 PI564165
5 PI565121
5 PI576130
5 PI576380
5 PI576428
5 PI585291
5 PI597964
5 PI597967
5 PI601816
5 PI642791
5 PI651492
5 PI655977
5 PI656000
5 PI656001
5 PI656008
5 PI656011
5 PI656016
5 PI656024
5 PI656026
5 PI656034
5 PI656036
5 PI656037
5 PI656039
5 PI656043
5 PI656044
5 PI656048
5 PI656051
5 PI656053
5 PI656055
5 PI656056
5 PI656059
5 PI656062
5 PI656068
5 PI656076
5 PI659691
6 PI24969
6 PI533750
6 PI533754
6 PI533788
6 PI533810
6 PI533814
6 PI533824
6 PI533830
6 PI533842
6 PI533843
6 PI533852
6 PI533856
6 PI533919
6 PI533921
6 PI533943
6 PI534009
6 PI534021
6 PI534028
6 PI534123
6 PI534127
6 PI534128
6 PI534132
6 PI534133
6 PI534135
6 PI534137
6 PI534148
6 PI534155
6 PI534167
6 PI542718
6 PI562730
6 PI564164
6 PI576347
6 PI576348
6 PI576349
6 PI576359
6 PI576375
6 PI576376
6 PI576381
6 PI576390
