"Taxa"	"BranchInternodeLength_HN"	"BranchInternodeLength_LN"	"NR_BranchInternodeLength"	"PrimaryBranchNo_HN"	"PrimaryBranchNo_LN"	"NR_PrimaryBranchNo"	"RachisDiameterUpper_HN"	"RachisDiameterUpper_LN"	"NR_RachisDiameterUpper"	"RachisDiameterLower_HN"	"RachisDiameterLower_LN"	"NR_RachisDiameterLower"	"RachisLength_HN"	"RachisLength_LN"	"NR_RachisLength"	"StemDiameterUpper_HN"	"StemDiameterUpper_LN"	"NR_StemDiameterUpper"	"StemDiameterLower_HN"	"StemDiameterLower_LN"	"NR_StemDiameterLower"	"TillersPerPlant_HN"	"TillersPerPlant_LN"	"NR_TillersPerPlant"	"ThirdLeafWidth_HN"	"ThirdLeafWidth_LN"	"NR_ThirdLeafWidth"	"ThirdLeafLength_HN"	"ThirdLeafLength_LN"	"NR_ThirdLeafLength"	"PlantHeight_HN"	"PlantHeight_LN"	"NR_PlantHeight"	"ExtantLeafNumber_HN"	"ExtantLeafNumber_LN"	"NR_ExtantLeafNumber"	"FlagLeafWidth_HN"	"FlagLeafWidth_LN"	"NR_FlagLeafWidth"	"FlagLeafLength_HN"	"FlagLeafLength_LN"	"NR_FlagLeafLength"	"PanicleGrainWeight_HN"	"PanicleGrainWeight_LN"	"NR_PanicleGrainWeight"	"PaniclesPerPlot_HN"	"PaniclesPerPlot_LN"	"NR_PaniclesPerPlot"	"MedianLeafAngle_HN"	"MedianLeafAngle_LN"	"NR_MedianLeafAngle"	"DaysToBloom_HN"	"DaysToBloom_LN"	"NR_DaysToBloom"
"1"	"PI152651"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.55	12.9	0.515503875968992	NA	NA	NA	75.05	77.6	-0.0328608247422678	54	53	0.0188679245283019
"2"	"PI17548"	2.31	2.23	0.0358744394618834	51.8866666666667	49.33	0.0518278262044732	2.10333333333333	2.75	-0.235151515151515	4.94	4.62	0.0692640692640693	18.28	17.83	0.0252383623107124	7.20333333333333	7.31	-0.014591883264934	18.59	17.58	0.0574516496018203	1.65333333333333	0.935	0.768270944741533	NA	NA	NA	NA	NA	NA	243.666666666667	248	-0.0174731182795699	10.6666666666667	12	-0.111111111111111	3.73333333333333	5.1	-0.26797385620915	34.7	35	-0.00857142857142849	20.6666666666667	15.3	0.350762527233116	29.6666666666667	17	0.745098039215686	46.9	46.15	0.0162513542795233	59.6666666666667	63.5	-0.0603674540682415
"3"	"PI24969"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"PI276837"	2.55666666666667	1.47	0.739229024943311	39.22	42.33	-0.0734703519962202	2.67	1.48	0.804054054054054	5.87666666666667	5.54	0.0607701564380265	16.6233333333333	17	-0.022156862745098	8.68666666666667	7.74	0.122308354866494	20.0166666666667	16.7	0.198602794411178	0.99	1.1	-0.1	6.16666666666667	4.8	0.284722222222222	59.2333333333333	48	0.234027777777778	151	168	-0.101190476190476	9	11	-0.181818181818182	2.96666666666667	3.6	-0.175925925925926	28.6666666666667	22.6	0.268436578171091	24.3	47.3	-0.486257928118393	17.3333333333333	17	0.0196078431372548	51.0333333333333	42.75	0.193762183235867	61	63	-0.0317460317460317
"5"	"PI329435"	2.24666666666667	2	0.123333333333333	53.4433333333333	104	-0.486121794871795	2.6	3.66	-0.289617486338798	7.32	15.07	-0.514266755142668	21.1466666666667	18	0.174814814814815	11.62	14.23	-0.183415319747013	25.1166666666667	33.24	-0.244384275972724	0.433333333333333	0.435	-0.00383141762452116	8.43333333333333	11.3	-0.253687315634218	70.9333333333333	64.3	0.103162260238466	81.6666666666667	72	0.134259259259259	13.3333333333333	13	0.0256410256410257	NA	NA	NA	NA	NA	NA	26.3	15	0.753333333333333	7	1	6	38.6	38.65	-0.001293661060802	68.3333333333333	73	-0.0639269406392695
"6"	"PI329440"	1.86	0.6	2.1	42.4433333333333	44	-0.0353787878787878	3.08666666666667	3.24	-0.0473251028806586	8.05	7.94	0.0138539042821159	20.3333333333333	22.57	-0.0990990990990992	10.4033333333333	8.38	0.241447891805887	22.22	18.955	0.172250065945661	1.87666666666667	0.935	1.00713012477718	5.76666666666667	7.9	-0.270042194092827	67.7666666666667	63.1	0.0739566825145272	75	78	-0.0384615384615385	12.6666666666667	14	-0.0952380952380953	4.96666666666667	3.8	0.307017543859649	41.7666666666667	35.6	0.173220973782771	40.25	36.4	0.105769230769231	16.3333333333333	18	-0.0925925925925927	44.85	46.1	-0.027114967462039	63	63	0
"7"	"PI34911"	2.25	2.47	-0.0890688259109313	63.1666666666667	57	0.108187134502924	2.77	3.03	-0.0858085808580858	9.46666666666667	9.82	-0.0359809911744739	17.74	18.67	-0.0498125334761651	12.8633333333333	12.84	0.00181723779854622	30.0133333333333	33.19	-0.0957115597067388	2.99	2.1	0.423809523809524	7.1	7.3	-0.0273972602739725	63.5333333333333	66.6	-0.046046046046046	126	158	-0.20253164556962	13.3333333333333	17	-0.215686274509804	7.1	8	-0.1125	54.7666666666667	62.2	-0.119506966773848	NA	NA	NA	NA	NA	NA	NA	NA	NA	73	76	-0.0394736842105263
"8"	"PI35038"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"PI48770"	2.07	1.77	0.169491525423729	77.67	67	0.159253731343284	2.52	2.09	0.205741626794258	8.41	7.39	0.138024357239513	31.17	32.5	-0.0409230769230769	13.77	10.59	0.30028328611898	29.76	23.45	0.26908315565032	1.1	1.1	0	6.1	7.5	-0.186666666666667	68	69.3	-0.0187590187590187	NA	NA	NA	NA	NA	NA	5.3	4.2	0.261904761904762	45	26.5	0.69811320754717	NA	NA	NA	14	12	0.166666666666667	45.9	43.1	0.0649651972157772	66	65	0.0153846153846154
"10"	"PI533750"	3.38666666666667	2.27	0.491923641703377	60.2233333333333	54.33	0.108472912448617	1.85666666666667	3.86	-0.518998272884283	7.50333333333333	9.08	-0.173641703377386	30.1433333333333	26.6	0.133208020050125	10.4666666666667	12.635	-0.171613243635404	22.53	25.46	-0.115082482325216	0.543333333333333	0.265	1.0503144654088	6.1	6.6	-0.0757575757575758	65.3333333333333	58.3	0.120640365923385	67.6666666666667	75	-0.0977777777777777	11.3333333333333	9	0.259259259259259	4.86666666666667	5.1	-0.0457516339869281	46.0333333333333	50.5	-0.0884488448844885	13.2	26.85	-0.508379888268156	17	19	-0.105263157894737	40.7333333333333	38	0.0719298245614035	62	61	0.0163934426229508
