"SorghumAccessionYellow"	"BranchInternodeLength_HN"	"BranchInternodeLength_LN"	"NR_BranchInternodeLength"
"PI 17548"	2.31	2.23	0.0358744394618834
"PI 276837"	2.55666666666667	1.47	0.739229024943311
"PI 329435"	2.24666666666667	2	0.123333333333333
"PI 329440"	1.86	0.6	2.1
"PI 34911"	2.25	2.47	-0.0890688259109313
"PI 48770"	2.07	1.77	0.169491525423729
"PI 533750"	3.38666666666667	2.27	0.491923641703377
"PI 533752"	2.46666666666667	1.67	0.477045908183633
"PI 533754"	1.93333333333333	1.37	0.411192214111922
"PI 533755"	2.88666666666667	1.93	0.495682210708117
"PI 533757"	1.92	1.77	0.0847457627118645
"PI 533758"	2.33333333333333	1.13	1.06489675516224
"PI 533759"	1.81	1.17	0.547008547008547
"PI 533760"	1.35	1.27	0.062992125984252
"PI 533761"	3.035	2.5	0.214
"PI 533766"	2.03333333333333	1.87	0.087344028520499
"PI 533769"	2.1	1.57	0.337579617834395
"PI 533785"	2.68	3.23	-0.170278637770898
"PI 533789"	2.465	1.97	0.251269035532995
"PI 533794"	1.81	1.67	0.0838323353293414
"PI 533799"	2.07	1.47	0.408163265306122
"PI 533800"	1.4	2.5	-0.44
"PI 533807"	1.57666666666667	1.77	-0.109227871939736
"PI 533810"	1.45	0.83	0.746987951807229
"PI 533814"	1.91	0.67	1.85074626865672
"PI 533821"	2.13333333333333	1.83	0.16575591985428
"PI 533824"	2.59	2.25	0.151111111111111
"PI 533830"	1.7	1.7	0
"PI 533833"	5.74666666666667	4.37	0.315026697177727
"PI 533841"	2.61	0.9	1.9
"PI 533842"	1.05666666666667	1	0.0566666666666666
"PI 533852"	1.35	0.93	0.451612903225806
"PI 533856"	1.14333333333333	1.1	0.0393939393939393
"PI 533863"	2.4	1.93	0.243523316062176
"PI 533866"	1.66333333333333	2.33	-0.286123032904149
"PI 533869"	2.415	1.7	0.420588235294118
"PI 533901"	2.66	3.43	-0.224489795918367
