"SorghumAccessionYellow"	"DaysToBloom_HN"	"DaysToBloom_LN"	"NR_DaysToBloom"
"PI 152651"	54	53	0.0188679245283019
"PI 17548"	59.6666666666667	63.5	-0.0603674540682415
"PI 276837"	61	63	-0.0317460317460317
"PI 329435"	68.3333333333333	73	-0.0639269406392695
"PI 329440"	63	63	0
"PI 34911"	73	76	-0.0394736842105263
"PI 48770"	66	65	0.0153846153846154
"PI 533750"	62	61	0.0163934426229508
"PI 533752"	62.6666666666667	67	-0.0646766169154229
"PI 533754"	59.6666666666667	60	-0.0055555555555556
"PI 533755"	65.6666666666667	71.5	-0.0815850815850815
"PI 533757"	66.6666666666667	68	-0.0196078431372548
"PI 533758"	67.6666666666667	65	0.0410256410256411
"PI 533759"	60.3333333333333	63	-0.0423280423280423
"PI 533760"	64	65	-0.0153846153846154
"PI 533761"	74	67	0.104477611940299
"PI 533766"	58.6666666666667	63.5	-0.0761154855643045
"PI 533769"	59	58	0.0172413793103448
"PI 533776"	64.6666666666667	65	-0.00512820512820506
"PI 533785"	61.3333333333333	63	-0.0264550264550264
"PI 533789"	71.6666666666667	73	-0.0182648401826483
"PI 533794"	64.3333333333333	66	-0.0252525252525253
"PI 533799"	65.3333333333333	72.5	-0.0988505747126437
"PI 533800"	68	74.5	-0.087248322147651
"PI 533807"	71.6666666666667	72	-0.00462962962962956
"PI 533810"	75	79	-0.0506329113924051
"PI 533814"	72	71	0.0140845070422535
"PI 533821"	66	69.5	-0.0503597122302158
"PI 533824"	67.3333333333333	67.5	-0.00246913580246921
"PI 533830"	63.5	62	0.0241935483870968
"PI 533833"	63	63	0
"PI 533838"	53	53	0
"PI 533839"	66	66	0
"PI 533841"	64.6666666666667	69	-0.0628019323671497
"PI 533842"	76.3333333333333	79.5	-0.039832285115304
"PI 533845"	65	63	0.0317460317460317
"PI 533852"	63	70.3333333333333	-0.104265402843602
"PI 533856"	73	78	-0.0641025641025641
"PI 533863"	63	65	-0.0307692307692308
"PI 533866"	67.6666666666667	67	0.00995024875621898
"PI 533869"	64	65	-0.0153846153846154
"PI 533878"	62	66.5	-0.0676691729323308
"PI 533901"	70	68.5	0.0218978102189781
"PI 533902"	70.6666666666667	76	-0.0701754385964912
"PI 533903"	67	67	0
"PI 533910"	61.5	67	-0.082089552238806
"PI 533911"	63.3333333333333	65	-0.0256410256410256
"PI 533912"	49	50.5	-0.0297029702970297
"PI 533913"	61	63	-0.0317460317460317
"PI 533915"	63.3333333333333	62	0.0215053763440861
"PI 533919"	64.6666666666667	70.5	-0.0827423167848699
"PI 533921"	63	63	0
"PI 533924"	68	73	-0.0684931506849315
"PI 533927"	67.6666666666667	69	-0.0193236714975845
"PI 533936"	62.3333333333333	64	-0.0260416666666666
"PI 533937"	60	61	-0.0163934426229508
"PI 533938"	58	56	0.0357142857142857
"PI 533939"	62	65	-0.0461538461538462
"PI 533940"	62.3333333333333	62.5	-0.00266666666666663
"PI 533943"	65.6666666666667	65	0.0102564102564103
"PI 533948"	61.3333333333333	63.5	-0.0341207349081364
"PI 533949"	54.6666666666667	62	-0.118279569892473
"PI 533954"	58	60	-0.0333333333333333
"PI 533955"	60	62.5	-0.04
"PI 533956"	62.3333333333333	61.5	0.0135501355013551
"PI 533957"	59.6666666666667	62	-0.0376344086021506
"PI 533961"	61	66.5	-0.0827067669172932
"PI 533962"	69.3333333333333	68	0.0196078431372548
"PI 533964"	74.5	70	0.0642857142857143
"PI 533965"	67.6666666666667	70	-0.0333333333333333
"PI 533967"	68.6666666666667	75	-0.0844444444444444
"PI 533970"	64.5	69.5	-0.0719424460431655
"PI 533972"	69.3333333333333	74.5	-0.069351230425056
"PI 533976"	64.5	64.5	0
"PI 533979"	57.5	56.5	0.0176991150442478
"PI 533980"	71	71	0
"PI 533985"	64	63	0.0158730158730159
"PI 533986"	61.6666666666667	65.5	-0.0585241730279899
"PI 533987"	58	60	-0.0333333333333333
"PI 533989"	71.3333333333333	73	-0.0228310502283106
"PI 533991"	63.6666666666667	66	-0.0353535353535354
"PI 533996"	59.6666666666667	62.5	-0.0453333333333334
"PI 533997"	57	60.5	-0.0578512396694215
"PI 533998"	64.5	70	-0.0785714285714286
"PI 534009"	78	77.5	0.00645161290322581
"PI 534021"	75	71	0.0563380281690141
"PI 534037"	60.6666666666667	60.5	0.00275482093663908
"PI 534046"	59	59	0
"PI 534047"	52.6666666666667	51.5	0.0226537216828478
"PI 534053"	67	73	-0.0821917808219178
"PI 534054"	69	70	-0.0142857142857143
"PI 534063"	60	58	0.0344827586206897
"PI 534070"	55	54	0.0185185185185185
"PI 534097"	60.3333333333333	63	-0.0423280423280423
"PI 534099"	63.6666666666667	65.5	-0.0279898218829517
"PI 534101"	63	67.5	-0.0666666666666667
"PI 534104"	65	63	0.0317460317460317
"PI 534105"	62	64	-0.03125
"PI 534108"	64	63	0.0158730158730159
"PI 534112"	66.6666666666667	68.5	-0.0267639902676398
"PI 534114"	67	72.5	-0.0758620689655172
"PI 534115"	63.6666666666667	63.5	0.00262467191601046
"PI 534116"	61.6666666666667	69.5	-0.112709832134293
"PI 534117"	58.3333333333333	58	0.00574712643678165
"PI 534123"	62	65	-0.0461538461538462
