"SorghumAccessionYellow"	"FlagLeafLength_HN"	"FlagLeafLength_LN"	"NR_FlagLeafLength"
"PI 17548"	34.7	35	-0.00857142857142849
"PI 276837"	28.6666666666667	22.6	0.268436578171091
"PI 329440"	41.7666666666667	35.6	0.173220973782771
"PI 34911"	54.7666666666667	62.2	-0.119506966773848
"PI 48770"	45	26.5	0.69811320754717
"PI 533750"	46.0333333333333	50.5	-0.0884488448844885
"PI 533752"	42.6666666666667	40.4	0.0561056105610561
"PI 533754"	34.1	43	-0.206976744186046
"PI 533755"	30.9666666666667	32.6	-0.0501022494887525
"PI 533757"	29.3	30.9	-0.0517799352750808
"PI 533758"	40	47	-0.148936170212766
"PI 533759"	41.6333333333333	37	0.125225225225225
"PI 533760"	36.45	36.4	0.00137362637362649
"PI 533761"	49.4	43.6	0.13302752293578
"PI 533766"	34.1	30.5	0.118032786885246
"PI 533769"	50	45.6	0.0964912280701754
"PI 533785"	37.4	23.5	0.591489361702128
"PI 533789"	52.25	38.7	0.350129198966408
"PI 533794"	51.2	52.3	-0.0210325047801146
"PI 533799"	34.4666666666667	37.4	-0.0784313725490195
"PI 533800"	51.8	64.1	-0.19188767550702
"PI 533807"	39.6	41.2	-0.0388349514563109
"PI 533810"	49.95	43.4	0.150921658986175
"PI 533814"	34.3	28.9	0.186851211072664
"PI 533821"	35.8333333333333	36.6	-0.0209471766848816
"PI 533824"	40.1666666666667	39	0.0299145299145299
"PI 533830"	28.25	25	0.13
"PI 533833"	27.1666666666667	24	0.131944444444445
"PI 533841"	39.6666666666667	39.6	0.00168350168350159
"PI 533852"	31	29.3	0.0580204778156996
"PI 533863"	38.7	33.6	0.151785714285714
"PI 533866"	35.0333333333333	40.6	-0.137110016420361
"PI 533869"	34	35.6	-0.0449438202247191
"PI 533878"	37.35	47	-0.20531914893617
"PI 533901"	46.25	37	0.25
"PI 533902"	53	47.2	0.122881355932203
"PI 533903"	45.1	47	-0.0404255319148936
"PI 533910"	45	43.6	0.0321100917431192
"PI 533912"	25.9	22.1	0.171945701357466
"PI 533913"	35.7	33.4	0.0688622754491019
"PI 533915"	26.6	30.5	-0.127868852459016
"PI 533919"	57.6666666666667	51.3	0.124106562703054
"PI 533924"	38.5	36.5	0.0547945205479452
"PI 533927"	42.3333333333333	40.6	0.0426929392446634
"PI 533936"	29.15	31.3	-0.0686900958466454
"PI 533937"	26.8333333333333	32.1	-0.164070612668744
"PI 533938"	40.3333333333333	38	0.0614035087719299
"PI 533939"	33.4666666666667	38.5	-0.130735930735931
"PI 533940"	24.8666666666667	29.2	-0.148401826484018
"PI 533943"	35.2666666666667	44	-0.198484848484849
"PI 533948"	29.5666666666667	41.3	-0.28410008071025
"PI 533949"	40.4333333333333	40.6	-0.0041050903119868
"PI 533955"	40.2	25.6	0.5703125
"PI 533956"	34.4333333333333	44.6	-0.227952167414051
"PI 533957"	45.0333333333333	49.7	-0.0938967136150236
"PI 533961"	41	41.2	-0.0048543689320389
"PI 533962"	37.6666666666667	34.6	0.0886319845857417
"PI 533964"	30	26.8	0.119402985074627
"PI 533965"	37.7	37.6	0.00265957446808514
"PI 533970"	33.9	45.1	-0.248337028824834
"PI 533972"	44.1	66.2	-0.333836858006042
"PI 533976"	33.25	38	-0.125
"PI 533979"	34.3	32.6	0.0521472392638035
"PI 533980"	45.5333333333333	47.5	-0.0414035087719299
"PI 533986"	49.7	54	-0.0796296296296296
"PI 533987"	39.4	32	0.23125
"PI 533991"	38.4333333333333	26.2	0.466921119592875
"PI 533996"	30.8333333333333	35.8	-0.138733705772812
"PI 533997"	39.2666666666667	34.5	0.138164251207729
"PI 533998"	43.8	38.9	0.125964010282776
"PI 534037"	43.2	37.3	0.158176943699732
"PI 534047"	32.9666666666667	39.7	-0.1696053736356
"PI 534053"	38.1666666666667	45.7	-0.164843180160467
"PI 534054"	34.25	32.1	0.0669781931464174
"PI 534063"	36.1	35.6	0.0140449438202247
"PI 534070"	40.2	43.5	-0.0758620689655172
"PI 534097"	33.8	28.6	0.181818181818182
"PI 534099"	40.9333333333333	37.6	0.0886524822695034
"PI 534101"	38.5666666666667	39.2	-0.016156462585034
"PI 534105"	38.2333333333333	45.1	-0.152254249815225
"PI 534108"	40.7	46	-0.115217391304348
"PI 534112"	62.4	41.6	0.5
"PI 534114"	35.5333333333333	27.7	0.282791817087846
"PI 534115"	41.7666666666667	28.4	0.470657276995305
"PI 534116"	37.7	35	0.0771428571428572
"PI 534117"	37.9	35	0.0828571428571428
"PI 534123"	48.0333333333333	39	0.231623931623932
"PI 534124"	46.5	45.6	0.0197368421052631
"PI 534127"	36.8666666666667	46.5	-0.207168458781362
"PI 534128"	30.85	36.5	-0.154794520547945
"PI 534133"	42.8333333333333	49.6	-0.136424731182796
"PI 534135"	39.05	56	-0.302678571428571
"PI 534138"	22.8333333333333	20.5	0.113821138211382
"PI 534144"	25.8333333333333	36.2	-0.286372007366483
"PI 534145"	42.5	40.2	0.0572139303482586
"PI 534148"	44.6	39.2	0.137755102040816
