"SorghumAccessionYellow"	"FlagLeafWidth_HN"	"FlagLeafWidth_LN"	"NR_FlagLeafWidth"
"PI 17548"	3.73333333333333	5.1	-0.26797385620915
"PI 276837"	2.96666666666667	3.6	-0.175925925925926
"PI 329440"	4.96666666666667	3.8	0.307017543859649
"PI 34911"	7.1	8	-0.1125
"PI 48770"	5.3	4.2	0.261904761904762
"PI 533750"	4.86666666666667	5.1	-0.0457516339869281
"PI 533752"	6.3	7.3	-0.136986301369863
"PI 533754"	3.4	4.3	-0.209302325581395
"PI 533755"	4.2	4.5	-0.0666666666666666
"PI 533757"	5.76666666666667	6.2	-0.0698924731182796
"PI 533758"	5.93333333333333	7.1	-0.164319248826291
"PI 533759"	5.53333333333333	4.9	0.129251700680272
"PI 533760"	5.65	5	0.13
"PI 533761"	6.9	5.5	0.254545454545455
"PI 533766"	3.43333333333333	3.4	0.00980392156862755
"PI 533769"	5.5	4.5	0.222222222222222
"PI 533785"	5.36666666666667	4.4	0.21969696969697
"PI 533789"	5.55	4	0.3875
"PI 533794"	7.36666666666667	7.4	-0.00450450450450449
"PI 533799"	6	5.1	0.176470588235294
"PI 533800"	5.25	6.2	-0.153225806451613
"PI 533807"	5.5	5.3	0.0377358490566038
"PI 533810"	7.15	7.3	-0.0205479452054794
"PI 533814"	5.06666666666667	4.6	0.101449275362319
"PI 533821"	4.46666666666667	4.4	0.0151515151515151
"PI 533824"	5.86666666666667	6	-0.0222222222222223
"PI 533830"	4.2	5.6	-0.25
"PI 533833"	4.06666666666667	5	-0.186666666666667
"PI 533841"	4.96666666666667	5	-0.00666666666666664
"PI 533852"	5.4	6	-0.0999999999999999
"PI 533863"	5.2	5	0.04
"PI 533866"	5.3	5	0.06
"PI 533869"	5.4	5.8	-0.0689655172413792
"PI 533878"	5.35	6.9	-0.22463768115942
"PI 533901"	5.7	5	0.14
"PI 533902"	6.66666666666667	5.5	0.212121212121212
"PI 533903"	7.36666666666667	6.8	0.0833333333333333
"PI 533910"	5.35	5	0.0699999999999999
"PI 533912"	3.85	4.3	-0.104651162790698
"PI 533913"	5.1	5.6	-0.0892857142857143
"PI 533915"	5.83333333333333	6.6	-0.116161616161616
"PI 533919"	6.4	7.1	-0.0985915492957746
"PI 533924"	5.4	5.1	0.0588235294117649
"PI 533927"	4.46666666666667	5.2	-0.141025641025641
"PI 533936"	2.7	2.9	-0.0689655172413792
"PI 533937"	4.13333333333333	4.7	-0.120567375886525
"PI 533938"	4.86666666666667	4.7	0.0354609929078013
"PI 533939"	5.03333333333333	5.6	-0.101190476190476
"PI 533940"	3.46666666666667	3.6	-0.037037037037037
"PI 533943"	4.3	6.3	-0.317460317460317
"PI 533948"	3.6	6.4	-0.4375
"PI 533949"	4.93333333333333	4.2	0.174603174603175
"PI 533955"	4.66666666666667	3.2	0.458333333333333
"PI 533956"	5.33333333333333	3.7	0.441441441441441
"PI 533957"	4.2	5	-0.16
"PI 533961"	5.1	4.3	0.186046511627907
"PI 533962"	4.5	3.9	0.153846153846154
"PI 533964"	4.7	4.5	0.0444444444444445
"PI 533965"	4.7	5.5	-0.145454545454545
"PI 533970"	5.55	6	-0.075
"PI 533972"	6.83333333333333	8	-0.145833333333333
"PI 533976"	5.3	6.4	-0.171875
"PI 533979"	3.95	4	-0.0125000000000001
"PI 533980"	5.96666666666667	4.3	0.387596899224806
"PI 533986"	4.83333333333333	4.8	0.00694444444444442
"PI 533987"	5.3	4.8	0.104166666666667
"PI 533991"	6.2	5.6	0.107142857142857
"PI 533996"	4.8	5	-0.04
"PI 533997"	4.73333333333333	3.9	0.213675213675214
"PI 533998"	4.3	3.3	0.303030303030303
"PI 534037"	4.06666666666667	5.3	-0.232704402515723
"PI 534047"	4.13333333333333	4.1	0.00813008130081298
"PI 534053"	3.93333333333333	5.3	-0.257861635220126
"PI 534054"	4.75	4.9	-0.0306122448979593
"PI 534063"	4.26666666666667	4	0.0666666666666667
"PI 534070"	3.86666666666667	4.6	-0.159420289855072
"PI 534097"	3.4	2.3	0.478260869565217
"PI 534099"	5.43333333333333	5.5	-0.0121212121212121
"PI 534101"	4.53333333333333	4.5	0.00740740740740738
"PI 534105"	4.86666666666667	5.8	-0.160919540229885
"PI 534108"	5.4	5.9	-0.0847457627118646
"PI 534112"	7.6	5.5	0.381818181818182
"PI 534114"	5.46666666666667	4.9	0.115646258503401
"PI 534115"	6.96666666666667	6	0.161111111111111
"PI 534116"	4.3	3.9	0.102564102564103
"PI 534117"	5.5	4.4	0.25
"PI 534123"	4.73333333333333	3.8	0.245614035087719
"PI 534124"	4.3	4	0.075
"PI 534127"	3.93333333333333	5.8	-0.32183908045977
"PI 534128"	4.8	5.2	-0.076923076923077
"PI 534133"	4.56666666666667	6.9	-0.33816425120773
"PI 534135"	4.85	4.9	-0.0102040816326532
"PI 534138"	3.2	3	0.0666666666666667
"PI 534144"	4.16666666666667	3.3	0.262626262626263
"PI 534145"	4.4	4.3	0.0232558139534883
"PI 534148"	4.86666666666667	4.6	0.0579710144927538
"PI 534155"	6.53333333333333	6.3	0.037037037037037
"PI 534157"	6.43333333333333	6.3	0.0211640211640212
"PI 534163"	4.36666666666667	4.3	0.0155038759689924
"PI 542718"	4.83333333333333	7.4	-0.346846846846847
"PI 548797"	5.93333333333333	3.5	0.695238095238095
"PI 552861"	4.16666666666667	4	0.0416666666666667
"PI 561072"	6.83333333333333	7.3	-0.0639269406392694
"PI 561073"	4.65	3.6	0.291666666666667
"PI 564163"	4.6172131147541	4.52571428571429	0.0202175442954131
"PI 564164"	5.2	5.8	-0.103448275862069
"PI 565121"	6.3	7.9	-0.20253164556962
"PI 576130"	5.45	7.1	-0.232394366197183
"PI 576332"	4.26666666666667	3.4	0.254901960784314
"PI 576337"	3.83333333333333	2.5	0.533333333333333
"PI 576339"	4.73333333333333	5.2	-0.0897435897435898
"PI 576340"	4.33333333333333	5.1	-0.150326797385621
"PI 576348"	4.3	4.1	0.0487804878048781
"PI 576352"	4.7	5.5	-0.145454545454545
"PI 576364"	4.63333333333333	3.2	0.447916666666666
"PI 576366"	5.33333333333333	4.3	0.24031007751938
"PI 576373"	4.7	3.5	0.342857142857143
"PI 576375"	5.76666666666667	3.8	0.517543859649123
"PI 576376"	4.26666666666667	4.1	0.0406504065040651
"PI 576380"	6.63333333333333	7.7	-0.138528138528139
"PI 576381"	5.5	4.7	0.170212765957447
"PI 576385"	4.86666666666667	5.6	-0.130952380952381
"PI 576386"	3.73333333333333	3	0.244444444444444
"PI 576390"	5.25	3	0.75
"PI 576394"	4.63333333333333	4.3	0.0775193798449612
"PI 576399"	2.93333333333333	9.1	-0.677655677655678
"PI 576401"	6.3	6.8	-0.0735294117647059
"PI 576418"	4.6	4.7	-0.021276595744681
"PI 576422"	4.65	4.5	0.0333333333333334
"PI 576425"	4.6	4	0.15
"PI 576426"	4.93333333333333	5.3	-0.0691823899371068
"PI 576428"	6.86666666666667	5.7	0.204678362573099
"PI 576435"	7.45	9	-0.172222222222222
"PI 576437"	4.13333333333333	4.3	-0.0387596899224807
"PI 595699"	4.9	4.4	0.113636363636364
"PI 595702"	4.2	3.5	0.2
"PI 595718"	5.55	4.4	0.261363636363636
"PI 595720"	5	5	0
"PI 595739"	5.15	6.8	-0.242647058823529
"PI 595740"	4.8	3.6	0.333333333333333
"PI 595744"	4.2	5.8	-0.275862068965517
"PI 595745"	3.85	3.2	0.203125
"PI 597945"	4.5	6.3	-0.285714285714286
"PI 597949"	3.65	4.1	-0.109756097560976
"PI 597950"	4.26666666666667	4.6	-0.072463768115942
"PI 597951"	3.86666666666667	4	-0.0333333333333333
"PI 597952"	5.43333333333333	6.4	-0.151041666666667
"PI 597957"	5.8	6.5	-0.107692307692308
"PI 597958"	5.53333333333333	4.4	0.257575757575757
"PI 597960"	5	5.3	-0.0566037735849056
"PI 597961"	5.73333333333333	6.3	-0.0899470899470899
"PI 597964"	7.4	7.4	-1.20024110770287e-16
"PI 597965"	5.5	4.5	0.222222222222222
"PI 597967"	6.3	6.8	-0.0735294117647059
"PI 597971"	5.43333333333333	5.2	0.0448717948717949
"PI 597972"	5.26666666666667	5	0.0533333333333333
"PI 597973"	4.96666666666667	5	-0.00666666666666664
"PI 597976"	3.73333333333333	3.7	0.00900900900900898
"PI 597980"	4.55	4.5	0.0111111111111111
"PI 597982"	4.85	7.2	-0.326388888888889
"PI 601816"	7.33333333333333	6.8	0.0784313725490196
"PI 607931"	4.75	5.1	-0.0686274509803921
"PI 613536"	5.9	5.5	0.0727272727272728
"PI 629040"	4.56666666666667	5.2	-0.121794871794872
"PI 629059"	4.73333333333333	4.7	0.00709219858156026
"PI 641874"	4.36666666666667	4.5	-0.0296296296296297
"PI 642791"	5.4	5	0.0800000000000001
"PI 642793"	6.23333333333333	4.8	0.298611111111111
"PI 642992"	4.9	7.8	-0.371794871794872
"PI 642998"	6.4	6.5	-0.0153846153846155
"PI 655971"	3.56666666666667	3.5	0.019047619047619
"PI 655974"	5.7	4.3	0.325581395348837
"PI 655975"	4.76666666666667	6.7	-0.288557213930348
"PI 655976"	5.16666666666667	4.4	0.174242424242424
"PI 655977"	5.23333333333333	6.1	-0.14207650273224
"PI 655978"	4.5	4.4	0.0227272727272726
"PI 655979"	5.93333333333333	3.8	0.56140350877193
"PI 655981"	4.3	3.4	0.264705882352941
"PI 655993"	5	5.1	-0.0196078431372548
"PI 655994"	5.1	5.8	-0.120689655172414
"PI 655995"	6.8	6.4	0.0624999999999999
"PI 655996"	4.96666666666667	4.5	0.103703703703704
"PI 655997"	3.4	4.1	-0.170731707317073
"PI 655998"	4.1	4.5	-0.088888888888889
"PI 655999"	3.7	3.8	-0.0263157894736841
"PI 656000"	4.73333333333333	5	-0.0533333333333333
"PI 656002"	4.03333333333333	5.6	-0.279761904761905
"PI 656003"	3.9	3.5	0.114285714285714
"PI 656004"	3.6	3.1	0.161290322580645
"PI 656005"	4.76666666666667	3.3	0.444444444444445
"PI 656006"	5.75	5.7	0.00877192982456137
"PI 656007"	3.85	5.5	-0.3
"PI 656009"	5.75	4.9	0.173469387755102
"PI 656010"	5.45	5.6	-0.0267857142857142
"PI 656011"	6.63333333333333	5.5	0.206060606060606
"PI 656013"	7.25	6.1	0.188524590163934
"PI 656014"	5.66666666666667	6.5	-0.128205128205128
"PI 656016"	4.16666666666667	4.6	-0.0942028985507245
"PI 656020"	4.73333333333333	5.5	-0.139393939393939
"PI 656021"	5.7	4.4	0.295454545454545
"PI 656022"	2.75	4.5	-0.388888888888889
"PI 656023"	5.25	2.9	0.810344827586207
"PI 656025"	6.9	7	-0.0142857142857144
"PI 656026"	6.33333333333333	6.5	-0.0256410256410257
"PI 656028"	6.1	5.8	0.0517241379310345
"PI 656029"	4.2	5.5	-0.236363636363636
"PI 656030"	5.16666666666667	6.2	-0.166666666666667
