"SorghumAccessionYellow"	"MedianLeafAngle_HN"	"MedianLeafAngle_LN"	"NR_MedianLeafAngle"
"PI 152651"	75.05	77.6	-0.0328608247422678
"PI 17548"	46.9	46.15	0.0162513542795233
"PI 276837"	51.0333333333333	42.75	0.193762183235867
"PI 329435"	38.6	38.65	-0.001293661060802
"PI 329440"	44.85	46.1	-0.027114967462039
"PI 48770"	45.9	43.1	0.0649651972157772
"PI 533750"	40.7333333333333	38	0.0719298245614035
"PI 533752"	49.3	46.25	0.0659459459459459
"PI 533754"	52	64.3	-0.191290824261275
"PI 533755"	38.1	39.65	-0.039092055485498
"PI 533757"	40.6333333333333	35.05	0.159296243461721
"PI 533758"	42.1	58.6	-0.281569965870307
"PI 533759"	46.8	45.7	0.0240700218818379
"PI 533760"	38.4	40.55	-0.0530209617755857
"PI 533761"	41.45	48.05	-0.13735691987513
"PI 533766"	55.05	58.725	-0.0625798212005107
"PI 533769"	35.05	54	-0.350925925925926
"PI 533776"	52.4	67.5	-0.223703703703704
"PI 533785"	54.5	49.45	0.102123356926188
"PI 533789"	46.3333333333333	41.3	0.121872477804681
"PI 533794"	48.4333333333333	34.95	0.385789222699094
"PI 533799"	41.6666666666667	44.725	-0.0683808459101918
"PI 533800"	36.4666666666667	28.85	0.264009243212016
"PI 533807"	50.6	54.25	-0.0672811059907834
"PI 533810"	38.3	38.3833333333333	-0.00217108119843688
"PI 533814"	39.4666666666667	41.275	-0.0438118312134061
"PI 533821"	47.85	49.65	-0.0362537764350453
"PI 533824"	38.8333333333333	50	-0.223333333333333
"PI 533830"	39.7	45.1	-0.119733924611973
"PI 533833"	61.6333333333333	61.55	0.00135391280801509
"PI 533838"	37.5666666666667	47.015	-0.200964231273707
"PI 533839"	41.1666666666667	42	-0.0198412698412699
"PI 533841"	45.2666666666667	41.1	0.101378751013787
"PI 533842"	33.5666666666667	42.3	-0.206461780929866
"PI 533845"	56.9	65.9	-0.136570561456753
"PI 533852"	56.15	49.7166666666667	0.129399932953403
"PI 533856"	33.9333333333333	32.7	0.0377166156982671
"PI 533863"	64.9333333333333	48.3	0.344375431331953
"PI 533866"	43.8	43.8	0
"PI 533869"	47.7	42.3	0.127659574468085
"PI 533878"	57.5	52.55	0.0941960038058992
"PI 533901"	62.7166666666667	59.9	0.047022815804118
"PI 533902"	40.2666666666667	38.9	0.0351328191945159
"PI 533903"	30.3	32.2	-0.0590062111801243
"PI 533910"	35.1	30.825	0.138686131386861
"PI 533911"	53.9333333333333	42.2	0.278041074249605
"PI 533912"	68.4	70.6	-0.0311614730878185
"PI 533913"	36.15	39.95	-0.0951188986232792
"PI 533915"	62.9666666666667	55.85	0.127424649358401
"PI 533919"	49.6	50.175	-0.0114598903836571
"PI 533921"	58.2333333333333	50.2	0.160026560424967
"PI 533924"	47.5666666666667	44.775	0.0623487809417459
"PI 533927"	38.4333333333333	43.25	-0.111368015414258
"PI 533936"	35.6	30.15	0.180762852404644
"PI 533937"	66.3333333333333	61.125	0.0852079072937968
"PI 533938"	52.1666666666667	61.65	-0.15382535820492
"PI 533939"	45.7333333333333	52.1	-0.122200895713372
"PI 533940"	52.9666666666667	45.95	0.152702212549873
"PI 533943"	46.25	46.4	-0.00323275862068962
"PI 533948"	47.6	50.65	-0.0602171767028629
"PI 533949"	54.0333333333333	47.5	0.137543859649123
"PI 533954"	45.7	41.2	0.109223300970874
"PI 533955"	53.9666666666667	34.725	0.554115670746341
"PI 533956"	45.3666666666667	46.35	-0.021215390147429
"PI 533957"	37.55	38.325	-0.020221787345075
"PI 533961"	44.8	50.025	-0.104447776111944
"PI 533962"	34.1333333333333	41.3	-0.173527037933818
"PI 533964"	40.4	43.2	-0.0648148148148149
"PI 533965"	44.9666666666667	49.5	-0.0915824915824915
"PI 533967"	56.1666666666667	51.85	0.083252973320476
"PI 533970"	47.75	44.1	0.082766439909297
"PI 533972"	37.6333333333333	36.85	0.0212573496155585
"PI 533976"	59.7	51.4	0.16147859922179
"PI 533979"	51.1	47.05	0.0860786397449521
"PI 533980"	50.4333333333333	50.55	-0.00230794592812398
"PI 533985"	57.4	38.3	0.498694516971279
"PI 533986"	56.2333333333333	48.7	0.154688569472964
"PI 533987"	43.6	43.775	-0.00399771559109074
"PI 533989"	43.6333333333333	37.8	0.154320987654321
"PI 533991"	58	54.8	0.0583941605839417
"PI 533996"	45.6333333333333	38.95	0.171587505348738
"PI 533997"	38.8333333333333	35.6	0.0908239700374534
"PI 533998"	49.2	51.75	-0.0492753623188405
"PI 534009"	42.0666666666667	44.45	-0.0536182977127859
"PI 534021"	32.9	38.075	-0.13591595535128
"PI 534037"	69.9	72.55	-0.0365265334252239
"PI 534046"	47.7666666666667	46.3	0.0316774658027358
"PI 534047"	58.6666666666667	56.6	0.0365135453474675
"PI 534053"	46.4333333333333	48.175	-0.0361529147206366
"PI 534054"	38.9	39.75	-0.0213836477987422
"PI 534063"	60.8	64.35	-0.055167055167055
"PI 534070"	53.4333333333333	49.95	0.0697364030697363
"PI 534097"	41.8666666666667	40.1	0.0440565253532834
"PI 534099"	44.7	44.65	0.00111982082866719
"PI 534101"	44.2	47.425	-0.0680021085925144
"PI 534104"	44.2	44.7	-0.0111856823266219
"PI 534105"	63.8333333333333	56.05	0.138864109426108
"PI 534108"	48.5666666666667	44.95	0.0804597701149425
"PI 534112"	32.8	38.45	-0.146944083224968
"PI 534114"	32.3	38.7	-0.165374677002584
"PI 534115"	57.2	47.35	0.208025343189018
"PI 534116"	48.7333333333333	42.75	0.139961013645224
"PI 534117"	40.6666666666667	38.3	0.061792863359443
"PI 534123"	54.0333333333333	46.725	0.156411628321741
"PI 534124"	44.65	48.45	-0.0784313725490197
"PI 534127"	49.5	36.4	0.35989010989011
"PI 534128"	49.3	50.3	-0.0198807157057654
"PI 534132"	39.0833333333333	35.8	0.0917132216014899
"PI 534133"	30.1666666666667	27.35	0.102985984156002
"PI 534135"	25.9666666666667	38.65	-0.328158689090125
"PI 534137"	54.2	57.15	-0.0516185476815397
"PI 534138"	35.6166666666667	41.3	-0.137610976594028
"PI 534139"	78.3	72.3	0.0829875518672199
"PI 534144"	62.9666666666667	48.3	0.303657694962043
"PI 534145"	55.7666666666667	57.6	-0.0318287037037036
"PI 534148"	44.7666666666667	29	0.54367816091954
"PI 534155"	39.3333333333333	37.75	0.0419426048565122
"PI 534157"	31.4333333333333	35.6	-0.117041198501873
"PI 534163"	38.3	37.9	0.0105540897097625
"PI 542406"	38.6	44.75	-0.137430167597765
"PI 542718"	52.6	40.975	0.283709579011592
"PI 548797"	42.5833333333333	40.15	0.0606060606060603
"PI 552861"	45.3666666666667	42.05	0.0788743559254856
"PI 561072"	41.6	32.5	0.28
"PI 561073"	44.5833333333333	40.45	0.102183765966213
"PI 561472"	41.8666666666667	42.3	-0.0102442868400314
"PI 564163"	39.5423387096774	38.6683544303797	0.0226020551474781
"PI 564164"	35.2666666666667	38.15	-0.0755788553953691
"PI 564165"	31.5333333333333	32.575	-0.0319774878485544
"PI 565121"	45.5	37.95	0.198945981554677
"PI 574455"	37.1666666666667	43.4	-0.143625192012289
"PI 576130"	52.4	45.75	0.145355191256831
"PI 576332"	40.2333333333333	36.9	0.0903342366757002
"PI 576333"	34.45	32.8	0.0503048780487807
"PI 576337"	44.7	40.35	0.107806691449814
"PI 576339"	44.7	40.55	0.102342786683107
"PI 576340"	42.6	43	-0.00930232558139532
"PI 576345"	43.0666666666667	36.8	0.170289855072464
"PI 576347"	43.4333333333333	44.8	-0.0305059523809524
"PI 576348"	35.2	35.95	-0.0208623087621697
"PI 576349"	36.15	45.8	-0.210698689956332
"PI 576350"	49.4	30	0.646666666666667
"PI 576352"	56.0833333333333	54.7	0.0252894576477756
"PI 576359"	47	53.7	-0.124767225325885
"PI 576364"	58.8833333333333	56.65	0.0394233598117093
"PI 576366"	52.0333333333333	53.55	-0.028322440087146
"PI 576373"	58.35	60.3	-0.0323383084577115
"PI 576375"	46.6	42.1	0.106888361045131
"PI 576376"	41.1666666666667	51	-0.19281045751634
"PI 576380"	38.55	30.9	0.24757281553398
"PI 576381"	40.9	52.15	-0.215723873441994
"PI 576385"	66.6666666666667	65.55	0.0170353419781336
"PI 576386"	52.65	48.75	0.0800000000000001
"PI 576387"	42.7666666666667	56	-0.236309523809524
"PI 576390"	47.4	50.1	-0.0538922155688622
"PI 576393"	38.95	29.6	0.315878378378378
"PI 576394"	67.5166666666667	49.35	0.368118878757177
"PI 576396"	50.1	38.5	0.301298701298701
"PI 576399"	53.6333333333333	49.2	0.0901084010840108
"PI 576401"	33.1666666666667	33.5	-0.00995024875621898
"PI 576418"	40.1666666666667	42.4	-0.0526729559748428
"PI 576422"	43.3	38.2	0.133507853403141
"PI 576425"	48.15	44.4	0.0844594594594596
"PI 576426"	40.6333333333333	49.6	-0.180779569892473
"PI 576428"	50.2333333333333	46.85	0.072216293134116
"PI 576435"	49.4	55.65	-0.112309074573225
"PI 576437"	60.2	64.65	-0.068832173240526
"PI 585295"	40.1	38.5	0.0415584415584416
"PI 595699"	40.1166666666667	32.55	0.232462877624168
"PI 595702"	44.5	45.45	-0.020902090209021
"PI 595714"	50.4333333333333	67.1	-0.248385494287134
"PI 595718"	43.45	55.9	-0.222719141323792
"PI 595720"	41.2	38	0.0842105263157896
"PI 595739"	36.15	35.725	0.0118964310706787
"PI 595740"	40.2666666666667	35.95	0.120074177097821
"PI 595741"	42.2	51.5	-0.180582524271845
"PI 595743"	41.1666666666667	41.7	-0.0127897681854518
"PI 595744"	48.8333333333333	48	0.0173611111111112
"PI 595745"	66.6	56.9	0.170474516695958
"PI 597945"	46	37.8	0.216931216931217
"PI 597946"	43.5333333333333	41.2	0.0566343042071198
"PI 597949"	43.35	53.975	-0.196850393700788
"PI 597950"	52.6666666666667	55.95	-0.0586833482275842
"PI 597951"	56.9666666666667	45.1	0.263118994826312
"PI 597952"	53.9666666666667	50.375	0.0712985938792391
"PI 597957"	43.8333333333333	38.45	0.140008669267447
"PI 597958"	32.0333333333333	39.6	-0.191077441077441
"PI 597960"	57.75	51.8	0.114864864864865
"PI 597961"	44.6333333333333	48	-0.0701388888888889
"PI 597964"	40.4333333333333	37.45	0.0796617712505563
"PI 597965"	69.8	54.925	0.270823850705508
"PI 597967"	50.6666666666667	60.95	-0.168717528028439
"PI 597968"	44.95	43.75	0.0274285714285715
"PI 597971"	53.7333333333333	42.7	0.258391881342701
"PI 597972"	52.8	65.2	-0.190184049079755
"PI 597973"	55.2333333333333	38.2	0.445898778359511
"PI 597976"	60.1666666666667	69.05	-0.128650736181511
"PI 597980"	39.35	39.5666666666667	-0.00547598989048025
"PI 597982"	69.65	61.9	0.125201938610662
"PI 598069"	19.55	15.7	0.245222929936306
"PI 601816"	37.9	39.675	-0.0447385003150598
"PI 607931"	43.75	38.85	0.126126126126126
"PI 609456"	28.4	25.8	0.10077519379845
"PI 613536"	61.95	45.2	0.370575221238938
"PI 629040"	45.45	39.2	0.159438775510204
"PI 629059"	46.4666666666667	38.25	0.214814814814815
"PI 641849"	49.7666666666667	51.7	-0.0373952288845907
"PI 641874"	45.3333333333333	45	0.00740740740740746
"PI 642791"	49.8	52.25	-0.0468899521531101
"PI 642793"	42.2333333333333	36.4	0.16025641025641
"PI 642992"	46.4833333333333	49.1	-0.0532926001357773
"PI 642998"	56.9	41.1	0.384428223844282
"PI 651496"	33.8	24.8	0.362903225806451
"PI 655970"	38.225	33.4	0.144461077844311
"PI 655971"	46.2333333333333	44.95	0.028550241008528
"PI 655972"	47.2333333333333	54	-0.125308641975309
"PI 655973"	64.0333333333333	65.1	-0.0163850486431131
"PI 655974"	42.6	38.25	0.113725490196078
"PI 655975"	44.8	47.375	-0.054353562005277
"PI 655976"	39.7833333333333	45.3	-0.121780721118469
"PI 655977"	49.2	46.15	0.0660888407367282
"PI 655978"	38.6333333333333	42.8	-0.0973520249221183
"PI 655979"	37.5	44.1	-0.149659863945578
"PI 655981"	50.9666666666667	46.9	0.0867093105899075
"PI 655992"	53.65	36.65	0.463847203274216
"PI 655993"	42.9666666666667	43.35	-0.00884275278738929
"PI 655994"	42.95	43.15	-0.00463499420625714
"PI 655995"	45.1666666666667	43.1	0.0479505027068833
"PI 655996"	46.2	48.9	-0.0552147239263803
"PI 655997"	48.45	62.5	-0.2248
"PI 655998"	45.9666666666667	51.15	-0.101335940045617
"PI 655999"	33.5666666666667	36.35	-0.0765703805593764
"PI 656000"	31.6	30.55	0.0343698854337154
"PI 656001"	40.0666666666667	35.8	0.119180633147114
"PI 656002"	45.9333333333333	52.7	-0.128399746995572
"PI 656003"	40.0333333333333	41.1	-0.0259529602595297
"PI 656004"	43.85	49.45	-0.11324570273003
"PI 656005"	44.1666666666667	46.05	-0.0408975750995293
"PI 656006"	36.1	37.1	-0.0269541778975741
"PI 656007"	36.35	39.025	-0.0685458039718129
"PI 656008"	38.5333333333333	37.5	0.0275555555555555
"PI 656009"	38.3	34.7	0.103746397694524
"PI 656010"	62.65	58.6	0.0691126279863481
"PI 656011"	37.5333333333333	34.75	0.0800959232613908
"PI 656012"	44.7833333333333	39.7	0.128043660789253
"PI 656013"	37.6	37.5	0.00266666666666652
"PI 656014"	38.7666666666667	35.95	0.0783495595734816
"PI 656016"	41.4333333333333	40.35	0.0268484097480381
"PI 656017"	30	37.675	-0.20371599203716
"PI 656018"	45.0333333333333	45.1	-0.00147819660014789
"PI 656019"	61.5	56.2	0.094306049822064
"PI 656020"	41.3333333333333	55.8	-0.259259259259259
"PI 656021"	40.9	45.4	-0.0991189427312777
"PI 656022"	46.5	44.75	0.0391061452513966
"PI 656023"	31.25	30.25	0.0330578512396694
