"SorghumAccessionYellow"	"PanicleGrainWeight_HN"	"PanicleGrainWeight_LN"	"NR_PanicleGrainWeight"
"PI 152651"	19.55	12.9	0.515503875968992
"PI 17548"	20.6666666666667	15.3	0.350762527233116
"PI 276837"	24.3	47.3	-0.486257928118393
"PI 329435"	26.3	15	0.753333333333333
"PI 329440"	40.25	36.4	0.105769230769231
"PI 533750"	13.2	26.85	-0.508379888268156
"PI 533752"	41.1666666666667	57.8	-0.287773933102653
"PI 533754"	14.4666666666667	11.4	0.269005847953216
"PI 533755"	28.6666666666667	26	0.102564102564102
"PI 533757"	50.9666666666667	33.35	0.528235882058971
"PI 533758"	27.6	20.6	0.339805825242718
"PI 533759"	35.4333333333333	35.85	-0.0116225011622502
"PI 533760"	31.7	23.3	0.360515021459227
"PI 533761"	27.5	56.55	-0.513704686118479
"PI 533766"	23.3	32.8	-0.289634146341463
"PI 533769"	30.1	25.8	0.166666666666667
"PI 533785"	25.2	29.85	-0.155778894472362
"PI 533789"	48.6	33.1	0.468277945619335
"PI 533794"	47.2333333333333	49.65	-0.0486740516951997
"PI 533799"	42.5666666666667	29.55	0.440496333897349
"PI 533800"	44.1333333333333	28.3	0.559481743227326
"PI 533807"	51.7	70.2	-0.263532763532763
"PI 533810"	21	5.7	2.68421052631579
"PI 533814"	24.1	41.3	-0.416464891041162
"PI 533821"	36.6333333333333	36.35	0.00779458963778078
"PI 533824"	26.3	39.8	-0.339195979899497
"PI 533833"	12.1333333333333	12.05	0.00691562932226823
"PI 533839"	4.23333333333333	3.3	0.282828282828283
"PI 533841"	37.5	43.5	-0.137931034482759
"PI 533845"	24.9	29.3	-0.150170648464164
"PI 533856"	39.8333333333333	21.2	0.878930817610063
"PI 533863"	38.3666666666667	38.85	-0.0124410124410125
"PI 533866"	34.8	34.5	0.00869565217391296
"PI 533869"	23.75	23.8	-0.00210084033613448
"PI 533878"	38.1	34.8	0.0948275862068965
"PI 533901"	39.25	27.75	0.414414414414414
"PI 533902"	25.9333333333333	4.8	4.40277777777778
"PI 533903"	34.6	24.4	0.418032786885246
"PI 533910"	38.95	39.55	-0.0151706700379265
"PI 533911"	27.7	24.2	0.144628099173554
"PI 533912"	24.25	19.3	0.256476683937824
"PI 533913"	28.2333333333333	27.6	0.0229468599033816
"PI 533915"	19.8333333333333	15.75	0.259259259259259
"PI 533919"	31.5	3.4	8.26470588235294
"PI 533924"	15.3	14.2	0.0774647887323943
"PI 533927"	8.06666666666667	11.5	-0.298550724637681
"PI 533936"	18.3666666666667	13.05	0.407407407407407
"PI 533937"	33.9666666666667	37.45	-0.0930129060970183
"PI 533938"	44.8	49.8	-0.100401606425703
"PI 533940"	12.0333333333333	13.25	-0.0918238993710692
"PI 533943"	29.25	48.2	-0.393153526970954
"PI 533948"	43.7	25.85	0.690522243713733
"PI 533949"	33.1666666666667	27.3	0.214896214896215
"PI 533954"	12.7333333333333	5.7	1.23391812865497
"PI 533955"	40.9	32.4	0.262345679012346
"PI 533956"	33.5666666666667	42.2	-0.204581358609795
"PI 533957"	27.1	33.8	-0.198224852071006
