"SorghumAccessionYellow"	"PrimaryBranchNo_HN"	"PrimaryBranchNo_LN"	"NR_PrimaryBranchNo"
"PI 17548"	51.8866666666667	49.33	0.0518278262044732
"PI 276837"	39.22	42.33	-0.0734703519962202
"PI 329435"	53.4433333333333	104	-0.486121794871795
"PI 329440"	42.4433333333333	44	-0.0353787878787878
"PI 34911"	63.1666666666667	57	0.108187134502924
"PI 48770"	77.67	67	0.159253731343284
"PI 533750"	60.2233333333333	54.33	0.108472912448617
"PI 533752"	65.22	57	0.144210526315789
"PI 533754"	60.8866666666667	58.67	0.0377819442077154
"PI 533755"	57	58.33	-0.0228013029315961
"PI 533757"	59.33	60.67	-0.0220866985330477
"PI 533758"	47.7766666666667	47.67	0.00223760576183474
"PI 533759"	62.6666666666667	70	-0.104761904761905
"PI 533760"	45.335	52.33	-0.133670934454424
"PI 533761"	60.17	60	0.00283333333333336
"PI 533766"	79.89	65.67	0.216537231612608
"PI 533769"	55.335	58.33	-0.0513457911880678
"PI 533785"	85.2233333333333	71.33	0.194775456797047
"PI 533789"	51.5	51	0.00980392156862745
"PI 533794"	63.4433333333333	57.67	0.100109820241605
"PI 533799"	60.5533333333333	43.67	0.386611709029845
"PI 533800"	58	56	0.0357142857142857
"PI 533807"	67.5566666666667	63	0.0723280423280424
"PI 533810"	98.665	96.67	0.0206372194062273
"PI 533814"	97.4433333333333	108	-0.0977469135802468
"PI 533821"	35.8866666666667	32.33	0.110011341375399
"PI 533824"	67.78	66	0.026969696969697
"PI 533830"	60.5	62.33	-0.0293598588159794
"PI 533833"	55.89	57	-0.0194736842105263
"PI 533841"	54.4433333333333	65	-0.162410256410256
"PI 533842"	82.11	96	-0.1446875
"PI 533852"	61.5	65.67	-0.0634993147555962
"PI 533856"	80.4466666666667	84	-0.0423015873015872
"PI 533863"	41.89	42.67	-0.018279821888915
"PI 533866"	75.8866666666667	67.33	0.127085499282143
"PI 533869"	35	36	-0.0277777777777778
"PI 533901"	44.72	34.67	0.28987597346409
"PI 533902"	53.3333333333333	52.33	0.019173195744952
"PI 533903"	63.89	68.33	-0.0649787794526562
"PI 533910"	42.835	41.67	0.0279577633789297
"PI 533912"	45.335	48	-0.0555208333333333
"PI 533913"	37.7766666666667	39.33	-0.0394948724468176
"PI 533915"	38.4433333333333	35.67	0.0777497430146715
"PI 533919"	87.7766666666667	88.33	-0.00626438733537108
"PI 533924"	44.5566666666667	50.33	-0.11470958341612
"PI 533927"	55.5566666666667	53.67	0.0351530960809887
"PI 533936"	57.5	53.67	0.0713620272032793
"PI 533937"	52.2233333333333	50.67	0.0306558779027696
"PI 533938"	64.83	65	-0.00261538461538464
"PI 533939"	49.3333333333333	44	0.121212121212121
"PI 533940"	44.11	39	0.131025641025641
"PI 533943"	135.11	116	0.164741379310345
"PI 533948"	58.4433333333333	52	0.123910256410256
"PI 533949"	56.3333333333333	51.33	0.097473861939087
"PI 533955"	57.3366666666667	90.33	-0.365253330381195
"PI 533956"	47.2233333333333	38.67	0.221187828635462
"PI 533957"	28.4433333333333	27.33	0.0407366752042932
"PI 533961"	57.5	58	-0.00862068965517241
"PI 533962"	55.5533333333333	54	0.0287654320987655
"PI 533964"	60.5	59	0.0254237288135593
"PI 533965"	52.6666666666667	57	-0.0760233918128655
"PI 533967"	58.9966666666667	63.25	-0.0672463768115943
"PI 533972"	51.1133333333333	48.67	0.0502020409560989
"PI 533976"	56.335	55	0.0242727272727273
"PI 533979"	53.335	52	0.0256730769230769
"PI 533980"	69.3366666666667	68	0.0196568627450981
"PI 533986"	67.22	63	0.066984126984127
"PI 533987"	56.4466666666667	49.67	0.136433796389504
"PI 533991"	71.11	66	0.0774242424242424
"PI 533996"	63.8866666666667	61	0.0473224043715846
"PI 533997"	57.3333333333333	57.67	-0.00583781284318824
"PI 533998"	21.165	19.67	0.0760040671072698
"PI 534009"	117.553333333333	126	-0.0670370370370371
"PI 534021"	88.1133333333333	88.67	-0.00627795947520776
"PI 534037"	52.3333333333333	45	0.162962962962963
"PI 534047"	47.78	48.67	-0.0182864187384426
"PI 534053"	58.67	61	-0.0381967213114754
