"SorghumAccessionYellow"	"RachisDiameterLower_HN"	"RachisDiameterLower_LN"	"NR_RachisDiameterLower"
"PI 17548"	4.94	4.62	0.0692640692640693
"PI 276837"	5.87666666666667	5.54	0.0607701564380265
"PI 329435"	7.32	15.07	-0.514266755142668
"PI 329440"	8.05	7.94	0.0138539042821159
"PI 34911"	9.46666666666667	9.82	-0.0359809911744739
"PI 48770"	8.41	7.39	0.138024357239513
"PI 533750"	7.50333333333333	9.08	-0.173641703377386
"PI 533752"	9.76666666666667	10.09	-0.0320449289725802
"PI 533754"	6.82333333333333	6.5	0.0497435897435897
"PI 533755"	6.93333333333333	7.72	-0.101899827288428
"PI 533757"	7.44	7.89	-0.0570342205323193
"PI 533758"	8.08666666666667	6.87	0.177098495875788
"PI 533759"	8.04666666666667	7.01	0.147883975273419
"PI 533760"	7.635	8.16	-0.0643382352941177
"PI 533761"	6.99	8.47	-0.174734356552538
"PI 533766"	4.82333333333333	5.62	-0.141755634638197
"PI 533769"	7.66	9.15	-0.162841530054645
"PI 533785"	5.61666666666667	6.57	-0.145104008117707
"PI 533789"	5.97	5.79	0.0310880829015544
"PI 533794"	7.11	6.62	0.0740181268882176
"PI 533799"	6.35	6.66	-0.0465465465465466
"PI 533800"	6.41	7.92	-0.190656565656566
"PI 533807"	8.65666666666667	9.65	-0.10293609671848
"PI 533810"	9.86	10.97	-0.101185050136737
"PI 533814"	6.92666666666667	9.04	-0.233775811209439
"PI 533821"	7.37666666666667	6.69	0.102640757349278
"PI 533824"	6.29	7.13	-0.11781206171108
"PI 533830"	5.98	8.54	-0.299765807962529
"PI 533833"	5.62666666666667	6.24	-0.0982905982905983
"PI 533841"	6.57	7.27	-0.0962861072902337
"PI 533842"	7.53666666666667	9.91	-0.239488731920619
"PI 533852"	9.32	10.58	-0.119092627599244
"PI 533856"	7.79666666666667	10.25	-0.239349593495935
"PI 533863"	6.20333333333333	5.58	0.111708482676225
"PI 533866"	7.62	7.53	0.0119521912350597
"PI 533869"	5.845	6.26	-0.0662939297124601
"PI 533901"	7.08666666666667	6.31	0.123085050184892
"PI 533902"	7.33333333333333	8.5	-0.137254901960784
"PI 533903"	7.06666666666667	6.94	0.0182516810758885
"PI 533910"	5.645	4.58	0.232532751091703
"PI 533912"	6.83	8	-0.14625
"PI 533913"	5.62333333333333	6.45	-0.128165374677003
