"SorghumAccessionYellow"	"RachisDiameterUpper_HN"	"RachisDiameterUpper_LN"	"NR_RachisDiameterUpper"
"PI 17548"	2.10333333333333	2.75	-0.235151515151515
"PI 276837"	2.67	1.48	0.804054054054054
"PI 329435"	2.6	3.66	-0.289617486338798
"PI 329440"	3.08666666666667	3.24	-0.0473251028806586
"PI 34911"	2.77	3.03	-0.0858085808580858
"PI 48770"	2.52	2.09	0.205741626794258
"PI 533750"	1.85666666666667	3.86	-0.518998272884283
"PI 533752"	2.99333333333333	3.59	-0.166202414113278
"PI 533754"	1.76	2.38	-0.260504201680672
"PI 533755"	2.62	3.17	-0.173501577287066
"PI 533757"	3.80666666666667	2.75	0.384242424242424
"PI 533758"	2.30333333333333	2.91	-0.208476517754868
"PI 533759"	2.55666666666667	2.39	0.0697350069735006
"PI 533760"	3.84	3.54	0.0847457627118644
"PI 533761"	2.51	3.17	-0.20820189274448
"PI 533766"	1.54	2.04	-0.245098039215686
"PI 533769"	1.95	2.22	-0.121621621621622
"PI 533785"	2.11666666666667	2.7	-0.216049382716049
"PI 533789"	1.78	1.97	-0.0964467005076143
"PI 533794"	2.31	2.15	0.0744186046511629
"PI 533799"	2.42	2.87	-0.156794425087108
"PI 533800"	2.21333333333333	3.06	-0.276688453159041
"PI 533807"	3.61333333333333	4.8	-0.247222222222222
"PI 533810"	3.135	3.69	-0.150406504065041
"PI 533814"	3.21666666666667	4.01	-0.197838736492103
"PI 533821"	2.74333333333333	3.11	-0.117899249732047
"PI 533824"	1.93	2.88	-0.329861111111111
"PI 533830"	2.68	3.86	-0.305699481865285
"PI 533833"	1.98333333333333	2.32	-0.145114942528736
"PI 533841"	2.70666666666667	2.5	0.0826666666666666
"PI 533842"	3.17666666666667	4.2	-0.243650793650794
"PI 533852"	4.06	4.33	-0.0623556581986142
"PI 533856"	2.77666666666667	2.48	0.119623655913979
"PI 533863"	1.71666666666667	1.4	0.226190476190476
"PI 533866"	2.51	2.71	-0.07380073800738
"PI 533869"	3.07	3.55	-0.135211267605634
"PI 533901"	2.21333333333333	2.28	-0.0292397660818714
"PI 533902"	3.11666666666667	3.05	0.0218579234972678
"PI 533903"	2.28666666666667	2.64	-0.133838383838384
"PI 533910"	2.165	2.61	-0.170498084291188
"PI 533912"	1.92	2.22	-0.135135135135135
"PI 533913"	3.43666666666667	4.73	-0.273431994362227
"PI 533915"	1.97333333333333	2.37	-0.167369901547117
"PI 533919"	2.86	4.3	-0.334883720930233
"PI 533924"	3.07666666666667	3.66	-0.159380692167577
"PI 533927"	3.60666666666667	4.61	-0.2176428054953
"PI 533936"	3.36	2.92	0.150684931506849
"PI 533937"	3.09333333333333	2.85	0.0853801169590643
"PI 533938"	2.875	2.08	0.382211538461538
"PI 533939"	1.87	2.29	-0.183406113537118
"PI 533940"	2.23333333333333	2.25	-0.00740740740740738
"PI 533943"	2.41333333333333	3.06	-0.211328976034858
"PI 533948"	2.71333333333333	3.19	-0.149425287356322
"PI 533949"	2.12666666666667	2.5	-0.149333333333333
"PI 533955"	3.75	2.64	0.420454545454545
"PI 533956"	3.05666666666667	2.46	0.242547425474255
"PI 533957"	2.87	3.44	-0.165697674418605
"PI 533961"	6.805	3	1.26833333333333
"PI 533962"	1.91333333333333	2.29	-0.16448326055313
"PI 533964"	2.81	3.66	-0.23224043715847
"PI 533965"	2.70333333333333	2.99	-0.0958751393534003
"PI 533967"	2.52666666666667	2.275	0.110622710622711
"PI 533972"	3.72666666666667	3.8	-0.0192982456140351
"PI 533976"	2.655	2.94	-0.096938775510204
"PI 533979"	2.72	2.88	-0.0555555555555556
"PI 533980"	1.75666666666667	2.62	-0.329516539440204
"PI 533986"	1.27	2.32	-0.452586206896552
"PI 533987"	1.37333333333333	2.075	-0.338152610441767
"PI 533991"	2.26333333333333	3.24	-0.301440329218107
"PI 533996"	2.93	3.555	-0.175808720112517
"PI 533997"	4.36	4.25	0.0258823529411763
"PI 533998"	4.17	2.82	0.478723404255319
"PI 534009"	2.37	2.47	-0.0404858299595142
"PI 534021"	1.61666666666667	2.83	-0.428739693757362
"PI 534037"	1.95	3.26	-0.401840490797546
"PI 534047"	2.74333333333333	2.41	0.138312586445366
"PI 534053"	1.36333333333333	2.46	-0.44579945799458
"PI 534054"	2.555	3.45	-0.259420289855072
"PI 534063"	1.59333333333333	1.81	-0.119705340699816
"PI 534070"	2.14333333333333	2.315	-0.0741540676745859
"PI 534097"	3.39	3.95	-0.141772151898734
"PI 534099"	3.00666666666667	3.7	-0.187387387387387
"PI 534104"	3.275	3.37	-0.0281899109792285
"PI 534105"	3.08666666666667	3.22	-0.0414078674948241
"PI 534108"	3.67333333333333	3.69	-0.00451671183378499
"PI 534112"	2.97333333333333	3.88	-0.233676975945017
"PI 534114"	1.91	1.82	0.0494505494505494
"PI 534115"	2.59333333333333	4.55	-0.43003663003663
"PI 534116"	2.05	2.05	0
"PI 534117"	2.41	2.53	-0.0474308300395257
"PI 534123"	2.23333333333333	2.59	-0.137709137709138
"PI 534124"	3.44	6.09	-0.435139573070608
"PI 534127"	1.64333333333333	2.75	-0.402424242424242
"PI 534128"	3.42	3.2	0.0687499999999999
"PI 534133"	3.04666666666667	2.29	0.330422125181951
"PI 534138"	1.62333333333333	2.84	-0.428403755868545
"PI 534144"	3.63	5.04	-0.279761904761905
"PI 534145"	1.47666666666667	1.49	-0.00894854586129745
"PI 534148"	2.86666666666667	3.44	-0.166666666666667
"PI 534155"	3.23666666666667	3.12	0.0373931623931624
"PI 534157"	3.7	5.71	-0.352014010507881
"PI 534163"	4.00333333333333	5.31	-0.246076585059636
"PI 542406"	0.89	1.28	-0.3046875
"PI 542718"	2.89333333333333	1.7	0.701960784313725
"PI 548797"	2.34	1.93	0.212435233160622
"PI 552861"	2.45333333333333	1.67	0.469061876247505
"PI 561072"	2.71666666666667	2.77	-0.0192539109506618
"PI 561073"	2.62	2.47	0.0607287449392712
"PI 564163"	2.49524590163934	2.66076923076923	-0.0622088256342448
"PI 564164"	2.82333333333333	2.93	-0.0364050056882822
"PI 564165"	2.95	2.35	0.25531914893617
"PI 565121"	3.22	2	0.61
"PI 574455"	2.06	1.93	0.0673575129533678
"PI 576130"	2.74333333333333	2.5	0.0973333333333335
"PI 576332"	2.28333333333333	2.59	-0.118404118404118
"PI 576337"	2.19333333333333	2.34	-0.0626780626780626
"PI 576339"	2.68333333333333	2.04	0.315359477124183
"PI 576340"	1.78333333333333	1.84	-0.0307971014492753
"PI 576345"	4.13333333333333	4.29	-0.0365190365190366
"PI 576348"	1.82	1.97	-0.0761421319796954
"PI 576349"	1.505	1.67	-0.0988023952095809
"PI 576352"	2.83	4.37	-0.352402745995423
"PI 576364"	2.59333333333333	3.02	-0.141280353200883
"PI 576366"	2.46666666666667	3.95	-0.375527426160338
"PI 576373"	1.85	2.03	-0.0886699507389161
"PI 576375"	3.87	4.16	-0.0697115384615386
"PI 576376"	2.04	3.94	-0.482233502538071
"PI 576380"	4.74666666666667	6.19	-0.233171782444803
"PI 576381"	3.525	3.75	-0.06
"PI 576385"	3.18666666666667	2.91	0.0950744558991982
"PI 576386"	4.48666666666667	4.36	0.029051987767584
"PI 576390"	2.505	2.88	-0.130208333333333
"PI 576394"	2.95	3.21	-0.0809968847352024
"PI 576399"	2.58333333333333	3.27	-0.209989806320082
"PI 576401"	2.47	1.59	0.553459119496855
"PI 576418"	2.14	2.3	-0.0695652173913042
"PI 576422"	3.65	1.89	0.931216931216931
"PI 576425"	2.815	6.54	-0.569571865443425
"PI 576426"	3.32333333333333	3.99	-0.167084377610693
"PI 576428"	4.96333333333333	3.84	0.292534722222222
"PI 576435"	3.245	3.57	-0.0910364145658263
"PI 576437"	1.49666666666667	1.88	-0.203900709219858
"PI 585295"	1.79	2.16	-0.171296296296296
"PI 595699"	3.76666666666667	3.27	0.151885830784913
"PI 595702"	2.75666666666667	3.27	-0.156982670744139
"PI 595720"	1.91	2.29	-0.165938864628821
"PI 595739"	3.93	3.6	0.0916666666666667
"PI 595740"	3.65	3.87	-0.0568475452196383
"PI 595743"	2.57	2.53	0.0158102766798417
"PI 595744"	3.31333333333333	4.35	-0.238314176245211
"PI 595745"	2.74	2.9	-0.0551724137931033
"PI 597949"	2.87	3.31	-0.132930513595166
"PI 597950"	3.61	3.19	0.13166144200627
"PI 597951"	2.24666666666667	1.58	0.421940928270042
"PI 597952"	2.49	3.18	-0.216981132075472
"PI 597957"	3.24333333333333	3.68	-0.118659420289855
"PI 597958"	2.28	3.39	-0.327433628318584
"PI 597960"	3.58666666666667	4.08	-0.120915032679739
"PI 597961"	2.95333333333333	2.4	0.230555555555556
"PI 597964"	2.96666666666667	3.46	-0.142581888246628
"PI 597965"	4.14	4.1	0.00975609756097584
"PI 597967"	4.01	6.04	-0.336092715231788
"PI 597971"	1.32	2.18	-0.394495412844037
"PI 597972"	2.54333333333333	2.43	0.046639231824417
"PI 597973"	1.47	1.55	-0.0516129032258065
"PI 597976"	1.48666666666667	1.53	-0.028322440087146
"PI 597980"	1.99	2.44	-0.184426229508197
"PI 597982"	2.235	2.56	-0.126953125
"PI 598069"	2.085	1.65	0.263636363636364
"PI 601816"	1.18333333333333	1.63	-0.274028629856851
"PI 607931"	3	2.93	0.0238907849829351
"PI 613536"	1.94	2.56	-0.2421875
"PI 629040"	3.27	2.71	0.206642066420664
"PI 629059"	2.25333333333333	1.58	0.426160337552743
"PI 641874"	3.39333333333333	4.74	-0.284106891701828
"PI 642791"	3.40666666666667	3.17	0.0746582544689801
"PI 642793"	2.66333333333333	2.97	-0.103254769921437
"PI 642992"	2.23	2.31	-0.0346320346320347
"PI 642998"	2.52333333333333	2.9	-0.129885057471264
"PI 655970"	5.075	4.38	0.158675799086758
"PI 655971"	2.56	2.69	-0.0483271375464684
"PI 655973"	3.56333333333333	2.43	0.46639231824417
"PI 655974"	3.93666666666667	2.94	0.339002267573696
"PI 655975"	2.52	3.15	-0.2
"PI 655976"	2.45333333333333	3.12	-0.213675213675214
"PI 655977"	3.01666666666667	2.94	0.0260770975056689
"PI 655978"	4.02666666666667	3.72	0.082437275985663
"PI 655979"	2.795	3.61	-0.225761772853186
"PI 655981"	2.24333333333333	2.09	0.0733652312599681
"PI 655992"	3.635	3.13	0.161341853035144
"PI 655993"	1.58666666666667	2.64	-0.398989898989899
"PI 655994"	2.15	2.43	-0.11522633744856
"PI 655995"	2.53666666666667	2.7	-0.0604938271604939
"PI 655996"	3.00666666666667	3.24	-0.0720164609053498
"PI 655997"	1.48	1.93	-0.233160621761658
"PI 655998"	2.21333333333333	3.07	-0.279044516829533
"PI 656000"	2.33666666666667	3.14	-0.25583864118896
"PI 656002"	3.58333333333333	3.36	0.066468253968254
"PI 656003"	3.01666666666667	2.82	0.0697399527186763
"PI 656004"	2.05	1.85	0.108108108108108
"PI 656005"	2.34333333333333	2.66	-0.119047619047619
"PI 656006"	1.81666666666667	2.13	-0.147104851330203
"PI 656007"	2.85	5.43	-0.475138121546961
"PI 656009"	2.455	2.36	0.0402542372881357
"PI 656010"	2.74	3.51	-0.219373219373219
"PI 656011"	1.90666666666667	2.43	-0.215363511659808
"PI 656012"	2.52	2.17	0.161290322580645
"PI 656013"	4.135	3.78	0.0939153439153439
"PI 656014"	1.82	2.65	-0.313207547169811
"PI 656016"	2.84	4.08	-0.303921568627451
"PI 656017"	1.43	1.94	-0.262886597938144
"PI 656020"	2.73666666666667	3.18	-0.139412997903564
"PI 656021"	3.10333333333333	2.81	0.104389086595492
"PI 656022"	3.78	5.51	-0.313974591651543
"PI 656023"	1.91	2.15	-0.111627906976744
"PI 656024"	2.77	1.49	0.859060402684564
"PI 656025"	2.37666666666667	2.31	0.0288600288600288
"PI 656026"	2.73	3.75	-0.272
"PI 656028"	2.755	2.59	0.0637065637065637
"PI 656029"	3.19666666666667	4.03	-0.206782464846981
"PI 656030"	1.89	2.2	-0.140909090909091
"PI 656031"	2.6	2.19	0.187214611872146
"PI 656032"	1.15	1.2	-0.0416666666666667
"PI 656034"	2.14	2.92	-0.267123287671233
"PI 656035"	1.77	2.12	-0.165094339622642
"PI 656036"	2.015	1.38	0.460144927536232
"PI 656037"	2.92333333333333	3.25	-0.100512820512821
"PI 656039"	1.47	2.04	-0.279411764705882
"PI 656040"	3.08333333333333	2.56	0.204427083333333
"PI 656041"	1.58	1.83	-0.136612021857923
"PI 656043"	2.67	3.58	-0.254189944134078
"PI 656044"	2.33666666666667	2.74	-0.147201946472019
"PI 656048"	2.01	2.36	-0.148305084745763
"PI 656049"	3.59333333333333	4.11	-0.125709651257097
"PI 656050"	2.01666666666667	2.29	-0.119359534206696
"PI 656051"	2.37333333333333	3.17	-0.251314405888538
"PI 656052"	2.44666666666667	1.69	0.447731755424063
"PI 656053"	1.66333333333333	2.54	-0.345144356955381
"PI 656055"	2.43333333333333	2.58	-0.0568475452196382
"PI 656056"	3.44	3.39	0.0147492625368731
"PI 656057"	3.61666666666667	2.74	0.319951338199513
"PI 656058"	1.96	1.96	0
"PI 656059"	2.80333333333333	2.58	0.08656330749354
"PI 656061"	3.05	3.78	-0.193121693121693
"PI 656068"	3.68	4.26	-0.136150234741784
"PI 656069"	4.16	4.12	0.00970873786407768
"PI 656070"	2.80666666666667	2.99	-0.0613154960981049
"PI 656071"	5.84333333333333	6.9	-0.153140096618357
"PI 656072"	3.10666666666667	5.47	-0.432053625837904
"PI 656074"	1.95333333333333	1.98	-0.0134680134680134
"PI 656075"	2.12	2.91	-0.271477663230241
"PI 656076"	3.05	2.56	0.19140625
"PI 656077"	1.87	2.2	-0.15
"PI 656078"	3.87333333333333	3.38	0.145956607495069
"PI 656079"	2.2	2.63	-0.163498098859315
"PI 656080"	1.41666666666667	1.46	-0.0296803652968036
