"SorghumAccessionYellow"	"RachisLength_HN"	"RachisLength_LN"	"NR_RachisLength"
"PI 17548"	18.28	17.83	0.0252383623107124
"PI 276837"	16.6233333333333	17	-0.022156862745098
"PI 329435"	21.1466666666667	18	0.174814814814815
"PI 329440"	20.3333333333333	22.57	-0.0990990990990992
"PI 34911"	17.74	18.67	-0.0498125334761651
"PI 48770"	31.17	32.5	-0.0409230769230769
"PI 533750"	30.1433333333333	26.6	0.133208020050125
"PI 533752"	28.18	20.77	0.356764564275397
"PI 533754"	22.1766666666667	18.97	0.169038833245475
"PI 533755"	20.5333333333333	17.77	0.155505533670981
"PI 533757"	17.2333333333333	17.9	-0.0372439478584729
"PI 533758"	17.9366666666667	15.5	0.157204301075269
"PI 533759"	21.4466666666667	21.97	-0.0238203610984676
"PI 533760"	12.565	12.93	-0.028228924980665
"PI 533761"	21.585	21.3	0.0133802816901409
"PI 533766"	30.0766666666667	28.7	0.0479674796747967
"PI 533769"	20.3	19.87	0.0216406643180674
"PI 533785"	39.1766666666667	40.1	-0.0230257689110557
"PI 533789"	30.365	26.07	0.164748753356348
"PI 533794"	21.8233333333333	18.73	0.165153941982559
"PI 533799"	17.31	14.83	0.167228590694538
"PI 533800"	20.0033333333333	16.33	0.224943866095122
"PI 533807"	14.98	14.33	0.0453593859036986
"PI 533810"	17.8	18.73	-0.0496529631607047
"PI 533814"	17.2766666666667	13.53	0.276915496427692
"PI 533821"	11.5433333333333	9.83	0.174296371651407
"PI 533824"	17.51	14.7	0.191156462585034
"PI 533830"	12.08	11.8	0.023728813559322
"PI 533833"	35.0333333333333	31.6	0.108649789029536
"PI 533841"	23.5666666666667	26.93	-0.124891694516648
"PI 533842"	16.5133333333333	18.85	-0.12396109637489
"PI 533852"	10.965	10.8	0.0152777777777777
"PI 533856"	17.6666666666667	19.4	-0.0893470790378006
"PI 533863"	23.9866666666667	23.47	0.022013918477489
"PI 533866"	28.68	28.9	-0.00761245674740481
"PI 533869"	20.065	19.87	0.00981378963261181
"PI 533901"	20.9366666666667	22.1	-0.0526395173453997
"PI 533902"	31.08	31.83	-0.0235626767200754
"PI 533903"	27.93	26.5	0.0539622641509434
"PI 533910"	22.55	23.73	-0.0497260851243154
"PI 533912"	18.28	18.3	-0.00109289617486336
"PI 533913"	13.32	11.47	0.161290322580645
"PI 533915"	23.0333333333333	23.67	-0.0268976200535136
"PI 533919"	33.42	29.27	0.141783395968569
"PI 533924"	18.71	19.27	-0.0290607161390762
"PI 533927"	23.29	22.73	0.0246370435547734
"PI 533936"	13.58	16.23	-0.163277880468269
"PI 533937"	21.7333333333333	22.37	-0.0284607361049024
"PI 533938"	21.82	18.03	0.210205213533
"PI 533939"	19.0633333333333	18	0.059074074074074
"PI 533940"	17.13	18.9	-0.0936507936507936
"PI 533943"	22.9733333333333	21.6	0.0635802469135801
"PI 533948"	22.4466666666667	21.83	0.0282485875706215
"PI 533949"	19.1666666666667	18.87	0.0157216039568981
"PI 533955"	24.9866666666667	16.7	0.49620758483034
"PI 533956"	21.1	15.77	0.337983512999366
"PI 533957"	4.72	4.8	-0.0166666666666667
"PI 533961"	9.3	16.7	-0.44311377245509
"PI 533962"	17.2633333333333	15.43	0.118816158997624
"PI 533964"	14.97	13.4	0.117164179104478
"PI 533965"	20.6766666666667	15.77	0.311139294018178
"PI 533967"	17.7766666666667	19.525	-0.0895433205292359
"PI 533972"	13.8566666666667	12.93	0.071667955658675
"PI 533976"	23.765	22.8	0.0423245614035088
"PI 533979"	18.15	18.53	-0.0205072854830007
"PI 533980"	23.0466666666667	23.6	-0.0234463276836159
"PI 533986"	24.8	23.2	0.0689655172413794
"PI 533987"	21.92	19.85	0.104282115869017
"PI 533991"	18.2833333333333	18.2	0.00457875457875451
"PI 533996"	20.51	18.485	0.109548282391128
"PI 533997"	8.17666666666667	9.17	-0.108324245728826
"PI 533998"	6.085	6.93	-0.121933621933622
"PI 534009"	22.0233333333333	19.97	0.102820898013687
"PI 534021"	20.49	20.1	0.0194029850746269
"PI 534037"	13.4766666666667	8.2	0.64349593495935
"PI 534047"	29.0333333333333	29.23	-0.00672824723457643
"PI 534053"	17.8433333333333	18.97	-0.0593920224916534
"PI 534054"	18.465	17.1	0.0798245614035087
"PI 534063"	30.6566666666667	32.07	-0.0440702629664276
"PI 534070"	33.8533333333333	31.95	0.0595722483046426
"PI 534097"	13.2666666666667	10.9	0.217125382262997
"PI 534099"	17.3333333333333	18.53	-0.0645799604245369
"PI 534104"	19.55	16.9	0.156804733727811
