"SorghumAccessionYellow"	"StemDiameterLower_HN"	"StemDiameterLower_LN"	"NR_StemDiameterLower"
"PI 17548"	18.59	17.58	0.0574516496018203
"PI 276837"	20.0166666666667	16.7	0.198602794411178
"PI 329435"	25.1166666666667	33.24	-0.244384275972724
"PI 329440"	22.22	18.955	0.172250065945661
"PI 34911"	30.0133333333333	33.19	-0.0957115597067388
"PI 48770"	29.76	23.45	0.26908315565032
"PI 533750"	22.53	25.46	-0.115082482325216
"PI 533752"	26.48	27.13	-0.023958717287136
"PI 533754"	22.6233333333333	20.71	0.0923869306293256
"PI 533755"	23.4433333333333	27.18	-0.13747853814079
"PI 533757"	25.0066666666667	25.185	-0.00708093441863548
"PI 533758"	23.79	22.01	0.0808723307587459
"PI 533759"	25.3566666666667	25.13	0.00901976389441556
"PI 533760"	22.915	19.92	0.15035140562249
"PI 533761"	27.855	26.015	0.0707284259081299
"PI 533766"	19.8666666666667	21.02	-0.0548683793212813
"PI 533769"	23.59	20.94	0.126552053486151
"PI 533776"	24.5466666666667	30.26	-0.188808107512668
"PI 533785"	22.5666666666667	22.585	-0.000811748210464221
"PI 533789"	29.22	31.22	-0.0640614990390775
"PI 533794"	24.2233333333333	21.995	0.101310903993332
"PI 533799"	24.0333333333333	19.845	0.211052322163433
"PI 533800"	23.7733333333333	28.555	-0.167454619739684
"PI 533807"	32.15	27.615	0.164222342929567
"PI 533810"	28.69	22.0133333333333	0.303301029678982
"PI 533814"	24.7933333333333	28.49	-0.12975312975313
"PI 533821"	24.8733333333333	25.735	-0.0334822874166181
"PI 533824"	24.5133333333333	21.4	0.145482866043614
"PI 533830"	22.59	27.61	-0.181818181818182
"PI 533833"	20.5233333333333	20.995	-0.0224656664285146
"PI 533838"	22.3666666666667	31.18	-0.282659824673936
"PI 533839"	19.0866666666667	17.84	0.069880418535127
"PI 533841"	20.7366666666667	23.06	-0.100751662330153
"PI 533842"	26.26	31.7	-0.171608832807571
"PI 533845"	23.0733333333333	20.09	0.148498423759748
"PI 533852"	26.36	25.45	0.0357563850687623
"PI 533856"	21.1933333333333	27.21	-0.221119686389808
"PI 533863"	22.91	20.155	0.136690647482014
"PI 533866"	26.12	23.09	0.131225638804677
"PI 533869"	19.705	18.38	0.0720892274211099
"PI 533876"	24.36	23.97	0.016270337922403
"PI 533878"	27.71	28.94	-0.0425017277125085
"PI 533901"	23.7366666666667	21.855	0.0860977655761459
"PI 533902"	27.7266666666667	27.11	0.0227468338866347
"PI 533903"	27.1233333333333	29.59	-0.0833614960009011
"PI 533910"	24.245	26.72	-0.0926272455089821
"PI 533911"	29.11	23.04	0.263454861111111
"PI 533912"	16.69	17.215	-0.0304966598896313
"PI 533913"	22.2166666666667	26.715	-0.168382307068439
"PI 533915"	21.2633333333333	21.2	0.00298742138364776
"PI 533919"	26.5233333333333	27.02	-0.0183814458425858
"PI 533921"	20.5466666666667	21.78	-0.056626874808693
"PI 533924"	29.6166666666667	28.89	0.0251528787354332
"PI 533927"	21.1166666666667	20.14	0.0484938761999338
"PI 533936"	22.615	22.995	-0.0165253315938245
"PI 533937"	25.6133333333333	22.97	0.115077637498186
"PI 533938"	20.1666666666667	20.33	-0.00803410395146731
"PI 533939"	18.9666666666667	18.77	0.0104777126620493
"PI 533940"	16.05	19.69	-0.184865413915693
"PI 533943"	29.1066666666667	27.235	0.0687228443791691
"PI 533948"	21.45	22.825	-0.0602409638554217
"PI 533949"	21.2966666666667	19.825	0.0742328709541825
"PI 533954"	18.53	17.76	0.0433558558558558
"PI 533955"	23.4533333333333	20.8	0.127564102564103
"PI 533956"	23.48	18.98	0.23709167544784
"PI 533957"	21.8666666666667	24.23	-0.0975374879625808
"PI 533961"	23.085	21.01	0.0987624940504523
"PI 533962"	24.3666666666667	22.02	0.106569785043899
"PI 533964"	27.29	32.925	-0.171146545178436
"PI 533965"	21.3766666666667	21.88	-0.0230042656916516
"PI 533967"	23.16	30.655	-0.244495188386886
"PI 533972"	20.6433333333333	27.125	-0.238955453149002
"PI 533976"	25	23.37	0.0697475395806591
"PI 533979"	18.725	17.905	0.0457972633342642
"PI 533980"	28.4766666666667	26.145	0.0891821253267037
"PI 533985"	21.1533333333333	21.21	-0.00267169574100275
"PI 533986"	21.28	26.505	-0.197132616487455
"PI 533987"	21.5	20.815	0.0329089598846986
"PI 533989"	25.4766666666667	28.47	-0.105139913359091
"PI 533991"	22.4933333333333	22.67	-0.00779297162182044
"PI 533996"	26.7033333333333	23.635	0.129821592271349
"PI 533997"	18.54	16.49	0.124317768344451
"PI 533998"	22.31	23.13	-0.0354517942066579
"PI 534009"	27.6133333333333	25.965	0.0634828936388728
"PI 534021"	23.8966666666667	22.715	0.0520214249027809
"PI 534037"	14.98	16.145	-0.0721585630226076
"PI 534046"	23.0233333333333	20.58	0.11872367994817
"PI 534047"	20.6433333333333	18.925	0.0907970057243507
"PI 534053"	20.2866666666667	27.4	-0.259610705596107
"PI 534054"	26.205	26.145	0.00229489386115887
"PI 534063"	15.76	14.75	0.0684745762711864
"PI 534070"	23.6233333333333	22.605	0.0450490304504904
"PI 534097"	24.0066666666667	24.49	-0.0197359466448891
"PI 534099"	22.4533333333333	24.2	-0.072176308539945
"PI 534101"	20.3733333333333	20.62	-0.0119624959586162
"PI 534104"	21.925	22.755	-0.0364754998901341
"PI 534105"	21.7	20.915	0.0375328711451112
"PI 534108"	22.97	23.65	-0.0287526427061311
"PI 534112"	20.2066666666667	23.54	-0.141602945341263
"PI 534114"	22.7733333333333	25.885	-0.120211190522181
"PI 534115"	22.0233333333333	20.565	0.0709133641299945
"PI 534116"	21.9333333333333	26.365	-0.168089006890448
"PI 534117"	23.4433333333333	22.565	0.0389245882266048
"PI 534123"	22.05	22.885	-0.0364867817347606
"PI 534124"	21.75	34.89	-0.376612209802236
"PI 534127"	17.3633333333333	20.425	-0.149898000815993
"PI 534128"	22.345	21.545	0.0371315850545369
"PI 534132"	23.6433333333333	22.82	0.0360794624598306
"PI 534133"	27.2	28.255	-0.0373385241550169
"PI 534135"	25.7266666666667	25.54	0.00730879665883584
"PI 534137"	20.8166666666667	25.22	-0.174596880782448
"PI 534138"	26.0533333333333	30.69	-0.151080699467796
"PI 534139"	16.425	15.27	0.075638506876228
"PI 534144"	19.4666666666667	20.58	-0.0540978296080337
"PI 534145"	18.01	17.875	0.00755244755244764
"PI 534148"	28.52	23.765	0.20008415737429
"PI 534155"	24.6166666666667	24.99	-0.0149393090569562
"PI 534157"	25.97	29.84	-0.129691689008043
"PI 534163"	28.59	31.53	-0.0932445290199809
"PI 542406"	15.97	15.485	0.0313206328705199
"PI 542718"	25.89	20.595	0.257101238164603
"PI 548797"	29.5766666666667	25.335	0.167423195842379
"PI 552861"	19.1466666666667	19.41	-0.0135668899192855
"PI 561072"	29.3866666666667	31.18	-0.0575155013897798
"PI 561073"	29.83	26.19	0.138984345169912
"PI 564163"	22.0749593495935	22.6937837837838	-0.0272684555421066
"PI 564164"	21.74	23.18	-0.0621225194132874
"PI 564165"	30.37	26.74	0.135751682872102
"PI 565121"	25.1	23.115	0.0858749729612805
"PI 574455"	33.12	34.095	-0.0285965684117906
"PI 576130"	19.6966666666667	19.085	0.0320496026547899
"PI 576332"	24.0266666666667	25.22	-0.0473169442241607
"PI 576333"	22.525	25.37	-0.112140323216397
"PI 576337"	19.7166666666667	17.58	0.121539628365567
"PI 576339"	21.7	20.58	0.054421768707483
"PI 576340"	22.0866666666667	23.49	-0.0597417340712361
"PI 576345"	22.3033333333333	28.02	-0.204020937425648
"PI 576347"	18.5066666666667	19.09	-0.0305570106513008
"PI 576348"	17.7033333333333	16.385	0.0804597701149427
"PI 576349"	17.945	20.5	-0.124634146341463
"PI 576350"	12.8233333333333	15.55	-0.17534833869239
"PI 576352"	23.86	23.81	0.00209995800084001
