"SorghumAccessionYellow"	"StemDiameterUpper_HN"	"StemDiameterUpper_LN"	"NR_StemDiameterUpper"
"PI 17548"	7.20333333333333	7.31	-0.014591883264934
"PI 276837"	8.68666666666667	7.74	0.122308354866494
"PI 329435"	11.62	14.23	-0.183415319747013
"PI 329440"	10.4033333333333	8.38	0.241447891805887
"PI 34911"	12.8633333333333	12.84	0.00181723779854622
"PI 48770"	13.77	10.59	0.30028328611898
"PI 533750"	10.4666666666667	12.635	-0.171613243635404
"PI 533752"	13.1166666666667	12.63	0.0385325943520719
"PI 533754"	9.62333333333333	9.65	-0.0027633851468049
"PI 533755"	8.69	9.49	-0.0842992623814541
"PI 533757"	11.4066666666667	10.32	0.105297157622739
"PI 533758"	11.54	9.8	0.177551020408163
"PI 533759"	11.2233333333333	10.95	0.0249619482496195
"PI 533760"	11.67	11.96	-0.0242474916387961
"PI 533761"	10.57	11.61	-0.0895779500430662
"PI 533766"	7.91	7.09	0.115655853314527
"PI 533769"	12.68	12.61	0.00555114988104681
"PI 533776"	14.56	16.08	-0.0945273631840795
"PI 533785"	10.2333333333333	9.735	0.0511898647491868
"PI 533789"	8.945	8.61	0.0389082462253195
"PI 533794"	11.46	9.495	0.20695102685624
"PI 533799"	10.48	9.54	0.09853249475891
"PI 533800"	9.89	10.48	-0.0562977099236641
"PI 533807"	12.17	10.52	0.156844106463878
"PI 533810"	13.25	10.51	0.260704091341579
"PI 533814"	11.6333333333333	13.78	-0.155781325592646
"PI 533821"	11.3466666666667	13.095	-0.133511518391243
"PI 533824"	10.6933333333333	10.05	0.0640132669983415
"PI 533830"	10.21	12.59	-0.189038919777601
"PI 533833"	8.26	7.93	0.0416141235813367
"PI 533838"	9.72666666666667	11.34	-0.142269253380365
"PI 533839"	7.00666666666667	7.46	-0.0607685433422699
"PI 533841"	8.70666666666667	9.83	-0.114276025771448
"PI 533842"	12.58	14.35	-0.123344947735192
"PI 533845"	10.1766666666667	9.67	0.0523957256118581
"PI 533852"	13.505	11.39	0.185689201053556
"PI 533856"	11.8433333333333	11.56	0.0245098039215686
"PI 533863"	9.89333333333333	9.175	0.0782924613987285
"PI 533866"	11.44	10.31	0.109602327837051
"PI 533869"	8.605	8.86	-0.0287810383747177
"PI 533876"	12.39	10.65	0.163380281690141
"PI 533878"	10.18	14.675	-0.306303236797274
"PI 533901"	10.3366666666667	9.63	0.0733817930079615
"PI 533902"	11.8533333333333	11.12	0.0659472422062349
"PI 533903"	13.1166666666667	15.28	-0.141579406631763
"PI 533910"	8.155	8.875	-0.0811267605633803
"PI 533911"	11.85	9.58	0.236951983298539
"PI 533912"	8.48	9.67	-0.12306101344364
"PI 533913"	9.75	10.225	-0.0464547677261613
"PI 533915"	11.57	9.9	0.168686868686869
"PI 533919"	13.9133333333333	12.335	0.12795568166464
"PI 533921"	10.9433333333333	10.37	0.0552876888460303
"PI 533924"	12.9033333333333	12.27	0.0516164085846237
"PI 533927"	9.14333333333333	11.11	-0.177017701770177
"PI 533936"	7.325	6.425	0.140077821011673
"PI 533937"	10.6766666666667	10.435	0.0231592397380611
"PI 533938"	9.89666666666667	8.9	0.111985018726592
"PI 533939"	11.5766666666667	11.12	0.0410671462829737
"PI 533940"	7.25	9.75	-0.256410256410256
"PI 533943"	14.4433333333333	14.46	-0.00115260488704478
"PI 533948"	10.7833333333333	11.07	-0.0258958145137007
"PI 533949"	9.31333333333333	8.735	0.0662087387903072
"PI 533954"	9.90333333333333	7.91	0.252001685630004
"PI 533955"	10.2166666666667	9.37	0.0903593027392386
"PI 533956"	10.58	9.145	0.156916347731001
"PI 533957"	8.31333333333333	10.55	-0.212006319115324
"PI 533961"	11.095	10.1	0.0985148514851482
"PI 533962"	10.4233333333333	8.7	0.19808429118774
"PI 533964"	10.705	11.245	-0.0480213428190308
"PI 533965"	9.97666666666667	8.29	0.20345798150382
"PI 533967"	9.15666666666667	10.48	-0.126272264631043
"PI 533972"	9.79	11.11	-0.118811881188119
"PI 533976"	12.88	10.34	0.245647969052224
"PI 533979"	9.535	8.575	0.111953352769679
"PI 533980"	11.09	10.38	0.0684007707129095
"PI 533985"	9.93333333333333	9.84	0.00948509485094855
"PI 533986"	10.7666666666667	11.08	-0.0282791817087847
"PI 533987"	10.5066666666667	9.675	0.0859603789836346
"PI 533989"	9.60333333333333	9.87	-0.0270178993583248
"PI 533991"	10.4433333333333	10.63	-0.017560363750392
"PI 533996"	12.9066666666667	11.29	0.143194567463832
"PI 533997"	11.5666666666667	9.89	0.169531513313111
"PI 533998"	8.475	7.895	0.0734642178594049
"PI 534009"	10.83	9.945	0.0889894419306184
"PI 534021"	10.45	8.785	0.189527603870233
"PI 534037"	8.89	8.375	0.0614925373134329
"PI 534046"	10.9166666666667	8.67	0.259131103421761
"PI 534047"	10.1	8.495	0.188934667451442
"PI 534053"	8.61666666666667	10.605	-0.187490177589187
"PI 534054"	11.16	11.44	-0.0244755244755246
"PI 534063"	8.74	8.2	0.0658536585365855
"PI 534070"	10.85	10.475	0.0357995226730309
"PI 534097"	8.08333333333333	8.215	-0.0160275918036112
"PI 534099"	11.42	10.005	0.141429285357321
"PI 534101"	10.3133333333333	8.49	0.214762465645858
"PI 534104"	11.08	11.035	0.00407793384685076
"PI 534105"	10.83	9.705	0.115919629057187
"PI 534108"	10.6333333333333	10.39	0.0234199550850175
"PI 534112"	9.91666666666667	9.855	0.00625739895146296
"PI 534114"	8.18333333333333	9.12	-0.102704678362573
"PI 534115"	12.7633333333333	11.995	0.0640544671390858
"PI 534116"	8.58666666666667	11.035	-0.221869808186075
"PI 534117"	12.4466666666667	11.49	0.0832608064984044
"PI 534123"	9.24666666666667	9.645	-0.0412994643165716
"PI 534124"	9.25	14.97	-0.382097528390114
"PI 534127"	7.98333333333333	7.82	0.0208866155157715
"PI 534128"	9.55	9.455	0.0100475938656796
"PI 534132"	13.1566666666667	12.08	0.0891280353200883
"PI 534133"	11.4733333333333	11.855	-0.0321945733164629
"PI 534135"	9.48	9.75	-0.0276923076923076
"PI 534137"	8.68333333333333	10.52	-0.174588086185044
"PI 534138"	10.7933333333333	11.79	-0.0845349165959853
"PI 534139"	6	4.79	0.252609603340292
"PI 534144"	10.93	10.02	0.0908183632734531
"PI 534145"	7.17333333333333	7.87	-0.0885218127911901
"PI 534148"	12.5733333333333	9.47	0.327701513551567
"PI 534155"	12.2833333333333	11.5	0.0681159420289855
"PI 534157"	10.1633333333333	11.885	-0.144860468377507
"PI 534163"	8.7	9.255	-0.059967585089141
"PI 542406"	6.82	6.79	0.00441826215022095
"PI 542718"	13.82	10.96	0.260948905109489
"PI 548797"	13.3966666666667	9.83	0.36283485927433
"PI 552861"	10.73	9.08	0.181718061674009
"PI 561072"	12.96	12.755	0.0160721285770286
"PI 561073"	12.5233333333333	10.94	0.144728823887873
"PI 564163"	10.1246341463415	9.62378378378378	0.0520429774619022
"PI 564164"	8.90333333333333	9.235	-0.0359140949287131
"PI 564165"	11.71	9.67	0.210961737331954
"PI 565121"	11.4033333333333	10.73	0.0627524075799937
"PI 574455"	11.7666666666667	11.215	0.0491900728191411
"PI 576130"	11.2866666666667	10.715	0.0533519987556386
"PI 576332"	9.68666666666667	9.91	-0.022536158762193
"PI 576333"	10.375	10.15	0.022167487684729
"PI 576337"	8.63666666666667	7.48	0.154634581105169
"PI 576339"	9.73333333333333	9.105	0.0690097016291416
"PI 576340"	8.79666666666667	9.565	-0.0803275832026485
"PI 576345"	10.6	11.16	-0.0501792114695341
"PI 576347"	7.50666666666667	7.84	-0.042517006802721
"PI 576348"	6.18	5.715	0.0813648293963254
"PI 576349"	6.41	6.19	0.0355411954765751
"PI 576350"	6.09333333333333	5.65	0.0784660766961652
"PI 576352"	10.07	10.98	-0.0828779599271403
"PI 576359"	9.55	9.46	0.00951374207188159
"PI 576364"	8.27	7.56	0.0939153439153439
"PI 576366"	10.58	10.38	0.0192678227360308
"PI 576373"	9.55	9.665	-0.0118986032074496
"PI 576375"	12.3166666666667	11.49	0.0719466202494924
"PI 576376"	12.3266666666667	13	-0.0517948717948718
