"SorghumAccessionYellow"	"ThirdLeafLength_HN"	"ThirdLeafLength_LN"	"NR_ThirdLeafLength"
"PI 276837"	59.2333333333333	48	0.234027777777778
"PI 329435"	70.9333333333333	64.3	0.103162260238466
"PI 329440"	67.7666666666667	63.1	0.0739566825145272
"PI 34911"	63.5333333333333	66.6	-0.046046046046046
"PI 48770"	68	69.3	-0.0187590187590187
"PI 533750"	65.3333333333333	58.3	0.120640365923385
"PI 533752"	64.3666666666667	68.2	-0.0562072336265886
"PI 533754"	57.6666666666667	53.5	0.0778816199376947
"PI 533755"	68.75	58.1	0.183304647160069
"PI 533757"	67.05	47.5	0.411578947368421
"PI 533758"	65.5	53.1	0.233521657250471
"PI 533759"	64.4666666666667	59.2	0.0889639639639639
"PI 533760"	57.1333333333333	51.5	0.109385113268608
"PI 533761"	78.25	77.1	0.0149156939040208
"PI 533766"	58	56.2	0.0320284697508896
"PI 533769"	69	63	0.0952380952380952
"PI 533785"	67.5333333333333	65.9	0.0247850278199291
"PI 533789"	75.5	66.8	0.130239520958084
"PI 533794"	71.25	58	0.228448275862069
"PI 533799"	71.3333333333333	48.5	0.470790378006873
"PI 533800"	70.5	74.7	-0.0562248995983936
"PI 533807"	81	71.1	0.139240506329114
"PI 533810"	69.45	72.7	-0.0447042640990371
"PI 533814"	59.5	54.2	0.0977859778597785
"PI 533821"	55.9333333333333	54.1	0.0338878619839802
"PI 533824"	57.3	60.9	-0.0591133004926109
"PI 533830"	54.8	47.1	0.16348195329087
"PI 533833"	50.3333333333333	62.1	-0.189479334406871
"PI 533841"	65.5666666666667	62.7	0.0457203615098351
"PI 533842"	63	60.2	0.0465116279069767
"PI 533852"	48.6	46.3	0.0496760259179267
"PI 533856"	73.4666666666667	73.5	-0.000453514739228999
"PI 533863"	61.4666666666667	47.2	0.30225988700565
"PI 533866"	78.75	74.6	0.0556300268096516
"PI 533869"	62.9	63.3	-0.00631911532385464
"PI 533878"	50	85	-0.411764705882353
"PI 533901"	63.5	67.8	-0.0634218289085545
"PI 533902"	73.3	73	0.00410958904109585
"PI 533903"	63.25	58.7	0.0775127768313458
"PI 533910"	65.85	70.6	-0.0672804532577904
"PI 533912"	45.5	53.2	-0.144736842105263
"PI 533913"	53.7666666666667	57.3	-0.0616637579988365
"PI 533915"	42.8333333333333	44.3	-0.0331075996990217
"PI 533919"	73.4	80.3	-0.0859277708592776
"PI 533924"	53.6666666666667	55.1	-0.0260133091349063
"PI 533936"	68	63	0.0793650793650794
"PI 533937"	60	53.4	0.123595505617978
"PI 533938"	61.2	62	-0.0129032258064517
"PI 533939"	47.2	47.3	-0.00211416490486246
"PI 533940"	52.0666666666667	42.2	0.233807266982622
"PI 533943"	51.1	55.3	-0.0759493670886075
"PI 533948"	64.3	62.7	0.0255183413078149
"PI 533949"	69	67.9	0.0162002945508099
"PI 533955"	64.1	53.1	0.207156308851224
"PI 533956"	59	58.6	0.00682593856655288
"PI 533957"	63.25	65.5	-0.0343511450381679
"PI 533961"	59.4	81.8	-0.273838630806846
"PI 533962"	59	59.2	-0.00337837837837843
"PI 533964"	61.5	54.3	0.132596685082873
"PI 533965"	74.25	62.2	0.193729903536977
