"SorghumAccessionYellow"	"ThirdLeafWidth_HN"	"ThirdLeafWidth_LN"	"NR_ThirdLeafWidth"
"PI 276837"	6.16666666666667	4.8	0.284722222222222
"PI 329435"	8.43333333333333	11.3	-0.253687315634218
"PI 329440"	5.76666666666667	7.9	-0.270042194092827
"PI 34911"	7.1	7.3	-0.0273972602739725
"PI 48770"	6.1	7.5	-0.186666666666667
"PI 533750"	6.1	6.6	-0.0757575757575758
"PI 533752"	8.76666666666667	10.4	-0.157051282051282
"PI 533754"	6.23333333333333	6	0.0388888888888889
"PI 533755"	6.15	6.8	-0.0955882352941176
"PI 533757"	9.35	8.9	0.0505617977528089
"PI 533758"	7.66666666666667	6.6	0.161616161616162
"PI 533759"	8.36666666666667	7.8	0.0726495726495727
"PI 533760"	6.5	8	-0.1875
"PI 533761"	9	8.5	0.0588235294117647
"PI 533766"	6.25	6	0.0416666666666667
"PI 533769"	7	8.2	-0.146341463414634
"PI 533785"	6.8	6.3	0.0793650793650794
"PI 533789"	7	8.4	-0.166666666666667
"PI 533794"	7.95	8.9	-0.106741573033708
"PI 533799"	7.66666666666667	7.7	-0.00432900432900431
"PI 533800"	7.6	8.8	-0.136363636363636
"PI 533807"	6.4	8.8	-0.272727272727273
"PI 533810"	8.9	9.4	-0.0531914893617021
"PI 533814"	7.3	6.5	0.123076923076923
"PI 533821"	7.53333333333333	7	0.0761904761904762
"PI 533824"	7.5	7.7	-0.025974025974026
"PI 533830"	5.55	6.4	-0.1328125
"PI 533833"	5.66666666666667	9.5	-0.403508771929825
"PI 533841"	7.86666666666667	8.7	-0.0957854406130268
"PI 533842"	6.5	11.1	-0.414414414414414
"PI 533852"	7.8	8.6	-0.0930232558139535
"PI 533856"	8.06666666666667	9.3	-0.132616487455197
"PI 533863"	5.93333333333333	6.4	-0.0729166666666667
"PI 533866"	7.95	7.7	0.0324675324675325
"PI 533869"	6.95	7.5	-0.0733333333333333
"PI 533878"	5	7.6	-0.342105263157895
"PI 533901"	7.45	7.5	-0.00666666666666664
"PI 533902"	7.3	8.2	-0.109756097560976
"PI 533903"	8.25	7.5	0.1
"PI 533910"	5.95	6.8	-0.125
"PI 533912"	5.5	7	-0.214285714285714
"PI 533913"	7.23333333333333	6.3	0.148148148148148
"PI 533915"	7.66666666666667	6.4	0.197916666666667
"PI 533919"	7.26666666666667	8.9	-0.183520599250936
"PI 533924"	7.9	8.1	-0.0246913580246914
"PI 533936"	6.5	7	-0.0714285714285714
"PI 533937"	6.56666666666667	10.1	-0.34983498349835
"PI 533938"	7.36666666666667	7.8	-0.0555555555555555
"PI 533939"	6.3	6.1	0.0327868852459017
"PI 533940"	5.6	6.3	-0.111111111111111
"PI 533943"	7.43333333333333	6.9	0.0772946859903381
"PI 533948"	6.6	7.9	-0.164556962025317
"PI 533949"	7.33333333333333	8.1	-0.0946502057613169
"PI 533955"	6.3	4.9	0.285714285714286
"PI 533956"	7.23333333333333	6.4	0.130208333333333
"PI 533957"	6.55	6	0.0916666666666666
"PI 533961"	7.3	8.3	-0.120481927710843
"PI 533962"	6.75	5.3	0.273584905660377
"PI 533964"	7	7	0
"PI 533965"	8.25	8.3	-0.00602409638554225
"PI 533970"	7.3	8	-0.0875
"PI 533972"	6.53333333333333	9	-0.274074074074074
"PI 533976"	7.9	9	-0.122222222222222
"PI 533979"	5.4	5.7	-0.0526315789473684
"PI 533980"	6.6	2.5	1.64
"PI 533986"	7.46666666666667	8.5	-0.12156862745098
"PI 533987"	7.53333333333333	6.3	0.195767195767196
"PI 533991"	6.9	7	-0.0142857142857142
"PI 533996"	6.36666666666667	6.5	-0.0205128205128204
"PI 533997"	6.7	5.9	0.135593220338983
"PI 534009"	6.03333333333333	3.5	0.723809523809524
"PI 534021"	7.03333333333333	7.4	-0.0495495495495496
"PI 534037"	5	4.9	0.020408163265306
"PI 534047"	5.5	6.6	-0.166666666666667
"PI 534053"	5.76666666666667	7.5	-0.231111111111111
"PI 534054"	6.8	7	-0.0285714285714286
"PI 534063"	5.1	5.8	-0.120689655172414
"PI 534097"	6	5.6	0.0714285714285715
"PI 534099"	6.96666666666667	5.9	0.180790960451977
"PI 534105"	7.36666666666667	6.5	0.133333333333333
"PI 534108"	7.36666666666667	7.6	-0.0307017543859648
"PI 534112"	6.83333333333333	8.8	-0.223484848484849
"PI 534114"	6.23333333333333	6	0.0388888888888889
"PI 534115"	7.5	8	-0.0625
"PI 534116"	6.8	7.1	-0.0422535211267605
