"SorghumAccessionYellow"	"TillersPerPlant_HN"	"TillersPerPlant_LN"	"NR_TillersPerPlant"
"PI 17548"	1.65333333333333	0.935	0.768270944741533
"PI 276837"	0.99	1.1	-0.1
"PI 329435"	0.433333333333333	0.435	-0.00383141762452116
"PI 329440"	1.87666666666667	0.935	1.00713012477718
"PI 34911"	2.99	2.1	0.423809523809524
"PI 48770"	1.1	1.1	0
"PI 533750"	0.543333333333333	0.265	1.0503144654088
"PI 533752"	0.766666666666667	0.435	0.762452107279693
"PI 533754"	1.21	0.1	11.1
"PI 533755"	0.876666666666667	0.435	1.01532567049808
"PI 533757"	0.323333333333333	0.435	-0.256704980842912
"PI 533758"	0.986666666666667	0.1	8.86666666666667
"PI 533759"	0.88	0.765	0.150326797385621
"PI 533760"	0.77	0.43	0.790697674418605
"PI 533761"	0.43	1.1	-0.609090909090909
"PI 533766"	1.99	2.265	-0.121412803532009
"PI 533769"	3.515	1.43	1.45804195804196
"PI 533776"	1.82333333333333	1.77	0.0301318267419963
"PI 533785"	0.656666666666667	1.265	-0.480895915678524
"PI 533789"	1.435	0.77	0.863636363636364
"PI 533794"	0.433333333333333	0.265	0.635220125786163
"PI 533799"	0.543333333333333	0.435	0.24904214559387
"PI 533800"	0.546666666666667	0.435	0.256704980842912
"PI 533807"	1.32	0.265	3.9811320754717
"PI 533810"	0.265	0.323333333333333	-0.180412371134021
"PI 533814"	1.21	0.435	1.7816091954023
"PI 533821"	0.766666666666667	0.1	6.66666666666667
"PI 533824"	0.32	0.43	-0.255813953488372
"PI 533830"	0.6	1.1	-0.454545454545455
"PI 533833"	1.76666666666667	0.77	1.29437229437229
"PI 533838"	0.656666666666667	3.6	-0.817592592592593
"PI 533839"	3.09666666666667	1.43	1.16550116550117
"PI 533841"	0.766666666666667	0.77	-0.00432900432900428
"PI 533842"	1.76666666666667	0.515	2.43042071197411
"PI 533845"	0.99	1.1	-0.1
"PI 533852"	0.435	0.433333333333333	0.00384615384615393
"PI 533856"	0.543333333333333	1.43	-0.62004662004662
"PI 533863"	2.54333333333333	1.1	1.31212121212121
"PI 533866"	0.99	1.1	-0.1
"PI 533869"	2.265	1.1	1.05909090909091
"PI 533876"	0.1	0.43	-0.767441860465116
"PI 533878"	0.43	2.6	-0.834615384615385
"PI 533901"	2.15666666666667	1.435	0.502903600464576
"PI 533902"	0.433333333333333	0.265	0.635220125786163
"PI 533903"	0.876666666666667	0.1	7.76666666666667
"PI 533910"	0.435	0.6	-0.275
"PI 533911"	0.656666666666667	0.43	0.527131782945736
"PI 533912"	1.6	0.935	0.711229946524064
"PI 533913"	0.433333333333333	1.1	-0.606060606060606
"PI 533915"	1.65666666666667	1.1	0.506060606060606
"PI 533919"	0.543333333333333	0.265	1.0503144654088
"PI 533921"	1.65666666666667	1.43	0.158508158508158
"PI 533924"	1.76666666666667	0.43	3.10852713178295
"PI 533927"	0.99	2.1	-0.528571428571429
"PI 533936"	0.77	0.6	0.283333333333333
"PI 533937"	0.21	0.1	1.1
"PI 533938"	1.1	0.1	10
"PI 533939"	1.32333333333333	0.43	2.07751937984496
"PI 533940"	0.876666666666667	0.765	0.145969498910675
"PI 533943"	0.21	0.1	1.1
"PI 533948"	0.656666666666667	0.1	5.56666666666667
"PI 533949"	0.653333333333333	0.265	1.46540880503145
"PI 533954"	0.1	0.1	0
"PI 533955"	0.32	2.1	-0.847619047619048
"PI 533956"	1.54333333333333	0.435	2.54789272030651
"PI 533957"	0.546666666666667	0.43	0.271317829457364
"PI 533961"	0.6	1.515	-0.603960396039604
"PI 533962"	2.43333333333333	1.435	0.695702671312427
"PI 533964"	0.6	1.43	-0.58041958041958
"PI 533965"	1.09666666666667	0.765	0.433551198257081
"PI 533967"	1.54333333333333	2.35	-0.343262411347518
"PI 533972"	0.433333333333333	0.6	-0.277777777777778
"PI 533976"	0.435	0.6	-0.275
"PI 533979"	0.43	0.435	-0.0114942528735632
"PI 533980"	0.543333333333333	0.435	0.24904214559387
"PI 533985"	1.21	1.43	-0.153846153846154
"PI 533986"	1.21	1.27	-0.0472440944881888
"PI 533987"	1.65333333333333	0.6	1.75555555555556
"PI 533989"	1.32333333333333	1.77	-0.252354048964218
"PI 533991"	0.32	0.77	-0.584415584415584
"PI 533996"	0.543333333333333	0.1	4.43333333333333
"PI 533997"	1.65666666666667	0.43	2.85271317829457
"PI 533998"	1.85	0.935	0.97860962566845
"PI 534009"	0.323333333333333	0.265	0.220125786163522
"PI 534021"	1.43333333333333	1.1	0.303030303030303
"PI 534037"	1.88	3.6	-0.477777777777778
"PI 534046"	1.54333333333333	2.43	-0.364883401920439
"PI 534047"	0.876666666666667	0.6	0.461111111111111
"PI 534053"	1.21333333333333	2.1	-0.422222222222222
"PI 534054"	0.6	0.1	5
"PI 534063"	1.21	0.6	1.01666666666667
"PI 534070"	1.65666666666667	0.935	0.771836007130125
"PI 534097"	0.766666666666667	0.93	-0.175627240143369
"PI 534099"	1.65666666666667	1.77	-0.064030131826742
"PI 534101"	0.433333333333333	0.1	3.33333333333333
"PI 534104"	0.6	1.265	-0.525691699604743
"PI 534105"	2.43333333333333	0.43	4.65891472868217
"PI 534108"	1.76666666666667	1.1	0.606060606060606
"PI 534112"	1.1	0.935	0.176470588235294
"PI 534114"	0.766666666666667	0.1	6.66666666666667
"PI 534115"	0.433333333333333	0.1	3.33333333333333
"PI 534116"	1.99	1.265	0.573122529644269
"PI 534117"	0.88	0.265	2.32075471698113
"PI 534123"	1.54333333333333	0.435	2.54789272030651
"PI 534124"	1.1	3.1	-0.645161290322581
"PI 534127"	0.433333333333333	0.6	-0.277777777777778
"PI 534128"	0.435	0.1	3.35
"PI 534132"	0.1	0.1	0
"PI 534133"	0.323333333333333	0.1	2.23333333333333
"PI 534135"	0.323333333333333	0.1	2.23333333333333
"PI 534137"	1.98666666666667	1.77	0.12241054613936
"PI 534138"	4.6	1.35	2.40740740740741
"PI 534139"	2.265	3.77	-0.39920424403183
"PI 534144"	0.32	0.6	-0.466666666666667
"PI 534145"	2.1	1.765	0.189801699716714
"PI 534148"	0.876666666666667	0.1	7.76666666666667
"PI 534155"	0.1	0.1	0
"PI 534157"	0.876666666666667	0.765	0.145969498910675
"PI 534163"	0.433333333333333	2.265	-0.808682855040471
"PI 542406"	6.1	2.765	1.20614828209765
"PI 542718"	2.1	0.1	20
"PI 548797"	0.99	0.935	0.0588235294117648
"PI 552861"	0.21	0.1	1.1
"PI 561072"	0.766666666666667	0.85	-0.0980392156862746
"PI 561073"	1.65666666666667	0.6	1.76111111111111
"PI 564163"	0.436585365853659	0.365135135135135	0.195681608925638
"PI 564164"	0.21	0.265	-0.207547169811321
"PI 564165"	0.43	0.1	3.3
"PI 565121"	0.77	0.1	6.7
"PI 574455"	0.433333333333333	0.765	-0.433551198257081
"PI 576130"	0.656666666666667	0.265	1.47798742138365
"PI 576332"	1.26666666666667	0.43	1.94573643410853
"PI 576333"	0.43	0.43	0
"PI 576337"	2.65333333333333	2.1	0.263492063492063
"PI 576339"	0.1	0.435	-0.770114942528736
"PI 576340"	0.21	0.1	1.1
"PI 576345"	0.323333333333333	0.77	-0.58008658008658
"PI 576347"	4.76666666666667	2.1	1.26984126984127
"PI 576348"	4.21333333333333	4.43	-0.0489089541008277
"PI 576349"	4.935	3.77	0.309018567639257
"PI 576350"	9.43333333333333	4.1	1.30081300813008
