"Taxa"	"StemDiameterUpper_HN"	"StemDiameterUpper_LN"	"NR_StemDiameterUpper"	"StemDiameterLower_HN"	"StemDiameterLower_LN"	"NR_StemDiameterLower"	"TillersPerPlant_HN"	"TillersPerPlant_LN"	"NR_TillersPerPlant"	"DaysToFlower_HN"	"DaysToFlower_LN"	"NR_DaysToFlower"	"PlantHeight_HN"	"PlantHeight_LN"	"NR_PlantHeight"
"1"	"PI152651"	6.43	6.97	-0.0774748923959829	12.95	13.19	-0.0181956027293404	2.435	1.435	0.696864111498258	55	59.5	-0.0756302521008403	1.37	1.345	0.0185873605947955
"2"	"PI17548"	6.705	7.22	-0.0713296398891967	16.835	17.685	-0.0480633305060787	0.6	1.1	-0.454545454545455	63.5	64	-0.0078125	2.46	2.405	0.0228690228690227
"3"	"PI24969"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"PI276837"	9.705	7.25	0.338620689655172	18.285	17.045	0.07274860662951	0.765	0.265	1.88679245283019	85	91.5	-0.0710382513661202	2.735	2.555	0.0704500978473584
"5"	"PI329435"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"PI329440"	7.85	8.565	-0.0834792761237597	15.82	16.805	-0.0586135078845581	0.6	0.265	1.26415094339623	67	66	0.0151515151515152	0.575	0.625	-0.0800000000000001
"7"	"PI34911"	10.025	8.15	0.230061349693252	19.77	17.735	0.114744854806879	1.765	1.765	0	72	76	-0.0526315789473684	1.535	1.48	0.0371621621621621
"8"	"PI35038"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"PI48770"	10.745	11.18	-0.0389087656529516	23.59	24.165	-0.0237947444651355	1.435	0.1	13.35	71	79	-0.10126582278481	1.48	1.23	0.203252032520325
"10"	"PI533750"	11.765	9.34	0.259635974304069	24.755	16.54	0.496674727932285	0.1	0.1	0	65.5	66	-0.00757575757575758	0.67	0.58	0.155172413793103
"11"	"PI533752"	10.945	10.305	0.062105773896167	23.715	23.475	0.0102236421725239	0.77	0.1	6.7	66	69	-0.0434782608695652	0.895	0.98	-0.086734693877551
"12"	"PI533754"	7.95	8.535	-0.0685413005272408	17.87	19.475	-0.082413350449294	0.765	0.435	0.758620689655172	64	63	0.0158730158730159	1.11	1.1	0.0090909090909089
"13"	"PI533755"	10.33	8.415	0.22756981580511	24.005	23.77	0.00988641144299535	0.265	0.435	-0.390804597701149	74.5	74	0.00675675675675676	0.73	0.825	-0.115151515151515
"14"	"PI533757"	9.595	7.785	0.232498394348105	18.87	18.78	0.00479233226837041	0.1	0.1	0	67	73.5	-0.0884353741496599	0.76	0.78	-0.0256410256410257
"15"	"PI533758"	10.53	9.885	0.0652503793626708	19.25	18.715	0.0285866951643067	0.935	1.1	-0.15	65.5	67.5	-0.0296296296296296	0.91	0.88	0.034090909090909
"16"	"PI533759"	10.13	6.975	0.452329749103943	21.03	15.56	0.351542416452442	0.77	0.1	6.7	64	68.5	-0.0656934306569343	0.59	0.565	0.0442477876106195
"17"	"PI533760"	10.975	10.435	0.0517489218974607	21.22	19.99	0.0615307653826912	0.1	0.1	0	66	70	-0.0571428571428571	0.62	0.705	-0.120567375886525
"18"	"PI533761"	9.075	8.31	0.0920577617328521	20.735	19.085	0.0864553314121037	0.1	0.1	0	75.5	82	-0.0792682926829268	1.32	1.055	0.251184834123223
"19"	"PI533762"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"PI533766"	6.895	7.07	-0.0247524752475249	17.3	17.22	0.00464576074332183	0.77	0.435	0.770114942528735	63.5	63	0.00793650793650794	0.76	0.81	-0.0617283950617284
"21"	"PI533769"	8.75	9.42	-0.0711252653927813	16.83	17.855	-0.0574068888266593	1.6	0.77	1.07792207792208	58.5	60.5	-0.0330578512396694	0.525	0.535	-0.0186915887850467
"22"	"PI533776"	11.33	11.625	-0.0253763440860215	17.8	17.84	-0.00224215246636786	0.6	0.765	-0.215686274509804	64	69	-0.072463768115942	1.31	1.315	-0.00380228136882121
"23"	"PI533785"	9.095	8.82	0.0311791383219955	19.825	20.52	-0.033869395711501	0.435	1.1	-0.604545454545454	67.5	67	0.00746268656716418	0.84	0.8	0.0499999999999999
"24"	"PI533788"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"PI533789"	7.63	6.6	0.156060606060606	22.035	21.25	0.0369411764705882	0.265	0.265	0	71	78	-0.0897435897435897	0.71	0.735	-0.0340136054421769
"26"	"PI533792"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"PI533794"	9.585	9.24	0.0373376623376624	19.585	18.06	0.0844407530454043	0.1	0.1	0	66	69	-0.0434782608695652	0.775	0.725	0.0689655172413794
"28"	"PI533799"	9.905	7.385	0.341232227488152	18.98	15.835	0.198610672560783	0.1	0.1	0	67	73.5	-0.0884353741496599	0.745	0.66	0.128787878787879
"29"	"PI533800"	8.41	9.55	-0.119371727748691	19.65	18.61	0.0558839333691563	0.1	0.1	0	71	72.5	-0.0206896551724138	1.13	1.12	0.00892857142857124
"30"	"PI533807"	11.4	10.37	0.0993249758919961	26.28	26.895	-0.022866703848299	1.43	0.265	4.39622641509434	69	74.5	-0.0738255033557047	1.03	0.995	0.035175879396985
"31"	"PI533810"	11.135	8.515	0.307692307692308	22.4	18.035	0.242029387302467	0.1	0.1	0	77	88.5	-0.129943502824859	0.69	0.58	0.189655172413793
"32"	"PI533814"	11.945	9.8	0.218877551020408	22.545	18.85	0.196021220159151	0.265	0.1	1.65	79	85	-0.0705882352941176	0.64	0.605	0.0578512396694214
"33"	"PI533821"	13.875	14.71	-0.056764106050306	26.61	27.945	-0.0477724100912507	0.1	0.1	0	67	70.5	-0.049645390070922	0.745	0.745	0
"34"	"PI533822"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"PI533824"	12.4	11.24	0.103202846975089	26.065	24.77	0.0522809850625756	0.1	0.1	0	77	77	0	0.75	0.71	0.0563380281690141
"36"	"PI533830"	10.195	9.735	0.0472521828454033	20.64	19.405	0.0636433908786395	0.93	0.1	8.3	62.5	64	-0.0234375	0.62	0.57	0.0877192982456139
"37"	"PI533831"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"PI533833"	6.785	6.535	0.0382555470543229	16.795	17.335	-0.031150850879723	0.765	0.77	-0.0064935064935065	67	66.5	0.0075187969924812	0.875	0.765	0.143790849673203
"39"	"PI533838"	8.31	8.025	0.0355140186915886	17.025	17.86	-0.0467525195968646	0.765	0.1	6.65	55.5	58.5	-0.0512820512820513	0.82	0.86	-0.0465116279069767
"40"	"PI533839"	5.26	6.915	-0.239334779464931	15.06	15.425	-0.0236628849270665	1.43	2.265	-0.368653421633554	71	70	0.0142857142857143	1.12	1.195	-0.0627615062761504
"41"	"PI533841"	9.13	7.435	0.227975790181573	19.055	19.305	-0.012950012950013	0.765	0.265	1.88679245283019	70.5	78	-0.0961538461538462	0.765	0.75	0.02
"42"	"PI533842"	11.9	12.295	-0.0321268808458723	21.135	24.66	-0.14294403892944	0.1	0.265	-0.622641509433962	81	81	0	0.765	0.795	-0.0377358490566037
"43"	"PI533843"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"PI533845"	9.405	8.585	0.0955154338963308	21.715	18.035	0.204047685056834	1.265	1.265	0	69.5	72.5	-0.0413793103448276	0.75	0.755	-0.0066225165562914
"45"	"PI533852"	10.505	11.315	-0.0715863897481222	24.225	21.27	0.138928067700987	0.265	0.1	1.65	73	75.5	-0.033112582781457	0.795	0.765	0.0392156862745097
"46"	"PI533855"	7.26	7.645	-0.0503597122302158	17.94	19.495	-0.0797640420620674	1.27	0.765	0.660130718954248	70	71	-0.0140845070422535	1.735	1.465	0.184300341296928
"47"	"PI533856"	10.385	9.17	0.132497273718648	20.305	19.245	0.0550792413613927	0.1	0.265	-0.622641509433962	82.5	87	-0.0517241379310345	0.945	0.8	0.18125
"48"	"PI533863"	8.875	8.225	0.0790273556231004	20.59	19.6	0.0505102040816326	1.77	1.1	0.609090909090909	71	71.5	-0.00699300699300699	1.27	1.435	-0.114982578397213
"49"	"PI533866"	10.94	9.53	0.147953830010493	24.02	19.225	0.249414824447334	1.435	0.6	1.39166666666667	61.5	62	-0.00806451612903226	1.055	0.855	0.233918128654971
"50"	"PI533869"	7.495	7.2	0.0409722222222222	16.605	17.655	-0.0594732370433305	2.1	1.6	0.3125	70.5	75	-0.06	1.36	1.03	0.320388349514563
"51"	"PI533871"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	"PI533876"	10.78	9.31	0.157894736842106	22.025	17.84	0.234585201793722	0.265	0.1	1.65	55	60	-0.0833333333333333	3.33	2.74	0.215328467153285
"53"	"PI533877"	9.8	8.49	0.154299175500589	17.875	15.975	0.118935837245696	0.765	0.935	-0.181818181818182	61.5	62.5	-0.016	0.745	0.68	0.0955882352941177
"54"	"PI533878"	13.165	13.64	-0.0348240469208212	20.51	21.7	-0.0548387096774194	0.1	0.1	0	70	83.5	-0.161676646706587	1.02	0.995	0.0251256281407035
"55"	"PI533882"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"PI533901"	7.73	7.63	0.0131061598951508	14.95	18.055	-0.171974522292994	1.1	0.6	0.833333333333334	68.5	69	-0.0072463768115942	0.84	0.85	-0.0117647058823528
"57"	"PI533902"	12.375	8.335	0.484703059388122	28.315	20.075	0.410460772104607	0.1	0.1	0	74.5	83.5	-0.107784431137725	0.665	0.64	0.0390625000000002
"58"	"PI533903"	10.95	9.855	0.111111111111111	22.65	21.315	0.0626319493314568	0.1	0.1	0	68.5	73.5	-0.0680272108843537	0.945	0.82	0.152439024390244
"59"	"PI533910"	8.285	6.6	0.25530303030303	23.51	19.49	0.206259620318112	0.1	0.1	0	69.5	65.5	0.0610687022900763	1.03	0.69	0.492753623188406
"60"	"PI533911"	9.51	7.785	0.221579961464354	23.605	20.005	0.179955011247188	0.1	0.43	-0.767441860465116	65	68	-0.0441176470588235	0.72	0.67	0.0746268656716419
"61"	"PI533912"	9.05	7.98	0.134085213032582	15.23	13.345	0.141251405020607	0.6	0.765	-0.215686274509804	50	50.5	-0.0099009900990099	1.21	1.045	0.157894736842105
"62"	"PI533913"	7.995	7.795	0.0256574727389351	18.43	20.215	-0.0883007667573584	0.6	0.765	-0.215686274509804	64	73	-0.123287671232877	0.72	0.8	-0.1
"63"	"PI533915"	9.725	8.45	0.150887573964497	18.17	17.825	0.0193548387096774	1.1	0.265	3.15094339622642	62	65.5	-0.0534351145038168	1.375	1.18	0.165254237288135
"64"	"PI533919"	12.26	12.7	-0.0346456692913385	23.19	23.29	-0.00429368827823106	0.1	0.1	0	66.5	67.5	-0.0148148148148148	0.7	0.685	0.021897810218978
"65"	"PI533921"	10.53	11.01	-0.0435967302452315	17.71	18.64	-0.0498927038626609	2.1	2.6	-0.192307692307692	66.5	67.5	-0.0148148148148148	0.975	1.1	-0.113636363636364
