"PINumber"	"DaysToFlower_HN"	"DaysToFlower_LN"	"NR_DaysToFlower"
"PI 152651"	55	59.5	-0.0756302521008403
"PI 17548"	63.5	64	-0.0078125
"PI 276837"	85	91.5	-0.0710382513661202
"PI 329440"	67	66	0.0151515151515152
"PI 34911"	72	76	-0.0526315789473684
"PI 48770"	71	79	-0.10126582278481
"PI 533750"	65.5	66	-0.00757575757575758
"PI 533752"	66	69	-0.0434782608695652
"PI 533754"	64	63	0.0158730158730159
"PI 533755"	74.5	74	0.00675675675675676
"PI 533757"	67	73.5	-0.0884353741496599
"PI 533758"	65.5	67.5	-0.0296296296296296
"PI 533759"	64	68.5	-0.0656934306569343
"PI 533760"	66	70	-0.0571428571428571
"PI 533761"	75.5	82	-0.0792682926829268
"PI 533766"	63.5	63	0.00793650793650794
"PI 533769"	58.5	60.5	-0.0330578512396694
"PI 533776"	64	69	-0.072463768115942
"PI 533785"	67.5	67	0.00746268656716418
"PI 533789"	71	78	-0.0897435897435897
"PI 533794"	66	69	-0.0434782608695652
"PI 533799"	67	73.5	-0.0884353741496599
"PI 533800"	71	72.5	-0.0206896551724138
"PI 533807"	69	74.5	-0.0738255033557047
"PI 533810"	77	88.5	-0.129943502824859
"PI 533814"	79	85	-0.0705882352941176
"PI 533821"	67	70.5	-0.049645390070922
"PI 533824"	77	77	0
"PI 533830"	62.5	64	-0.0234375
"PI 533833"	67	66.5	0.0075187969924812
"PI 533838"	55.5	58.5	-0.0512820512820513
"PI 533839"	71	70	0.0142857142857143
"PI 533841"	70.5	78	-0.0961538461538462
"PI 533842"	81	81	0
"PI 533845"	69.5	72.5	-0.0413793103448276
"PI 533852"	73	75.5	-0.033112582781457
"PI 533855"	70	71	-0.0140845070422535
"PI 533856"	82.5	87	-0.0517241379310345
"PI 533863"	71	71.5	-0.00699300699300699
"PI 533866"	61.5	62	-0.00806451612903226
"PI 533869"	70.5	75	-0.06
"PI 533876"	55	60	-0.0833333333333333
"PI 533877"	61.5	62.5	-0.016
"PI 533878"	70	83.5	-0.161676646706587
"PI 533901"	68.5	69	-0.0072463768115942
"PI 533902"	74.5	83.5	-0.107784431137725
"PI 533903"	68.5	73.5	-0.0680272108843537
"PI 533910"	69.5	65.5	0.0610687022900763
"PI 533911"	65	68	-0.0441176470588235
"PI 533912"	50	50.5	-0.0099009900990099
"PI 533913"	64	73	-0.123287671232877
"PI 533915"	62	65.5	-0.0534351145038168
"PI 533919"	66.5	67.5	-0.0148148148148148
"PI 533921"	66.5	67.5	-0.0148148148148148
"PI 533924"	66	82	-0.195121951219512
"PI 533927"	72	77	-0.0649350649350649
"PI 533936"	66.5	69.5	-0.0431654676258993
"PI 533937"	62	68.5	-0.0948905109489051
"PI 533938"	61.5	63	-0.0238095238095238
"PI 533939"	64	72	-0.111111111111111
"PI 533940"	66.5	66.5	0
"PI 533943"	71	73	-0.0273972602739726
"PI 533948"	72	66	0.0909090909090909
"PI 533949"	57.5	61.5	-0.0650406504065041
"PI 533954"	63	61.5	0.024390243902439
"PI 533955"	67	71	-0.0563380281690141
"PI 533956"	65	68	-0.0441176470588235
"PI 533957"	63.5	66	-0.0378787878787879
"PI 533961"	63.5	64.5	-0.0155038759689922
"PI 533962"	66.5	74	-0.101351351351351
"PI 533964"	70.5	75.5	-0.0662251655629139
"PI 533965"	68	78	-0.128205128205128
"PI 533967"	79	80	-0.0125
"PI 533970"	68.5	68	0.00735294117647059
"PI 533972"	74	75.5	-0.0198675496688742
"PI 533976"	65	65.5	-0.00763358778625954
"PI 533979"	60.5	63	-0.0396825396825397
"PI 533980"	74.5	78.5	-0.0509554140127389
"PI 533985"	65	71.5	-0.0909090909090909
"PI 533986"	65.5	64	0.0234375
"PI 533987"	58	59.5	-0.0252100840336134
"PI 533989"	68	76	-0.105263157894737
"PI 533991"	66	67	-0.0149253731343284
"PI 533996"	64.5	65	-0.00769230769230769
"PI 533997"	65.5	65	0.00769230769230769
"PI 533998"	72	73.5	-0.0204081632653061
"PI 534009"	86	82	0.048780487804878
"PI 534021"	87.5	90.5	-0.0331491712707182
"PI 534037"	64	67	-0.0447761194029851
"PI 534046"	63.5	65.5	-0.0305343511450382
"PI 534047"	53.5	71.5	-0.251748251748252
"PI 534053"	72.5	77	-0.0584415584415584
"PI 534054"	76	81	-0.0617283950617284
"PI 534070"	60.5	62.5	-0.032
"PI 534096"	73.5	68	0.0808823529411765
"PI 534097"	66.5	69	-0.036231884057971
"PI 534099"	64	68	-0.0588235294117647
"PI 534101"	67.5	67	0.00746268656716418
"PI 534104"	65.5	68	-0.0367647058823529
"PI 534105"	66	67	-0.0149253731343284
"PI 534108"	67	72.5	-0.0758620689655172
"PI 534112"	67.5	72	-0.0625
"PI 534114"	69	70.5	-0.0212765957446809
"PI 534115"	64	70.5	-0.0921985815602837
"PI 534116"	66	67	-0.0149253731343284
"PI 534117"	62.5	63.5	-0.015748031496063
"PI 534123"	63.5	65	-0.0230769230769231
"PI 534124"	65.5	69.5	-0.0575539568345324
"PI 534127"	69	72	-0.0416666666666667
"PI 534128"	72	73.5	-0.0204081632653061
"PI 534132"	67.5	74	-0.0878378378378378
"PI 534133"	72.5	76.5	-0.0522875816993464
"PI 534135"	76	91	-0.164835164835165
"PI 534137"	72.5	70.5	0.0283687943262411
"PI 534139"	59.5	72	-0.173611111111111
"PI 534144"	70	71	-0.0140845070422535
"PI 534145"	58.5	61	-0.040983606557377
"PI 534148"	67	69.5	-0.0359712230215827
"PI 534155"	75.5	80.5	-0.062111801242236
"PI 534157"	71	76	-0.0657894736842105
"PI 534163"	70	73.5	-0.0476190476190476
"PI 542406"	78.5	77.5	0.0129032258064516
"PI 542718"	63	66	-0.0454545454545455
"PI 548797"	69	73.5	-0.0612244897959184
"PI 552861"	66	66	0
"PI 561072"	71	69	0.0289855072463768
"PI 561073"	78	84	-0.0714285714285714
"PI 561472"	75.5	82	-0.0792682926829268
"PI 564163"	64.7378640776699	68.9764705882353	-0.0614500346918059
"PI 564164"	74	77	-0.038961038961039
"PI 564165"	78	81	-0.037037037037037
"PI 565121"	66	69.5	-0.0503597122302158
"PI 574455"	72	80	-0.1
"PI 576130"	77	79.5	-0.0314465408805031
"PI 576332"	58	59	-0.0169491525423729
"PI 576333"	68.5	72	-0.0486111111111111
"PI 576337"	64	67	-0.0447761194029851
"PI 576339"	64	65.5	-0.0229007633587786
"PI 576340"	70	77	-0.0909090909090909
"PI 576345"	69.5	71.5	-0.027972027972028
"PI 576347"	54	58.5	-0.0769230769230769
"PI 576348"	66	70	-0.0571428571428571
"PI 576349"	65	65	0
"PI 576352"	69	71	-0.028169014084507
"PI 576359"	76.5	74	0.0337837837837838
"PI 576364"	62	68	-0.0882352941176471
"PI 576366"	60	63	-0.0476190476190476
"PI 576373"	67.5	72.5	-0.0689655172413793
"PI 576375"	68	67.5	0.00740740740740741
"PI 576376"	67	74	-0.0945945945945946
"PI 576380"	71	69	0.0289855072463768
