"PINumber"	"StemDiameterLower_HN"	"StemDiameterLower_LN"	"NR_StemDiameterLower"
"PI 152651"	12.95	13.19	-0.0181956027293404
"PI 17548"	16.835	17.685	-0.0480633305060787
"PI 276837"	18.285	17.045	0.07274860662951
"PI 329440"	15.82	16.805	-0.0586135078845581
"PI 34911"	19.77	17.735	0.114744854806879
"PI 48770"	23.59	24.165	-0.0237947444651355
"PI 533750"	24.755	16.54	0.496674727932285
"PI 533752"	23.715	23.475	0.0102236421725239
"PI 533754"	17.87	19.475	-0.082413350449294
"PI 533755"	24.005	23.77	0.00988641144299535
"PI 533757"	18.87	18.78	0.00479233226837041
"PI 533758"	19.25	18.715	0.0285866951643067
"PI 533759"	21.03	15.56	0.351542416452442
"PI 533760"	21.22	19.99	0.0615307653826912
"PI 533761"	20.735	19.085	0.0864553314121037
"PI 533766"	17.3	17.22	0.00464576074332183
"PI 533769"	16.83	17.855	-0.0574068888266593
"PI 533776"	17.8	17.84	-0.00224215246636786
"PI 533785"	19.825	20.52	-0.033869395711501
"PI 533789"	22.035	21.25	0.0369411764705882
"PI 533794"	19.585	18.06	0.0844407530454043
"PI 533799"	18.98	15.835	0.198610672560783
"PI 533800"	19.65	18.61	0.0558839333691563
"PI 533807"	26.28	26.895	-0.022866703848299
"PI 533810"	22.4	18.035	0.242029387302467
"PI 533814"	22.545	18.85	0.196021220159151
"PI 533821"	26.61	27.945	-0.0477724100912507
"PI 533824"	26.065	24.77	0.0522809850625756
"PI 533830"	20.64	19.405	0.0636433908786395
"PI 533833"	16.795	17.335	-0.031150850879723
"PI 533838"	17.025	17.86	-0.0467525195968646
"PI 533839"	15.06	15.425	-0.0236628849270665
"PI 533841"	19.055	19.305	-0.012950012950013
"PI 533842"	21.135	24.66	-0.14294403892944
"PI 533845"	21.715	18.035	0.204047685056834
"PI 533852"	24.225	21.27	0.138928067700987
"PI 533855"	17.94	19.495	-0.0797640420620674
"PI 533856"	20.305	19.245	0.0550792413613927
"PI 533863"	20.59	19.6	0.0505102040816326
"PI 533866"	24.02	19.225	0.249414824447334
"PI 533869"	16.605	17.655	-0.0594732370433305
"PI 533876"	22.025	17.84	0.234585201793722
"PI 533877"	17.875	15.975	0.118935837245696
"PI 533878"	20.51	21.7	-0.0548387096774194
"PI 533901"	14.95	18.055	-0.171974522292994
"PI 533902"	28.315	20.075	0.410460772104607
"PI 533903"	22.65	21.315	0.0626319493314568
"PI 533910"	23.51	19.49	0.206259620318112
"PI 533911"	23.605	20.005	0.179955011247188
"PI 533912"	15.23	13.345	0.141251405020607
"PI 533913"	18.43	20.215	-0.0883007667573584
"PI 533915"	18.17	17.825	0.0193548387096774
"PI 533919"	23.19	23.29	-0.00429368827823106
"PI 533921"	17.71	18.64	-0.0498927038626609
"PI 533924"	19.055	20.01	-0.0477261369315342
"PI 533927"	18.05	18.105	-0.00303783485225074
"PI 533936"	19.47	17.88	0.0889261744966443
"PI 533937"	20.815	21.81	-0.0456212746446586
"PI 533938"	17.15	14.725	0.164685908319185
"PI 533939"	17.495	17.305	0.0109794856977753
"PI 533940"	19.12	16.395	0.166209210125038
"PI 533943"	25.89	22.63	0.144056562085727
"PI 533948"	20.065	19.025	0.0546649145860709
"PI 533949"	18.92	17.16	0.102564102564103
"PI 533954"	15.135	16.435	-0.0790994828110739
"PI 533955"	19.72	17.8	0.107865168539326
"PI 533956"	17.95	16.26	0.103936039360394
"PI 533957"	19.095	17.69	0.0794234030525719
"PI 533962"	16.035	14	0.145357142857143
"PI 533964"	25.33	21.26	0.191439322671684
"PI 533965"	17.615	15.9	0.107861635220126
"PI 533967"	21.845	17.54	0.245438996579247
"PI 533970"	21.86	22.255	-0.0177488204897777
"PI 533976"	19.31	20.155	-0.041925080625155
"PI 533979"	16.82	15.28	0.100785340314136
"PI 533980"	22.46	19.365	0.159824425509941
"PI 533985"	22.12	18.055	0.225145389088895
"PI 533986"	18.945	19.815	-0.0439061317183952
"PI 533987"	19.845	20.255	-0.0202419155764009
