"PINumber"	"StemDiameterUpper_HN"	"StemDiameterUpper_LN"	"NR_StemDiameterUpper"
"PI 152651"	6.43	6.97	-0.0774748923959829
"PI 17548"	6.705	7.22	-0.0713296398891967
"PI 276837"	9.705	7.25	0.338620689655172
"PI 329440"	7.85	8.565	-0.0834792761237597
"PI 34911"	10.025	8.15	0.230061349693252
"PI 48770"	10.745	11.18	-0.0389087656529516
"PI 533750"	11.765	9.34	0.259635974304069
"PI 533752"	10.945	10.305	0.062105773896167
"PI 533754"	7.95	8.535	-0.0685413005272408
"PI 533755"	10.33	8.415	0.22756981580511
"PI 533757"	9.595	7.785	0.232498394348105
"PI 533758"	10.53	9.885	0.0652503793626708
"PI 533759"	10.13	6.975	0.452329749103943
"PI 533760"	10.975	10.435	0.0517489218974607
"PI 533761"	9.075	8.31	0.0920577617328521
"PI 533766"	6.895	7.07	-0.0247524752475249
"PI 533769"	8.75	9.42	-0.0711252653927813
"PI 533776"	11.33	11.625	-0.0253763440860215
"PI 533785"	9.095	8.82	0.0311791383219955
"PI 533789"	7.63	6.6	0.156060606060606
"PI 533794"	9.585	9.24	0.0373376623376624
"PI 533799"	9.905	7.385	0.341232227488152
"PI 533800"	8.41	9.55	-0.119371727748691
"PI 533807"	11.4	10.37	0.0993249758919961
"PI 533810"	11.135	8.515	0.307692307692308
"PI 533814"	11.945	9.8	0.218877551020408
"PI 533821"	13.875	14.71	-0.056764106050306
"PI 533824"	12.4	11.24	0.103202846975089
"PI 533830"	10.195	9.735	0.0472521828454033
"PI 533833"	6.785	6.535	0.0382555470543229
"PI 533838"	8.31	8.025	0.0355140186915886
"PI 533839"	5.26	6.915	-0.239334779464931
"PI 533841"	9.13	7.435	0.227975790181573
"PI 533842"	11.9	12.295	-0.0321268808458723
"PI 533845"	9.405	8.585	0.0955154338963308
"PI 533852"	10.505	11.315	-0.0715863897481222
"PI 533855"	7.26	7.645	-0.0503597122302158
"PI 533856"	10.385	9.17	0.132497273718648
"PI 533863"	8.875	8.225	0.0790273556231004
"PI 533866"	10.94	9.53	0.147953830010493
"PI 533869"	7.495	7.2	0.0409722222222222
"PI 533876"	10.78	9.31	0.157894736842106
"PI 533877"	9.8	8.49	0.154299175500589
"PI 533878"	13.165	13.64	-0.0348240469208212
"PI 533901"	7.73	7.63	0.0131061598951508
"PI 533902"	12.375	8.335	0.484703059388122
"PI 533903"	10.95	9.855	0.111111111111111
"PI 533910"	8.285	6.6	0.25530303030303
"PI 533911"	9.51	7.785	0.221579961464354
"PI 533912"	9.05	7.98	0.134085213032582
"PI 533913"	7.995	7.795	0.0256574727389351
"PI 533915"	9.725	8.45	0.150887573964497
"PI 533919"	12.26	12.7	-0.0346456692913385
"PI 533921"	10.53	11.01	-0.0435967302452315
"PI 533924"	9.135	10.545	-0.13371266002845
"PI 533927"	8.33	8.105	0.027760641579272
"PI 533936"	6.675	5.66	0.179328621908127
"PI 533937"	9.485	9.905	-0.0424028268551238
"PI 533938"	9.435	7.825	0.205750798722045
"PI 533939"	11.51	9.845	0.169121381411884
"PI 533940"	6.92	6.575	0.0524714828897338
"PI 533943"	13.32	11.845	0.124525116082735
"PI 533948"	10.975	8.655	0.268053148469093
"PI 533949"	9.025	7.97	0.13237139272271
"PI 533954"	8.38	8.36	0.0023923444976076
"PI 533955"	8.485	7.965	0.0652856246076585
"PI 533956"	10.055	8.505	0.182245737801293
"PI 533957"	8.645	7.685	0.124918672739102
"PI 533962"	8.38	6.89	0.216255442670537
"PI 533964"	11.04	8.835	0.249575551782682
"PI 533965"	7.43	6.875	0.0807272727272727
"PI 533967"	9.105	7.22	0.261080332409972
"PI 533970"	10.74	10.34	0.0386847195357834
"PI 533976"	10.84	10.625	0.020235294117647
"PI 533979"	8.56	7.495	0.14209472981988
"PI 533980"	9.91	8.4	0.179761904761905
"PI 533985"	10.42	9.045	0.152017689331122
"PI 533986"	11.13	10.705	0.0397010742643623
"PI 533987"	9.735	10.395	-0.0634920634920635
"PI 533989"	8.41	8.75	-0.0388571428571428
"PI 533991"	10.49	9.865	0.0633552965027876
"PI 533996"	9.39	8.44	0.112559241706161
"PI 533997"	10.765	10.1	0.0658415841584159
"PI 533998"	6.65	7.77	-0.144144144144144
