"PINumber"	"TillersPerPlant_HN"	"TillersPerPlant_LN"	"NR_TillersPerPlant"
"PI 152651"	2.435	1.435	0.696864111498258
"PI 17548"	0.6	1.1	-0.454545454545455
"PI 276837"	0.765	0.265	1.88679245283019
"PI 329440"	0.6	0.265	1.26415094339623
"PI 34911"	1.765	1.765	0
"PI 48770"	1.435	0.1	13.35
"PI 533750"	0.1	0.1	0
"PI 533752"	0.77	0.1	6.7
"PI 533754"	0.765	0.435	0.758620689655172
"PI 533755"	0.265	0.435	-0.390804597701149
"PI 533757"	0.1	0.1	0
"PI 533758"	0.935	1.1	-0.15
"PI 533759"	0.77	0.1	6.7
"PI 533760"	0.1	0.1	0
"PI 533761"	0.1	0.1	0
"PI 533766"	0.77	0.435	0.770114942528735
"PI 533769"	1.6	0.77	1.07792207792208
"PI 533776"	0.6	0.765	-0.215686274509804
"PI 533785"	0.435	1.1	-0.604545454545454
"PI 533789"	0.265	0.265	0
"PI 533794"	0.1	0.1	0
"PI 533799"	0.1	0.1	0
"PI 533800"	0.1	0.1	0
"PI 533807"	1.43	0.265	4.39622641509434
"PI 533810"	0.1	0.1	0
"PI 533814"	0.265	0.1	1.65
"PI 533821"	0.1	0.1	0
"PI 533824"	0.1	0.1	0
"PI 533830"	0.93	0.1	8.3
"PI 533833"	0.765	0.77	-0.0064935064935065
"PI 533838"	0.765	0.1	6.65
"PI 533839"	1.43	2.265	-0.368653421633554
"PI 533841"	0.765	0.265	1.88679245283019
"PI 533842"	0.1	0.265	-0.622641509433962
"PI 533845"	1.265	1.265	0
"PI 533852"	0.265	0.1	1.65
"PI 533855"	1.27	0.765	0.660130718954248
"PI 533856"	0.1	0.265	-0.622641509433962
"PI 533863"	1.77	1.1	0.609090909090909
"PI 533866"	1.435	0.6	1.39166666666667
"PI 533869"	2.1	1.6	0.3125
"PI 533876"	0.265	0.1	1.65
"PI 533877"	0.765	0.935	-0.181818181818182
"PI 533878"	0.1	0.1	0
"PI 533901"	1.1	0.6	0.833333333333334
"PI 533902"	0.1	0.1	0
"PI 533903"	0.1	0.1	0
"PI 533910"	0.1	0.1	0
"PI 533911"	0.1	0.43	-0.767441860465116
"PI 533912"	0.6	0.765	-0.215686274509804
"PI 533913"	0.6	0.765	-0.215686274509804
"PI 533915"	1.1	0.265	3.15094339622642
"PI 533919"	0.1	0.1	0
"PI 533921"	2.1	2.6	-0.192307692307692
"PI 533924"	0.265	0.1	1.65
"PI 533927"	1.1	0.435	1.52873563218391
"PI 533936"	0.1	0.435	-0.770114942528736
