"PINumber"	"PlantHeight_HN"	"PlantHeight_LN"	"NR_PlantHeight"
"PI 152651"	1.37	1.345	0.0185873605947955
"PI 17548"	2.46	2.405	0.0228690228690227
"PI 276837"	2.735	2.555	0.0704500978473584
"PI 329440"	0.575	0.625	-0.0800000000000001
"PI 34911"	1.535	1.48	0.0371621621621621
"PI 48770"	1.48	1.23	0.203252032520325
"PI 533750"	0.67	0.58	0.155172413793103
"PI 533752"	0.895	0.98	-0.086734693877551
"PI 533754"	1.11	1.1	0.0090909090909089
"PI 533755"	0.73	0.825	-0.115151515151515
"PI 533757"	0.76	0.78	-0.0256410256410257
"PI 533758"	0.91	0.88	0.034090909090909
"PI 533759"	0.59	0.565	0.0442477876106195
"PI 533760"	0.62	0.705	-0.120567375886525
"PI 533761"	1.32	1.055	0.251184834123223
"PI 533766"	0.76	0.81	-0.0617283950617284
"PI 533769"	0.525	0.535	-0.0186915887850467
"PI 533776"	1.31	1.315	-0.00380228136882121
"PI 533785"	0.84	0.8	0.0499999999999999
"PI 533789"	0.71	0.735	-0.0340136054421769
"PI 533794"	0.775	0.725	0.0689655172413794
"PI 533799"	0.745	0.66	0.128787878787879
"PI 533800"	1.13	1.12	0.00892857142857124
"PI 533807"	1.03	0.995	0.035175879396985
"PI 533810"	0.69	0.58	0.189655172413793
"PI 533814"	0.64	0.605	0.0578512396694214
"PI 533821"	0.745	0.745	0
"PI 533824"	0.75	0.71	0.0563380281690141
"PI 533830"	0.62	0.57	0.0877192982456139
"PI 533833"	0.875	0.765	0.143790849673203
"PI 533838"	0.82	0.86	-0.0465116279069767
"PI 533839"	1.12	1.195	-0.0627615062761504
"PI 533841"	0.765	0.75	0.02
"PI 533842"	0.765	0.795	-0.0377358490566037
"PI 533845"	0.75	0.755	-0.0066225165562914
"PI 533852"	0.795	0.765	0.0392156862745097
"PI 533855"	1.735	1.465	0.184300341296928
"PI 533856"	0.945	0.8	0.18125
"PI 533863"	1.27	1.435	-0.114982578397213
"PI 533866"	1.055	0.855	0.233918128654971
"PI 533869"	1.36	1.03	0.320388349514563
"PI 533876"	3.33	2.74	0.215328467153285
"PI 533877"	0.745	0.68	0.0955882352941177
"PI 533878"	1.02	0.995	0.0251256281407035
"PI 533901"	0.84	0.85	-0.0117647058823528
"PI 533902"	0.665	0.64	0.0390625000000002
"PI 533903"	0.945	0.82	0.152439024390244
"PI 533910"	1.03	0.69	0.492753623188406
"PI 533911"	0.72	0.67	0.0746268656716419
"PI 533912"	1.21	1.045	0.157894736842105
"PI 533913"	0.72	0.8	-0.1
"PI 533915"	1.375	1.18	0.165254237288135
