population	trait_id	anc_effect	rank
Improved	X2020_panicleGrainWeight_NR	-0.441821494124255	1
Improved	X2020_panicleGrainWeight_NR	-0.400742819096587	2
Improved	X2020_panicleGrainWeight_NR	-0.396425100529761	3
Improved	X2020_panicleGrainWeight_NR	-0.393258297247835	4
Improved	X2020_panicleGrainWeight_NR	-0.35889971135247	5
Improved	X2020_panicleGrainWeight_NR	-0.350929083269146	6
Improved	X2020_panicleGrainWeight_NR	-0.348900380111458	7
Improved	X2020_panicleGrainWeight_NR	-0.335234862669428	8
Improved	X2020_panicleGrainWeight_NR	-0.329349902958185	9
Improved	X2020_panicleGrainWeight_NR	-0.327006521249185	10
Improved	X2020_panicleGrainWeight_NR	-0.306996480531583	11
Improved	X2020_panicleGrainWeight_NR	-0.30393202009562	12
Improved	X2020_panicleGrainWeight_NR	-0.302690188405563	13
Improved	X2020_panicleGrainWeight_NR	-0.301960274182336	14
Improved	X2020_panicleGrainWeight_NR	-0.297733216932821	15
Improved	X2020_panicleGrainWeight_NR	-0.293507288273314	16
Improved	X2020_panicleGrainWeight_NR	-0.278750102731772	17
Improved	X2020_panicleGrainWeight_NR	-0.267176715297576	18
Improved	X2020_panicleGrainWeight_NR	-0.266973535778567	19
Improved	X2020_panicleGrainWeight_NR	-0.264943736493008	20
Improved	X2020_paniclesPerPlot_NR	-0.259600734877289	21
Improved	X2020_panicleGrainWeight_NR	-0.258039495415618	22
Improved	X2020_panicleGrainWeight_NR	-0.253983419132873	23
Improved	X2020_panicleGrainWeight_NR	-0.249497047046053	24
Improved	X2020_panicleGrainWeight_NR	-0.246623795305505	25
Improved	X2020_panicleGrainWeight_NR	-0.238781013782141	26
Improved	X2020_panicleGrainWeight_NR	-0.235065532313512	27
Improved	X2020_panicleGrainWeight_NR	-0.227886625439196	28
Improved	X2020_panicleGrainWeight_NR	-0.22556350275228	29
Improved	X2020_panicleGrainWeight_NR	-0.223657642740125	30
Improved	X2020_panicleGrainWeight_NR	-0.220410275597286	31
Improved	X2020_panicleGrainWeight_NR	-0.219141955302188	32
Improved	X2020_panicleGrainWeight_NR	-0.216958060848169	33
Improved	X2020_panicleGrainWeight_NR	-0.2152899879991	34
Improved	X2020_paniclesPerPlot_NR	-0.210999953876576	35
Improved	X2020_panicleGrainWeight_NR	-0.210382773690487	36
Improved	X2020_panicleGrainWeight_NR	-0.203657248091657	37
Improved	X2020_panicleGrainWeight_NR	-0.20333249313388	38
Improved	X2020_panicleGrainWeight_NR	-0.202063284768526	39
Improved	X2020_panicleGrainWeight_NR	-0.20176247635937	40
Improved	X2020_panicleGrainWeight_NR	-0.199696091610637	41
Improved	X2020_panicleGrainWeight_NR	-0.199397810621717	42
Improved	X2020_panicleGrainWeight_NR	-0.198422129152312	43
Improved	X2020_panicleGrainWeight_NR	-0.198169139906956	44
Improved	X2020_panicleGrainWeight_NR	-0.198161163524104	45
Improved	X2020_panicleGrainWeight_NR	-0.195531806679887	46
Improved	X2020_panicleGrainWeight_NR	-0.194261501425722	47
Improved	X2020_panicleGrainWeight_NR	-0.192094918306902	48
Improved	X2020_panicleGrainWeight_NR	-0.191201090437451	49
