population	trait_id	anc_effect	rank
Improved	X2020_estimatedPlotYield_NR	-0.80649456924025	1
Improved	X2020_estimatedPlotYield_NR	-0.666901932507395	2
Improved	X2020_estimatedPlotYield_NR	-0.658801619403714	3
Improved	X2020_estimatedPlotYield_NR	-0.607989049140209	4
Improved	X2020_estimatedPlotYield_NR	-0.606270774369717	5
Improved	X2020_estimatedPlotYield_NR	-0.589203277320499	6
Improved	X2020_estimatedPlotYield_NR	-0.56788199727906	7
Improved	X2020_estimatedPlotYield_NR	-0.509727348043399	8
Improved	X2020_estimatedPlotYield_NR	-0.50907270409308	9
Improved	X2020_estimatedPlotYield_NR	-0.505363447367678	10
Improved	X2020_estimatedPlotYield_NR	-0.502848577456197	11
Improved	X2020_estimatedPlotYield_NR	-0.498433250173289	12
Improved	X2020_estimatedPlotYield_NR	-0.491614891901565	13
Improved	X2020_estimatedPlotYield_NR	-0.482020306567042	14
Improved	X2020_estimatedPlotYield_NR	-0.472056882998832	15
Improved	X2020_estimatedPlotYield_NR	-0.465973905278147	16
Improved	X2020_estimatedPlotYield_NR	-0.446649802453078	17
Improved	X2020_estimatedPlotYield_NR	-0.444247520477879	18
Improved	X2020_estimatedPlotYield_NR	-0.440070523814609	19
Improved	X2020_estimatedPlotYield_NR	-0.438032962387492	20
Improved	X2020_estimatedPlotYield_NR	-0.431667441428159	21
Improved	X2020_estimatedPlotYield_NR	-0.423523780451239	22
Improved	X2020_estimatedPlotYield_NR	-0.422319758245215	23
Improved	X2020_estimatedPlotYield_NR	-0.421575858628041	24
Improved	X2020_estimatedPlotYield_NR	-0.419790188314717	25
Improved	X2020_estimatedPlotYield_NR	-0.419535072479703	26
Improved	X2020_estimatedPlotYield_NR	-0.419171698474032	27
Improved	X2020_estimatedPlotYield_NR	-0.411466687803113	28
Improved	X2020_estimatedPlotYield_NR	-0.408317843452607	29
Improved	X2020_estimatedPlotYield_NR	-0.407019517139874	30
Improved	X2020_estimatedPlotYield_NR	-0.404952098072011	31
Improved	X2020_estimatedPlotYield_NR	-0.403217492718854	32
Improved	X2020_estimatedPlotYield_NR	-0.402378474342592	33
Improved	X2020_estimatedPlotYield_NR	-0.397704127394879	34
Improved	X2020_estimatedPlotYield_NR	-0.392816688393392	35
Improved	X2020_estimatedPlotYield_NR	-0.392504784391608	36
Improved	X2020_estimatedPlotYield_NR	-0.392250034004748	37
Improved	X2020_estimatedPlotYield_NR	-0.391653790395037	38
Improved	X2020_estimatedPlotYield_NR	-0.390062474468757	39
Improved	X2020_estimatedPlotYield_NR	-0.388919599369821	40
Improved	X2020_estimatedPlotYield_NR	-0.388367885018752	41
Improved	X2020_estimatedPlotYield_NR	-0.379680057533009	42
Improved	X2020_estimatedPlotYield_NR	-0.374794389614266	43
Improved	X2020_estimatedPlotYield_NR	-0.373391132210854	44
Improved	X2020_estimatedPlotYield_NR	-0.368703028541626	45
Improved	X2020_estimatedPlotYield_NR	-0.365928325085002	46
Improved	X2020_estimatedPlotYield_NR	-0.362154771755928	47
Improved	X2020_estimatedPlotYield_NR	-0.355052636640171	48
Improved	X2020_estimatedPlotYield_NR	-0.354293558078536	49
Improved	X2020_estimatedPlotYield_NR	-0.353274805994908	50
Improved	X2020_estimatedPlotYield_NR	-0.35306621942669	51
Improved	X2020_estimatedPlotYield_NR	-0.349889409231035	52
Improved	X2020_estimatedPlotYield_NR	-0.344034646737459	53
Improved	X2020_estimatedPlotYield_NR	-0.343411488963389	54
Improved	X2020_estimatedPlotYield_NR	-0.340902190876049	55
Improved	X2020_estimatedPlotYield_NR	-0.335489314858416	56
Improved	X2020_estimatedPlotYield_NR	-0.333627484755581	57
Improved	X2020_estimatedPlotYield_NR	-0.333160181351812	58
Improved	X2020_estimatedPlotYield_NR	-0.328434751193024	59
Improved	X2020_estimatedPlotYield_NR	-0.323326389728744	60
Improved	X2020_estimatedPlotYield_NR	-0.317644062818233	61
Improved	X2020_estimatedPlotYield_NR	-0.314424720399501	62
Improved	X2020_estimatedPlotYield_NR	-0.308585998426219	63
Improved	X2020_estimatedPlotYield_NR	-0.308190748264798	64
Improved	X2020_estimatedPlotYield_NR	-0.300123659316294	65
Improved	X2020_estimatedPlotYield_NR	-0.29482301052692	66
Improved	X2020_estimatedPlotYield_NR	-0.293421038734211	67
Improved	X2020_estimatedPlotYield_NR	-0.293260190145399	68
Improved	X2020_estimatedPlotYield_NR	-0.291458855934321	69
Improved	X2020_estimatedPlotYield_NR	-0.28421210173568	70
Improved	X2020_estimatedPlotYield_NR	-0.283631852489675	71
Improved	X2020_estimatedPlotYield_NR	-0.282975279858897	72
Improved	X2020_estimatedPlotYield_NR	-0.281103780634349	73
Improved	X2020_estimatedPlotYield_NR	-0.280500196675639	74
Improved	X2020_estimatedPlotYield_NR	-0.271191547965449	75
Improved	X2020_estimatedPlotYield_NR	-0.268259648000501	76
Improved	X2020_estimatedPlotYield_NR	-0.266407598534706	77
Improved	X2020_estimatedPlotYield_NR	-0.264855500467147	78
Improved	X2020_estimatedPlotYield_NR	-0.262666978979874	79
