sample	cutoff	miss	Genetic_load	N_del
PI152651_PI152651	25%	miss50	-1411399.725257	144001
PI17548_PI17548	25%	miss50	-1403179.9196237	142302
PI24969_PI24969	25%	miss50	-1819089.0974341	184576
PI276837_PI276837	25%	miss50	-1688779.9561833	171122
PI329435_PI329435	25%	miss50	-1210553.376142	124883
PI329440_PI329440	25%	miss50	-1571189.1745744	156629
PI34911_PI34911	25%	miss50	-1469361.2897993	146427
PI35038_PI35038	25%	miss50	-1293862.3355887	129915
PI48770_PI48770	25%	miss50	-1283281.2573378	161517
PI533750_PI533750	25%	miss50	-1360209.0890938	138314
PI533752_PI533752	25%	miss50	-1368468.7187051	136049
PI533754_PI533754	25%	miss50	-1254743.7117447	132708
PI533755_PI533755	25%	miss50	-1454660.3082559	152940
PI533757_PI533757	25%	miss50	-1143641.5336961	114562
PI533758_PI533758	25%	miss50	-1100516.9669664	109964
PI533759_PI533759	25%	miss50	-1199193.3071564	118749
PI533760_PI533760	25%	miss50	-1292148.3384286	129033
PI533761_PI533761	25%	miss50	-1137901.7887232	113294
PI533762_PI533762	25%	miss50	-1283968.9871735	176614
PI533766_PI533766	25%	miss50	-1181293.6071122	120496
PI533769_PI533769	25%	miss50	-1005648.5374642	102024
PI533776_PI533776	25%	miss50	-1297418.7106337	133130
PI533785_PI533785	25%	miss50	-1228904.0802181	127294
PI533788_PI533788	25%	miss50	-1558091.5915234	157707
PI533789_PI533789	25%	miss50	-1199471.3327828	120713
PI533792_PI533792	25%	miss50	-1501448.2027858	151801
PI533794_PI533794	25%	miss50	-1336616.6611934	133605
PI533799_PI533799	25%	miss50	-1332512.7128822	133249
PI533800_PI533800	25%	miss50	-1342837.406109	135304
PI533807_PI533807	25%	miss50	-1117113.3146523	113457
PI533810_PI533810	25%	miss50	-1466973.7051513	149275
PI533814_PI533814	25%	miss50	-1447300.0673352	147859
PI533821_PI533821	25%	miss50	-1039981.6919639	103841
PI533822_PI533822	25%	miss50	-1281780.9399423	129080
PI533824_PI533824	25%	miss50	-1162967.1608791	118381
PI533830_PI533830	25%	miss50	-1415566.8369839	204370
PI533831_PI533831	25%	miss50	-1243054.4027657	126180
PI533833_PI533833	25%	miss50	-979840.647287399	98451
PI533838_PI533838	25%	miss50	-1190139.9242361	121934
PI533839_PI533839	25%	miss50	-607392.5687875	65457
PI533841_PI533841	25%	miss50	-1419737.059675	143345
PI533842_PI533842	25%	miss50	-1300132.6800947	132811
PI533843_PI533843	25%	miss50	-1290990.0195574	130814
PI533845_PI533845	25%	miss50	-1404751.7609003	143027
