Pedigree,LN_Blues
PI 17548,0.049301469
PI 24969,-0.054806274
PI 276837,0.018160849
PI 329440,0.031263053
PI 34911,0.02118462
PI 35038,-0.06248572
PI 48770,-0.147362608
PI 533750,0.060051201
PI 533752,-0.034569271
PI 533754,-0.054553164
PI 533757,-0.047359032
PI 533758,-0.000387478
PI 533759,-0.004136393
PI 533760,-0.054398027
PI 533761,-0.066545886
PI 533762,0.067102238
PI 533766,-0.070622044
PI 533769,0.000469216
PI 533776,-0.066939114
PI 533785,-0.028010595
PI 533788,0.248531368
PI 533789,-0.030270529
PI 533792,0.140888024
PI 533794,-0.082728045
PI 533799,0.066835242
PI 533800,-0.078412908
PI 533807,-0.060912662
PI 533810,-0.01369382
PI 533821,0.208564834
PI 533822,-0.013311526
PI 533824,0.054132238
PI 533830,-0.025504527
PI 533831,0.026404867
PI 533833,0.038406869
PI 533838,0.044625252
PI 533839,-0.075140475
PI 533841,-0.063796263
PI 533843,-0.081541606
PI 533845,0.137762857
PI 533852,-0.016285944
PI 533855,0.001940878
PI 533856,0.02451712
PI 533863,-0.047989894
PI 533866,-0.013938256
PI 533869,0.08893924
PI 533871,0.077098027
PI 533876,-0.051305648
PI 533877,0.001883418
PI 533878,0.032273425
PI 533901,-0.024681529
PI 533902,0.020395058
PI 533903,0.054766039
PI 533910,0.084173097
PI 533911,-0.025630314
PI 533912,-0.066497607
PI 533915,0.09578105
PI 533919,-0.0458814
PI 533921,-0.016622806
PI 533924,-0.061330361
PI 533927,-0.05463738
PI 533936,-0.057691202
PI 533937,0.045983693
PI 533938,0.014132939
PI 533939,-0.05417494
PI 533940,-0.24347837
PI 533943,0.027951511
PI 533948,0.068180216
PI 533949,-0.039287466
PI 533954,0.015381789
PI 533955,-0.110408116
PI 533957,0.143834581
PI 533961,-0.056706006
PI 533962,-0.042974599
PI 533964,-0.045090288
PI 533965,-0.039368766
PI 533967,-0.048432353
PI 533970,0.064244929
PI 533972,0.08150527
PI 533976,-4.24E-05
PI 533979,0.014660926
PI 533980,-0.013056474
PI 533985,0.027042015
PI 533986,0.075465582
PI 533987,-0.019511128
PI 533989,0.024330397
PI 533991,-0.036858539
PI 533996,-0.021789929
PI 533997,-0.014512333
PI 533998,0.011799821
PI 534009,-0.002719513
PI 534021,-0.205061756
PI 534028,-0.091776988
PI 534037,-0.082271821
PI 534046,-0.00278835
PI 534047,-0.011039672
PI 534053,-0.049581597
PI 534054,0.088100676
PI 534063,-0.083316888
PI 534070,-0.0827147
PI 534075,-0.029196582
PI 534079,0.017431787
PI 534092,0.056172965
PI 534096,-0.084820076
PI 534097,-0.063214586
PI 534099,0.315779303
PI 534101,-0.020457464
PI 534104,0.023783392
PI 534105,0.150535447
PI 534108,-0.028900377
PI 534112,0.043719486
PI 534114,0.027216439
PI 534116,-0.07322294
PI 534117,0.102817639
PI 534123,0.116498398
PI 534124,0.141555591
PI 534127,-0.08360926
PI 534128,0.007520501
PI 534132,-0.044119992
PI 534133,0.048996643
PI 534135,-0.044041495
PI 534137,0.011327847
PI 534139,0.030518693
PI 534144,0.085755146
PI 534145,0.081416347
PI 534148,0.024114101
PI 534155,0.077407785
PI 534157,0.049997576
PI 534163,0.137970312
PI 534167,-0.11232377
PI 542718,-0.021129897
PI 548797,-0.039938242
PI 552856,-0.232275319
PI 561071,-0.047491526
PI 561072,-0.139101111
PI 561073,0.161646996
PI 561472,0.018708917
PI 564163,-0.034275305
PI 564164,-0.051909514
PI 564165,0.088961628
PI 565121,0.019611311
PI 566819,-0.058297199
PI 574455,0.019641763
PI 576130,-0.020018099
PI 576332,0.020330225
PI 576333,0.006563901
PI 576337,-0.159331463
PI 576339,-0.038022712
