Pedigree,HN
PI 17548,-0.223726305
PI 24969,6.137890471
PI 276837,4.500146257
PI 329440,3.331198726
PI 34911,1.513617642
PI 35038,5.928302312
PI 487701,-0.377760568
PI 533750,1.697398336
PI 533752,2.058011708
PI 533754,3.956330242
PI 533757,-0.358446859
PI 533758,0.440447762
PI 533759,0.715135164
PI 533760,-3.297885586
PI 533761,7.621186046
PI 533762,2.133722796
PI 533766,-1.246907014
PI 533769,2.437757754
PI 533776,7.184217359
PI 533785,1.699396644
PI 533788,2.755467078
PI 533789,3.052898754
PI 533792,-0.570478885
PI 533794,2.354331656
PI 533799,10.42362242
PI 533800,-0.824102216
PI 533807,0.490265007
PI 533814,1.769112274
PI 533821,13.01841827
PI 533822,1.692588875
PI 533824,0.661651218
PI 533830,0.533717348
PI 533831,-1.04136766
PI 533833,4.119024057
PI 533838,-0.791752518
PI 533839,1.444453601
PI 533841,2.327741858
PI 533843,-0.781116653
PI 533845,-0.748883779
PI 533852,3.799234002
PI 533855,2.686201369
PI 533856,6.103408315
PI 533863,-0.366779173
PI 533866,3.890421887
PI 533869,2.603378711
PI 533871,8.388265406
PI 533876,-1.370857405
PI 533877,2.392482155
PI 533878,3.682813894
PI 533901,2.695074034
PI 533902,2.009918395
PI 533903,0.129768955
PI 533910,3.938041785
PI 533911,0.37492272
PI 533915,3.664537595
PI 533919,5.333718582
PI 533924,2.206500406
PI 533927,1.510693636
PI 533936,-1.674718571
PI 533937,5.538904496
PI 533938,1.12445783
PI 533939,1.128671133
PI 533940,0.905689984
PI 533943,2.797913601
PI 533948,0.590303147
PI 533949,1.353447032
PI 533954,6.896409952
PI 533955,1.713376091
PI 533957,7.070380627
PI 533961,9.42790737
PI 533962,0.595980504
PI 533964,-0.084792701
PI 533965,1.688779031
PI 533967,-0.319040197
PI 533970,4.042923096
PI 533972,3.108854834
PI 533976,1.734976796
PI 533979,0.876640317
PI 533980,8.700210561
PI 533985,4.957827304
PI 533986,6.432817443
PI 533987,4.448321355
PI 533989,3.384101625
PI 533991,5.551236909
PI 533996,0.986866592
PI 533997,3.640671148
PI 533998,2.724435735
PI 534009,0.498528656
PI 534021,0.705351474
PI 534028,0.203835674
PI 534037,2.877874901
PI 534046,3.480072751
PI 534047,1.929406247
PI 534053,2.66507252
PI 534054,1.330526727
PI 534063,4.069765275
PI 534070,3.037362664
PI 534075,2.839133577
PI 534079,2.485288716
PI 534092,7.921989036
PI 534096,0.096874885
PI 534097,2.504376981
PI 534099,1.672543047
PI 534101,0.333430233
PI 534104,2.337804708
PI 534105,1.590598784
PI 534108,2.292779213
PI 534112,0.709444511
PI 534114,0.924715154
PI 534116,3.519863476
PI 534117,5.477316624
PI 534123,0.60073608
PI 534124,2.588004308
PI 534127,1.267073581
PI 534128,17.72331114
PI 534132,4.866920327
PI 534133,0.143312111
PI 534135,2.860830317
PI 534137,3.333716215
PI 534139,5.131511038
PI 534144,0.784614591
PI 534145,0.53989666
PI 534148,-0.851147464
PI 534155,2.903507749
PI 534157,11.21328012
PI 534163,8.723508679
PI 534167,5.015958276
