Pedigree,HN
PI 17548,5.36561256
PI 24969,4.104924395
PI 276837,5.159379811
PI 329440,5.108347051
PI 34911,5.977234014
PI 35038,5.473920481
PI 48770,5.027189308
PI 533750,6.006933885
PI 533752,4.832012021
PI 533754,5.516281617
PI 533757,6.368720826
PI 533758,5.046729122
PI 533759,4.449859361
PI 533760,7.128644308
PI 533761,5.498274999
PI 533762,6.240286892
PI 533766,5.348364962
PI 533769,5.325876085
PI 533776,6.083527669
PI 533785,5.767972962
PI 533788,5.694219538
PI 533789,4.972969764
PI 533792,4.519258637
PI 533794,4.995975099
PI 533799,6.050664106
PI 533800,6.246290094
PI 533807,5.064563676
PI 533810,5.110952407
PI 533814,5.475877209
PI 533821,6.754491593
PI 533822,6.290824548
PI 533824,5.453422503
PI 533830,6.658558977
PI 533831,4.81251217
PI 533833,6.014868672
PI 533838,6.270779799
PI 533839,5.375481324
PI 533841,5.335947337
PI 533843,5.849637636
PI 533845,5.565420246
PI 533852,6.653768447
PI 533855,5.533080761
PI 533856,6.419562315
PI 533863,5.373617797
PI 533866,6.678768467
PI 533869,5.747367021
PI 533871,7.073374947
PI 533876,5.182063266
PI 533877,5.854628454
PI 533878,5.361894732
PI 533901,4.595106035
PI 533902,5.220844359
PI 533903,6.074417085
PI 533910,4.908799777
PI 533911,4.44972097
PI 533912,5.361803539
PI 533915,5.646528974
PI 533919,5.740551682
PI 533924,5.463895223
PI 533927,4.686042914
PI 533936,5.362799707
PI 533937,6.28188012
PI 533938,5.522661685
PI 533939,5.712896833
PI 533940,6.026339856
PI 533943,5.729577525
PI 533948,4.395666661
PI 533949,5.967903826
PI 533954,6.699775317
PI 533955,5.515708041
PI 533957,6.580788289
PI 533961,6.943655193
PI 533962,5.451458462
PI 533964,5.189370584
PI 533965,5.101687883
PI 533967,5.989956543
PI 533970,5.933938513
PI 533972,5.142834598
PI 533976,5.664327834
PI 533979,5.209938518
PI 533980,6.495947132
PI 533985,4.783112814
PI 533986,5.082474969
PI 533987,5.636606844
PI 533989,4.085286814
PI 533991,6.534922829
PI 533996,5.615276488
PI 533997,5.744259555
PI 533998,5.634643607
PI 534009,4.499305908
PI 534021,5.075936934
PI 534028,4.627161563
PI 534037,6.183175618
PI 534046,6.08644686
PI 534047,5.964437855
PI 534053,4.831438562
PI 534054,5.341471067
PI 534063,4.615019377
PI 534070,5.578396882
PI 534075,5.464321537
PI 534079,4.75834842
PI 534092,3.815936506
PI 534096,4.94857045
PI 534097,5.555252308
PI 534099,4.506612679
PI 534101,5.160702025
PI 534104,4.682096716
PI 534105,5.603469447
PI 534108,4.524392408
PI 534112,5.174483384
PI 534114,5.803326744
PI 534115,6.125051321
PI 534116,5.406851069
PI 534117,5.207669659
PI 534123,5.289475191
PI 534124,5.54599606
PI 534127,6.097876707
PI 534128,5.371008238
PI 534132,5.461569277
PI 534133,6.012191239
PI 534135,4.559148076
PI 534137,5.485800992
PI 534139,5.849529915
PI 534144,5.516002113
PI 534145,5.288992457
PI 534148,4.854047885
PI 534155,5.718776924
PI 534157,6.04486078
PI 534163,6.617571561
PI 534167,6.852132822
PI 542718,5.435763085
PI 548797,5.433149679
PI 552856,6.303766836
PI 561071,5.86950225
PI 561072,5.698123905
PI 561073,6.088231635
PI 561472,4.275959397
PI 564163,5.266431714
PI 564164,6.180318634
PI 564165,5.510598505
PI 565121,4.761818588
PI 566819,4.796487692
PI 574455,4.487648269
PI 576130,5.819448606
PI 576332,5.934825994
PI 576333,5.782084479
PI 576337,5.105445483
PI 576339,5.839063314
PI 576340,5.092643142
PI 576345,5.579952507
PI 576347,5.298448667
PI 576348,5.515457016
PI 576352,5.251325373
PI 576359,7.184054758
PI 576364,4.995952262
PI 576373,5.733605194
PI 576375,4.353521885
PI 576376,4.760258571
PI 576380,5.922866516
PI 576381,6.391361759
PI 576385,6.73365246
PI 576390,5.637918334
PI 576393,5.543443591
PI 576394,5.869563897
PI 576396,6.405349199
PI 576399,5.957977032
PI 576422,5.632626056
PI 576425,6.173343005
PI 576426,4.344601242
PI 576428,4.811699104
PI 576434,6.218017777
PI 595699,5.746470415
PI 595702,5.345111828
PI 595714,6.557065099
PI 595718,5.276784773
PI 595720,3.571415937
PI 595739,6.227500199
PI 595740,5.780984298
PI 595741,5.502485461
PI 595743,5.800593497
PI 595744,6.625531257
PI 595745,5.63555364
PI 597945,6.015505276
PI 597946,6.360650419
PI 597950,4.503580389
PI 597951,5.749426585
PI 597952,5.734956599
PI 597957,5.435377312
PI 597958,4.898978007
PI 597960,4.325879004
PI 597961,5.234439711
PI 597964,5.226545654
PI 597965,4.644639811
PI 597966,5.663508798
PI 597968,4.227420551
PI 597971,5.980126933
PI 597972,5.596897562
PI 597973,5.625661911
PI 597976,5.254363179
PI 597980,5.700855238
PI 597982,6.570425102
PI 598070,4.986250608
PI 601816,4.84078739
PI 607931,5.420739252
PI 609456,5.02026384
PI 613536,5.538970918
PI 629034,5.285336968
PI 629040,4.735734132
PI 629059,5.398019631
PI 641824,5.525249997
PI 641836,5.545361424
PI 641849,5.780593209
PI 641874,5.017896137
PI 642791,4.953938182
PI 642998,6.319419551
PI 651496,5.602585512
PI 653617,4.330917543
PI 655970,4.374223835
PI 655971,6.119860126
PI 655972,6.275170452
PI 655973,5.767430988
PI 655974,5.310502602
