"Taxa"	"HN"	"LN"
"1"	"PI152651"	7.18017226065618	1.32989855350577
"2"	"PI17548"	4.0324493523304	1.66724137885996
"3"	"PI24969"	7.00411067177551	1.42758703813917
"4"	"PI276837"	10.1135055940356	0.671250870881054
"5"	"PI329435"	NA	NA
"6"	"PI329440"	8.36868646837224	0.700000000000002
"7"	"PI34911"	7.20292450838281	0.699999999999999
"8"	"PI35038"	8.90000000000006	0.817870077442252
"9"	"PI48770"	NA	0.462077836208249
"10"	"PI533750"	5.00837885373383	0.904584204214387
"11"	"PI533752"	7.82213695201354	1.03791753754772
"12"	"PI533754"	9.69084798327007	0.506757264449787
"13"	"PI533755"	NA	NA
"14"	"PI533757"	5.81711558246175	0.933908045526626
"15"	"PI533758"	7.34171218706716	1.01059844224603
"16"	"PI533759"	9.7333333333332	1.25120341077559
"17"	"PI533760"	2.68296199512844	0.194253704805837
"18"	"PI533761"	15.4499999999999	0.884024913464878
"19"	"PI533762"	4.96666666666669	1.6965652201722
"20"	"PI533766"	3.66666666666675	0.447358246798211
"21"	"PI533769"	7.97798207305422	1.06666666666667
"22"	"PI533776"	8.61350559403555	1.11059844224603
"23"	"PI533785"	10.3490952933228	0.634024913464878
"24"	"PI533788"	8.25642388621592	2.4
"25"	"PI533789"	9.09553526995735	0.566666666666665
"26"	"PI533792"	7.66350559403558	0.966666666666665
"27"	"PI533794"	7.04408466818371	0.900000000000002
"28"	"PI533799"	14.1999999999668	1.4
"29"	"PI533800"	9.89294921665158	0.800000000000002
"30"	"PI533807"	5.21468957348272	1.07342393111645
"31"	"PI533810"	NA	0.833908045526627
"32"	"PI533814"	5.99084798327006	NA
"33"	"PI533821"	16.2408479832367	2.58402491346488
"34"	"PI533822"	8.02995916623826	0.866666666666669
"35"	"PI533824"	3.64216345109415	1.3465652201722
"36"	"PI533830"	6.00345174468531	0.598569966182744
"37"	"PI533831"	2.88242862665615	1.01059844224603
"38"	"PI533833"	8.63333333333344	0.927558438448165
"39"	"PI533838"	3.66666666666672	0.999999999999999
"40"	"PI533839"	5.46666666666675	0.651203410775585
"41"	"PI533841"	8.53744400510882	0.594253704805836
"42"	"PI533842"	NA	NA
"43"	"PI533843"	4.33333333333343	0.533908045526627
"44"	"PI533845"	7.35640176054982	1.29856996618274
"45"	"PI533852"	5.26666666666661	0.650691580131544
"46"	"PI533855"	8.99242767356369	0.751203410775585
"47"	"PI533856"	10.3564361670033	0.799999999999999
"48"	"PI533863"	7.01946161794775	0.533333333333336
"49"	"PI533866"	3.34281875623167	0.866666666666665
"50"	"PI533869"	6.73975721954906	1.19425370480584
"51"	"PI533871"	7.75948542289831	0.82758703813917
"52"	"PI533876"	3.4666666666668	0.700000000000002
"53"	"PI533877"	6.90292450838284	0.684536744108918
"54"	"PI533878"	8.08779240715262	1.06323188683888
"55"	"PI533882"	NA	NA
"56"	"PI533901"	7.89999999999992	0.596565220172197
"57"	"PI533902"	8.1162953284618	0.527558438448165
"58"	"PI533903"	4.80000000000004	1.2
"59"	"PI533910"	8.90000000000003	0.794253704805837
"60"	"PI533911"	4.97741800151703	0.93791753754772
"61"	"PI533912"	NA	0.895411169541582
"62"	"PI533913"	NA	NA
"63"	"PI533915"	9.5632924995716	1.08453674410892
