"Taxa"	"HN"	"LN"
"1"	"PI152651"	5.99999999986795	3.93339020682272
"2"	"PI17548"	4.83333333369485	3.93339020682002
"3"	"PI24969"	5.5	4.99999999999997
"4"	"PI276837"	5.33333333321314	3.38096109947436
"5"	"PI329435"	NA	NA
"6"	"PI329440"	5.16666666634002	4.49999999999998
"7"	"PI34911"	6	4.04762776614103
"8"	"PI35038"	5.5	4.00000000000001
"9"	"PI48770"	5	3.16666666666668
"10"	"PI533750"	5.66666666666667	3.99519865879685
"11"	"PI533752"	4.83333333347326	3.50000000000007
"12"	"PI533754"	5.4999999999922	3.33333333333334
"13"	"PI533755"	NA	NA
"14"	"PI533757"	5.49999999984448	4.16666666666666
"15"	"PI533758"	5.66666666666667	3.84743805955967
"16"	"PI533759"	5.33333333333334	4.16666666666664
"17"	"PI533760"	7	4.25000000000001
"18"	"PI533761"	6.5	3.16666666666672
"19"	"PI533762"	5.33333333333333	4.74697130494502
"20"	"PI533766"	5.16666666666667	3.48784612350096
"21"	"PI533769"	5.16666666665887	3.90156391680044
"22"	"PI533776"	5.49999999987981	3.82117945683429
"23"	"PI533785"	6.16666666634002	3.3333333333333
"24"	"PI533788"	5.83333333353932	3.99999999999997
"25"	"PI533789"	5.66666666651114	4.00000000000001
"26"	"PI533792"	5.16666666654648	4.14126250813739
"27"	"PI533794"	4.83333333354712	3.180771392893
"28"	"PI533799"	5.25	4.24999999999997
"29"	"PI533800"	6.5	3.680771392893
"30"	"PI533807"	4.9999999999922	4.40156391680044
"31"	"PI533810"	5.16666666666667	3.2142944328077
"32"	"PI533814"	5.16666666665887	3.33333333333331
"33"	"PI533821"	6.2499999999922	5.11137509782425
"34"	"PI533822"	5.33333333333333	4.16666666666667
"35"	"PI533824"	5.33333333303009	4.82853199213018
"36"	"PI533830"	6.49999999984448	4.27804176449092
"37"	"PI533831"	4.66666666634002	3.04762776614103
"38"	"PI533833"	6	4.00000000000001
"39"	"PI533838"	6	4.25
"40"	"PI533839"	5.33333333333334	3.93339020682002
"41"	"PI533841"	5.66666666666667	3.66666666666667
"42"	"PI533842"	NA	NA
"43"	"PI533843"	5.83333333333333	3.49999999999998
"44"	"PI533845"	5.66666666665887	4.47459584147073
"45"	"PI533852"	6	3.82853199213018
"46"	"PI533855"	5.5	4.47459584147073
"47"	"PI533856"	6.25	4.00000000000006
"48"	"PI533863"	5.49999999967335	3.33333333333332
"49"	"PI533866"	6	3.49999999999997
"50"	"PI533869"	5.33333333353932	4.14126250813739
"51"	"PI533871"	6.75	4.73489725013378
"52"	"PI533876"	5.16666666666667	3.40156391680044
"53"	"PI533877"	5.83333333333333	4.00000000000001
"54"	"PI533878"	5.2499999999922	3.5
"55"	"PI533882"	NA	NA
"56"	"PI533901"	5.83333333333333	4.33333333333335
"57"	"PI533902"	5.16666666666667	3.38096109947436
"58"	"PI533903"	5.83333333333333	4.14126250813739
"59"	"PI533910"	5.83333333333334	4.16666666666664
"60"	"PI533911"	4.50000000021379	4.00000000000006
"61"	"PI533912"	5.66666666666667	4.14126250813739
"62"	"PI533913"	NA	NA
"63"	"PI533915"	5.66666666666667	3.54762776614103
"64"	"PI533919"	5.16666666666667	3.66666666666665
"65"	"PI533921"	NA	4.49999999999997
"66"	"PI533924"	5.24999999967335	4
"67"	"PI533927"	4.6666666668066	3.66666666666672
"68"	"PI533936"	5.66666666666667	3.99999999999996
"69"	"PI533937"	5.83333333303008	3.83333333333333
"70"	"PI533938"	5.66666666666667	3.30792917480406
"71"	"PI533939"	5.50000000020599	3.49999999999997
"72"	"PI533940"	6.16666666666667	3.83333333333332
"73"	"PI533943"	5.49999999969675	3.66666666666672
"74"	"PI533948"	5.16666666666667	3.77804176449092
"75"	"PI533949"	6.33333333333333	4.16666666666664
"76"	"PI533954"	5.9999999999922	3.91363797161169
"77"	"PI533955"	5.5	3.680771392893
"78"	"PI533956"	NA	NA
"79"	"PI533957"	6.16666666666667	4.33333333333339
"80"	"PI533961"	6.16666666636342	4.78732635747795
"81"	"PI533962"	5.66666666666667	3.51410472622633
"82"	"PI533964"	5.5	3.66666666666665
"83"	"PI533965"	5.5	3.66666666666667
"84"	"PI533967"	6.16666666666667	3.73489725013377
"85"	"PI533970"	5.33333333333333	5.07117945683429
"86"	"PI533972"	5.5	3.82853199213018
"87"	"PI533976"	5.66666666666667	3.40156391680044
"88"	"PI533979"	5.50000000020599	4.73489725013378
"89"	"PI533980"	5.49999999969675	4.16666666666664
"90"	"PI533985"	4.83333333333334	4.16666666666668
"91"	"PI533986"	5.1666666668066	4.49697130494502
"92"	"PI533987"	4.83333333333334	4.16666666666665
"93"	"PI533989"	5.16666666666667	3.41363797161169
"94"	"PI533991"	6.25	3.61137509782425
"95"	"PI533996"	5.33333333300669	3.32117945683429
"96"	"PI533997"	5.66666666666667	3.97459584147073
"97"	"PI534009"	5.16666666665887	4
"98"	"PI534021"	5.16666666666667	3.49999999999997
"99"	"PI534028"	4.50000000021379	3.97459584147073
"100"	"PI534037"	6.16666666666667	3.99519865879685
"101"	"PI534046"	6	3.91363797161169
"102"	"PI534047"	5.83333333333333	3.66666666666668
"103"	"PI534053"	4.75000000013993	3.99999999999998
"104"	"PI534054"	6	4.16666666666665
"105"	"PI534063"	5.16666666651115	3.49999999999996
"106"	"PI534070"	5.00000000000001	3.16666666666673
"107"	"PI534075"	5.00000000020599	3.66186532546352
"108"	"PI534079"	4.66666666688046	3.83333333333339
"109"	"PI534088"	NA	NA
"110"	"PI534092"	5.00000000036152	3.58030463827836
"111"	"PI534096"	5.33333333333334	3.8333333333333
"112"	"PI534097"	5.16666666666667	4.3333333333334
"113"	"PI534099"	4.5	4.54762776614103
"114"	"PI534101"	5.66666666666667	4.16666666666664
"115"	"PI534105"	6.33333333333334	4.49999999999998
"116"	"PI534108"	4.5	3.33333333333334
"117"	"PI534112"	5	3.43339020682002
"118"	"PI534114"	6.16666666654648	4
"119"	"PI534115"	6.2499999999922	4.25
"120"	"PI534116"	4.9999999999922	3.66666666666665
"121"	"PI534117"	5.33333333347326	3.3333333333333
"122"	"PI534123"	5.1666666668066	3.75000000000001
"123"	"PI534124"	6	4.57117945683429
"124"	"PI534127"	5.83333333333333	3.62065969081129
"125"	"PI534128"	6.5	4.00000000000001
"126"	"PI534132"	5.2499999999922	3.24999999999997
"127"	"PI534133"	6.33333333333334	3.680771392893
"128"	"PI534135"	5	3.66666666666667
"129"	"PI534137"	5.5	4.14126250813739
"130"	"PI534138"	NA	NA
"131"	"PI534139"	5.66666666665887	4.11137509782425
"132"	"PI534144"	5.5	3.62065969081129
"133"	"PI534145"	5.16666666666667	4.47459584147073
"134"	"PI534148"	4.83333333354713	3.66666666666663
