"Taxa"	"HN"	"LN"
"1"	"PI152651"	33.7543796190548	22.3482535115522
"2"	"PI17548"	30.8195647341385	28.9187991532761
"3"	"PI24969"	27.1230893382664	27.6278438376875
"4"	"PI276837"	60.2543796189828	21.1021778092553
"5"	"PI329435"	NA	NA
"6"	"PI329440"	34.3391001591856	25.5999999999999
"7"	"PI34911"	34.7884965634478	17.3999999999999
"8"	"PI35038"	43.6000000000047	16.7453652863048
"9"	"PI48770"	32.0439485481251	18.0235634605237
"10"	"PI533750"	34.8739111879727	24.568844475922
"11"	"PI533752"	30.8161180361283	20.7355111425886
"12"	"PI533754"	38.3461411031277	16.5372357997119
"13"	"PI533755"	NA	NA
"14"	"PI533757"	33.3922874796332	24.7521324866095
"15"	"PI533758"	33.8072445213063	24.4508999251048
"16"	"PI533759"	32.8333333333376	17.5453652863048
"17"	"PI533760"	30.6047024600156	12.9945105043542
"18"	"PI533761"	37.9000000000042	14.1407276194934
"19"	"PI533762"	30.266666666671	24.288021588243
"20"	"PI533766"	31.1666666666707	15.6073942861601
"21"	"PI533769"	35.1898995238797	18.4666666666663
"22"	"PI533776"	33.9543796189783	23.2842332584382
"23"	"PI533785"	43.3839369290711	19.1740609528267
"24"	"PI533788"	46.6574264640782	28.3
"25"	"PI533789"	33.2763833806694	17.8666666666663
"26"	"PI533792"	37.8543796189832	23.5666666666663
"27"	"PI533794"	28.4206620471246	22.3333333333332
"28"	"PI533799"	35.7500000000671	24.8999999999999
"29"	"PI533800"	41.787233320784	20.0666666666663
"30"	"PI533807"	25.3334175702801	19.9705691330453
"31"	"PI533810"	36.0000000000047	24.2854658199428
"32"	"PI533814"	36.4794744364574	22.3666666666663
"33"	"PI533821"	40.5961411031891	23.8073942861601
"34"	"PI533822"	36.2231486202701	18.3999999999996
"35"	"PI533824"	31.2590803278705	21.138021588243
"36"	"PI533830"	43.7405079860454	20.582040071304
"37"	"PI533831"	27.4172702624089	19.4842332584382
"38"	"PI533833"	36.1666666666721	22.0017386042614
"39"	"PI533838"	29.4666666666706	22.9999999999999
"40"	"PI533839"	32.2000000000025	16.2120319529714
"41"	"PI533841"	28.2897560049337	15.6278438376875
"42"	"PI533842"	NA	NA
"43"	"PI533843"	42.3000000000057	15.3854658199428
"44"	"PI533845"	30.9406620915826	24.8153734046374
"45"	"PI533852"	28.3000000000048	14.1407276194934
"46"	"PI533855"	24.4183793888664	15.9120319529714
"47"	"PI533856"	35.6897061082722	13.9999999999999
"48"	"PI533863"	33.1612188105298	17.5999999999996
"49"	"PI533866"	18.3473844640062	21.3999999999996
"50"	"PI533869"	35.0574264640804	23.4278438376875
