Pedigree,Treatment,Bench,Row,Column,plant_height_rep_1,plant_height_rep_2,plant_height_rep_3,Pot_id
PI 533810,LN,1,10,1,25.5,24.0,23.2,1001
PI 656084,LN,1,9,1,16.5,21.0,27.2,1002
PI 534079,LN,1,8,1,28.5,23.6,29.4,1003
PI 655991,LN,1,7,1,23.2,25.0,29.1,1004
PI 534070,LN,1,6,1,21.4,23.1,20.5,1005
PI 656083,LN,1,5,1,24.9,24.4,23.6,1006
PI 629059,LN,1,4,1,27.9,23.4,23.4,1007
PI 656006,LN,1,3,1,21.1,14.7,22.6,1008
PI 576380,LN,1,2,1,24.1,23.4,22.1,1009
PI 533843,LN,1,1,1,15.5,13.2,17.3,1010
PI 533915,LN,1,10,2,20.8,29.5,30.0,1011
PI 576348,LN,1,9,2,30.5,30.0,28.5,1012
PI 656112,LN,1,8,2,30.5,30.5,29.5,1013
PI 534037,LN,1,7,2,24.5,24.0,24.0,1014
PI 656120,LN,1,6,2,23.5,17.1,21.2,1015
PI 655983,LN,1,5,2,21.6,17.8,20.8,1016
PI 533759,LN,1,4,2,19.6,20.1,24.1,1017
PI 655989,LN,1,3,2,16.3,21.8,NA,1018
PI 564163,LN,1,2,2,29.2,NA,NA,1019
PI 656007,LN,1,1,2,23.1,22.1,17.5,1020
PI 656053,LN,1,10,3,16.9,25.6,19.8,1021
PI 533807,LN,1,9,3,20.2,25.4,17.5,1022
PI 595745,LN,1,8,3,18.4,19.5,15.1,1023
PI 656076,LN,1,7,3,22.3,21.5,NA,1024
PI 534097,LN,1,6,3,20.4,21.6,26.8,1025
PI 595702,LN,1,5,3,19.3,11.4,18.3,1026
PI 656110,LN,1,4,3,17.8,14.2,13.2,1027
PI 659693,LN,1,3,3,17.3,19.1,19.3,1028
PI 564163,LN,1,2,3,21.0,18.2,NA,1029
PI 656107,LN,1,1,3,21.5,22.0,20.5,1030
PI 656049,LN,1,10,4,28.6,23.8,20.5,1031
PI 533876,LN,1,9,4,23.4,17.6,20.5,1032
PI 533927,LN,1,8,4,22.4,19.6,18.5,1033
PI 656092,LN,1,7,4,28.6,24.4,30.0,1034
PI 656075,LN,1,6,4,27.6,23.6,20.5,1035
PI 533996,LN,1,5,4,20.0,15.0,18.0,1036
PI 533939,LN,1,4,4,23.0,22.0,27.5,1037
PI 659691,LN,1,3,4,23.0,27.0,25.5,1038
PI 656026,LN,1,2,4,15.6,18.6,18.9,1039
PI 656088,LN,1,1,4,18.8,NA,NA,1040
PI 533831,LN,1,10,5,21.6,18.5,17.5,1041
PI 655973,LN,1,9,5,16.1,15.7,19.8,1042
PI 655998,LN,1,8,5,18.6,16.6,22.3,1043
PI 656106,LN,1,7,5,29.8,27.9,22.9,1044
PI 534157,LN,1,6,5,23.0,23.5,NA,1045
PI 533776,LN,1,5,5,23.0,NA,NA,1046
PI 641874,LN,1,4,5,29.7,23.3,24.6,1047
PI 656104,LN,1,3,5,16.7,16.7,14.2,1048
PI 656072,LN,1,2,5,23.2,23.2,24.2,1049
PI 533964,LN,1,1,5,22.2,25.0,18.3,1050
PI 656095,LN,1,10,6,16.8,27.5,27.5,1051
PI 533769,LN,1,9,6,17.9,12.2,25.3,1052
PI 533943,LN,1,8,6,21.5,24.5,23.3,1053
PI 533972,LN,1,7,6,16.4,25.3,19.5,1054
PI 656093,LN,1,6,6,23.4,12.4,19.4,1055
PI 609456,LN,1,5,6,15.7,18.6,20.7,1056
PI 533866,LN,1,4,6,22.0,25.3,16.9,1057
PI 576399,LN,1,3,6,26.2,30.3,25.7,1058
PI 655971,LN,1,2,6,27.2,28.4,25.6,1059
PI 533814,LN,1,1,6,22.7,22.4,22.0,1060
PI 656077,LN,1,10,7,23.6,23.8,23.3,1061
PI 595718,LN,1,9,7,21.3,18.4,19.2,1062
PI 655981,LN,1,8,7,28.5,14.6,23.4,1063
PI 533824,LN,1,7,7,27.2,16.9,NA,1064
PI 656091,LN,1,6,7,24.1,26.8,24.2,1065
PI 564163,LN,1,5,7,20.6,20.1,22.3,1066
PI 534132,LN,1,4,7,16.4,19.6,NA,1067
PI 534135,LN,1,3,7,22.5,22.1,19.6,1068
PI 533762,LN,1,2,7,25.2,NA,NA,1069
PI 656069,LN,1,1,7,14.3,16.7,20.5,1070
PI 276837,LN,1,10,8,24.1,19.8,20.0,1071
PI 533979,LN,1,9,8,20.0,19.1,20.8,1072
PI 533911,LN,1,8,8,28.7,22.3,26.8,1073
PI 533750,LN,1,7,8,28.6,26.3,19.4,1074
PI 533752,LN,1,6,8,14.9,25.2,22.7,1075
PI 656119,LN,1,5,8,14.0,19.5,20.4,1076
PI 533949,LN,1,4,8,16.3,24.5,22.6,1077
PI 548797,LN,1,3,8,16.5,16.1,19.2,1078
PI 595720,LN,1,2,8,22.9,24.3,25.6,1079
PI 656043,LN,1,1,8,24.6,26.4,27.9,1080
PI 34911,LN,1,10,9,17.4,NA,NA,1081
